atomic_number,symbol,name,atomic_mass,category
57,La,Lanthanum,138.90547,lanthanoid
58,Ce,Cerium,140.116,lanthanoid
59,Pr,Praseodymium,140.90765,lanthanoid
60,Nd,Neodymium,144.242,lanthanoid
61,Pm,Promethium,145.0,lanthanoid
62,Sm,Samarium,150.36,lanthanoid
63,Eu,Europium,151.964,lanthanoid
64,Gd,Gadolinium,157.25,lanthanoid
65,Tb,Terbium,158.92535,lanthanoid
66,Dy,Dysprosium,162.5,lanthanoid
67,Ho,Holmium,164.93032,lanthanoid
68,Er,Erbium,167.259,lanthanoid
69,Tm,Thulium,168.93421,lanthanoid
70,Yb,Ytterbium,173.054,lanthanoid
71,Lu,Lutetium,174.9668,transition metal
