step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,8.672004682053666,2.3345010722195565,0.0,FALSE
500,1.0,8.611223824290336,2.3365529405217837,1.942454442006869,FALSE
1000,2.0,8.636047882085503,2.339891025006581,3.668596339684214,FALSE
1500,3.0,8.639269427334519,2.343596097666122,5.246593586062052,FALSE
2000,4.0,8.685374544401796,2.3442757301989565,6.480518998501331,FALSE
2500,5.0,8.644815953289521,2.3341262678424552,7.970786174943422,FALSE
3000,6.0,8.683683242854933,2.3508972203348137,9.019361023259105,FALSE
3500,7.0,8.543371869739932,2.3406016268400793,9.889483574655815,FALSE
4000,8.0,8.526509057908058,2.349230490876449,10.798419371359769,FALSE
4500,9.0,8.623128770840161,2.3614353279025577,12.293437813459063,FALSE
5000,10.0,8.581649931215987,2.333901793633018,13.251041884264941,FALSE
5500,11.0,8.662722972467835,2.3480103171366262,13.929145084133438,FALSE
6000,12.0,8.586486933675369,2.353872403620452,15.012616161792161,FALSE
6500,13.0,8.566429225477204,2.3527426314989626,15.69463643050471,FALSE
7000,14.0,8.530114494286902,2.3273007169051234,15.939940179364958,FALSE
7500,15.0,8.603902472328997,2.343413438045018,17.46787605738254,FALSE
8000,16.0,8.656665756299029,2.338486514866415,17.861579252132987,FALSE
8500,17.0,8.636738066080923,2.3475983546490466,18.769354312108486,FALSE
9000,18.0,8.626012886215268,2.348886336331301,19.507312293250557,FALSE
9500,19.0,8.590007203318267,2.3398994489546614,20.122053947008293,FALSE
10000,20.0,8.456407236722844,2.3443318218461324,17.529799106204223,FALSE
10500,21.0,8.536630764852259,2.3454542997572574,20.651714133261997,FALSE
11000,22.0,8.552631362751592,2.3490908209861754,21.552224791981203,FALSE
11500,23.0,8.607836254416913,2.3438077471309002,22.55352156748999,FALSE
12000,24.0,8.53757729538655,2.334899257734268,22.425425138569874,FALSE
12500,25.0,8.640150536841244,2.35606832169029,23.328668117780808,FALSE
13000,26.0,8.615250870545902,2.3581419074351624,24.050237368203284,FALSE
13500,27.0,8.604377958197203,2.337575731901895,24.62388795791773,FALSE
14000,28.0,8.504093072465299,2.356220935838697,23.45047911385826,FALSE
14500,29.0,8.602620721568877,2.3370966849278254,25.574987958625933,FALSE
15000,30.0,8.739714369180627,2.3529184114443598,22.515375550785684,FALSE
15500,31.0,8.494832207196673,2.3513973165747686,24.525520208631328,FALSE
16000,32.0,8.44718666300994,2.3355087551825893,22.913561860501748,FALSE
16500,33.0,8.529303774896364,2.345552080651802,26.5575875209637,FALSE
17000,34.0,8.552524613369812,2.3379087393991975,27.437262049818646,FALSE
17500,35.0,8.609851365039411,2.359150033907904,28.104332353352895,FALSE
18000,36.0,8.549902095363953,2.34165551292726,28.202256220626897,FALSE
18500,37.0,8.424170133968184,2.3379225920483866,23.520402464656236,FALSE
19000,38.0,8.354700066596202,2.3563693113862327,19.63501665183849,FALSE
19500,39.0,8.573931270411194,2.3493461148367247,29.741248636131047,FALSE
20000,40.0,8.646717400092987,2.351019664377274,29.43557238842565,FALSE
20500,41.0,8.616719423045648,2.3391221544022636,30.338230424011275,FALSE
21000,42.0,8.61942700049379,2.345151025879255,30.65891070709605,FALSE
21500,43.0,8.638546592521386,2.3474647041247025,30.65337867843371,FALSE
22000,44.0,8.578542937428791,2.3322324995764565,31.448542555223465,FALSE
22500,45.0,8.466934914211212,2.3477564076904707,28.60888261901848,FALSE
23000,46.0,8.69480355410192,2.357235729246617,29.629566958851875,FALSE
23500,47.0,8.711368768112145,2.355500939392547,29.161503041768658,FALSE
24000,48.0,8.569568066400645,2.3643135854714066,32.59960670816719,FALSE
24500,49.0,8.555768611864613,2.344245539801887,32.87119223368581,FALSE
25000,50.0,8.600925626201994,2.346724576689586,33.429671179569375,FALSE
25500,51.0,8.695885391930682,2.3571659553959714,31.063522485388386,FALSE
26000,52.0,8.491299290117468,2.3406200931343943,31.72410170455064,FALSE
26500,53.0,8.250767453401089,2.3398152697543733,15.407557671571151,FALSE
27000,54.0,8.639340575900912,2.362412827733929,33.87672051425915,FALSE
27500,55.0,8.620821841217055,2.3498174734139905,34.655852322601994,FALSE
28000,56.0,8.58384212676609,2.3468231943150917,35.209843086039584,FALSE
28500,57.0,8.708076981918017,2.3345962375565796,31.92627096490057,FALSE
29000,58.0,8.557841220276357,2.3474498699256094,35.52611471138771,FALSE
29500,59.0,8.629251348960924,2.346646988116559,35.59195275096808,FALSE
30000,60.0,8.599827353099496,2.354281782066972,36.21921860515176,FALSE
30500,61.0,8.582557868800198,2.3574847493674485,36.45624959378471,FALSE
31000,62.0,8.374105824593684,2.351868625415786,26.518055044683003,FALSE
31500,63.0,8.683982052073565,2.3563258737491113,34.63200001343413,FALSE
32000,64.0,8.605199290937769,2.3540037555816484,37.203288481594406,FALSE
32500,65.0,8.545175958770493,2.363675232611076,36.892533880219375,FALSE
33000,66.0,8.67835372670034,2.3577116741349573,35.587707838529084,FALSE
33500,67.0,8.550883355137163,2.3388150853717797,37.605756464683594,FALSE
34000,68.0,8.501410810819761,2.3440469602467244,36.24116263432752,FALSE
34500,69.0,8.578702245740375,2.3489628166881555,38.443412113219765,FALSE
35000,70.0,8.67871841579444,2.3636882099903107,36.31737484487954,FALSE
35500,71.0,8.412007859567007,2.3621924022338616,31.121347695915194,FALSE
36000,72.0,8.62155939118388,2.353381584103185,38.82003893010378,FALSE
36500,73.0,8.632649193168785,2.360948192340905,38.70633871374423,FALSE
37000,74.0,8.349950119240459,2.357846264162318,26.544210930424477,FALSE
37500,75.0,8.572510211508323,2.340618269966087,39.75951120062905,FALSE
38000,76.0,8.52686796909371,2.3531880502892952,38.99507974315264,FALSE
38500,77.0,8.677767601900156,2.352543472783511,37.88955695599324,FALSE
39000,78.0,8.706320796449955,2.3430897169274356,36.51147184418729,FALSE
39500,79.0,8.564971046635794,2.353917718982929,40.47352617115055,FALSE
40000,80.0,8.557137514762532,2.3622564719004076,40.44727246267751,FALSE
40500,81.0,8.677843628427265,2.3480684969890886,38.70192626000693,FALSE
41000,82.0,8.658642941216037,2.3460491980185365,39.772981299508096,FALSE
41500,83.0,8.50936074533416,2.3409481932824208,39.64616133010153,FALSE
42000,84.0,8.663981402290283,2.3603322342934967,39.802529219741615,FALSE
42500,85.0,8.670534076729114,2.3525964645756177,39.77567727617436,FALSE
43000,86.0,8.583459129798303,2.3502171879049985,41.978522246588405,FALSE
43500,87.0,8.630339069615793,2.3631420681985094,41.485795807983706,FALSE
44000,88.0,8.689334008730402,2.3419762590519606,39.338696038369505,FALSE
44500,89.0,8.597282131830553,2.3363643498082896,42.46081310225009,FALSE
45000,90.0,8.44536676477698,2.354253987794644,36.88072087541473,FALSE
45500,91.0,8.5810590307447,2.3431064865224664,42.87356988763801,FALSE
46000,92.0,8.583835085689485,2.36526570741937,42.86357377647534,FALSE
46500,93.0,8.552812566912738,2.3603816628829124,42.743350449931974,FALSE
47000,94.0,8.424496263831237,2.3249201367574694,35.72693329212892,FALSE
47500,95.0,8.626740512085698,2.3500055787586445,43.123525169028746,FALSE
48000,96.0,8.308067048543505,2.3428840278922207,25.299444636684232,FALSE
48500,97.0,8.553681438746432,2.3402542338983183,43.66602393521523,FALSE
49000,98.0,8.361131833953081,2.3494017518842907,31.065350449884566,FALSE
49500,99.0,8.4432937857445,2.3600980442031987,38.54043173686445,FALSE
50000,100.0,8.677976563471981,2.3664622372606994,41.66404411593967,FALSE
50500,101.0,8.512980898902763,2.3413842603410497,43.19092186859735,FALSE
51000,102.0,8.40408768582734,2.3387174967102773,35.87511416006246,FALSE
51500,103.0,8.369790619420455,2.3362018139344274,32.93207775764031,FALSE
52000,104.0,8.446032558375551,2.346221879396098,39.93341002369463,FALSE
52500,105.0,8.726316717907531,2.342967738898393,39.175031741956005,FALSE
53000,106.0,8.691398012816007,2.333811247831041,41.862004887254784,FALSE
53500,107.0,8.508130873372442,2.3568194057236846,44.112621084513464,FALSE
54000,108.0,8.611098031317269,2.3521060495129738,45.69429862067923,FALSE
54500,109.0,8.659777021894373,2.3640490590169,44.019413072878415,FALSE
55000,110.0,8.736635482491726,2.3496831407159586,39.03754770121927,FALSE
55500,111.0,8.479631197272058,2.3505102541384906,43.19183575669081,FALSE
56000,112.0,8.59651282338606,2.3424464227270274,46.518863520575614,FALSE
56500,113.0,8.449105968273287,2.350469812334203,41.35568877559654,FALSE
57000,114.0,8.556589002964143,2.3555490028456614,46.647216368058615,FALSE
57500,115.0,8.654219425848487,2.349282185081763,45.27700139838271,FALSE
58000,116.0,8.422644640935662,2.328225586274228,39.451229425670434,FALSE
58500,117.0,8.362738247506721,2.3505138176052367,34.15421306765954,FALSE
59000,118.0,8.359192874493228,2.3445122471624753,34.08368181460511,FALSE
59500,119.0,8.59456259313634,2.351870290996638,47.60595420850096,FALSE
60000,120.0,8.744897533718195,2.353320037311553,39.36118748093008,FALSE
60500,121.0,8.4490366733077,2.3500788277928595,42.68185991980523,FALSE
61000,122.0,8.691997364587785,2.3497569402658818,43.9895932828905,FALSE
61500,123.0,8.555318484328676,2.3419068558430687,48.06532079573163,FALSE
62000,124.0,8.284418663677698,2.3387814269361007,26.89835780450225,FALSE
62500,125.0,8.247265158706194,2.343214498459771,23.453507090348523,FALSE
63000,126.0,8.556090102874553,2.354582045874931,48.644763578683204,FALSE
63500,127.0,8.696610207351458,2.355236616507984,44.203612895987995,FALSE
64000,128.0,8.434085193904663,2.3353597881335255,42.73008654058497,FALSE
64500,129.0,8.387123157928803,2.332331697151691,38.5932891424368,FALSE
65000,130.0,8.417397182514103,2.3581448675368573,41.65577840047924,FALSE
65500,131.0,8.568835227015564,2.328745821603118,49.351352222161914,FALSE
66000,132.0,8.459139746689543,2.3528163017028296,45.35133296845946,FALSE
66500,133.0,8.396254807296996,2.319032061172219,39.840310921556394,FALSE
67000,134.0,8.648405631413432,2.348887084350976,48.046330479625055,FALSE
67500,135.0,8.309609846605474,2.339861059623729,31.3348649846495,FALSE
68000,136.0,8.318612537988683,2.3472809851529917,32.6625284115092,FALSE
68500,137.0,8.260997472348965,2.35385995503943,26.87848923112858,FALSE
69000,138.0,8.242535889448348,2.340964156391134,25.42987701259124,FALSE
69500,139.0,8.236003813783912,2.332603615733246,25.22434269271367,FALSE
70000,140.0,8.507620884344357,2.3591980748799424,49.73624571379888,FALSE
70500,141.0,8.42708813814243,2.333681238506629,44.95324553769561,FALSE
71000,142.0,8.379462259515,2.3330298534144434,40.83297845162091,FALSE
71500,143.0,8.582910174104386,2.329000579059647,51.09519902608261,FALSE
72000,144.0,8.612840864455887,2.329047719674465,50.568612171040826,FALSE
72500,145.0,8.656175490960601,2.3496542720310813,48.878789485731325,FALSE
73000,146.0,8.544454836701938,2.345597296573045,51.542045863111404,FALSE
73500,147.0,8.661828932539164,2.3504278741632465,48.732154377770335,FALSE
74000,148.0,8.617535270001838,2.354056466935982,50.981974453015276,FALSE
74500,149.0,8.595275554019763,2.363894655328774,51.52923278345778,FALSE
75000,150.0,8.552686760822805,2.3480196543203964,52.05219571140654,FALSE
75500,151.0,8.540327176750862,2.34249397528642,51.9772673243616,FALSE
76000,152.0,8.612966295253852,2.3496588409324404,51.5685489992741,FALSE
76500,153.0,8.646497196983107,2.342258429389254,50.224769172938615,FALSE
77000,154.0,8.587846905573432,2.35946996009874,52.25388632834724,FALSE
77500,155.0,8.396292279280692,2.3448577933266574,43.56589454579327,FALSE
78000,156.0,8.581013812469294,2.339208756360129,52.635427503935176,FALSE
78500,157.0,8.56835360806271,2.3279850704530762,52.628342635873395,FALSE
79000,158.0,8.706045164960772,2.3362264361851546,46.38341257230137,FALSE
79500,159.0,8.585857689475699,2.344230693757749,52.91614968066604,FALSE
80000,160.0,8.568789357676364,2.3453703936608514,53.13562939610558,FALSE
80500,161.0,8.661758686255338,2.340644904848605,50.097138415957644,FALSE
81000,162.0,8.702983015523156,2.352454364800055,47.08809703943824,FALSE
81500,163.0,8.505413812244766,2.343298308799586,52.095195585306826,FALSE
82000,164.0,8.602012002381295,2.3384607941371645,53.08942015015977,FALSE
82500,165.0,8.616154102794361,2.3413017050650247,52.798262791895176,FALSE
83000,166.0,8.64998128400959,2.3529580231183087,51.31733566851247,FALSE
83500,167.0,8.702721327274189,2.353324214210003,47.56341116180175,FALSE
84000,168.0,8.601045402437974,2.3528064605108465,53.51816210973188,FALSE
84500,169.0,8.673962339521099,2.3342658524949615,50.00842896916684,FALSE
85000,170.0,8.561095770217312,2.3462994891262863,54.124207961664546,FALSE
