step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,6.783699297950659,2.047871083294888,0.0,FALSE
500,1.0,6.615700890004589,2.049121852501662,1.938983067077472,FALSE
1000,2.0,6.7221682530185145,2.0582874258130337,3.404082120126279,FALSE
1500,3.0,6.777065200207848,2.05333144660289,4.7120464597596845,FALSE
2000,4.0,6.645190351006505,2.0366944504167437,6.447780792407499,FALSE
2500,5.0,6.62986740926105,2.0524442353521777,7.752834736993292,FALSE
3000,6.0,6.718117709682849,2.0535171668146797,8.973016390615607,FALSE
3500,7.0,6.626340273725844,2.0380571869666912,10.081314417357067,FALSE
4000,8.0,6.640897966075769,2.0562757194219823,11.254932809410343,FALSE
4500,9.0,6.644064014412188,2.0438551751812857,12.289354271488602,FALSE
5000,10.0,6.606941038789694,2.0623044266889146,12.93763246671506,FALSE
5500,11.0,6.700271488632754,2.0611893902544702,14.118997066354664,FALSE
6000,12.0,6.622102832631946,2.0552862937238774,14.852150377838909,FALSE
6500,13.0,6.6122629246864,2.05712247375459,15.571745720853983,FALSE
7000,14.0,6.699246337910602,2.0579402448600996,16.568611187136785,FALSE
7500,15.0,6.600873215251042,2.062101185335952,16.940633231746137,FALSE
8000,16.0,6.630172222273568,2.048329064504245,18.047209575249912,FALSE
8500,17.0,6.683261071909801,2.0609682696469647,18.816469876501444,FALSE
9000,18.0,6.610432257764452,2.0549023570503118,19.166211802509938,FALSE
9500,19.0,6.6233666279524055,2.0521100701265107,19.991119408551274,FALSE
10000,20.0,6.662763827209506,2.0542341795548564,20.81314069279846,FALSE
10500,21.0,6.569921608263132,2.093932927777292,19.866404235087785,FALSE
11000,22.0,6.719862348766867,2.072256619577861,21.297927409917744,FALSE
11500,23.0,6.6503589962800636,2.050138223521651,22.541775537016957,FALSE
12000,24.0,6.629897834056332,2.036350135113417,22.881740779040943,FALSE
12500,25.0,6.6113942622466455,2.039941495748761,23.23716021416859,FALSE
13000,26.0,6.612326218315076,2.068946461451387,23.77010046635937,FALSE
13500,27.0,6.6126801079398545,2.032579603108249,24.19242246445081,FALSE
14000,28.0,6.627248608528913,2.058506133157808,24.99928020311239,FALSE
14500,29.0,6.69297995709744,2.068340541742994,25.211434372354827,FALSE
15000,30.0,6.674414371254926,2.0602328218377775,25.949446844936897,FALSE
15500,31.0,6.629518148144422,2.051447277419967,26.382443348206117,FALSE
16000,32.0,6.707057243272067,2.046758050123755,26.317914475046685,FALSE
16500,33.0,6.629033404512642,2.05210870770613,27.226458162490385,FALSE
17000,34.0,6.652835172634147,2.067201621080246,27.720424265374255,FALSE
17500,35.0,6.624793364747519,2.0511878872088745,27.990594872318628,FALSE
18000,36.0,6.641161915850452,2.0517834859227237,28.533955061649568,FALSE
18500,37.0,6.652811055536279,2.0487244908018636,28.940739750911202,FALSE
19000,38.0,6.7151009686416945,2.060235810400089,28.477527233314436,FALSE
19500,39.0,6.6355302063950665,2.034759409079587,29.485782438400282,FALSE
20000,40.0,6.626684230346144,2.0474709617008213,29.886675229374934,FALSE
20500,41.0,6.803006450876094,2.0691075297845467,25.61821391785338,FALSE
21000,42.0,6.701960253864753,2.0405083754842632,30.167787805430763,FALSE
21500,43.0,6.649321475934882,2.0595853832391793,31.10604751853888,FALSE
22000,44.0,6.709405688941392,2.0470520540226875,30.703855175547357,FALSE
22500,45.0,6.650501316708998,2.0535732832709974,31.776875115486888,FALSE
23000,46.0,6.642279305942925,2.0581820666207626,32.06080675931062,FALSE
23500,47.0,6.6848733433920575,2.041483459487825,32.11320932781378,FALSE
24000,48.0,6.581395706535354,2.054777553660148,31.444234875749412,FALSE
24500,49.0,6.623420923612556,2.037841574080291,32.693925091853856,FALSE
25000,50.0,6.59375231343453,2.0312313162597415,32.23083348544904,FALSE
25500,51.0,6.577049730689594,2.059054814162811,32.171039950065236,FALSE
26000,52.0,6.591584451079509,2.058081467441476,32.96019290915203,FALSE
26500,53.0,6.65123004769648,2.043263943056094,34.14958311782657,FALSE
27000,54.0,6.6650486008483565,2.0604733083603723,34.422315119522985,FALSE
27500,55.0,6.664978927164056,2.0475801695796547,34.70096684731448,FALSE
28000,56.0,6.914064583295499,2.076090494655401,21.047666587054746,FALSE
28500,57.0,6.766923091322096,2.065933223833321,32.184961800533245,FALSE
29000,58.0,6.513126775319878,2.071203941027577,30.604893474134858,FALSE
29500,59.0,6.466257324435093,2.0515035107890065,27.76769596293635,FALSE
30000,60.0,6.460561175587633,2.0679802896225277,27.674921733032782,FALSE
30500,61.0,6.445526425581244,2.0590863649937656,26.958276721555333,FALSE
31000,62.0,6.454350960936956,2.0591087619483104,28.097034769738986,FALSE
31500,63.0,6.4423390589825615,2.0488318343991154,27.583303726071637,FALSE
32000,64.0,6.442197867289358,2.0708105118717133,27.871043976020268,FALSE
32500,65.0,6.492303387866511,2.0551894364726992,32.13363168881913,FALSE
33000,66.0,6.470746290390996,2.0627300618626396,30.868902557722027,FALSE
33500,67.0,6.455475951982218,2.0647066633002136,30.02683117988477,FALSE
34000,68.0,6.42742898393137,2.0688979115886665,28.0781100041023,FALSE
34500,69.0,6.508174983627876,2.0775819830547997,34.34001472989196,FALSE
35000,70.0,6.509794306447154,2.081771933926639,34.60807590414697,FALSE
35500,71.0,6.584533417206002,2.0863914315547296,38.189848985279994,FALSE
36000,72.0,6.446669413385661,2.0706574912966724,30.8266864263033,FALSE
36500,73.0,6.551075523803551,2.085462347813362,37.58929356460882,FALSE
37000,74.0,6.426025614418768,2.072182881331389,29.696641496920165,FALSE
37500,75.0,6.487527048199124,2.0840475510954044,34.56427852699752,FALSE
38000,76.0,6.478890988001385,2.0733186804999044,34.40652091563175,FALSE
38500,77.0,6.53357277517184,2.1000239741483857,37.3237785941721,FALSE
39000,78.0,6.521363586115777,2.085876174431973,37.37437259655075,FALSE
39500,79.0,6.587044772021031,2.0879609151814464,40.179346096158916,FALSE
40000,80.0,6.441658264683277,2.065589426243269,32.45131362150036,FALSE
40500,81.0,6.489451617436163,2.0498194705899215,36.40629532817242,FALSE
41000,82.0,6.513208725558182,2.070167021241894,38.22004775880052,FALSE
41500,83.0,6.4058613087432965,2.0509548244981937,30.213241844925587,FALSE
42000,84.0,6.5186331910327535,2.0587973062927216,39.16799719179186,FALSE
42500,85.0,6.460203481871029,2.057394042496093,35.4060523046771,FALSE
43000,86.0,6.435472515598723,2.061949720286987,33.616609628378626,FALSE
43500,87.0,6.3681717946237635,2.079641548688752,27.65159838884617,FALSE
44000,88.0,6.218821381262911,2.051068025403161,15.188373790840483,FALSE
44500,89.0,6.182420746100791,2.0386937434049366,13.172054745629932,FALSE
45000,90.0,6.2206295692339575,2.0619070832135504,16.80697116865137,FALSE
45500,91.0,6.252099885990589,2.072621544081563,19.99842412501947,FALSE
46000,92.0,6.199999862383857,2.0484721785205102,16.51274975288144,FALSE
46500,93.0,6.194424603002261,2.0516425291812164,16.888463690987223,FALSE
47000,94.0,6.346571101933418,2.0739589754940146,30.017165823846714,FALSE
47500,95.0,6.2373479021570315,2.061873499623924,21.322818753167084,FALSE
48000,96.0,6.256480738908262,2.072282750857057,23.365733930296958,FALSE
48500,97.0,6.229110926118667,2.064111102167651,21.682847054908294,FALSE
49000,98.0,6.193601613392511,2.048557679414294,19.453761146515873,FALSE
