step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,8.784266921665836,2.3192853391401007,0.0,FALSE
500,1.0,8.772649231786694,2.331843386177621,1.9385247993626344,FALSE
1000,2.0,8.709916905582697,2.3490517491686043,3.568240065445281,FALSE
1500,3.0,8.787682499802639,2.3202786507252497,5.210412797647988,FALSE
2000,4.0,8.730963044688673,2.3389553798914537,6.639830613640321,FALSE
2500,5.0,8.75916371205587,2.329371372053621,7.9640823514533,FALSE
3000,6.0,8.796002794750946,2.3157046190690647,9.035704830546923,FALSE
3500,7.0,8.792998571455428,2.317985574959633,10.158905151505506,FALSE
4000,8.0,8.770506656428338,2.328453774411629,11.381264065709273,FALSE
4500,9.0,8.801038002775398,2.307224348593845,12.107875522382448,FALSE
5000,10.0,8.79669146590903,2.3193688497807723,13.183736391861746,FALSE
5500,11.0,8.80066251217198,2.3103937092817,14.015432711849067,FALSE
6000,12.0,8.73007899679064,2.3395908445640408,15.081944149239911,FALSE
6500,13.0,8.782616108830805,2.329269472527487,15.897336438686366,FALSE
7000,14.0,8.8084225286605,2.3122574592656893,16.380402033251084,FALSE
7500,15.0,8.781900876311367,2.32464857803455,17.44860717346274,FALSE
8000,16.0,8.748887866173973,2.3215959752748243,18.234632253656812,FALSE
8500,17.0,8.79752529439404,2.3178144730736316,18.647013835111878,FALSE
9000,18.0,8.79516484795586,2.3228592663802834,19.355278851600175,FALSE
9500,19.0,8.765195434176784,2.330218175604883,20.22954721623013,FALSE
10000,20.0,8.741425334094412,2.328076564086117,20.832989120722996,FALSE
10500,21.0,8.775334364997148,2.3269095637917268,21.39735540084483,FALSE
11000,22.0,8.797266033843139,2.3148074669687646,21.71729020860603,FALSE
11500,23.0,8.79160395740481,2.317965986926337,22.365368603276423,FALSE
12000,24.0,8.776184757183767,2.3219747520188547,23.06317208274265,FALSE
12500,25.0,8.778859771160192,2.327732281009326,23.57723209313261,FALSE
13000,26.0,8.763980579417112,2.3380313054409076,24.126248704341474,FALSE
13500,27.0,8.790387758104016,2.3157289875250746,24.430262181154806,FALSE
14000,28.0,8.78054163923624,2.3125314668374726,24.983218933554422,FALSE
14500,29.0,8.802814131811733,2.3126978535178098,25.17340555778625,FALSE
15000,30.0,8.815263261645692,2.3018318665842994,25.26245283055449,FALSE
15500,31.0,8.797657049773738,2.3168239499346046,26.19311103857778,FALSE
16000,32.0,8.632310142692068,2.333654641113944,23.754132913469892,FALSE
16500,33.0,8.770843453092994,2.3292032321064853,27.347785996385266,FALSE
17000,34.0,8.793218041985977,2.316890237319837,27.51902028499284,FALSE
17500,35.0,8.763223073080166,2.3251573191672223,28.18491856613195,FALSE
18000,36.0,8.746395379082909,2.328746070782706,28.538161379884457,FALSE
18500,37.0,8.762387979715834,2.321674320144071,28.952316638574025,FALSE
19000,38.0,8.793084453133439,2.3121340860037938,29.018995347372044,FALSE
19500,39.0,8.777136679249265,2.3243599644449717,29.64083300974962,FALSE
20000,40.0,8.801604450232276,2.312336118504005,29.608844303054813,FALSE
20500,41.0,8.772038053386536,2.3254495293668285,30.389803214378993,FALSE
21000,42.0,8.782301085107346,2.3220310879567356,30.64878599729827,FALSE
21500,43.0,8.75814741800017,2.325304615626981,31.104759936374684,FALSE
22000,44.0,8.768911877523266,2.319293143643662,31.403076012902748,FALSE
22500,45.0,8.763777082713192,2.3209898559388344,31.75131717229821,FALSE
23000,46.0,8.770884031950898,2.315627359941041,32.01425991521939,FALSE
23500,47.0,8.76078738567004,2.3252469884496527,32.3966061064095,FALSE
24000,48.0,8.773660423423486,2.320172752495729,32.64946750908477,FALSE
24500,49.0,8.725693110555575,2.333425267263759,32.67048802239706,FALSE
25000,50.0,8.776752241947916,2.3287673116368848,33.239988323866754,FALSE
25500,51.0,8.72451309216297,2.321172293290255,33.247408156766475,FALSE
26000,52.0,8.782159307929973,2.3211701439512344,33.75882975911565,FALSE
26500,53.0,8.648904552929297,2.322873293511616,31.01982018347821,FALSE
27000,54.0,8.780850299570016,2.321578343580727,34.341818423302264,FALSE
27500,55.0,8.796177614967176,2.3137165869241634,34.32866949271325,FALSE
28000,56.0,8.66144686484539,2.3253702494794273,32.45613969279321,FALSE
28500,57.0,8.540195982259943,2.31602968714483,24.495171753188647,FALSE
29000,58.0,8.521954722562679,2.3254538696766534,23.58451160273441,FALSE
29500,59.0,8.522211692373375,2.3329601032996132,24.051607864164694,FALSE
30000,60.0,8.52998398636294,2.3238514579330514,25.15198679593839,FALSE
30500,61.0,8.546495296305167,2.311513879848928,26.855194312227,FALSE
31000,62.0,8.56088183736074,2.3200158753118836,28.450230939548142,FALSE
31500,63.0,8.47493154479843,2.318756600220156,21.735019177398588,FALSE
32000,64.0,8.545534394226745,2.318869079730659,28.110661798236634,FALSE
32500,65.0,8.541686333065636,2.3203664431430897,28.235423893858606,FALSE
33000,66.0,8.524639471675595,2.3308612536896436,27.266336110470625,FALSE
33500,67.0,8.551743188224277,2.316608112331685,29.82738951951035,FALSE
34000,68.0,8.348802275947994,2.315006367223532,14.031282020730307,FALSE
34500,69.0,8.332788777098843,2.3129950171804268,13.823235327843815,FALSE
35000,70.0,8.365775908956127,2.3143546967054234,16.981462331197083,FALSE
35500,71.0,8.306106245556395,2.3149490300045246,13.806086655796216,FALSE
36000,72.0,8.32835777343475,2.330166894879683,16.058563956383782,FALSE
36500,73.0,8.361521303260409,2.312864956112424,19.078744192661695,FALSE
37000,74.0,8.34658186183363,2.3273513002151387,18.85925931316936,FALSE
37500,75.0,8.324506498884805,2.310113723568548,18.09408312403281,FALSE
38000,76.0,8.299104866883843,2.34250929395348,17.065997431855013,FALSE
38500,77.0,8.299720143199835,2.334066005765394,17.855115233916766,FALSE
39000,78.0,8.35190812294214,2.3148137017531796,21.897587408755818,FALSE
39500,79.0,8.338696962527282,2.3158851944931897,21.585428405144878,FALSE
40000,80.0,8.276922856123832,2.3279476358971913,18.191211280499974,FALSE
40500,81.0,8.351043918264928,2.3203078131643986,23.58232357652936,FALSE
41000,82.0,8.333466484040892,2.3119418732285224,22.89153547679275,FALSE
41500,83.0,8.355191743783859,2.3212946720979852,24.878745871032685,FALSE
42000,84.0,8.237093591923902,2.334145162518198,17.742696215159203,FALSE
42500,85.0,8.308625394114548,2.3139375628078955,22.83755354229396,FALSE
43000,86.0,8.357819461606335,2.314825754700092,26.570079444664927,FALSE
43500,87.0,8.330627710232443,2.3196899536349664,25.215606006492283,FALSE
44000,88.0,8.312804063485501,2.3163451372613975,24.494995022611672,FALSE
44500,89.0,8.284289987726408,2.310091378445622,23.06992311027001,FALSE
45000,90.0,8.35727431593259,2.3146148029473417,28.335229103728317,FALSE
45500,91.0,8.30390834467564,2.32774315603191,25.224756240874374,FALSE
46000,92.0,8.29355266949499,2.319172757468583,25.10560947810679,FALSE
46500,93.0,8.331023132363997,2.318030829829714,27.96850456253072,FALSE
47000,94.0,8.363113340926834,2.321517930740489,30.44885121821521,FALSE
47500,95.0,8.366402259655857,2.3090767456599433,30.94391099211075,FALSE
48000,96.0,8.331285758446786,2.319172767694334,29.09497023533072,FALSE
48500,97.0,8.36014168823851,2.321770349294567,31.377353583139744,FALSE
49000,98.0,8.316432282150291,2.3211508934708567,28.888470950086305,FALSE
49500,99.0,8.370964755496093,2.3186214649622228,32.76364541865247,FALSE
50000,100.0,8.342191961131485,2.313511846634015,31.22605214190627,FALSE
50500,101.0,8.31084560749227,2.31998162943857,29.510550588062436,FALSE
51000,102.0,8.366068050582538,2.3209836968787223,33.44615397468776,FALSE
51500,103.0,8.36750761185194,2.316170670477738,33.84426969160741,FALSE
52000,104.0,8.278846458994675,2.3331244270949245,28.227708230618724,FALSE
52500,105.0,8.320958050918733,2.328587015862839,31.474376261066848,FALSE
53000,106.0,8.373355863343653,2.31217616677464,35.1093872708607,FALSE
53500,107.0,8.352256142902448,2.311913363542837,34.072670533871985,FALSE
54000,108.0,8.311135093168124,2.3123509747029787,31.67253674305509,FALSE
54500,109.0,8.338748656708816,2.3203242081723925,33.83667718357942,FALSE
55000,110.0,8.323973637700261,2.327210235819082,33.144274907941444,FALSE
55500,111.0,8.323126891723058,2.3255318307621593,33.40226398035155,FALSE
56000,112.0,8.325976263495322,2.324964765505558,33.89016784313019,FALSE
56500,113.0,8.313728343181161,2.334095086150133,33.290085684842246,FALSE
57000,114.0,8.333797377791191,2.3305623455853177,34.94070206839923,FALSE
57500,115.0,8.353009601137348,2.317107465860359,36.460394407693535,FALSE
58000,116.0,8.35617926124567,2.311836412619594,36.86696731292501,FALSE
58500,117.0,8.339581520550038,2.3138670701620985,36.07550744381718,FALSE
59000,118.0,8.32535675717455,2.3313077629588252,35.38993321270337,FALSE
59500,119.0,8.335508651034601,2.3307024619941337,36.29507962751871,FALSE
60000,120.0,8.348857194556539,2.312624166471725,37.382393031902055,FALSE
60500,121.0,8.307192850897394,2.3327780806145886,34.86041950974204,FALSE
61000,122.0,8.36367223746918,2.319110528873764,38.82522443235357,FALSE
61500,123.0,8.334012843897762,2.3298695407462304,37.172783513959565,FALSE
62000,124.0,8.288870470436622,2.319092578649626,34.31416613104299,FALSE
62500,125.0,8.351765189402858,2.3092136305018993,38.735879951897374,FALSE
63000,126.0,8.308753294737338,2.3288837649936287,36.182573116558075,FALSE
63500,127.0,8.304514660881598,2.3200658281352258,36.120072041198874,FALSE
64000,128.0,8.338413499264615,2.3244453172689186,38.63954742674269,FALSE
64500,129.0,8.369099909457757,2.3108994105856335,40.670961270334054,FALSE
65000,130.0,8.323449913939303,2.328103162044591,38.07017044844913,FALSE
65500,131.0,8.327045329955958,2.315986342567761,38.51041854766194,FALSE
66000,132.0,8.344372788759223,2.3250712152404147,39.870226791396895,FALSE
66500,133.0,8.3635049318055,2.3019987814359073,41.0285584156972,FALSE
67000,134.0,8.329010978338658,2.3265035592094305,39.266361565473034,FALSE
67500,135.0,8.360960554539675,2.30362659108399,41.30674134653381,FALSE
68000,136.0,8.376103851625132,2.311923673317306,42.492725958015114,FALSE
68500,137.0,8.32457554088026,2.3116308303619437,39.476397443768086,FALSE
69000,138.0,8.336959157471187,2.3127893109221263,40.5130588566181,FALSE
69500,139.0,8.347380733743663,2.3066644035730226,41.30347407149202,FALSE
70000,140.0,8.331827412437026,2.3295828089478365,40.58601469116667,FALSE
70500,141.0,8.378972989992246,2.301730275519474,43.41506200254764,FALSE
71000,142.0,8.35973644535791,2.307448761828441,42.606432712891944,FALSE
71500,143.0,8.335958583593007,2.3178790030644714,41.40505575254458,FALSE
72000,144.0,8.364116776682199,2.3276355063578027,43.32556186527604,FALSE
72500,145.0,8.304727870867575,2.313888721181635,39.59170871781164,FALSE
73000,146.0,8.325633109970704,2.304794357993533,41.13081675932785,FALSE
73500,147.0,8.328016729750075,2.3259010625328864,41.61666959516754,FALSE
74000,148.0,8.340550062795078,2.3162673329288146,42.605199133982495,FALSE
74500,149.0,8.184992942565009,2.3131306899286423,30.28535717885867,FALSE
75000,150.0,8.328118398346813,2.3277224733135613,42.216861437236524,FALSE
75500,151.0,8.33242415807539,2.32245746301617,42.68926622531357,FALSE
76000,152.0,8.345624877554524,2.3161682047149075,43.67900353806375,FALSE
76500,153.0,8.345280058511598,2.313487995949666,43.79888909458488,FALSE
77000,154.0,8.33575286341404,2.321954776546865,43.386523229654166,FALSE
77500,155.0,8.272375845939969,2.332293466905813,38.89624956156405,FALSE
78000,156.0,8.31540292757098,2.3267007414738066,42.37366401370159,FALSE
78500,157.0,8.308430851846829,2.319614449218318,42.058235719117896,FALSE
79000,158.0,8.319532744093017,2.319109357713387,43.02194719161527,FALSE
79500,159.0,8.313633416768184,2.3206841861708956,42.84410718654312,FALSE
80000,160.0,8.377105414666119,2.3084297517053067,46.791117487977715,FALSE
80500,161.0,8.376926492848234,2.3127144348138686,46.98134729653711,FALSE
81000,162.0,8.296351936212407,2.3356580008059296,41.928942078385475,FALSE
81500,163.0,8.296511022764292,2.344399721749216,41.942010973028275,FALSE
82000,164.0,8.349900554664027,2.3101046827923137,45.90632970334863,FALSE
82500,165.0,8.346648941290919,2.317528417530458,45.9183490816215,FALSE
83000,166.0,8.336494655713194,2.309243506950797,45.34894301279138,FALSE
83500,167.0,8.320002808756353,2.3313113015147895,44.479170597774406,FALSE
84000,168.0,8.319579300207701,2.3160362009269626,44.63417118498725,FALSE
84500,169.0,8.376409826650052,2.2974790537230096,47.85220549931361,FALSE
85000,170.0,8.35800048511938,2.3221109150331767,47.35062103176632,FALSE
85500,171.0,8.350257789396121,2.304408921067115,46.84671964411012,FALSE
86000,172.0,8.363277438605227,2.313233719114437,47.864255661701904,FALSE
