step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,8.758012740283542,2.325039631408087,0.0,FALSE
500,1.0,8.765068830051645,2.3386762561376147,1.941579786327255,FALSE
1000,2.0,8.781620469444917,2.3231216341136975,3.679143213356245,FALSE
1500,3.0,8.641325690500604,2.3364884147995983,4.7781127982512075,FALSE
2000,4.0,8.74313589802779,2.3256285441772326,6.647860221363327,FALSE
2500,5.0,8.721300852786584,2.3326749708212677,7.926017435666723,FALSE
3000,6.0,8.775371554724146,2.32227328947836,9.046450218607319,FALSE
3500,7.0,8.736436327614971,2.3378194588487573,10.324583985010522,FALSE
4000,8.0,8.737466382727257,2.338466864161089,11.408416064646046,FALSE
4500,9.0,8.762999873224576,2.332950297517583,12.347920312440536,FALSE
5000,10.0,8.771952322927792,2.3373668480790784,13.255032284946841,FALSE
5500,11.0,8.691475886697273,2.3585898475644447,13.978261047636243,FALSE
6000,12.0,8.77756230576119,2.3259519035772653,14.952253748892613,FALSE
6500,13.0,8.780861747215434,2.3310530855986604,15.769589009014318,FALSE
7000,14.0,8.793327474138184,2.317766064573489,16.381179192678296,FALSE
7500,15.0,8.785816995748432,2.3179297617839794,17.226574363834995,FALSE
8000,16.0,8.677967212951161,2.3389163432312894,17.666592607969324,FALSE
8500,17.0,8.752042154738486,2.337386916018273,18.916393337369136,FALSE
9000,18.0,8.56340720442988,2.3594454940813856,15.350164801289335,FALSE
9500,19.0,8.755773631767672,2.3320871745492466,20.190118793912134,FALSE
10000,20.0,8.725712995116591,2.3282993511444987,20.81746477251933,FALSE
10500,21.0,8.643704803888307,2.3563368041607067,19.964988501706404,FALSE
11000,22.0,8.652297111748144,2.3504254425068396,20.84709673546242,FALSE
11500,23.0,8.530969637957716,2.334419747994824,16.82859738127075,FALSE
12000,24.0,8.541791674613055,2.348372462419143,18.038214098950252,FALSE
12500,25.0,8.54877466213601,2.331781789083618,19.085221617203455,FALSE
13000,26.0,8.425381647708088,2.342059147804681,13.50075014030127,FALSE
13500,27.0,8.323829314315462,2.340011849589191,9.159773003462657,FALSE
14000,28.0,8.523435788039373,2.323943228552094,19.90243599664452,FALSE
14500,29.0,8.374270518846862,2.346317014052758,12.89391285024226,FALSE
15000,30.0,8.5050989322999,2.331437919857334,20.46513634129498,FALSE
15500,31.0,8.583992238765846,2.345095261067881,24.41338254018003,FALSE
16000,32.0,8.681974302322269,2.3477113539218246,26.834736212558557,FALSE
