step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,6.5459447887584705,1.8974880280624755,0.0,FALSE
500,1.0,6.537685079959215,1.9007736295881505,1.9006392162632548,FALSE
1000,2.0,6.461686446279732,1.8858246861669328,3.633940804264176,FALSE
1500,3.0,6.544881350464239,1.9017822048741273,5.162489852164136,FALSE
2000,4.0,6.5648545262758855,1.8989395472775386,6.521458288102383,FALSE
2500,5.0,6.56180943389054,1.896195186084492,7.8686954128791315,FALSE
3000,6.0,6.461077929951259,1.8924204085148326,9.057161477753455,FALSE
3500,7.0,6.459498664845576,1.8886949511317541,10.17946129020435,FALSE
4000,8.0,6.506480342915258,1.8990910645002832,11.446575326761906,FALSE
4500,9.0,6.488998085455677,1.8897551154921959,12.41550333121863,FALSE
5000,10.0,6.503318471810023,1.8901879850183771,13.416025680317645,FALSE
5500,11.0,6.4846554315892355,1.8897125907795442,14.267171396826615,FALSE
6000,12.0,6.483813286361059,1.890274121691799,15.128884237024478,FALSE
6500,13.0,6.521320984586414,1.8978253808580294,15.997373886041233,FALSE
7000,14.0,6.550751263855978,1.8995527242979469,16.560307848867215,FALSE
7500,15.0,6.484463203371835,1.8907842450537624,17.47952267834581,FALSE
8000,16.0,6.485053140623345,1.8877212447172305,18.19108651019501,FALSE
8500,17.0,6.502261991462411,1.896999963526158,18.95904915426424,FALSE
9000,18.0,6.48492150298737,1.8926369575637556,19.543288728642057,FALSE
9500,19.0,6.511113483944504,1.8914331343439847,20.263123409615734,FALSE
10000,20.0,6.512111058393172,1.8894702760359303,20.87333582351119,FALSE
10500,21.0,6.495941733446905,1.8923673071837404,21.453425877650442,FALSE
11000,22.0,6.464471911741761,1.887485012101787,21.73533279453069,FALSE
11500,23.0,6.483233189512861,1.893488409046725,22.521633426273024,FALSE
12000,24.0,6.491172653384423,1.8946719416371667,23.112173274133692,FALSE
12500,25.0,6.490437761924425,1.8971041308067658,23.6311604223676,FALSE
13000,26.0,6.4562050305880145,1.8919482590610737,23.74308118671564,FALSE
13500,27.0,6.487494112624092,1.894725645483701,24.633241565176924,FALSE
14000,28.0,6.43522659091619,1.8889669631542152,24.26593089108935,FALSE
14500,29.0,6.418790987309613,1.8827691484511808,24.233821187603247,FALSE
15000,30.0,6.452192587589201,1.8887598739318587,25.596583362095544,FALSE
15500,31.0,6.505371140532687,1.8958606424575832,26.532600173881868,FALSE
16000,32.0,6.489442040809187,1.892790402521747,26.937219186136875,FALSE
16500,33.0,6.495038676313257,1.8941309693022088,27.381797299463138,FALSE
17000,34.0,6.45963894987195,1.8876830909290185,27.41377456442279,FALSE
17500,35.0,6.429544939870791,1.8810631972253422,27.056264997880447,FALSE
18000,36.0,6.451949241315412,1.885855384200864,28.06800278633906,FALSE
18500,37.0,6.503654170273059,1.897554750395285,28.98041039020533,FALSE
19000,38.0,6.4330053912272565,1.8849020857984558,28.348624826169978,FALSE
19500,39.0,6.458027168163165,1.8872598883929697,29.35054244277045,FALSE
20000,40.0,6.47222822292917,1.8898488116477914,29.938132581044695,FALSE
20500,41.0,6.484646503139752,1.890610501757595,30.414756090540628,FALSE
21000,42.0,6.452671020658576,1.8848075537673992,30.30663099776369,FALSE
21500,43.0,6.401081471814479,1.8815636329414063,28.971003973733822,FALSE
22000,44.0,6.441046947760271,1.8870648692859773,30.75056075960956,FALSE
22500,45.0,6.441469575680417,1.8835665588268968,31.073005169444084,FALSE
23000,46.0,6.439894860282854,1.886025207152394,31.368246399497785,FALSE
23500,47.0,6.447241929539954,1.883722235262838,31.86419580127731,FALSE
24000,48.0,6.423440831466207,1.8841805782911167,31.495462735856574,FALSE
24500,49.0,6.41733203456404,1.884385034358481,31.597689163535865,FALSE
25000,50.0,6.500207736605826,1.8931136500606114,33.36281540517512,FALSE
25500,51.0,6.4686669051093375,1.8891065092166683,33.50792080774298,FALSE
26000,52.0,6.41228528813828,1.8802277790685231,32.24700033627342,FALSE
26500,53.0,6.44023801032784,1.8877539778914243,33.53190622255518,FALSE
27000,54.0,6.468063308157503,1.8795096814243364,34.3175714377486,FALSE
27500,55.0,6.417888449578606,1.8775013539812049,33.304512909093965,FALSE
28000,56.0,6.425346651776375,1.8826359920639257,33.905454586204044,FALSE
28500,57.0,6.417444902606084,1.879409038133577,33.86609411676502,FALSE
29000,58.0,6.402331816779531,1.877288869976439,33.49578333599978,FALSE
29500,59.0,6.458857792172914,1.8874560711687427,35.62147136717573,FALSE
30000,60.0,6.417082720944852,1.8821845922643152,34.69114509401184,FALSE
30500,61.0,6.433756857251307,1.8861552963302899,35.552233920603165,FALSE
31000,62.0,6.390765871652944,1.8744006921408085,33.93870680374664,FALSE
31500,63.0,6.416406841090847,1.8751994990748635,35.379202849941095,FALSE
32000,64.0,6.411529668510901,1.879105529476315,35.48582843901124,FALSE
32500,65.0,6.427130188473146,1.8855604201374305,36.38488750306873,FALSE
33000,66.0,6.449113597274964,1.8840744604222162,37.22066620870773,FALSE
33500,67.0,6.41915871529588,1.8758226079826903,36.493934492830796,FALSE
34000,68.0,6.420905582747375,1.8769020608504963,36.827538757235466,FALSE
34500,69.0,6.446779081109631,1.8841148788910955,37.88835622843343,FALSE
35000,70.0,6.472615023100698,1.8835490130872998,38.50312053036513,FALSE
35500,71.0,6.465431807446857,1.87947240030332,38.61907317386722,FALSE
36000,72.0,6.393838259297199,1.8782211547278982,36.572393801773046,FALSE
36500,73.0,6.425277863060778,1.8781985899694456,38.15339070127954,FALSE
37000,74.0,6.477407977307626,1.8873057429117404,39.43551958901337,FALSE
37500,75.0,6.470952606363894,1.8886105104779685,39.61244393877296,FALSE
38000,76.0,6.42135296537536,1.8825312716208367,38.68127767449839,FALSE
38500,77.0,6.447099431658098,1.8776775093120557,39.59555962373612,FALSE
39000,78.0,6.458380509877642,1.88716928978948,40.079886775336256,FALSE
39500,79.0,6.477306258226749,1.888197491262641,40.45534387467826,FALSE
40000,80.0,6.4650362237602685,1.8804877087884524,40.518290875970266,FALSE
40500,81.0,6.451227306414341,1.8793418955262715,40.498839585391615,FALSE
41000,82.0,6.348377276072611,1.8701953264115905,35.64681706081936,FALSE
41500,83.0,6.410275285799623,1.8824121331646264,39.67848108648076,FALSE
42000,84.0,6.452941561370853,1.8870542095945788,41.22046953752225,FALSE
42500,85.0,6.413764313510017,1.8789897563945377,40.19176072950181,FALSE
43000,86.0,6.411605647695771,1.8672218391537405,40.1004251163696,FALSE
43500,87.0,6.442080949526719,1.8834480063928418,41.544464085686066,FALSE
44000,88.0,6.397850597478364,1.8762909136869754,39.9959879506682,FALSE
44500,89.0,6.396586508572433,1.8825847444989612,40.18056563520456,FALSE
45000,90.0,6.425580806172651,1.8896361029073072,41.64697837953756,FALSE
45500,91.0,6.411299870939073,1.8754048303335489,41.17160506913206,FALSE
46000,92.0,6.380141977028709,1.8704507628703428,39.66882162281924,FALSE
46500,93.0,6.404064734218404,1.8771038633262456,41.24086656656383,FALSE
47000,94.0,6.40018073587038,1.8762298785877674,41.22192214024157,FALSE
47500,95.0,6.417667544561553,1.878065103360831,42.198211224867755,FALSE
48000,96.0,6.453319982547317,1.8867625946867392,43.43204752161407,FALSE
48500,97.0,6.4296862621803825,1.884157372828239,43.025061934601354,FALSE
49000,98.0,6.436488001063434,1.8771860445295752,43.33340300893049,FALSE
49500,99.0,6.471360651972997,1.894148040264533,44.1114758634161,FALSE
50000,100.0,6.460499737211025,1.880155361174833,44.15004102351588,FALSE
50500,101.0,6.438141260566484,1.8835649472322935,43.926778481060715,FALSE
51000,102.0,6.417437343419695,1.8802753005931798,43.39067193490572,FALSE
51500,103.0,6.385596040197892,1.8735722225919127,41.90493314052518,FALSE
52000,104.0,6.427210574175284,1.8826126912333239,44.092015662082304,FALSE
52500,105.0,6.424600530169942,1.8800489077521778,44.141433047921126,FALSE
53000,106.0,6.438676259692793,1.8828219727504174,44.74007483734483,FALSE
53500,107.0,6.415583599942225,1.8742678035478706,44.03852202085555,FALSE
54000,108.0,6.447623976748784,1.8806002052129562,45.24900764477355,FALSE
54500,109.0,6.414768315182545,1.8856774140211199,44.439795564097885,FALSE
55000,110.0,6.4319044507478065,1.8862499392317371,45.202684910853556,FALSE
55500,111.0,6.3843941921372425,1.878051843761487,43.14552362654571,FALSE
56000,112.0,6.4251931265390985,1.8822298565250208,45.27505745949814,FALSE
56500,113.0,6.4094790176499385,1.8776458609092765,44.75666784327234,FALSE
57000,114.0,6.398424542252234,1.8770557850145366,44.371192568555614,FALSE
57500,115.0,6.4130768583409425,1.8802988703549883,45.243191917424504,FALSE
58000,116.0,6.403315000075417,1.8790776629852888,44.93856412354514,FALSE
58500,117.0,6.379486949005155,1.8757170569302275,43.713621382296196,FALSE
59000,118.0,6.419185797580191,1.8746041978778814,45.87214667457683,FALSE
59500,119.0,6.421356140676705,1.8811873040118998,46.18011667989475,FALSE
60000,120.0,6.375222006070899,1.8801135214070506,43.96132798952567,FALSE
60500,121.0,6.4164235679435615,1.8785991543310807,46.277050225003016,FALSE
61000,122.0,6.389439530936384,1.875400234630236,45.07143946672388,FALSE
61500,123.0,6.380698826741036,1.8776082050137175,44.73601028328988,FALSE
62000,124.0,6.342512971555722,1.8742624836056563,42.049843703964115,FALSE
62500,125.0,6.32878432636384,1.8670628210001197,40.91260398465545,FALSE
63000,126.0,6.381566246933242,1.8739346145235605,45.2399255557337,FALSE
63500,127.0,6.430159411242716,1.876882224026445,47.6441915877346,FALSE
64000,128.0,6.417037660367646,1.8796203349131322,47.358011301648126,FALSE
64500,129.0,6.387106532363022,1.8812869061481932,46.04101413991828,FALSE
65000,130.0,6.385088986000063,1.8726212156287763,45.948143870615745,FALSE
65500,131.0,6.409466921717215,1.8870338571206724,47.49966006552701,FALSE
66000,132.0,6.404018678910445,1.882691623222633,47.37247258437739,FALSE
66500,133.0,6.388066872041192,1.8860630376844383,46.6775217293895,FALSE
67000,134.0,6.417143885567149,1.8780030236154208,48.15286576603208,FALSE
67500,135.0,6.430841798508734,1.8783348900697125,48.735070505288945,FALSE
68000,136.0,6.410504424005882,1.8837176299102862,48.1764306197458,FALSE
68500,137.0,6.401290368113252,1.883612409810591,47.869144907755505,FALSE
69000,138.0,6.393690749167407,1.8759422749175974,47.521196142083454,FALSE
69500,139.0,6.401295261573399,1.8803132553034954,48.0987120023872,FALSE
70000,140.0,6.422546239982756,1.8837972145847115,49.135278520662865,FALSE
70500,141.0,6.413064422830003,1.8854741010433802,48.89910799474277,FALSE
71000,142.0,6.3965447015906856,1.8689044342425198,48.03735925327072,FALSE
71500,143.0,6.4060777082029885,1.88669225506119,48.84425356462845,FALSE
72000,144.0,6.424594323147513,1.8806916493065697,49.6645267806465,FALSE
72500,145.0,6.404152038083945,1.8857202070159085,48.9893081004259,FALSE
73000,146.0,6.399056645148243,1.873303984309214,48.737228898673564,FALSE
73500,147.0,6.388619126252079,1.8775024942494145,48.35340839370775,FALSE
74000,148.0,6.433446367587846,1.880763610503998,50.40246435557144,FALSE
74500,149.0,6.42074538847985,1.8830639613450753,50.140052892537724,FALSE
75000,150.0,6.430890337560012,1.8822391402190886,50.571486795935996,FALSE
