step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,8.829059348197026,2.325223757509212,0.0,FALSE
500,1.0,8.812338440402812,2.321991586016339,1.9413606496447071,FALSE
1000,2.0,8.807841159600876,2.3223641721837947,3.684331222344787,FALSE
1500,3.0,8.825470943484646,2.3176128584884355,5.24291409426115,FALSE
2000,4.0,8.809489928974664,2.3227425136613826,6.703713282332815,FALSE
2500,5.0,8.779497248583429,2.316744613055718,7.9945189366045195,FALSE
3000,6.0,8.79481987928532,2.3235083371009457,9.263366252308835,FALSE
3500,7.0,8.806646536823974,2.3161669181806257,10.412852900238416,FALSE
4000,8.0,8.826431737701604,2.3230779062529123,11.443816017211484,FALSE
4500,9.0,8.73963144830507,2.324341315948147,12.144353460285119,FALSE
5000,10.0,8.772335545566268,2.3266021207955485,13.392145883511727,FALSE
5500,11.0,8.785453385628276,2.3303900116295524,14.344819310484619,FALSE
6000,12.0,8.79307528939722,2.33048930347434,15.22104816749375,FALSE
6500,13.0,8.829609991920323,2.329174051599423,15.907359735900371,FALSE
7000,14.0,8.75890521827128,2.3275175419090117,16.649235949795695,FALSE
7500,15.0,8.761402194221876,2.32501131378539,17.43241345367219,FALSE
8000,16.0,8.749929910458926,2.3239329037823073,18.034847815659006,FALSE
8500,17.0,8.743261131313549,2.320933513770225,18.63843100663241,FALSE
9000,18.0,8.714749621627053,2.3296606698047424,18.802283129341276,FALSE
9500,19.0,8.697071527540194,2.3218174240519254,19.039834769544214,FALSE
10000,20.0,8.7753609888798,2.3261115763070714,20.894450038252344,FALSE
10500,21.0,8.748245794255801,2.3265492135620898,21.28146478984619,FALSE
11000,22.0,8.668715222751784,2.3331412383707875,19.97280656173667,FALSE
11500,23.0,8.699213543172666,2.3259783578560804,21.55803024082184,FALSE
12000,24.0,8.652400031929437,2.3293046831028934,20.587159087982474,FALSE
12500,25.0,8.684545588820479,2.32747621159038,22.300450997967392,FALSE
13000,26.0,8.648494788180015,2.3263871646894785,21.583219053816183,FALSE
13500,27.0,8.706749568647204,2.331114832621725,24.01362517807471,FALSE
14000,28.0,8.684717396804256,2.3226562173152514,23.988561650528126,FALSE
14500,29.0,8.70028849603807,2.322665648772256,24.901574973924898,FALSE
15000,30.0,8.677873836341156,2.325945224268477,24.749468399745748,FALSE
15500,31.0,8.666532783987927,2.3261101804368742,24.846627528187593,FALSE
16000,32.0,8.636909743233469,2.330220923863045,24.138871117236334,FALSE
16500,33.0,8.61324543597798,2.3232147642103795,23.496193959310965,FALSE
17000,34.0,8.68987039251758,2.3325967959108858,27.00022702500741,FALSE
17500,35.0,8.61459167767921,2.32092675477881,24.47482622249334,FALSE
18000,36.0,8.65681018182451,2.3358022960766394,26.78342053309268,FALSE
18500,37.0,8.668172630610426,2.329241765635331,27.642046025836546,FALSE
19000,38.0,8.682436867870846,2.3302938371679573,28.4924348909526,FALSE
19500,39.0,8.694083504317181,2.3256703394442715,29.20644342417329,FALSE
20000,40.0,8.673646628553227,2.3332058109026748,28.982446627336383,FALSE
20500,41.0,8.661443365544788,2.3231691319006327,28.944369012264684,FALSE
21000,42.0,8.680539875282735,2.325839775569017,29.96833008813802,FALSE
21500,43.0,8.677479250564295,2.325373815173787,30.226230879469156,FALSE
22000,44.0,8.702919529954347,2.3317489506530857,31.201267415416687,FALSE
22500,45.0,8.631374920598754,2.323898419754897,29.06276313885447,FALSE
