step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,9.036479374411963,2.4356583798537397,0.0,FALSE
500,1.0,9.040363796441245,2.4290263825671077,1.9439467226551854,FALSE
1000,2.0,9.055446290930686,2.4242269712364237,3.6794965735439944,FALSE
1500,3.0,9.068728742282362,2.4215596770774575,5.233908853467113,FALSE
2000,4.0,9.03684838821844,2.4345564326389733,6.700051780378663,FALSE
2500,5.0,9.018194549936178,2.4399474051274517,7.993955482644912,FALSE
3000,6.0,9.036995641861221,2.4376644616197467,9.262562286779502,FALSE
3500,7.0,9.03384541287139,2.435260502126465,10.41762573245304,FALSE
4000,8.0,9.007396407418073,2.4328455860260982,11.425450166559475,FALSE
4500,9.0,9.048128065809792,2.4304258123661664,12.50032757662149,FALSE
5000,10.0,9.019817250320742,2.4292734377989547,13.446491662422595,FALSE
5500,11.0,9.070068057567884,2.4231021816915073,14.245603595397043,FALSE
6000,12.0,9.05089507324076,2.4338702166886876,15.219134210018495,FALSE
6500,13.0,9.008382394102368,2.432343876863081,15.951278325003498,FALSE
7000,14.0,9.041661550645465,2.4258675174913056,16.838326051693528,FALSE
7500,15.0,9.044753146647826,2.427247291534929,17.586027452109505,FALSE
8000,16.0,9.062337719954744,2.424692159765735,18.22769716729958,FALSE
8500,17.0,9.04896407542032,2.432166388367266,18.98707036652605,FALSE
9000,18.0,9.034212361446405,2.4354079800334163,19.65156393991997,FALSE
9500,19.0,9.009421202365296,2.4423384689882965,20.1217669685729,FALSE
10000,20.0,9.075012967199537,2.4203280247704333,20.68459506506803,FALSE
10500,21.0,9.05717940183003,2.4276189465525775,21.4592722942678,FALSE
11000,22.0,9.039846270270637,2.431411687102463,22.084938602078537,FALSE
11500,23.0,9.033221289274167,2.425127342571363,22.624940911826556,FALSE
12000,24.0,9.032937296459044,2.4299337571899984,23.17010923013222,FALSE
12500,25.0,9.048942903924715,2.4247491589894548,23.675770638008636,FALSE
13000,26.0,8.98924904343292,2.429112810299806,23.728225453300414,FALSE
13500,27.0,9.002745021840063,2.4241550586086364,24.43876855586615,FALSE
14000,28.0,8.980844448443609,2.4308351196465585,24.55762970201913,FALSE
14500,29.0,9.005073449528718,2.431627665167941,25.45209441577892,FALSE
15000,30.0,8.997290646441432,2.426899874111676,25.79766412143833,FALSE
15500,31.0,8.977756599602927,2.432219004484008,25.874386263277614,FALSE
16000,32.0,8.999387259747168,2.4245031635597583,26.720033549801904,FALSE
16500,33.0,8.997699253655131,2.4262313766957107,27.1285455881064,FALSE
17000,34.0,8.95109592520112,2.4210160474303573,26.37365464339619,FALSE
17500,35.0,8.921509624686818,2.428231243208834,25.673116386737263,FALSE
18000,36.0,8.947022807585093,2.4232276441718854,27.09474683804258,FALSE
18500,37.0,8.945133579358465,2.4227950116813415,27.418338074045952,FALSE
19000,38.0,8.997462922183455,2.4275764648475455,29.181193388422876,FALSE
19500,39.0,8.98945656345664,2.4320048293859498,29.42271781926588,FALSE
20000,40.0,9.003105631707008,2.4196259667919144,29.952337137567312,FALSE
20500,41.0,8.979452289633494,2.4296533637604933,29.939678468227,FALSE
21000,42.0,8.965589987026014,2.4182578676876947,29.886698711917067,FALSE
21500,43.0,9.000549460557833,2.4222951981516254,31.000385944827965,FALSE
22000,44.0,8.960393392659388,2.4302528093702294,30.483542330573908,FALSE
22500,45.0,8.986268217133894,2.428323239177865,31.479526568512988,FALSE
23000,46.0,9.00728074339471,2.424567159672224,32.0882675413333,FALSE
23500,47.0,8.989300408439828,2.4270076209828817,32.173143072895094,FALSE
24000,48.0,8.967332008207396,2.4312742854811162,31.986332385592902,FALSE
24500,49.0,8.989234421272325,2.43071341771308,32.804960226889065,FALSE
25000,50.0,8.99337307274761,2.4272810551333452,33.17304586082391,FALSE
25500,51.0,8.990587327622764,2.42715613827251,33.420333039109615,FALSE
26000,52.0,8.991909558641574,2.4327698207785007,33.73092501711808,FALSE
26500,53.0,9.011508841237259,2.418988781729041,34.19089822921368,FALSE
27000,54.0,8.990727837307231,2.431295500201283,34.280920909042436,FALSE
27500,55.0,8.98160724371744,2.427846165674394,34.38000618637083,FALSE
28000,56.0,9.013750147913175,2.4208413195900955,35.04134132170021,FALSE
28500,57.0,8.974222351602766,2.4304988033490105,34.742547395236656,FALSE
29000,58.0,8.956664407177925,2.423290622350818,34.46563796318856,FALSE
29500,59.0,8.96710810481981,2.4253042941268417,35.074164712228864,FALSE
30000,60.0,8.943570100095222,2.4304790939754306,34.5131137123998,FALSE
30500,61.0,8.952506133814836,2.4205281555531717,35.10797893436187,FALSE
31000,62.0,8.9565980172101,2.4261338032339266,35.552658417551854,FALSE
31500,63.0,8.93801790004966,2.4265159773215315,35.09301296253069,FALSE
32000,64.0,8.929828930000856,2.42968255380213,34.98054276012534,FALSE
32500,65.0,8.908204044802151,2.4372165070487553,34.08003111866433,FALSE
33000,66.0,8.950401247763812,2.4292233980954423,36.38680217922982,FALSE
33500,67.0,8.955562252624759,2.4187342374528287,36.768584712466634,FALSE
34000,68.0,8.899561272635072,2.435168212448745,34.308393022421555,FALSE
34500,69.0,8.934149599858308,2.426782677347994,36.449280384606766,FALSE
35000,70.0,8.942881221423068,2.423038575856078,37.05876999793069,FALSE
35500,71.0,8.952229459270589,2.425876891951375,37.66898546958795,FALSE
36000,72.0,8.946670060272066,2.4239136142289373,37.67736552192091,FALSE
36500,73.0,8.936088633203711,2.4253821627400782,37.476128946833434,FALSE
37000,74.0,8.938282525506974,2.426736665599907,37.80109505505283,FALSE
37500,75.0,8.927787947850366,2.428526105011134,37.53216778053026,FALSE
38000,76.0,8.950324013821259,2.4262995979907696,38.72792611398858,FALSE
38500,77.0,8.932870661824666,2.4264930367517628,38.20661087895988,FALSE
39000,78.0,8.937662035463335,2.4247840666138947,38.64063400130174,FALSE
39500,79.0,8.913577683664526,2.426066262749033,37.64208637933868,FALSE
40000,80.0,8.950252328958861,2.4342067303766544,39.57876486600755,FALSE
40500,81.0,9.011946291404337,2.4234989981182506,40.91653934249137,FALSE
41000,82.0,8.997536058305782,2.4325452819788276,41.05805852562329,FALSE
41500,83.0,9.018538068929429,2.4263175753845467,41.28532578875181,FALSE
42000,84.0,8.990352012495544,2.4313993571764865,41.356875625260805,FALSE
42500,85.0,9.012416715264145,2.4274510144913024,41.67662023719808,FALSE
43000,86.0,9.021063812994527,2.4291183492006634,41.82633638705566,FALSE
43500,87.0,9.008013700601696,2.4281815837145264,42.03490794964387,FALSE
44000,88.0,8.989220811682532,2.4346938386108583,42.044917142718006,FALSE
44500,89.0,9.010691389873337,2.424027066775819,42.379073424013406,FALSE
45000,90.0,8.996270317666529,2.425000856883959,42.48650148196772,FALSE
45500,91.0,8.986546933705382,2.4352604648034464,42.52016291351094,FALSE
46000,92.0,9.021620586905192,2.4315602375259577,42.86892624203183,FALSE
46500,93.0,9.047895199629115,2.4281953200933186,42.629033561398415,FALSE
47000,94.0,9.012813662536669,2.423891750707344,43.2307413459156,FALSE
47500,95.0,9.031384234422642,2.4272364663120714,43.27522690588844,FALSE
48000,96.0,9.026669892133754,2.430148304814079,43.498162464579,FALSE
48500,97.0,8.99254882292493,2.4284822341356747,43.62105425974718,FALSE
49000,98.0,9.027361315166349,2.4327281534120773,43.806566749857964,FALSE
49500,99.0,8.981643518471618,2.433258648037826,43.751812821530066,FALSE
50000,100.0,9.038285037215411,2.4384110088181736,43.921773673014144,FALSE
50500,101.0,9.004980172291262,2.4368454960618173,44.328412729889315,FALSE
51000,102.0,9.001771584940126,2.4392225413025104,44.442013859469206,FALSE
51500,103.0,9.01965903637911,2.4301846327293304,44.65886393674867,FALSE
52000,104.0,8.9914981690737,2.4345637178099593,44.68480190270168,FALSE
52500,105.0,9.026426529040902,2.432414412617481,44.902473946435364,FALSE
53000,106.0,9.051822707495656,2.4254461657601,44.55917852488452,FALSE
53500,107.0,9.057425035650926,2.4303595345062607,44.546489075131014,FALSE
54000,108.0,9.030575590449226,2.4296510729602203,45.307239049457024,FALSE
54500,109.0,9.051684171349857,2.4291767621318803,45.01406003044163,FALSE
55000,110.0,9.022652952367773,2.4250651753743417,45.67571964107881,FALSE
55500,111.0,8.989457374075862,2.4339114727336586,45.687450808199344,FALSE
56000,112.0,9.00926367356676,2.429604341311718,46.012848612658864,FALSE
56500,113.0,8.986452526962132,2.4351255706310164,45.91222085896616,FALSE
57000,114.0,9.012133140119062,2.4381006852792644,46.25111805306287,FALSE
57500,115.0,9.05156753915843,2.430681488014654,45.85430171868686,FALSE
58000,116.0,9.05907920300681,2.421733053642869,45.72823115844006,FALSE
58500,117.0,9.043648413681233,2.4234858769699477,46.32107932170781,FALSE
59000,118.0,9.043078794346462,2.4346091514707604,46.47314904435368,FALSE
59500,119.0,9.012475022732591,2.4410487042144373,46.9020140706083,FALSE
60000,120.0,9.02318888443016,2.4354505909660853,47.046212067346374,FALSE
60500,121.0,9.049552507436744,2.431430533206293,46.7225808040593,FALSE
61000,122.0,8.98794238930845,2.4354102812506584,47.15839549462081,FALSE
61500,123.0,8.989255922954525,2.4255238095637583,47.32825047929377,FALSE
62000,124.0,8.962984056142608,2.4262246068138267,46.78042393695454,FALSE
62500,125.0,8.988489877048819,2.432676929752406,47.576449327925445,FALSE
63000,126.0,8.931200280832332,2.4393308810737353,45.51428038943789,FALSE
63500,127.0,9.014428482089103,2.4353975144173563,48.01164835707875,FALSE
