step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,8.775718263305292,2.316615118210882,0.0,FALSE
500,1.0,8.779217715080526,2.3145721958154595,1.9423643781967699,FALSE
1000,2.0,8.766879001768809,2.320453408005481,3.684414019837335,FALSE
1500,3.0,8.74870957213296,2.3250650063373883,5.2487702356024455,FALSE
2000,4.0,8.741959805727088,2.3204148819852004,6.674928962158107,FALSE
2500,5.0,8.76918572844601,2.3141188205547323,8.028714506847932,FALSE
3000,6.0,8.770277151453064,2.3225659964263228,9.26501464768487,FALSE
3500,7.0,8.752260751800785,2.3211218085337206,10.40991481255708,FALSE
4000,8.0,8.779369492994414,2.315858957671699,11.47988507824661,FALSE
4500,9.0,8.723420559687025,2.324236391973045,12.355859368501449,FALSE
5000,10.0,8.695815753189992,2.3218123494539182,13.036066453640784,FALSE
5500,11.0,8.727680647019115,2.320345811069516,14.268143829272702,FALSE
6000,12.0,8.7145740079072,2.327567659228976,15.015918173897866,FALSE
6500,13.0,8.71881296140654,2.3191155542382482,15.899031989178944,FALSE
7000,14.0,8.708029891954862,2.3267010503858194,16.564714863889407,FALSE
7500,15.0,8.699425712668464,2.3150424256452014,17.21919557711106,FALSE
8000,16.0,8.69908653146754,2.3317050962753183,17.90808771174983,FALSE
8500,17.0,8.757752055234846,2.3235927262523153,18.983564248616176,FALSE
9000,18.0,8.774341708746768,2.3180551344378664,19.573927517666295,FALSE
9500,19.0,8.75925174914131,2.3242059592322155,20.28266246529583,FALSE
10000,20.0,8.765500891511136,2.321159283217798,20.882947340897722,FALSE
10500,21.0,8.767579216981789,2.3230775602944025,21.46535034584057,FALSE
11000,22.0,8.743445116318826,2.3157028407537434,22.06128221391594,FALSE
11500,23.0,8.781850199950274,2.3167903292299457,22.485835592727007,FALSE
12000,24.0,8.750972412728334,2.313151852543227,23.161174048849546,FALSE
12500,25.0,8.770288809658208,2.318078528326234,23.64143258890744,FALSE
13000,26.0,8.753075754671844,2.3278705301144047,24.184061592090853,FALSE
13500,27.0,8.704353340159473,2.3251195001810405,24.235372928351026,FALSE
14000,28.0,8.725344026702015,2.3318156560494687,24.995520471909554,FALSE
14500,29.0,8.766337983467686,2.313501937463725,25.5896096866897,FALSE
15000,30.0,8.760926672825017,2.3109662887256452,26.056063084113084,FALSE
15500,31.0,8.75697863471491,2.3246283112952186,26.529339595275214,FALSE
16000,32.0,8.723874497986927,2.3177660002441898,26.799665629989533,FALSE
16500,33.0,8.772021605671483,2.314936495385797,27.303631654681126,FALSE
17000,34.0,8.74107751704693,2.329435901405291,27.743113460028706,FALSE
17500,35.0,8.738319641698487,2.3181687557367163,28.157599324817795,FALSE
18000,36.0,8.70751840076161,2.32846761294995,28.117430427109785,FALSE
18500,37.0,8.72825331863611,2.319226259495688,28.84747614762967,FALSE
19000,38.0,8.763290568406351,2.3091633640940334,29.286001872488836,FALSE
19500,39.0,8.727014946516881,2.3222930409163522,29.572292037796746,FALSE
20000,40.0,8.682457960127465,2.3239704434958854,28.983619494908996,FALSE
20500,41.0,8.665041485185919,2.316610739811681,28.758817876038545,FALSE
21000,42.0,8.646105664203498,2.327449893820839,28.323608048191204,FALSE
21500,43.0,8.702683958995134,2.318102349440295,30.649755918096943,FALSE
22000,44.0,8.693756180127572,2.3161896689469725,30.775973915933214,FALSE
22500,45.0,8.710162325542441,2.3135551539027546,31.4660276410507,FALSE
23000,46.0,8.63389363113242,2.320961768798639,29.10788781064125,FALSE
23500,47.0,8.68778309636591,2.317526279568938,31.63411032052222,FALSE
24000,48.0,8.691609609679006,2.3204989817384076,32.0615661232304,FALSE
24500,49.0,8.700588953498173,2.3263208105914917,32.590830474616425,FALSE
25000,50.0,8.635067598680076,2.3263001040977436,30.443749014155372,FALSE
25500,51.0,8.675101177199247,2.323805598846441,32.50992022892342,FALSE
26000,52.0,8.663920807586877,2.327571573260876,32.38189418672018,FALSE
