step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,8.642844561465036,2.319765195228491,0.0,FALSE
500,1.0,8.617572967806424,2.3295202439800633,1.9408661706909778,FALSE
1000,2.0,8.625320783650604,2.325146554199246,3.6820815061226075,FALSE
1500,3.0,8.620820708418861,2.3286277866229637,5.259348533200786,FALSE
2000,4.0,8.6250716463849,2.328267978408319,6.70708916606016,FALSE
2500,5.0,8.631561637850481,2.3233366687758803,8.039621110376899,FALSE
3000,6.0,8.622096822932578,2.3208148546246026,9.270351667702785,FALSE
3500,7.0,8.639909451693903,2.3214845821003927,10.41665024753792,FALSE
4000,8.0,8.65326451192268,2.3168643838096945,11.452039587423824,FALSE
4500,9.0,8.591666579585,2.325702120537248,12.387474494303243,FALSE
5000,10.0,8.539635810527612,2.333856734743566,12.747833770857586,FALSE
5500,11.0,8.521980314255499,2.324283604536211,13.40679696122333,FALSE
6000,12.0,8.562476749470331,2.320456743077446,14.930029720607113,FALSE
6500,13.0,8.541329387129636,2.3307755348666275,15.486556134459965,FALSE
7000,14.0,8.55037174491406,2.3212074283315127,16.427636610806072,FALSE
7500,15.0,8.572512871508764,2.318157392186257,17.423096335027424,FALSE
8000,16.0,8.550673417278894,2.321658075203608,17.918570108290588,FALSE
8500,17.0,8.592253690288185,2.323733374263827,18.95875918445628,FALSE
9000,18.0,8.60419862375576,2.3213666878246557,19.633116547055305,FALSE
9500,19.0,8.580900090081363,2.3307448715954253,20.196626036948178,FALSE
10000,20.0,8.610619055547875,2.320849258631918,20.877695030494095,FALSE
10500,21.0,8.613513401878695,2.329880273234667,21.46036944127495,FALSE
11000,22.0,8.633880399934135,2.318810573219043,21.89985805049683,FALSE
11500,23.0,8.599756065747581,2.3311354475498614,22.603425280839428,FALSE
12000,24.0,8.598026208329467,2.330885957971485,23.1406036339123,FALSE
12500,25.0,8.558585513131252,2.3364157560559926,23.2867827920897,FALSE
13000,26.0,8.57046379073148,2.329836531351242,23.995634743622023,FALSE
13500,27.0,8.561087814524333,2.327124859116382,24.378457579824012,FALSE
14000,28.0,8.542033583321732,2.339982012520508,24.45379391953286,FALSE
14500,29.0,8.55494413343876,2.3288444855820787,25.242958542901274,FALSE
15000,30.0,8.551224002900982,2.3336874517763895,25.619426174202115,FALSE
15500,31.0,8.553586432227947,2.3340166696128106,26.11522715195276,FALSE
16000,32.0,8.585190660690596,2.3341861709247578,26.91156226998271,FALSE
16500,33.0,8.516844197476512,2.3338033253713615,26.0338759055544,FALSE
17000,34.0,8.512695409059237,2.3231166085916133,26.35494582873662,FALSE
17500,35.0,8.521032609828122,2.330632007281942,27.05358410577247,FALSE
18000,36.0,8.52907363611724,2.3336064854548986,27.699594748156947,FALSE
18500,37.0,8.563146244422445,2.3376626881579288,28.767424456570406,FALSE
19000,38.0,8.54149349932875,2.3224628368285,28.80358879594058,FALSE
19500,39.0,8.582358251373538,2.3259373146818296,29.74052816624766,FALSE
20000,40.0,8.535444730317474,2.334067840457897,29.385755620836818,FALSE
20500,41.0,8.50567108355554,2.3299176993097386,28.838081066334738,FALSE
21000,42.0,8.564629932217246,2.333910651786425,30.661367546626664,FALSE
21500,43.0,8.469824728601948,2.3230182115760796,27.949019729706812,FALSE
22000,44.0,8.47803901010765,2.3278557955964727,28.779062001732314,FALSE
22500,45.0,8.492586170378342,2.3315191548023897,29.788993978402004,FALSE
23000,46.0,8.452258766433296,2.321773353506326,28.111878692930937,FALSE
23500,47.0,8.468527086995545,2.3325436270012734,29.355331491621726,FALSE
24000,48.0,8.526160276123996,2.333006738051802,32.04757175287954,FALSE
24500,49.0,8.51197706152824,2.332890330125377,31.948416406467544,FALSE
25000,50.0,8.466312061854785,2.3256025270184186,30.326673743143665,FALSE
25500,51.0,8.44368324088317,2.332947871566065,29.386420659930906,FALSE
26000,52.0,8.474150705548162,2.3320558023775355,31.47517022412211,FALSE
26500,53.0,8.428674363264976,2.325420379175242,29.28131687060204,FALSE
27000,54.0,8.401922677496982,2.324632007341852,27.87430446882094,FALSE
27500,55.0,8.385447634862757,2.3367480371800755,27.039679171969418,FALSE
28000,56.0,8.327759250606565,2.334545882087152,22.954298119673727,FALSE
28500,57.0,8.413694015034208,2.3315027887114232,29.959944812804746,FALSE
29000,58.0,8.427173828749812,2.325708090603028,31.197597029889046,FALSE
29500,59.0,8.474699510999143,2.326671896398639,34.144334871939364,FALSE
30000,60.0,8.412256565363755,2.328262265909473,30.830523475396536,FALSE
30500,61.0,8.404441219561248,2.334251860138243,30.63793338596117,FALSE
31000,62.0,8.362915480526857,2.328692895029027,27.856208189717247,FALSE
31500,63.0,8.346650243864845,2.3333514527244303,26.863630227540785,FALSE
32000,64.0,8.425460568508235,2.331033562171427,33.08527316688652,FALSE
32500,65.0,8.429387072737029,2.33053567881128,33.651305559520225,FALSE
33000,66.0,8.43539291809699,2.3338960091042176,34.294339497402405,FALSE
33500,67.0,8.429298296573775,2.3174341626424697,34.189985857424084,FALSE
34000,68.0,8.396817235253582,2.3295557786559233,32.305110803378156,FALSE
34500,69.0,8.389665724560983,2.3320157497396283,32.100835238541265,FALSE
35000,70.0,8.391563538417536,2.3353405828743212,32.50188107942536,FALSE
35500,71.0,8.397631505900454,2.331917741631486,33.25743923677817,FALSE
36000,72.0,8.402692888109545,2.326453373436263,33.925447141549895,FALSE
36500,73.0,8.400354940760948,2.3378948708894685,34.00000943401389,FALSE
37000,74.0,8.415092788677452,2.322584003345976,35.36597746683967,FALSE
37500,75.0,8.404486837404999,2.324410599102499,34.902097974750916,FALSE
38000,76.0,8.425487332703197,2.324827228593967,36.59380326501753,FALSE
38500,77.0,8.39449111993738,2.335081389018891,34.70287388673375,FALSE
39000,78.0,8.324650048513641,2.330712465090686,29.205365914118012,FALSE
39500,79.0,8.389653075287661,2.3294307640441883,34.91194298718981,FALSE
40000,80.0,8.373611673057727,2.3252390758479153,33.93005073901435,FALSE
40500,81.0,8.369095995684285,2.3403359894063245,33.783587193657894,FALSE
41000,82.0,8.383469357142348,2.334421112285026,35.262756963913816,FALSE
41500,83.0,8.36128215746704,2.337827357699987,33.71089730405988,FALSE
42000,84.0,8.408852317283941,2.3369652687135014,37.61964616073091,FALSE
42500,85.0,8.39508528024998,2.3252138902997457,36.90900770287359,FALSE
43000,86.0,8.374706291929165,2.3343461308355535,35.582679614429104,FALSE
43500,87.0,8.334922637465217,2.3304263638883755,32.4435390870394,FALSE
44000,88.0,8.320646706725213,2.3288796625155124,31.41841926445845,FALSE
44500,89.0,8.400755287147728,2.323249154290642,38.350669516123844,FALSE
45000,90.0,8.36142658059796,2.330092188656021,35.54275375059615,FALSE
45500,91.0,8.350990670261465,2.3406016849508804,34.8511221975152,FALSE
46000,92.0,8.350741672688185,2.334561517938571,35.138508464547144,FALSE
46500,93.0,8.350585244380927,2.333295679281223,35.38032515500513,FALSE
47000,94.0,8.31072251908879,2.330369581542757,32.02575638930696,FALSE
47500,95.0,8.304830531098675,2.3296941576092216,31.794378847577526,FALSE
48000,96.0,8.325569169522407,2.3408705523804665,33.98164258213862,FALSE
48500,97.0,8.381627018416106,2.33433411597657,39.08157996542396,FALSE
49000,98.0,8.358995780586328,2.335731498439128,37.47693401797143,FALSE
49500,99.0,8.328735410447116,2.338607988478994,35.05663824921484,FALSE
50000,100.0,8.388478258761843,2.3305695740994734,40.33225859312936,FALSE
50500,101.0,8.401163123068935,2.3342598639963623,41.427350143754694,FALSE
51000,102.0,8.419907997514784,2.3358327492286413,42.81789789314612,FALSE
51500,103.0,8.345196722427056,2.3405319608263246,37.417461973759245,FALSE
52000,104.0,8.30800133109338,2.334280895239468,34.34929152748003,FALSE
52500,105.0,8.312548279473775,2.335943837293036,35.048977583248295,FALSE
53000,106.0,8.332921139442165,2.333984980443743,37.170069730444865,FALSE
53500,107.0,8.381598209761883,2.3318721063438073,41.44265745386407,FALSE
54000,108.0,8.336574678360757,2.338207181770314,37.893295021592394,FALSE
54500,109.0,8.353579461881129,2.3278509396889797,39.62830581608525,FALSE
55000,110.0,8.396684617241208,2.3292825146321916,43.11660946102541,FALSE
55500,111.0,8.333273488869574,2.333168489338897,38.1845952002771,FALSE
56000,112.0,8.368465235808856,2.3339389632200143,41.38937281636318,FALSE
56500,113.0,8.350683592659678,2.340551012268715,40.051560150846804,FALSE
57000,114.0,8.368720871340793,2.338062519927133,41.75035468103776,FALSE
57500,115.0,8.390654876139427,2.3353319892756264,43.575668527464465,FALSE
58000,116.0,8.391331254230009,2.3274260750536695,43.80387976165976,FALSE
58500,117.0,8.388073877193886,2.3238281143558033,43.73307727201167,FALSE
59000,118.0,8.40883405731504,2.3332771618007406,45.261360245990076,FALSE
59500,119.0,8.399321608822333,2.329952738997837,44.80961128773376,FALSE
60000,120.0,8.424034359710113,2.3237361394505776,46.42352586362273,FALSE
60500,121.0,8.453297614538418,2.3342447131250412,47.88131470292236,FALSE
61000,122.0,8.39114446640229,2.3360402440924632,44.637882253609405,FALSE
61500,123.0,8.379035954796118,2.330946625799056,43.927142553576154,FALSE
62000,124.0,8.379765004874804,2.3387206847618898,44.09328168814278,FALSE
62500,125.0,8.322642967046981,2.3292135571135324,39.349189902858356,FALSE
63000,126.0,8.33578376825199,2.33678796221511,40.74217236148162,FALSE
63500,127.0,8.334561495309508,2.3199913654247952,40.807552291145214,FALSE
64000,128.0,8.365382651227446,2.3339978986776773,43.69760278023008,FALSE
64500,129.0,8.329023599341534,2.328461129292925,40.674086608875925,FALSE
65000,130.0,8.385286113073855,2.3320573826932076,45.63667367021435,FALSE
65500,131.0,8.24254832710826,2.33754871811066,32.08598062795116,FALSE
66000,132.0,8.301807168690917,2.3286057324326044,38.65912287004467,FALSE
66500,133.0,8.413331001617525,2.3250992108814637,48.05934150126132,FALSE
67000,134.0,8.264486771216685,2.3356821331039193,35.11630259254206,FALSE
67500,135.0,8.364157880803152,2.3427800970323878,44.9186397077747,FALSE
68000,136.0,8.340048312633149,2.3380672540467002,43.077636476619844,FALSE
68500,137.0,8.341406701686868,2.335653772016228,43.410724366094875,FALSE
69000,138.0,8.347015942290009,2.3227670828942157,44.056242709064826,FALSE
69500,139.0,8.326630919002731,2.325832161875648,42.3833888098688,FALSE
