step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,9.163929840121199,2.4377194333708587,0.0,FALSE
500,1.0,9.065310702862677,2.4347035212386268,1.93354102965797,FALSE
1000,2.0,9.068672141879063,2.435055702885572,3.6779856108387126,FALSE
1500,3.0,9.078804311126563,2.4295742820709254,5.255930199798105,FALSE
2000,4.0,9.084434149809965,2.42865946297861,6.698959855105466,FALSE
2500,5.0,9.105832680727788,2.4371819617746553,8.010229574774419,FALSE
3000,6.0,9.105096674488799,2.4415800915303785,9.242768903504073,FALSE
3500,7.0,9.114201230994981,2.430368554881764,10.376468182781066,FALSE
4000,8.0,9.088635905535261,2.4357722299590594,11.491735884222361,FALSE
4500,9.0,9.080339085896448,2.4259662894586183,12.487388809374835,FALSE
5000,10.0,9.091275094952586,2.4406466690430935,13.459087838253254,FALSE
5500,11.0,9.084420656628577,2.42760889402809,14.364403158669857,FALSE
6000,12.0,9.110649476120035,2.4182297834626167,15.158097093734455,FALSE
6500,13.0,9.149889656575123,2.4262927130555085,15.66592338850299,FALSE
7000,14.0,9.110045574781871,2.421490570511339,16.785789983133846,FALSE
7500,15.0,9.09220625975313,2.4289596091778805,17.586228457696645,FALSE
8000,16.0,9.05114121106189,2.4348084923824453,18.045896213324497,FALSE
8500,17.0,9.081227787169471,2.433549850967039,18.973726257553643,FALSE
9000,18.0,9.084102306100734,2.4281855325848745,19.64343923273312,FALSE
9500,19.0,9.077004492399237,2.4239487456582935,20.24006367063746,FALSE
10000,20.0,9.094762602846805,2.4295539602300362,20.910519071021906,FALSE
10500,21.0,9.106336315645414,2.4311525854955804,21.474426549306838,FALSE
11000,22.0,9.104259083722317,2.423782406835231,22.04088417085037,FALSE
11500,23.0,9.069434550732911,2.4267924477212217,22.535504482338734,FALSE
12000,24.0,9.077569065732646,2.4254133855801236,23.12639545771488,FALSE
12500,25.0,9.064647572756991,2.4311151072698642,23.562922245301046,FALSE
13000,26.0,9.127713646837375,2.4230309047079452,23.93236277413585,FALSE
13500,27.0,9.089678283802291,2.423435844627397,24.679725158051003,FALSE
14000,28.0,9.056708608037788,2.432396775434903,24.945248601351224,FALSE
14500,29.0,9.088260860810333,2.431930430574823,25.642773791628144,FALSE
15000,30.0,9.113071309727111,2.4346125058510024,25.991071136737784,FALSE
15500,31.0,9.079122817965239,2.4271249889176287,26.506071286776766,FALSE
16000,32.0,9.083201848499392,2.433195135212465,26.957079267142703,FALSE
16500,33.0,9.072553152772983,2.434922358628749,27.317401443284922,FALSE
17000,34.0,9.101898731341148,2.432476303021294,27.77022418780101,FALSE
17500,35.0,9.053835127711709,2.4371738746556884,27.901411111646997,FALSE
18000,36.0,9.078157490560276,2.427682817417582,28.558643633460882,FALSE
18500,37.0,9.09243380156477,2.4356734025987077,28.970722472821876,FALSE
19000,38.0,9.079155571304488,2.4272685309359345,29.322832700475505,FALSE
19500,39.0,9.062404721045347,2.428502933293584,29.548302615516736,FALSE
20000,40.0,9.060437101942947,2.4302263561657416,29.885321574339596,FALSE
20500,41.0,9.079350343558499,2.424863317798502,30.394638057030384,FALSE
21000,42.0,9.060681974493503,2.433736605833485,30.58385173030489,FALSE
21500,43.0,9.075100360146074,2.43279499733644,31.069627860986493,FALSE
22000,44.0,9.111055346915876,2.4218375494016295,31.286390252254304,FALSE
22500,45.0,9.08463852939803,2.4233085253211404,31.745912944611078,FALSE
23000,46.0,9.07165230501897,2.434325155957487,32.01875252842196,FALSE
23500,47.0,9.105327521279953,2.4256615830467254,32.32137204329643,FALSE
24000,48.0,9.072305244437924,2.42625238298129,32.63741704045127,FALSE
24500,49.0,9.091438117012391,2.4294851660538814,33.01441200481206,FALSE
25000,50.0,9.13894281875757,2.4215169296365704,32.61464322671829,FALSE
25500,51.0,9.108091043961558,2.4400116392990014,33.47628464357474,FALSE
26000,52.0,9.071732467570037,2.425924155420548,33.81134486936207,FALSE
26500,53.0,9.09166824454493,2.419311103226111,34.12051359862216,FALSE
27000,54.0,9.080790475302187,2.424493169436597,34.42491953819985,FALSE
27500,55.0,9.124661246872538,2.4272594826843723,34.3725303271614,FALSE
28000,56.0,9.113758684772364,2.4237506451607977,34.809281024538365,FALSE
28500,57.0,9.088764263668603,2.424850007084523,35.253928597998346,FALSE
29000,58.0,9.074969759724885,2.4252352972148112,35.464994945524346,FALSE
29500,59.0,9.071079073301004,2.432340370290513,35.69977648615175,FALSE
30000,60.0,9.096191967483959,2.432970492261097,36.02609883129281,FALSE
30500,61.0,9.077553874334455,2.4252813075794135,36.24417932493129,FALSE
31000,62.0,9.06609005491314,2.430065748387074,36.39217131925199,FALSE
31500,63.0,9.10477850213046,2.4263958282869362,36.698497341405506,FALSE
32000,64.0,9.081584822943917,2.4283900356506334,37.00503840696701,FALSE
32500,65.0,9.078906037667942,2.436647051704146,37.213632998918136,FALSE
33000,66.0,9.102657500745696,2.4316252210805516,37.437057811767374,FALSE
33500,67.0,9.131501686604535,2.4290188811365714,37.19486544452962,FALSE
34000,68.0,9.139565875117897,2.4278853086010854,37.20024489642628,FALSE
34500,69.0,9.077225308741912,2.4278748830587618,38.13701688870629,FALSE
35000,70.0,9.040817332179888,2.4351656077806916,37.690006532939215,FALSE
35500,71.0,9.086362424831204,2.432428361312386,38.622866165692265,FALSE
36000,72.0,9.077335877951276,2.4291845038413,38.79760535572777,FALSE
36500,73.0,9.080414794915598,2.4269187572182402,39.02562932858279,FALSE
37000,74.0,9.087329036215412,2.4306165325098257,39.26460647059149,FALSE
37500,75.0,9.110175881052239,2.4281932486109286,39.33071598264113,FALSE
38000,76.0,9.131592940185662,2.4247212391603408,39.10034330141183,FALSE
38500,77.0,9.127968919491478,2.4228972352586013,39.38678173852096,FALSE
39000,78.0,9.1071410046716,2.434364246920621,39.97860874365262,FALSE
39500,79.0,9.102432835181144,2.425787834016985,40.219867430898546,FALSE
40000,80.0,9.035806744679196,2.4309254543525407,39.57791577601176,FALSE
40500,81.0,9.094905194965063,2.417214288064347,40.57992936190101,FALSE
41000,82.0,9.133603852143548,2.4248215140249805,40.22550101662557,FALSE
41500,83.0,9.089300552269973,2.430280002626118,41.061587240479895,FALSE
42000,84.0,9.123657733860757,2.4257862230716363,40.85680202490098,FALSE
42500,85.0,9.059902073124455,2.437894266889148,41.12185640165064,FALSE
43000,86.0,9.053487255376403,2.436713260964997,41.18040701564977,FALSE
43500,87.0,9.117515292135216,2.4319270783283633,41.5423861047896,FALSE
44000,88.0,9.064854355402764,2.4258039882417792,41.77388630016474,FALSE
44500,89.0,9.064295829113515,2.429007907888044,41.95237525913827,FALSE
45000,90.0,9.080530197264501,2.428409656212457,42.31083671013087,FALSE
45500,91.0,9.066572536466143,2.4294400156376876,42.33842176065644,FALSE
46000,92.0,9.09812329271745,2.4268033791870334,42.652804678664026,FALSE
46500,93.0,9.076192712425973,2.430186643303432,42.800393935055155,FALSE
47000,94.0,9.119170449857696,2.426217636165025,42.72267534414588,FALSE
47500,95.0,9.064036668567415,2.43329771813613,42.97203755643645,FALSE
48000,96.0,9.11419779956582,2.4251266221670487,43.1401061779576,FALSE
48500,97.0,9.126136398889436,2.4293097675351576,43.06919778990533,FALSE
49000,98.0,9.060383745357433,2.433177320301104,43.39520768505417,FALSE
49500,99.0,9.071719826448916,2.429354600109979,43.74397489473697,FALSE
50000,100.0,9.113152989189201,2.4289885449098167,43.81671496817573,FALSE
50500,101.0,9.059686817550991,2.4349152803326284,43.85380299060155,FALSE
51000,102.0,9.071708079267475,2.428154688468882,44.21938843904568,FALSE
51500,103.0,9.084081533625273,2.4230202155323153,44.44674161025043,FALSE
52000,104.0,9.06525296968837,2.433813589054074,44.430543466564394,FALSE
52500,105.0,9.103796935509816,2.4383935699518338,44.68085807423648,FALSE
53000,106.0,9.162826674113449,2.425267160297327,43.049101545637015,FALSE
53500,107.0,9.086214839292357,2.4333608533380495,45.090478676136094,FALSE
54000,108.0,9.074126225299588,2.43522621363843,45.15272639293916,FALSE
54500,109.0,9.085248465846472,2.424257916542856,45.36855787684937,FALSE
55000,110.0,9.061488890904368,2.4296138321421568,45.26497573503824,FALSE
55500,111.0,9.097974766850085,2.430469816238623,45.65825009761558,FALSE
56000,112.0,9.055209783679324,2.437313521269916,45.3871347476974,FALSE
56500,113.0,9.078015121724311,2.4299691417898446,45.92899804650809,FALSE
57000,114.0,9.079488327495378,2.4373589218638085,46.053597443242666,FALSE
57500,115.0,9.00412972210096,2.4320916608816474,43.705497233228066,FALSE
58000,116.0,9.022866624364514,2.4353086091358547,44.83517754533487,FALSE
58500,117.0,9.04889702906426,2.439200059646349,45.93441020186791,FALSE
59000,118.0,8.985711076831592,2.4482763517993984,42.80184640191369,FALSE
59500,119.0,9.019441844069615,2.441713780717441,45.05913002508911,FALSE
60000,120.0,9.022034695772106,2.4398255331334413,45.3601059847401,FALSE
60500,121.0,9.016209841747983,2.431478088230185,45.263334244454796,FALSE
61000,122.0,8.99696803879952,2.4358792492092,44.30400164024726,FALSE
61500,123.0,9.002658662011164,2.4336871076878728,44.82101173777635,FALSE
62000,124.0,9.001966153160009,2.432228642165473,44.923517929502125,FALSE
62500,125.0,9.02480328849019,2.430188704598907,46.280034890826315,FALSE
63000,126.0,9.047725197385596,2.4325784564065,47.274172448255506,FALSE
63500,127.0,9.007756316818071,2.43824173071383,45.66711310469028,FALSE
64000,128.0,8.986727879000538,2.438119555546617,44.48602738564331,FALSE
64500,129.0,8.998336688167361,2.4362077531168462,45.41130215105436,FALSE
65000,130.0,8.968890807857568,2.4353813933916926,43.468025127849046,FALSE
65500,131.0,8.953249209383806,2.4386726343281575,42.2817879171456,FALSE
66000,132.0,8.929550185338035,2.431150433566462,40.302866949448735,FALSE
66500,133.0,8.994539104218958,2.439317960647474,45.82567410430859,FALSE
67000,134.0,9.02895497811912,2.4266485978521826,47.84996044912467,FALSE
67500,135.0,9.020046249211468,2.4316235307354663,47.59438979090061,FALSE
68000,136.0,8.996692898967401,2.4299430556562354,46.43665607591771,FALSE
68500,137.0,9.01268971511189,2.4296434091198256,47.49382810894276,FALSE
69000,138.0,9.02882048193437,2.429839944646306,48.394705361292374,FALSE
69500,139.0,9.027197105557432,2.4382023019694037,48.425261413209356,FALSE
70000,140.0,8.977063888240549,2.435167342861017,45.60105093231605,FALSE
70500,141.0,9.024521625916444,2.4343222901213704,48.592981283240604,FALSE
71000,142.0,9.007210197732826,2.439011907944548,47.812702980002605,FALSE
71500,143.0,9.011597736512336,2.4320584741463698,48.21273082346238,FALSE
72000,144.0,9.001431107811468,2.4333839499798553,47.75644444408901,FALSE
72500,145.0,9.021685007011516,2.4302028008537677,48.96707398591764,FALSE
73000,146.0,9.00963399408382,2.428662289574198,48.48471706001636,FALSE
73500,147.0,8.999269602135927,2.4353828844878636,47.99043645240616,FALSE
74000,148.0,8.94443270710443,2.4468953891313303,43.69136495704128,FALSE
74500,149.0,9.003756310982975,2.427142296184177,48.525655989248754,FALSE
75000,150.0,9.019504137941427,2.4389984340121735,49.443696286194445,FALSE
75500,151.0,9.015174858757247,2.4329753772536717,49.387742314378556,FALSE
76000,152.0,9.00172389113006,2.4342050556663724,48.759564677514796,FALSE
76500,153.0,9.0375974657792,2.4314669027200604,50.57885657618227,FALSE
77000,154.0,9.010549221231015,2.4292318989154578,49.50022352266989,FALSE
77500,155.0,9.008881964903928,2.433778896264865,49.51819832754666,FALSE
78000,156.0,9.037928592121382,2.4357292778197746,50.91043716524184,FALSE
78500,157.0,9.01276776972708,2.4383485964168568,49.9241921193066,FALSE
79000,158.0,9.009572625256405,2.4287399170539485,49.89671372272486,FALSE
79500,159.0,8.972430640722349,2.4287452155886564,47.52119015554427,FALSE
80000,160.0,8.959126905029574,2.434694337147327,46.54443092263432,FALSE
80500,161.0,8.966468924308462,2.427527758717523,47.30932418616092,FALSE
81000,162.0,8.92096027073273,2.4340620675572278,43.120129703744496,FALSE
81500,163.0,9.02952686527114,2.4256059032612924,51.45785551374302,FALSE
