step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,8.827068981648196,2.3240280668458664,0.0,FALSE
500,1.0,8.826000549355905,2.3252155949029234,1.935307092098183,FALSE
1000,2.0,8.83520161404398,2.3157543437680435,3.670472069736579,FALSE
1500,3.0,8.781605401256426,2.329418904671616,5.192674528170565,FALSE
2000,4.0,8.729592597179533,2.3209637607957485,6.38653322573503,FALSE
2500,5.0,8.741666559773101,2.3246002964231653,7.819684524998828,FALSE
3000,6.0,8.701117907901935,2.3261498702748042,8.730104038082752,FALSE
3500,7.0,8.745679268615337,2.330956433278367,10.249669829180604,FALSE
4000,8.0,8.75850949605572,2.322738851969449,11.404155716260606,FALSE
4500,9.0,8.829826543352114,2.312263083062676,12.169214730045915,FALSE
5000,10.0,8.782562868345625,2.3154340450901,13.399462838089388,FALSE
5500,11.0,8.849202171179554,2.3241273732869856,13.789947777153461,FALSE
6000,12.0,8.730952194502322,2.326594244021125,14.910234165725116,FALSE
6500,13.0,8.818197223313398,2.3234843887408214,15.824594608339872,FALSE
7000,14.0,8.773190521432532,2.3187234740632614,16.77787647832408,FALSE
7500,15.0,8.776420658864108,2.3268662904015835,17.526952129203654,FALSE
8000,16.0,8.772359031886136,2.3199630117354633,18.25010279253951,FALSE
8500,17.0,8.760209026371708,2.3223278776273055,18.897156059372946,FALSE
9000,18.0,8.742990558466825,2.3145451702132775,19.42575658311452,FALSE
9500,19.0,8.716859168106057,2.327629622579638,19.703371081094897,FALSE
10000,20.0,8.681953952820466,2.3307456967851072,19.561545019325504,FALSE
10500,21.0,8.6817939220059,2.3207928556141666,20.229529383523552,FALSE
11000,22.0,8.679609302808517,2.318455673170556,20.762416999187533,FALSE
11500,23.0,8.688511521574592,2.317322446241764,21.596960927688546,FALSE
12000,24.0,8.662893246213754,2.3196387804715393,21.42843290486528,FALSE
12500,25.0,8.652637024862367,2.321980560385202,21.629635116310542,FALSE
13000,26.0,8.702881499219524,2.3232520764213054,23.603179472370922,FALSE
13500,27.0,8.7139009814126,2.3120687592870106,24.30332732004204,FALSE
14000,28.0,8.609126732020979,2.314110006227915,21.328277952552888,FALSE
14500,29.0,8.649664354268715,2.319897133593471,23.595836840530396,FALSE
15000,30.0,8.684763587975446,2.316751829938789,25.196786079102914,FALSE
15500,31.0,8.665942236753269,2.3284498039996357,25.10514396333491,FALSE
16000,32.0,8.652009352576714,2.321027582223088,25.08549018283063,FALSE
16500,33.0,8.680987393630794,2.31981108593612,26.471999858109758,FALSE
17000,34.0,8.697795185634774,2.317032567629984,27.31184356719287,FALSE
17500,35.0,8.703959325465254,2.3195919759271892,27.860439713480336,FALSE
18000,36.0,8.651915628182339,2.315886847184453,26.776965928280074,FALSE
18500,37.0,8.676565977791286,2.319576034206156,28.018408377472245,FALSE
19000,38.0,8.648336794253677,2.3218948141803026,27.43256771032733,FALSE
