step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,6.397668372504372,1.8808905746931455,0.0,FALSE
500,1.0,6.301649697855559,1.8719375480213352,1.911830321675795,FALSE
1000,2.0,6.290599715516789,1.8569670448379494,3.440147840734698,FALSE
1500,3.0,6.338958889368807,1.870371133030979,5.141401960712985,FALSE
2000,4.0,6.284453209082194,1.8559641531091844,6.420768982125721,FALSE
2500,5.0,6.264244980834249,1.8670677605509889,7.671103815000623,FALSE
3000,6.0,6.249561565147315,1.8608771400160085,8.819543421512588,FALSE
3500,7.0,6.31269689166473,1.8844111323437258,10.233666492552771,FALSE
4000,8.0,6.302440397837878,1.8770969109709188,11.32399568024282,FALSE
4500,9.0,6.371227613644466,1.8754806392511816,12.120091679363362,FALSE
5000,10.0,6.348267203586472,1.8811431291884306,13.23633418731114,FALSE
5500,11.0,6.301347446183312,1.8775990395687274,14.189810056969318,FALSE
6000,12.0,6.333707804367709,1.8766572844748999,15.094019725739646,FALSE
6500,13.0,6.312199152305762,1.8693463081985038,15.928175332806983,FALSE
7000,14.0,6.281957844644063,1.8625728962760668,16.504849547943728,FALSE
7500,15.0,6.319770849008133,1.8730436757411355,17.480879748792,FALSE
8000,16.0,6.39496558616445,1.8744328488239406,17.4923420237782,FALSE
8500,17.0,6.420030338121554,1.885326350315246,17.612388965149293,FALSE
9000,18.0,6.275011700915195,1.8587318907587917,19.166741379686147,FALSE
9500,19.0,6.287279350482221,1.863602514496553,19.97542967196228,FALSE
10000,20.0,6.325053041021446,1.8650926472233738,20.825322344073523,FALSE
10500,21.0,6.448092219816172,1.8764525506336616,19.224135851151818,FALSE
11000,22.0,6.317203640174375,1.8759896858401492,21.97804568722593,FALSE
11500,23.0,6.240179724645909,1.8538131247131382,21.230854406731623,FALSE
12000,24.0,6.263792402344076,1.8492840882445596,22.3108682448962,FALSE
12500,25.0,6.359883260712127,1.8620567846685252,23.422537385326716,FALSE
13000,26.0,6.366382734445019,1.869520386082559,23.870479051267075,FALSE
13500,27.0,6.342167249061969,1.8805764454948064,24.56731003179367,FALSE
14000,28.0,6.39060372953234,1.8766631171430745,24.384498963890767,FALSE
14500,29.0,6.34634138515566,1.860185051816169,25.511596729389154,FALSE
15000,30.0,6.407742709410175,1.8775435018094522,24.869731578027146,FALSE
15500,31.0,6.339786582354814,1.873558358245862,26.480341150984238,FALSE
16000,32.0,6.2826435943379355,1.8647006944037583,26.45432177310091,FALSE
16500,33.0,6.256992788791455,1.862552884813356,26.2592810010478,FALSE
17000,34.0,6.290568331333257,1.8665057971489127,27.469329164317735,FALSE
17500,35.0,6.341310239442176,1.8677164324767246,28.165183838829275,FALSE
18000,36.0,6.34535512913307,1.8739235655550597,28.528384800294642,FALSE
18500,37.0,6.376426088116789,1.8706586983397357,28.49858030651649,FALSE
19000,38.0,6.394682863242681,1.879886802906323,28.4121924568901,FALSE
19500,39.0,6.365112038692323,1.8771484502538718,29.44679370556125,FALSE
20000,40.0,6.3474797154448375,1.8685509424843092,30.026083381089467,FALSE
20500,41.0,6.416300359330342,1.8782910305849283,28.807316915218244,FALSE
21000,42.0,6.431394928869726,1.8927568611417258,28.40441012605353,FALSE
21500,43.0,6.303430561034562,1.8653362299653509,30.932362831890178,FALSE
22000,44.0,6.307899753020225,1.8699410768680271,31.327224197896314,FALSE
22500,45.0,6.427188772185645,1.873562325342209,29.720538753935067,FALSE
23000,46.0,6.348317447000081,1.8649518612641471,32.07414826771644,FALSE
23500,47.0,6.263928256240975,1.8562909731802113,31.200700641257548,FALSE
24000,48.0,6.278631499577807,1.8658427268851288,32.01410454194103,FALSE
24500,49.0,6.204009651118049,1.8523618817616732,29.046614540137433,FALSE
25000,50.0,6.362020451406441,1.8809141735681734,33.11525280814344,FALSE
25500,51.0,6.282015239469669,1.8648805930362011,33.00882053879559,FALSE
26000,52.0,6.243161215212036,1.8562738220424269,31.893676972939566,FALSE
26500,53.0,6.3595558767009885,1.876521989778569,34.04644994967307,FALSE
27000,54.0,6.418288996890938,1.8652210083262186,32.71723596551761,FALSE
27500,55.0,6.2710160303696485,1.8584768049169393,33.759735648915594,FALSE
28000,56.0,6.230226293257849,1.8550301231838497,32.32804690665891,FALSE
28500,57.0,6.291016682692776,1.8596448356094675,34.901963618486086,FALSE
29000,58.0,6.251420817591508,1.8519251948313014,33.83775397284871,FALSE
29500,59.0,6.415536424209018,1.8891989369784596,33.89850138754425,FALSE
30000,60.0,6.2916142765431315,1.8732328222409287,35.75382683325841,FALSE
30500,61.0,6.26458304031548,1.8570846319366514,35.18047064802152,FALSE
31000,62.0,6.315197166693487,1.8726552278451838,36.62630632430333,FALSE
31500,63.0,6.260262947570445,1.8585757990906824,35.55231207842442,FALSE
32000,64.0,6.317438638761091,1.8779280037288308,37.103440680589195,FALSE
32500,65.0,6.173591810393844,1.845928339569836,30.94572154431251,FALSE
33000,66.0,6.289557297439114,1.8586215384580296,37.18100363178065,FALSE
33500,67.0,6.339830027561312,1.874226189569156,37.85252276332053,FALSE
34000,68.0,6.2351390317653905,1.8489468325071652,35.51136596012234,FALSE
34500,69.0,6.332361481034885,1.8718482783824504,38.34696967550679,FALSE
35000,70.0,6.318049242418834,1.8666557238560413,38.5393409717592,FALSE
35500,71.0,6.237009872227801,1.855820834389337,36.36994337245589,FALSE
36000,72.0,6.251045736834125,1.8577192096574997,37.2752100209764,FALSE
36500,73.0,6.291469525246572,1.8859615998211299,38.734388220641634,FALSE
37000,74.0,6.259264397873366,1.8577438327226812,38.079580906615355,FALSE
37500,75.0,6.309883759091312,1.8655595093342527,39.592905873000795,FALSE
38000,76.0,6.27382700439524,1.862965251506354,39.05466262782697,FALSE
38500,77.0,6.292584489207079,1.8623856500919076,39.75117235504121,FALSE
39000,78.0,6.273058391073685,1.8617088106721311,39.460118510665524,FALSE
39500,79.0,6.215156671388173,1.8541499958320693,36.894954506616,FALSE
40000,80.0,6.284570059330258,1.853940177337135,40.12985677518622,FALSE
40500,81.0,6.301877311317402,1.8826631988071794,40.66082844283426,FALSE
41000,82.0,6.1993037238015365,1.8530577309543905,36.463710355391065,FALSE
41500,83.0,6.2167084524378,1.8601011181855496,37.90122998121716,FALSE
42000,84.0,6.3014435565778815,1.8752450629865383,41.343695801516496,FALSE
42500,85.0,6.2501691591385296,1.8493756669833736,39.883382405701084,FALSE
43000,86.0,6.282763535019287,1.8670505507162913,41.38666980353124,FALSE
43500,87.0,6.1959725170482,1.8608911368674674,37.27776343978459,FALSE
44000,88.0,6.275481180929815,1.8586584944753768,41.53113625820497,FALSE
44500,89.0,6.277225427534538,1.8676613427637752,41.80442404844278,FALSE
45000,90.0,6.183027414201666,1.8436259355559002,36.619758005067766,FALSE
45500,91.0,6.2625045219710245,1.8457424431374445,41.47277369005982,FALSE
46000,92.0,6.198229850479522,1.8462645153006445,38.20414728425666,FALSE
46500,93.0,6.346509019298598,1.8669383481878812,42.969740314031824,FALSE
47000,94.0,6.327845927652093,1.8701715406631678,43.33893819586627,FALSE
47500,95.0,6.179691470971701,1.8423894759268729,37.21543712930816,FALSE
48000,96.0,6.285039459218108,1.8567081929054998,43.24652982679448,FALSE
48500,97.0,6.177990302355018,1.8358686037545482,37.229784204988704,FALSE
49000,98.0,6.2381315264255965,1.8522421882699922,41.791254698388116,FALSE
49500,99.0,6.23389249359606,1.8681551895447899,41.85577430602377,FALSE
50000,100.0,6.290938294147269,1.8749353757143126,44.088959625820394,FALSE
50500,101.0,6.268012999562761,1.8638215294864189,43.68694770052933,FALSE
51000,102.0,6.373057856210533,1.8726808224830256,43.70553675140021,FALSE
51500,103.0,6.219529164477631,1.859284235231922,41.63985864394967,FALSE
52000,104.0,6.266052724395871,1.8539218989974682,44.026484016516264,FALSE
52500,105.0,6.19926079596347,1.8526059907132533,40.54962436986896,FALSE
53000,106.0,6.300126343080157,1.8524943438108512,45.12681093682217,FALSE
53500,107.0,6.29616165122526,1.8569695605901169,45.28860001191134,FALSE
54000,108.0,6.292427121573027,1.875223358532787,45.42400527660015,FALSE
54500,109.0,6.190534382285508,1.861607952005826,40.61973620413981,FALSE
55000,110.0,6.328022346739815,1.8658790590554943,45.927356145767575,FALSE
55500,111.0,6.232357359076494,1.8553854852259253,43.639066710438044,FALSE
56000,112.0,6.22966377952346,1.8605820034776381,43.70618715872346,FALSE
56500,113.0,6.227550911661147,1.8500761215605435,43.59457367084433,FALSE
57000,114.0,6.3428046274740035,1.8626901501166442,46.31210742449513,FALSE
57500,115.0,6.21257282604667,1.8504848831485,42.99300477521524,FALSE
58000,116.0,6.246274240545921,1.8626374403946555,45.19982139239917,FALSE
58500,117.0,6.231863418603977,1.8460076765907996,44.378157876178925,FALSE
59000,118.0,6.212532269478611,1.8493686411533705,43.423022003578595,FALSE
59500,119.0,6.246492778606145,1.8633843507039054,45.675273148156606,FALSE
60000,120.0,6.283887894412137,1.8501383647219485,46.93264589309909,FALSE
60500,121.0,6.219043747545266,1.838960338598441,43.977543225356754,FALSE
61000,122.0,6.336103304748069,1.8795696715632695,47.45408540661027,FALSE
61500,123.0,6.261927757044546,1.8517540630631093,46.75446856548893,FALSE
62000,124.0,6.269552939101687,1.8637671517116146,47.27387920171112,FALSE
62500,125.0,6.327926431422473,1.8632176137672893,48.03515919941674,FALSE
63000,126.0,6.24762974097174,1.8556410107245958,46.61547910428434,FALSE
63500,127.0,6.234720031569831,1.8569598302928467,46.12848165178328,FALSE
64000,128.0,6.291985408811399,1.8527311366945611,48.222365766678635,FALSE
64500,129.0,6.190686534156715,1.844650668457135,43.188250109495414,FALSE
65000,130.0,6.351285480010785,1.8635717779151408,48.237186193896875,FALSE
65500,131.0,6.292528720190952,1.8585064620003846,48.71149191228504,FALSE
66000,132.0,6.3124634289058665,1.8695333950871857,49.02807506903242,FALSE
66500,133.0,6.266263539732482,1.8552218217726844,48.29467095114185,FALSE
67000,134.0,6.283509990124294,1.8632763344745107,48.964404208567906,FALSE
67500,135.0,6.186057010229524,1.8391770416552735,43.4178087739666,FALSE
68000,136.0,6.259800333414007,1.8547747055124844,48.45400531706344,FALSE
68500,137.0,6.243774437405925,1.8653782182565282,47.952150071820704,FALSE
69000,138.0,6.23560062938875,1.8479709328514584,47.473053215620936,FALSE
69500,139.0,6.2773412914582885,1.8568733069304868,49.41663475664754,FALSE
70000,140.0,6.215813031892119,1.8464670769533313,46.47951089703002,FALSE
70500,141.0,6.290868365234344,1.859508369674834,49.952879129758294,FALSE
71000,142.0,6.2215745061373005,1.8586771188457576,47.28934145836469,FALSE
71500,143.0,6.18594628355025,1.8448491732079448,44.552881322175764,FALSE
72000,144.0,6.219070543241152,1.8504584920850877,47.268133394722796,FALSE
72500,145.0,6.2595407800717755,1.8607910331827555,49.610803069776196,FALSE
73000,146.0,6.240708688419171,1.8521258866651524,48.78273396708164,FALSE
73500,147.0,6.24485439027967,1.8569160820115727,49.17623319376219,FALSE
74000,148.0,6.232061790697893,1.8454362332115857,48.40036855586534,FALSE
74500,149.0,6.347886890410597,1.8701625141850775,50.51671856093552,FALSE
75000,150.0,6.256580921978467,1.8549448655539404,50.01836246289973,FALSE
75500,151.0,6.311836330159469,1.8659984490523631,51.28816553130709,FALSE
76000,152.0,6.244855240829615,1.85615377927441,49.73577074297787,FALSE
76500,153.0,6.30081798102574,1.8643097816506382,51.46978438602229,FALSE
77000,154.0,6.233374115891687,1.8538344169903451,49.31177816428,FALSE
77500,155.0,6.212148561122538,1.8565737928903971,48.115909166574326,FALSE
78000,156.0,6.298379139790869,1.8637960905979756,51.77835200799026,FALSE
78500,157.0,6.211217752486774,1.844947848380845,48.06370829451198,FALSE
79000,158.0,6.191118131361805,1.8359108053795796,46.363009016841886,FALSE
79500,159.0,6.296585784844204,1.8678852530696688,52.10590051656703,FALSE
80000,160.0,6.214356931722066,1.8563563459185657,48.85124894266496,FALSE
80500,161.0,6.347102540150236,1.8647074816509002,51.796379478696224,FALSE
81000,162.0,6.2302869299023795,1.8582474302235235,50.08733940792616,FALSE
81500,163.0,6.251589433395734,1.8582220336788524,51.280541110117326,FALSE
82000,164.0,6.302972029579462,1.8709022219503244,52.6523545962615,FALSE
82500,165.0,6.259035425768105,1.852817912762335,51.71900136140675,FALSE
83000,166.0,6.224336710936626,1.8489076536759836,49.98267920086558,FALSE
83500,167.0,6.2980870335253325,1.8667180661411038,52.937638022828615,FALSE
84000,168.0,6.176893808544676,1.844797921264806,46.40345379053973,FALSE
84500,169.0,6.23294204947089,1.8530475045900108,50.90337691495951,FALSE
85000,170.0,6.274703828899499,1.8543876532983696,52.77332813723581,FALSE
85500,171.0,6.277655519256855,1.8506774687912593,52.8791480434683,FALSE
86000,172.0,6.242011691512166,1.8581251519762065,51.75560447432839,FALSE
86500,173.0,6.2172205026640786,1.8450087332042118,50.14937025849348,FALSE
87000,174.0,6.320555146932689,1.8669128489307467,53.60868017676214,FALSE
87500,175.0,6.330516384330367,1.860095649541681,53.53248352870577,FALSE
