step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,7.371374252612625,2.0696427823155212,0.0,FALSE
500,1.0,7.280724318031576,2.0608790406189943,1.7464712967674587,FALSE
1000,2.0,7.38199903688411,2.0691050106722617,3.574798334592187,FALSE
1500,3.0,7.350691176456075,2.082441345551363,5.162186059730833,FALSE
2000,4.0,7.407325521488897,2.0844826630726643,6.522688403849909,FALSE
2500,5.0,7.447086441139593,2.0595878852478298,7.632147390631985,FALSE
3000,6.0,7.407651201771886,2.090639732008867,9.087169358529813,FALSE
3500,7.0,7.363349939858516,2.0711929212999367,10.300183770069532,FALSE
4000,8.0,7.388788523350436,2.066653225697022,11.400804658679807,FALSE
4500,9.0,7.258013075970258,2.052099761406676,10.975760548910536,FALSE
5000,10.0,7.329530461612403,2.0580957960818247,13.071467917822574,FALSE
5500,11.0,7.371539704287136,2.0736860993655255,14.26914756904064,FALSE
6000,12.0,7.415390153953562,2.056377450348561,14.971993354863269,FALSE
6500,13.0,7.408283671711824,2.070745204022558,15.888682220462925,FALSE
7000,14.0,7.4193432920757765,2.0678023080777432,16.597249608917213,FALSE
7500,15.0,7.4286888654530365,2.0757297958688743,17.27091410744498,FALSE
8000,16.0,7.421915498461599,2.081033083245308,18.049757159912897,FALSE
8500,17.0,7.441597968795524,2.0609640977957513,18.497715709967313,FALSE
9000,18.0,7.391345905719293,2.0604420847275815,19.559373136877173,FALSE
9500,19.0,7.33368005379088,2.0638183464836475,19.739072280542565,FALSE
10000,20.0,7.435074904552584,2.06739570867599,20.51642300449166,FALSE
10500,21.0,7.44116393808017,2.06210978048845,21.006764797498956,FALSE
11000,22.0,7.37708667120177,2.070369438689155,21.992574145329392,FALSE
11500,23.0,7.414519460062635,2.0860449555638056,22.41501804345136,FALSE
12000,24.0,7.380763125327874,2.076912235239208,23.090050388747382,FALSE
12500,25.0,7.341701815332151,2.0836990777806754,23.168689913073905,FALSE
13000,26.0,7.446624584613735,2.0625239797736943,23.575578390764434,FALSE
13500,27.0,7.243391292284939,2.068909160155492,20.916114492883672,FALSE
14000,28.0,7.105697517903475,2.103330615668564,13.768807805655603,FALSE
14500,29.0,7.347011974713641,2.1009439871169286,25.133633077735688,FALSE
15000,30.0,7.228964090654235,2.112767407248549,21.64972728340463,FALSE
15500,31.0,6.9896911107920126,2.1135548304135217,9.526529675815121,FALSE
16000,32.0,7.139273619759135,2.127504713623858,18.066022754338494,FALSE
16500,33.0,7.142602273261023,2.0969014805523516,19.466185867831786,FALSE
17000,34.0,7.195507744292067,2.1088464210124003,22.778119547070126,FALSE
17500,35.0,7.224160672241378,2.123721918087603,24.261896742324705,FALSE
18000,36.0,7.064069922782282,2.0930407938632953,16.481267924268394,FALSE
18500,37.0,7.076974019529062,2.1142969643786778,17.622670237376568,FALSE
19000,38.0,7.219913722369623,2.1090205206607893,26.091516089730845,FALSE
19500,39.0,7.056250656154304,2.0740766865120506,17.822292356667027,FALSE
20000,40.0,7.123042355632535,2.0735608846170948,22.543636560565712,FALSE
20500,41.0,7.163479609791636,2.0652592643334415,25.293966333003272,FALSE
21000,42.0,7.120888613266483,2.076823888850305,23.530857807312703,FALSE
21500,43.0,7.00920853353917,2.0707129630750862,17.281041720688645,FALSE
22000,44.0,7.051323453190422,2.0688576810521413,20.51970025709627,FALSE
22500,45.0,7.017808437259724,2.073852188347417,19.22772863740119,FALSE
23000,46.0,6.94587496997445,2.050203757913557,15.328388367935036,FALSE
23500,47.0,6.941011135061754,2.0673803778598274,15.963020621516026,FALSE
24000,48.0,7.057778493294802,2.076871472132327,23.505090340534743,FALSE
24500,49.0,6.980620202175673,2.058968765144515,19.30552639667772,FALSE
25000,50.0,6.959533806616907,2.0631794660434806,18.850219275100393,FALSE
25500,51.0,7.042518402531399,2.0861574186350085,24.4128810136468,FALSE
26000,52.0,7.125587817874358,2.078971033433574,29.349966781387973,FALSE
26500,53.0,7.108255859589835,2.0668473587001617,28.911239096426282,FALSE
27000,54.0,7.061967992842639,2.07021246703918,26.87667155376624,FALSE
27500,55.0,7.070131753858126,2.0618248169980316,27.69376176852225,FALSE
28000,56.0,7.012885655731578,2.055273701909744,24.855886949895115,FALSE
28500,57.0,6.938503792396569,2.068348957385173,20.89422114335434,FALSE
