#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-8297.91942326323,5109.096003496306,-3188.8234197669244,307.85721867729484,160.43279777007425
1000,2.0000000000000013,-8373.117675627404,4907.714514200684,-3465.4031614267196,295.7226365231886,157.0764795004443
1500,2.999999999999891,-8605.435315269388,4917.448182381572,-3687.9871328878153,296.3091551581184,157.10895261952695
2000,3.999999999999781,-8586.142961515503,4870.443971726453,-3715.69898978905,293.4768369655255,158.93129686354618
2500,4.999999999999671,-8681.079693926118,4804.334127952117,-3876.745565974001,289.4932765435585,158.59088588629382
3000,5.999999999999561,-8450.986067386615,4833.293076195366,-3617.6929911912493,291.23824693673276,157.87224187975679
3500,6.999999999999451,-8536.250214418882,4974.053000959371,-3562.1972134595107,299.71997421479085,157.00314915493328
4000,7.999999999999341,-8500.150658169166,4854.464610007466,-3645.6860481617005,292.5139735055945,157.39576401894394
4500,8.999999999999675,-8575.974979811472,4845.991158888793,-3729.983820922679,292.0033913806535,157.7084636749976
5000,10.000000000000009,-8463.330964218183,5156.405500790436,-3306.9254634277468,310.70793243253155,159.37594764258404
5500,11.000000000000343,-8428.017668528453,5067.59093557518,-3360.426732953273,305.3562606286565,158.85851372147764
6000,12.000000000000677,-8433.124094582918,4912.5222132710505,-3520.601881311867,296.0123325600271,158.2331655703154
6500,13.00000000000101,-8619.380811198549,4970.562706828007,-3648.8181043705417,299.5096606401561,157.2455629683997
7000,14.000000000001345,-8448.443891156972,4752.9635992218955,-3695.480291935077,286.3978584723291,156.40158926586776
7500,15.000000000001679,-8514.503078467444,5001.931996288533,-3512.5710821789107,301.399870219031,153.7390879242028
8000,16.00000000000201,-8476.113067900955,4998.138131764671,-3477.9749361362838,301.1712644970882,154.899400158879
8500,17.000000000001457,-8506.519334781618,5008.014651002913,-3498.504683778706,301.7663908640261,154.9467947122041
9000,18.000000000000902,-8569.970854027535,5007.440725165983,-3562.530128861552,301.7318079922689,153.53542329896231
9500,19.000000000000348,-8474.335964282167,5014.549433224575,-3459.7865310575917,302.16015521647637,152.32889829990754
10000,19.999999999999794,-8377.41765246265,5116.956380677819,-3260.4612717848304,308.33085899550355,152.50127575122758
10500,20.99999999999924,-8562.11856909872,4941.978909231795,-3620.1396598669253,297.78729558356235,152.08095256951324
11000,21.999999999998685,-8484.203608023461,5003.2097367169645,-3480.9938713064967,301.4768626290815,152.8058790426449
11500,22.99999999999813,-8444.492103504741,5108.6871726838735,-3335.8049308208674,307.83258388539844,152.0166911863801
12000,23.999999999997577,-8533.556380985672,5145.402788893216,-3388.153592092456,310.04494542264416,152.58000984664002
12500,24.999999999997023,-8664.270669646256,4985.349993907028,-3678.9206757392276,300.40069362697307,151.881126754713
13000,25.99999999999647,-8379.999553571293,4807.680805573656,-3572.3187479976377,289.69493626255206,149.29974059218108
13500,26.999999999995914,-8338.958331263493,4840.398599268384,-3498.5597319951094,291.66640224424896,148.52479069331488
14000,27.99999999999536,-8549.299624821098,4927.199525380078,-3622.1000994410206,296.89673881907015,148.58919515568047
14500,28.999999999994806,-8643.595469345968,4961.398523990218,-3682.1969453557504,298.9574573075193,147.68962230634813
15000,29.99999999999425,-8609.28806124329,5080.422439720987,-3528.865621522302,306.1294446077931,147.46970684992698
15500,30.999999999993697,-8405.209099975425,5016.085379294588,-3389.1237206808373,302.2527062440611,146.73456350157713
16000,31.999999999993143,-8578.072329639088,5156.194761933706,-3421.877567705382,310.69523400638025,146.14003414041895
16500,32.999999999994365,-8538.452127268363,5004.1286552423435,-3534.3234720260198,301.53223361863047,146.9901629786895
17000,33.99999999999559,-8422.601506759853,4991.363648490945,-3431.237858268908,300.7630565524346,148.55203602936112
17500,34.99999999999681,-8419.940745989068,5050.531852164346,-3369.4088938247223,304.32833671247846,147.97284828784942
