#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-5519.339382836879,4874.808911288569,-644.5304715483098,293.7398537795309,165.72740503706413
1000,2.0000000000000013,-5633.815368304825,4778.580200833521,-855.2351674713036,287.94143011763043,163.0432131927407
1500,2.999999999999891,-5456.482122735313,4746.066352778272,-710.4157699570414,285.9822532252927,163.39326794239204
2000,3.999999999999781,-5416.812785368148,4693.66429620033,-723.1484891678183,282.8246786993853,161.2331840455878
2500,4.999999999999671,-5628.291291784619,4910.686655873949,-717.6046359106695,295.901727945315,161.90281421410268
3000,5.999999999999561,-5603.472270855973,4878.868511424931,-724.6037594310419,293.9844718501381,163.62378507972483
3500,6.999999999999451,-5496.041827474201,5065.287695257465,-430.75413221673625,305.21747498875624,162.19770529761948
4000,7.999999999999341,-5324.068212086109,4887.622145253702,-436.44606683240727,294.51193685803787,161.01071753987654
4500,8.999999999999675,-5595.427658819353,4907.748204091983,-687.6794547273703,295.7246665645552,162.07665349701662
5000,10.000000000000009,-5437.543347047984,4819.250506682422,-618.2928403655615,290.39208816610505,161.9206268516366
5500,11.000000000000343,-5247.246651849509,5071.993393144158,-175.25325870535107,305.6215381536047,163.2941928426545
6000,12.000000000000677,-5278.417369951309,4929.40266465989,-349.014705291419,297.02949270167045,166.44822408822483
6500,13.00000000000101,-5223.501013690504,5212.403908666108,-11.097105024396114,314.0822111869655,167.72855064103067
7000,14.000000000001345,-5236.209855800713,4921.660862122013,-314.54899367869984,296.56299729911217,169.30773409720447
7500,15.000000000001679,-5312.605897392301,5027.2368104310935,-285.36908696120736,302.92465458318145,169.59644451270916
8000,16.00000000000201,-5323.779824254228,5139.365079699585,-184.4147445546423,309.6811330460003,175.5152370546107
8500,17.000000000001457,-5285.57628236614,5001.460990003821,-284.11529236231854,301.3714889389197,175.13881275111854
9000,18.000000000000902,-5430.107108044651,5076.543655592172,-353.5634524524785,305.895721911463,176.15792295513592
9500,19.000000000000348,-5417.201116923401,4974.201035560186,-443.00008136321503,299.72889428997513,177.56155830282984
10000,19.999999999999794,-5223.326651466654,4768.224557073801,-455.10209439285245,287.3174332924977,177.7772472453897
10500,20.99999999999924,-5278.659249876521,5020.033230503156,-258.6260193733651,302.49059069406746,178.4876864969293
11000,21.999999999998685,-5509.560016561781,4987.885987207627,-521.6740293541534,300.5535041914198,180.17544077474136
11500,22.99999999999813,-5463.410159020997,4833.049330827653,-630.3608281933439,291.2235596474514,180.00440251674485
12000,23.999999999997577,-5446.179811012336,4931.268088451312,-514.9117225610244,297.1418969664736,178.5948027362651
12500,24.999999999997023,-5322.127125369205,4737.254456235461,-584.8726691337442,285.4512774990418,179.1610254347201
13000,25.99999999999647,-5582.080281153232,4987.144508194108,-594.9357729591238,300.50882511969104,181.19647223012757
13500,26.999999999995914,-5500.701009511498,4864.387835378552,-636.3131741329462,293.11191422954255,181.63156778088575
14000,27.99999999999536,-5357.302591000556,5078.273140212052,-279.0294507885046,305.99993493162486,180.4372034001521
14500,28.999999999994806,-5517.2125685457895,5089.046990274978,-428.16557827081124,306.64913148470373,179.93270418978773
15000,29.99999999999425,-5439.838539757403,4816.539940943992,-623.2985988134105,290.2287584442318,180.51786985860448
15500,30.999999999993697,-5345.268184054473,4763.26235412176,-582.0058299327129,287.01842736301774,179.14409370178902
16000,31.999999999993143,-5373.723248143771,4970.360780025992,-403.3624681177789,299.497493199262,182.1092881430509
16500,32.999999999994365,-5552.296105331399,5128.7999775394965,-423.49612779190284,309.04451495077944,183.3574977685698
17000,33.99999999999559,-5249.9022498467075,4819.172501082375,-430.7297487643327,290.3873878067743,184.78188544494535
