#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-7086.92213216714,4881.037699547163,-2205.884432619977,294.1151799483303,171.92481418953594
1000,2.0000000000000013,-7136.4818783503615,5085.74738454077,-2050.734493809591,306.4503081618752,171.13328170789347
1500,2.999999999999891,-7217.542208766092,4908.034161242446,-2309.5080475236455,295.74189739618225,171.21430360596653
2000,3.999999999999781,-7142.103262453705,4880.5504057678145,-2261.55285668589,294.085817237689,171.3420002995103
2500,4.999999999999671,-7258.958630126102,5054.77591060288,-2204.1827195232227,304.5840696299842,170.8956678552829
3000,5.999999999999561,-7155.012776550704,4986.395608796005,-2168.617167754699,300.4636989201419,169.31115314555026
3500,6.999999999999451,-7051.745230991517,4827.867027918477,-2223.87820307304,290.91129122288663,165.7268208417823
4000,7.999999999999341,-7114.895542407427,4920.2575950316905,-2194.637947375736,296.47844106779604,166.57521189860935
4500,8.999999999999675,-7023.615656696891,4885.129774295016,-2138.4858824018747,294.3617548315643,164.2344798948637
5000,10.000000000000009,-7152.186712890528,5048.513819969529,-2103.6728929209985,304.20673677028276,165.24546884473563
5500,11.000000000000343,-7128.519762143149,5019.855625412899,-2108.66413673025,302.47988879904096,164.41866106205018
6000,12.000000000000677,-6932.071121492854,4769.506553126198,-2162.564568366656,287.3946821323661,163.34468175718982
6500,13.00000000000101,-7106.7230824692815,5093.290189971857,-2013.4328924974243,306.90481265727897,164.17397621829207
7000,14.000000000001345,-7022.252495507837,4911.6071572486335,-2110.6453382592035,295.9571943121253,164.5472303734661
7500,15.000000000001679,-7166.994114537267,4877.322933349241,-2289.671181188026,293.89134042976457,163.03761256865408
8000,16.00000000000201,-7175.469038688515,5013.542343488959,-2161.926695199556,302.09947132156555,161.82341078031132
8500,17.000000000001457,-7126.723499016725,5066.091723713112,-2060.6317753036137,305.2659230828855,160.78134094482277
9000,18.000000000000902,-7110.212984384248,4961.8287199497345,-2148.384264434513,298.9833794924797,161.63168976176416
9500,19.000000000000348,-7034.525905802274,4979.860419977283,-2054.6654858249913,300.06991006749826,161.57856869456873
10000,19.999999999999794,-6949.908212936411,4904.734197436306,-2045.1740155001044,295.543052497124,160.67979254450043
10500,20.99999999999924,-7110.771673094092,4844.92142820836,-2265.8502448857316,291.938932949693,159.47304794634186
11000,21.999999999998685,-6955.876876924889,4935.320744160966,-2020.5561327639234,297.38609658890715,160.87267234781422
11500,22.99999999999813,-6891.088862055458,4759.031599993237,-2132.0572620622206,286.763496119208,160.96213059522788
12000,23.999999999997577,-7285.408657467807,5145.42266141176,-2139.985996056047,310.0461428748515,160.5823598018454
12500,24.999999999997023,-7185.113105534517,4985.409552958247,-2199.7035525762694,300.4042824583129,160.9807016814815
13000,25.99999999999647,-7201.756125725057,4985.992721910625,-2215.7634038144324,300.4394222896206,161.8368607539516
13500,26.999999999995914,-6783.227921088563,4975.555717310907,-1807.6722037776553,299.8105229295005,159.3677216043772
14000,27.99999999999536,-6900.610622695872,4984.219674952501,-1916.3909477433708,300.33258434710814,158.14537144256659
14500,28.999999999994806,-7078.671268853273,5129.207126300567,-1949.464142552706,309.0690483878269,158.32435291192886
15000,29.99999999999425,-7087.215760173403,4998.329621818735,-2088.886138354668,301.18280305408695,158.84405705517472
15500,30.999999999993697,-7061.030948758984,5069.111943553025,-1991.9190052059585,305.4479115362388,159.31862096783107
16000,31.999999999993143,-7079.321252870378,4822.263713181686,-2257.0575396886916,290.5736540187587,158.73105770353146
16500,32.999999999994365,-7165.769206481196,5086.82446930154,-2078.944737179656,306.5152097253815,158.19425007967072
17000,33.99999999999559,-7008.730591776599,4883.308411648545,-2125.4221801280537,294.25200554555335,158.82893369046846
17500,34.99999999999681,-6795.960101466471,4821.000533832953,-1974.9595676335184,290.49753901118675,161.1358876748051
18000,35.99999999999803,-7146.262785507254,5162.9186095189925,-1983.3441759882617,311.10039081200694,160.43268606842494
18500,36.999999999999254,-7009.921363252896,5037.937078439976,-1971.9842848129201,303.5694173251738,160.5603429930653
19000,38.000000000000476,-7246.61073818177,4915.451363485335,-2331.1593746964354,296.18883345909825,161.0064593164346
19500,39.0000000000017,-7127.714358300005,4982.888569596037,-2144.825788703968,300.25237634308417,160.78866753788574
20000,40.00000000000292,-7170.866624417947,4969.181883169872,-2201.6847412480747,299.42645677579605,160.85704189500265
20500,41.00000000000414,-7128.541667208143,5048.616553682528,-2079.9251135256145,304.2129271638723,163.12487141378764
21000,42.000000000005365,-6957.3077379226415,4983.401964905418,-1973.9057730172235,300.28331184555265,164.4028299493832
21500,43.00000000000659,-7066.154342867674,4917.291818300164,-2148.8625245675103,296.2997331759966,162.74468035372968
22000,44.00000000000781,-7169.5807212923955,4949.146005218925,-2220.4347160734706,298.21916107113225,162.9120071990714
22500,45.00000000000903,-7198.352588925317,4950.051739470618,-2248.3008494546993,298.2737376199768,159.56928177194155
23000,46.00000000001025,-7081.004124396091,4956.347956053245,-2124.6561683428463,298.6531267964557,159.59704335281626
23500,47.000000000011475,-7120.202227330307,4699.799477224629,-2420.402750105678,283.1943644060015,158.6020924595815
24000,48.0000000000127,-7248.113787458209,5222.379731713271,-2025.734055744938,314.68332127282315,158.26480175442137
24500,49.00000000001392,-7234.752683403933,5041.192847742159,-2193.559835661774,303.7655992096674,157.02317369190803
25000,50.00000000001514,-7137.007483335196,5040.14912171933,-2096.8583616158667,303.7027077333222,157.2018066732748
25500,51.000000000016364,-7189.755672846393,4840.724921454238,-2349.0307513921553,291.68606533933684,158.15419067912137
26000,52.000000000017586,-7189.811489345143,4887.2189165650925,-2302.5925727800504,294.487639631585,158.85165855414016
26500,53.00000000001881,-7115.830689297846,4712.058988646014,-2403.7717006518324,283.93308199634373,159.9155896731651
27000,54.00000000002003,-7089.936667256756,4598.9482060477985,-2490.9884612089572,277.1174005315075,161.4763477486106
27500,55.00000000002125,-7196.667643565084,4885.377824409793,-2311.2898191552913,294.3767015106589,162.69722835188085
28000,56.000000000022474,-7495.466701129626,4870.342090508678,-2625.1246106209483,293.4706979404771,162.41410059334206
28500,57.0000000000237,-7076.214288826278,4750.176834737402,-2326.037454088876,286.2299372661671,161.58516672409115
29000,58.00000000002492,-7151.943812555668,4907.670463316016,-2244.273349239652,295.71998216264717,161.2452635699861
29500,59.00000000002614,-7304.233449008334,5005.239133582891,-2298.9943154254433,301.59914736875146,165.15671736406222
30000,60.00000000002736,-7028.886184294033,4875.834786498125,-2153.051397795908,293.8016696249383,162.3306944082207
30500,61.000000000028585,-6843.02342564311,4810.996223836907,-2032.0272018062033,289.8947123960555,163.50988951333443
31000,62.00000000002981,-6899.153371452814,4973.232558809053,-1925.9208126437607,299.6705370857352,164.56496222406287
31500,63.00000000003103,-7105.318299476063,4937.964150839692,-2167.354148636371,297.54537952807846,164.05475992808525
32000,64.00000000003224,-7106.665861343318,5018.560421131611,-2088.105440211707,302.401844075007,164.99514929270666
32500,65.00000000002991,-7022.6515694444015,5060.021066974287,-1962.6305024701142,304.9001253961949,164.37508266778815
33000,66.00000000002758,-7133.41928765895,4998.524484432485,-2134.8948032264652,301.19454483037225,163.27720012901634
33500,67.00000000002525,-7236.977250945451,4847.480312980777,-2389.4969379646736,292.0931228784814,162.94602651554922
34000,68.00000000002292,-7252.080412239924,4769.787341001306,-2482.293071238618,287.4116014805658,163.026195017042
34500,69.00000000002059,-7070.864314812559,4690.819844472215,-2380.0444703403446,282.65328145081526,162.48581876825205
35000,70.00000000001826,-7062.214267044149,4892.918200749844,-2169.296066294305,294.83105963707493,161.9581757614742
35500,71.00000000001593,-7168.247689502913,5027.445085171082,-2140.8026043318314,302.9372045298119,161.65301541270563
36000,72.0000000000136,-7131.091297997542,5087.361968190452,-2043.72932980709,306.54759762979137,163.06148023208303
36500,73.00000000001127,-7163.837675935481,5030.911982656019,-2132.9256932794615,303.1461082999547,164.4627612969373
37000,74.00000000000894,-7161.011498974194,4918.687810394279,-2242.323688579915,296.383851040115,163.64127328770093
37500,75.00000000000661,-7073.848752050038,4813.131714522958,-2260.71703752708,290.0233899982515,161.33800201639832
38000,76.00000000000428,-6960.580380545125,4837.265944335437,-2123.314436209688,291.4776388242481,160.10340486124764
38500,77.00000000000195,-7138.229257073599,5022.8073709595565,-2115.4218861140425,302.65775121807076,159.98982692509944
39000,77.99999999999962,-7143.349833037086,5052.59889248809,-2090.7509405489955,304.45288972235073,158.09154059181154
39500,78.99999999999729,-7196.413772538084,5043.723909373268,-2152.6898631648164,303.91811260803,157.833079060954
40000,79.99999999999496,-7178.846763324591,4902.345747602275,-2276.501015722316,295.39913241373705,156.69521951881836
