#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-4844.154488575161,4852.243912146636,8.089423571474981,292.3801616010051,173.28676503010146
1000,2.0000000000000013,-4852.397475468479,4885.521650906954,33.124175438475504,294.385368019442,172.2779264824341
1500,2.999999999999891,-4773.094888638149,4982.025793533634,208.93090489548467,300.2003883125733,171.42505847760242
2000,3.999999999999781,-4648.6630240410595,4865.711920762125,217.04889672106583,293.1916992332299,170.9980632314866
2500,4.999999999999671,-4614.822350791124,4911.004445347218,296.18209455609394,295.9208768873781,171.6797381078565
3000,5.999999999999561,-4735.198744745976,4977.136724206126,241.93797946015002,299.90578917330146,169.83079167689297
3500,6.999999999999451,-4926.919746674393,4976.567478140192,49.64773146579955,299.8714882890586,170.05227617582014
4000,7.999999999999341,-4753.857701581304,4913.622470398334,159.76476881703002,296.0786304136599,171.08401486633164
4500,8.999999999999675,-4760.598139813803,4988.061419747908,227.46327993410523,300.56407517577384,171.4661745947437
5000,10.000000000000009,-4815.810725980106,5109.109423570465,293.29869759035864,307.8580273265553,169.4200398859576
5500,11.000000000000343,-4801.575392715585,5170.911772679664,369.33637996407924,311.5820323739181,166.97279655852145
6000,12.000000000000677,-4647.467760017289,5051.6463250668,404.17856504951123,304.3954911616816,166.35417156517494
6500,13.00000000000101,-4931.912757283491,4971.288549754723,39.37579247123176,299.5533975330354,167.1466326767343
7000,14.000000000001345,-4691.509497359911,4672.147792354738,-19.361705005172553,281.5281653778446,167.09977827548806
7500,15.000000000001679,-4781.766425159534,5068.05429134843,286.28786618889535,305.38418091426337,167.963955468781
8000,16.00000000000201,-4484.89984457732,4969.558394325908,484.6585497485876,299.4491440921469,166.98537545259092
8500,17.000000000001457,-4692.438836045482,4845.432381031129,152.99354498564662,291.96972127600066,164.41331278180036
9000,18.000000000000902,-4939.104712928647,4907.37375649203,-31.730956436616907,295.7021035912654,163.9959425685676
9500,19.000000000000348,-4849.346725788561,4915.422792265277,66.07606647671582,296.18711185192245,162.24275457532227
10000,19.999999999999794,-5003.4807154658665,4838.317854626712,-165.16286083915475,291.54102345752733,161.9888341681961
10500,20.99999999999924,-4807.494990686057,4980.70610041927,173.21110973321356,300.120867972494,159.89542381976418
11000,21.999999999998685,-4853.988689465831,4815.382272054398,-38.60641741143354,290.1590011477833,159.1555965429533
11500,22.99999999999813,-4746.167370215075,5005.304462518977,259.13709230390214,301.6030838742603,155.9781036223721
12000,23.999999999997577,-4700.085964585273,4812.290802258263,112.20483767298992,289.9727194078411,156.46266080490363
12500,24.999999999997023,-4712.376343581142,4957.274424567552,244.8980809864106,298.7089527233538,156.52250184342134
13000,25.99999999999647,-4536.306291781331,5141.329589073005,605.0232972916738,309.79950788009086,158.28878752006847
13500,26.999999999995914,-4752.9441108188,5099.521439612158,346.577328793358,307.2802871407951,158.50861954006106
14000,27.99999999999536,-4713.566316934035,4984.498870337508,270.9325534034733,300.3494077371241,157.4548882767518
14500,28.999999999994806,-5005.53161212391,4860.773488852146,-144.7581232717639,292.8941256680839,158.03953726802308
15000,29.99999999999425,-4838.501111997887,4965.741034859828,127.23992286194061,299.21912264273305,157.55914745450252
15500,30.999999999993697,-4828.3280029740845,5005.166456374792,176.8384534007073,301.59476808068734,155.86173410906116
16000,31.999999999993143,-4903.188211516972,4968.461042856504,65.27283133953188,299.38302132384285,155.32459611203726
16500,32.999999999994365,-4762.7537323003635,4808.700859191287,45.947126890923755,289.75640131809433,154.65549721659843
17000,33.99999999999559,-4931.270434975433,4912.552421279601,-18.71801369583227,296.01415279466113,151.14664819285193
17500,34.99999999999681,-4916.993884768367,4938.170696321111,21.176811552743857,297.5578252753098,151.81082266625017
18000,35.99999999999803,-4496.177315848976,4746.837026123338,250.65971027436171,286.02869145083366,154.45145041984003
