#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-5541.530169134819,5030.140460131453,-511.38970900336517,303.0996189056671,166.99490851310756
1000,2.0000000000000013,-5626.628221387228,5044.580845296205,-582.0473760910236,303.9697487310622,166.5986166924538
1500,2.999999999999891,-5573.762948671782,5148.914091577993,-424.8488570937898,310.25652490318816,165.8460675921414
2000,3.999999999999781,-5526.416208988575,4862.285778284925,-664.1304307036498,292.98525122499103,164.06805552472787
2500,4.999999999999671,-5644.73149269364,4908.94708082056,-735.78441187308,295.79690690902004,165.34260803452977
3000,5.999999999999561,-5434.653060086214,5068.09564208146,-366.55741800475425,305.3866725726022,165.6415893943255
3500,6.999999999999451,-5371.477704999174,4943.932860326554,-427.54484467262046,297.9050342107192,163.43628408744874
4000,7.999999999999341,-5538.634208571129,5092.962193778335,-445.67201479279447,306.8850486920285,165.21744689879577
4500,8.999999999999675,-5542.709464600668,5154.983841524983,-387.7256230756848,310.6222679496035,165.17963328338746
5000,10.000000000000009,-5484.889272069109,4999.121724283865,-485.76754778524446,301.23053252749196,164.57737404485695
5500,11.000000000000343,-5487.894568718206,4890.597124829542,-597.297443888664,294.6911992827825,165.87818105884065
6000,12.000000000000677,-5610.357350714721,4900.8524460745,-709.504904640221,295.30915100515267,165.5101615775176
6500,13.00000000000101,-5567.570594400613,5246.498413472419,-321.07218092819403,316.13663322457603,169.25244256587536
7000,14.000000000001345,-5738.101578133117,4812.478625537637,-925.6229525954805,289.98403701713073,166.264916261032
7500,15.000000000001679,-5483.45145401707,4961.453043598483,-521.9984104185869,298.9607424787027,162.6647180129466
8000,16.00000000000201,-5411.973604832291,4989.23462924597,-422.73897558632143,300.63476889786324,162.13267424362522
8500,17.000000000001457,-5519.556161064436,5034.985655953212,-484.5705051112245,303.39157437266414,163.2395760548801
9000,18.000000000000902,-5600.481396992095,4887.2909128804,-713.1904841116948,294.4919778913027,160.1676520882226
9500,19.000000000000348,-5504.1171646108305,4999.831330807668,-504.28583380316286,301.27329106845957,157.6684944157202
10000,19.999999999999794,-5646.530381734089,5007.075142270526,-639.455239463563,301.70977917673787,156.8540479251619
10500,20.99999999999924,-5492.370947018807,4933.658525141789,-558.7124218770177,297.28593677125525,156.01989614290753
11000,21.999999999998685,-5729.89507003618,5009.837484201437,-720.0575858347429,301.8762287606376,156.43496510454602
11500,22.99999999999813,-5479.657914290025,5020.867965434921,-458.78994885510383,302.54088905883685,156.15290911727325
12000,23.999999999997577,-5613.049835905635,5000.628127983764,-612.4217079218706,301.3213034296121,157.98086256089533
12500,24.999999999997023,-5645.395583525013,4903.437231776522,-741.9583517484907,295.46490163825035,155.90027833986483
13000,25.99999999999647,-5508.810571768525,4878.173889572636,-630.6366821958891,293.9426162358897,155.92910422451752
13500,26.999999999995914,-5527.494116044032,4832.395175911081,-695.0989401329507,291.1841424368408,155.774026368365
14000,27.99999999999536,-5707.759864548464,4934.379599504335,-773.3802650441294,297.32938632623734,158.58307968355734
14500,28.999999999994806,-5733.711277128553,4872.538561351365,-861.1727157771875,293.6030500051228,160.0227702839873
15000,29.99999999999425,-5716.59323288634,5041.342379387288,-675.250853499052,303.77460949178817,158.4902794602652
15500,30.999999999993697,-5736.558910876036,4963.657670632822,-772.9012402432136,299.09358600846764,159.2467144492714
16000,31.999999999993143,-5706.360820251217,4896.833837808926,-809.5269824422912,295.06700296903307,160.30786547399748
16500,32.999999999994365,-5494.864649881714,5130.224184432532,-364.64046544918256,309.1303329453152,160.84187220596237
17000,33.99999999999559,-5525.247763409826,5050.568903706066,-474.6788597037603,304.33056931577534,161.95918136709176
17500,34.99999999999681,-5573.587864921594,5091.330641474636,-482.25722344695805,306.7867367491721,160.79431109950534
18000,35.99999999999803,-5541.263524593328,4887.570574060093,-653.6929505332346,294.5088293485651,163.0719299890436
18500,36.999999999999254,-5586.627897136699,4916.668216319597,-669.9596808171018,296.262156984207,161.03409214735814
19000,38.000000000000476,-5690.189577409028,4849.327690839358,-840.8618865696699,292.20443975508726,160.94324795274693
19500,39.0000000000017,-5535.700344354151,4872.630613517755,-663.069730836396,293.6085967640599,160.57949082912842
20000,40.00000000000292,-5627.468862767416,4672.470231603313,-954.9986311641032,281.547594499981,156.78127862288252
20500,41.00000000000414,-5656.743537911927,5056.047007325357,-600.6965305865697,304.6606617122986,153.9354701475447
21000,42.000000000005365,-5651.044980113423,4925.74679552202,-725.2981845914028,296.80920212504736,156.07345936930759
21500,43.00000000000659,-5530.590933454581,5026.22362713901,-504.3673063155711,302.8636035107221,157.6476917062268
22000,44.00000000000781,-5614.745653442596,5067.461802313548,-547.2838511290483,305.348479485625,153.68818975588204
22500,45.00000000000903,-5563.7972946605605,4982.9605943020715,-580.836700358489,300.25671631353305,153.75141855970483
23000,46.00000000001025,-5590.463023812661,4859.73785966018,-730.7251641524808,292.8317220799733,155.87362402399378
23500,47.000000000011475,-5709.367807447453,5012.296996664767,-697.0708107826858,302.024430842913,154.837438216278
24000,48.0000000000127,-5480.778347364701,4946.287683945769,-534.4906634189329,298.04692808967366,153.64685462797604
24500,49.00000000001392,-5489.827768803242,5031.15272221313,-458.6750465901123,303.1606144690357,151.4266713101416
25000,50.00000000001514,-5436.261671066326,4761.222959250095,-675.0387118162307,286.89554017660635,152.47975768448154
25500,51.000000000016364,-5851.957045926187,5091.784840875096,-760.1722050510907,306.81410530205403,153.04738263244536
26000,52.000000000017586,-5586.2631075261825,5009.670987313097,-576.5921202130858,301.86619620910056,152.85646467233946
26500,53.00000000001881,-5619.91586612856,4773.847295599821,-846.0685705287387,287.65624090988945,156.8292549761384
27000,54.00000000002003,-5440.7154266414755,5067.136378607126,-373.5790480343494,305.3288705299346,157.5653497209731
27500,55.00000000002125,-5607.750825879977,4951.682186416095,-656.0686394638824,298.3719829576045,156.83904888350335
28000,56.000000000022474,-5798.109209363357,5130.789886423066,-667.3193229402914,309.1644202753021,156.63869245064123
28500,57.0000000000237,-5409.375207416113,5028.753379057107,-380.62182835900603,303.0160379901126,154.79858350334354
29000,58.00000000002492,-5472.532769426431,4987.90019086226,-484.6325785641702,300.5543600566467,155.37267006728237
29500,59.00000000002614,-5525.323461491335,4864.046895034278,-661.276566457057,293.0913702926012,155.6384785666322
30000,60.00000000002736,-5544.524283497811,4875.500668028078,-669.0236154697332,293.78153675156364,154.08724569180927
30500,61.000000000028585,-5496.4189245778725,5182.303534381626,-314.11539019624615,312.26846223763584,154.24120622039774
31000,62.00000000002981,-5573.030876015188,5067.68205170396,-505.3488243112288,305.36175098506465,157.93869489453684
31500,63.00000000003103,-5653.101726020436,4682.9499552824755,-970.1517707379608,282.1790679704669,156.21989056194
32000,64.00000000003224,-5735.862530490311,4952.958241315762,-782.9042891745485,298.44887380326924,154.51632928523722
32500,65.00000000002991,-5647.914391050485,5048.29168779015,-599.6227032603356,304.19335182021024,153.58940449712813
33000,66.00000000002758,-5643.852245691646,4943.783897122073,-700.0683485695736,297.8960581809508,155.17707933628662
33500,67.00000000002525,-5543.77745839116,5082.415269628993,-461.3621887621666,306.2495259435824,152.7234587590818
34000,68.00000000002292,-5728.089900873238,5226.590202403508,-501.49969846973,314.93703030376156,153.6898840430977
34500,69.00000000002059,-5439.697619897572,4946.466794790045,-493.23082510752647,298.05772071645464,151.2298234476912
35000,70.00000000001826,-5465.40019498419,5079.648827504871,-385.751367479319,306.0828292956077,149.07906231396544
35500,71.00000000001593,-5631.762939098999,4993.429592352131,-638.3333467468674,300.88754349310136,148.6881074817791
36000,72.0000000000136,-5510.386973493556,4939.660964887493,-570.7260086060633,297.64762392767705,146.03504445173837
36500,73.00000000001127,-5579.316433710648,5030.267510500379,-549.0489232102691,303.10727454047657,148.9867940726426
37000,74.00000000000894,-5512.015265917695,4930.206756471692,-581.808509446003,297.07794461343195,149.42325333512784
37500,75.00000000000661,-5583.6995035054515,5025.235167497828,-558.4643360076234,302.8040422036531,150.92238108050825
38000,76.00000000000428,-5574.119790353137,4941.324336406947,-632.7954539461907,297.74785319118183,147.319531489052
38500,77.00000000000195,-5700.1949734486025,4845.793955193548,-854.4010182550546,291.99150853854417,147.79034902950238
39000,77.99999999999962,-5743.660775022757,4994.239886552081,-749.4208884706759,300.93636914024836,149.08261136843578
39500,78.99999999999729,-5507.793787503543,4758.067085292885,-749.726702210658,286.7053776550374,148.3339941355024
40000,79.99999999999496,-5830.552402072941,5007.176162931554,-823.3762391413866,301.7158663474843,147.11370502639477
40500,80.99999999999262,-5909.861195316349,4973.294918403628,-936.5662769127212,299.6742946685503,144.4209526734185
41000,81.9999999999903,-5682.747864607071,5055.483072749115,-627.264791857956,304.6266808808483,145.81205607226084
