#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-10090.060024753348,4878.918547159716,-5211.141477593632,291.577154647719,185.62646898211403
1000,2.0000000000000013,-10341.225167185885,4857.872195990114,-5483.352971195771,290.3193686997815,185.21276544024664
1500,2.999999999999891,-10170.528280036257,4821.815832362435,-5348.712447673822,288.16454446734525,186.56292579310914
2000,3.999999999999781,-10110.716713148777,5124.279834441166,-4986.436878707611,306.24059805524934,186.77686067182395
2500,4.999999999999671,-10160.153136200663,5031.586257721917,-5128.566878478746,300.7009832630219,189.16800031128145
3000,5.999999999999561,-10100.988242962432,4925.973767813929,-5175.014475148503,294.38929984281833,189.094139696053
3500,6.999999999999451,-10269.05300614697,4980.960264850219,-5288.092741296752,297.6754392187708,187.68663566547653
4000,7.999999999999341,-10146.703226859865,4898.794344543786,-5247.908882316079,292.76498518671735,187.57058629739197
4500,8.999999999999675,-10181.483619345547,4931.964001084048,-5249.519618261499,294.74729212239714,185.86488803479716
5000,10.000000000000009,-10322.638342855238,5033.05410463205,-5289.584238223188,300.78870570015187,183.9786954629426
5500,11.000000000000343,-10191.918631257773,5037.9912844419705,-5153.927346815803,301.083764702889,185.73569712229585
6000,12.000000000000677,-10172.400330883589,5272.65776407776,-4899.7425668058295,315.10805794779947,181.54872643851633
6500,13.00000000000101,-9970.74218242386,5126.102000651977,-4844.640181771884,306.3494955565927,182.14667723847478
7000,14.000000000001345,-10063.718799082464,5105.859283180473,-4957.8595159019915,305.139736896835,180.47617762833838
7500,15.000000000001679,-9967.965910650732,5018.995839974293,-4948.970070676439,299.9485463966972,180.8021692643068
8000,16.00000000000201,-10110.932942955353,4987.323352863438,-5123.6095900919145,298.0557142899231,180.4721369521565
8500,17.000000000001457,-10197.108261571911,4973.162781263824,-5223.945480308087,297.2094408513956,179.08003692807796
9000,18.000000000000902,-9846.137784982471,4857.397015444408,-4988.740769538063,290.2909706459665,178.6956518787488
9500,19.000000000000348,-10311.620783439685,5164.517438306332,-5147.103345133352,308.64530433010145,179.27659287281998
10000,19.999999999999794,-10066.222895732073,5045.979601722672,-5020.243294009401,301.5611677996236,180.64061093860136
10500,20.99999999999924,-10111.80003145046,5071.416164532945,-5040.383866917516,303.0813244770814,180.7363697392785
11000,21.999999999998685,-10199.522684146968,4910.68591722437,-5288.836766922598,293.47565721228534,179.94082117345087
11500,22.99999999999813,-10282.673894833326,4954.677751332916,-5327.99614350041,296.10472627607845,178.51636675627674
12000,23.999999999997577,-10216.323102161572,5024.398974084509,-5191.924128077063,300.27145206827356,178.48728157973096
12500,24.999999999997023,-10315.866960222816,4921.309691992552,-5394.5572682302645,294.11056226113635,177.87157208164135
13000,25.99999999999647,-10369.408646611057,4924.127089376385,-5445.281557234672,294.278937425581,174.07345253971997
13500,26.999999999995914,-10047.486808536927,5040.075229887439,-5007.411578649489,301.2083068278614,175.3749308790959
14000,27.99999999999536,-10053.344354369357,4980.313223494383,-5073.031130874974,297.6367703056397,176.08414093902888
14500,28.999999999994806,-9901.80782392863,5004.524411084008,-4897.283412844622,299.08369529932185,176.58853245430456
15000,29.99999999999425,-10160.859894241938,4852.109788898498,-5308.75010534344,289.9749919188505,176.61603140231398
15500,30.999999999993697,-10354.288583710797,5090.706169807973,-5263.582413902824,304.2341465209146,177.2504205808219
16000,31.999999999993143,-10181.15019550988,5017.050220140076,-5164.099975369803,299.83227097832247,176.07934450461403
16500,32.999999999994365,-10174.262951778444,4853.920859862805,-5320.34209191564,290.08322633873956,177.0022857876573
17000,33.99999999999559,-10157.879028205365,4884.265520611841,-5273.613507593524,291.89670400893044,177.69026808679368
17500,34.99999999999681,-9934.269615045823,4924.456113489347,-5009.813501556476,294.2986007820689,178.4972993132298
18000,35.99999999999803,-10234.790631034663,4874.664036221177,-5360.126594813485,291.32289375324297,175.67238265653882
18500,36.999999999999254,-10050.441343126287,4843.360381711884,-5207.080961414404,289.4521040641614,174.69687630603693
19000,38.000000000000476,-10154.319369359699,5039.125292306497,-5115.194077053202,301.1515360303442,174.1326719765534
19500,39.0000000000017,-10150.9986498824,4932.82835180673,-5218.17029807567,294.7989480215275,173.38347211351805
20000,40.00000000000292,-10240.19668341462,5076.382509319384,-5163.814174095237,303.3781264564201,173.1181558647364
20500,41.00000000000414,-10157.637337780729,5238.736082580487,-4918.901255200241,313.0808079996323,171.20757438697635
21000,42.000000000005365,-9973.688123202943,4885.28842297024,-5088.399700232702,291.95783537569986,170.63464937745417
21500,43.00000000000659,-10050.404261156971,5189.263284351344,-4861.140976805627,310.1241819357453,169.9001723068527
22000,44.00000000000781,-10238.590566565752,5029.107218104941,-5209.483348460811,300.5528292590578,169.50073344816974
22500,45.00000000000903,-10167.146446995328,4855.039258388983,-5312.107188606345,290.15006481060027,170.70057276955336
23000,46.00000000001025,-10314.91962372054,4951.420611309111,-5363.499012411428,295.91007092136203,169.51720464440425
23500,47.000000000011475,-10344.457150281407,4788.470758005719,-5555.986392275688,286.1717540961865,169.84704065865193
24000,48.0000000000127,-10120.80864356118,4870.309432676425,-5250.4992108847555,291.0626510582841,173.45861230670062
24500,49.00000000001392,-10101.170625585788,5007.138451272613,-5094.032174313175,299.23991729666835,173.81982622218266
25000,50.00000000001514,-10259.37767725844,5075.6540622803095,-5183.723614978131,303.33459252304704,171.72854228218543
25500,51.000000000016364,-10174.283215635256,5032.58251804141,-5141.700697593846,300.76052243065476,171.66257896797865
26000,52.000000000017586,-10040.386102523698,4949.324264090374,-5091.061838433325,295.7847876334192,171.45257118579403
