#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6964.934090803094,5071.095780989675,-1893.8383098134182,303.06217750403,181.23105626326335
1000,2.0000000000000013,-6903.040279696263,4967.376969077904,-1935.663310618359,296.86366531975057,179.66276268068947
1500,2.999999999999891,-6904.447519638563,4860.554491031826,-2043.893028606737,290.4796697887684,181.95610434816913
2000,3.999999999999781,-6813.557889264849,4884.064904639482,-1929.4929846253672,291.8847146646051,180.44416674582226
2500,4.999999999999671,-7001.911951660265,4852.187132034297,-2149.724819625968,289.9796141504475,179.7408991054421
3000,5.999999999999561,-7016.349780708424,4813.763338215547,-2202.586442492877,287.6833059903197,177.85183093201618
3500,6.999999999999451,-6876.055011104428,4888.060455612516,-1987.9945554919113,292.1234994224784,175.92156973777963
4000,7.999999999999341,-6923.933010609983,4877.677609409687,-2046.2554012002965,291.50299290577743,174.5915222969351
4500,8.999999999999675,-7013.685557536596,4854.16788581845,-2159.5176717181466,290.09798926715797,175.97163919844806
5000,10.000000000000009,-6916.388801253546,4779.964879143084,-2136.4239221104626,285.66342014214064,174.21010762558902
5500,11.000000000000343,-6989.01273169674,5125.595626927037,-1863.4171047697027,306.31923331538513,173.38441593063914
6000,12.000000000000677,-6791.691912176467,5003.348291534547,-1788.34362064192,299.0134072655204,170.93691386236694
6500,13.00000000000101,-6858.1029374658965,5077.446878711335,-1780.6560587545619,303.4417360034538,170.31950937133024
7000,14.000000000001345,-6891.026751058878,5127.940909862628,-1763.08584119625,306.45939366415786,166.73181895672926
7500,15.000000000001679,-6928.497625846466,5201.582458181152,-1726.9151676653137,310.8604085437909,164.3587033778046
8000,16.00000000000201,-6990.456485247651,5160.949848315621,-1829.5066369320293,308.4320956592892,165.6648732418351
8500,17.000000000001457,-6903.348613436785,4851.345851267134,-2052.002762169651,289.9293369732456,166.04573844972919
9000,18.000000000000902,-6948.1482796508835,5192.371551177269,-1755.7767284736146,310.3099402320212,165.20720246420856
9500,19.000000000000348,-6873.6708740176455,4965.175818176714,-1908.4950558409319,296.7321186848733,165.36487197118393
10000,19.999999999999794,-7004.242781285893,4914.009917288208,-2090.232863997685,293.6743083009015,168.48196884161385
10500,20.99999999999924,-6888.516656693178,4979.1440558119875,-1909.372600881191,297.5668977339122,167.206324769171
11000,21.999999999998685,-7097.399453370133,5116.840249229353,-1980.5592041407808,305.7959886470676,164.46662036411493
11500,22.99999999999813,-6733.801221045627,4705.393390022152,-2028.4078310234754,281.2068295256848,164.11406708457935
12000,23.999999999997577,-6876.2849760378285,5054.540972181572,-1821.7440038562563,302.0728180791193,164.32876267022763
12500,24.999999999997023,-6676.785713439109,5020.311850493265,-1656.4738629458434,300.0271946870713,164.3580394568835
13000,25.99999999999647,-6933.925280693963,4880.984279309671,-2052.9410013842917,291.700608297688,164.06789244071516
13500,26.999999999995914,-6980.724669408894,4944.453651438456,-2036.2710179704382,295.49370686117226,162.82394800433377
14000,27.99999999999536,-7070.7586405397715,4915.56915843173,-2155.1894821080414,293.7674927006088,163.9333458240013
14500,28.999999999994806,-7032.545415399131,4961.220654477355,-2071.324760921776,296.49574757794096,165.0926006650653
15000,29.99999999999425,-6839.212545804195,4976.203506825651,-1863.0090389785437,297.391162702009,165.21312091994227
15500,30.999999999993697,-6851.1199859998715,4949.76031081252,-1901.359675187351,295.81084694580744,162.71528446654312
16000,31.999999999993143,-6991.65086163417,4997.564789083007,-1994.086072551163,298.6677697697479,160.09800660439194
16500,32.999999999994365,-6951.279393380164,4967.302104441871,-1983.977288938293,296.8591912098946,160.6112527027401
17000,33.99999999999559,-7089.095680862576,4967.448860670456,-2121.64682019212,296.8679617526172,160.21975402884812
17500,34.99999999999681,-6902.812261363333,4749.204170003645,-2153.608091359688,283.82507831308,160.81948527028862
18000,35.99999999999803,-6873.689523058559,4745.662799843457,-2128.026723215102,283.61343660910785,159.0069631374923
18500,36.999999999999254,-6870.869422241132,4954.067898785389,-1916.8015234557433,296.0682798650873,163.60938279862322
19000,38.000000000000476,-7007.676621880242,5079.773098189747,-1927.9035236904956,303.5807570692997,164.12853962867533
19500,39.0000000000017,-7009.749530485404,4810.892302858168,-2198.857227627236,287.5117252778511,164.2863344908383
20000,40.00000000000292,-7093.162788660133,4978.007470148337,-2115.1553185117955,297.4989723503221,163.25769211700418
20500,41.00000000000414,-6762.285984632918,4886.440002978191,-1875.8459816547274,292.0266568612036,163.68754259419245
21000,42.000000000005365,-6676.914676300734,4865.247760681665,-1811.6669156190692,290.7601520713207,163.96785221710834
21500,43.00000000000659,-6860.876115251098,4983.526493912331,-1877.349621338767,297.82880389597796,163.9634482945898
22000,44.00000000000781,-7027.450501198267,4800.027804587072,-2227.4226966111955,286.862433951927,163.21659196714313
22500,45.00000000000903,-7134.714456901387,4911.981155613819,-2222.733301287568,293.5530641049267,165.73551261617314
23000,46.00000000001025,-6971.018699402576,4963.54370031455,-2007.4749990880264,296.63457897854295,165.96841004427742
23500,47.000000000011475,-6902.546161478507,4921.248339746219,-1981.297821732288,294.10689568764394,167.39173750868486
24000,48.0000000000127,-6866.655194576046,4826.103323644816,-2040.55187093123,288.42077635492643,167.72001338776374
24500,49.00000000001392,-6991.796816311159,5106.29956101856,-1885.4972552925992,305.16604907197035,169.27055393775498
25000,50.00000000001514,-6858.72827877566,5018.002459405849,-1840.7258193698117,299.88917933064977,169.1657701024686
25500,51.000000000016364,-6744.225491875216,5150.690197071675,-1593.5352948035406,307.8189516011394,169.91490683699948
26000,52.000000000017586,-7004.601533420134,5192.994292724354,-1811.60724069578,310.3471569239222,168.91869630244017
26500,53.00000000001881,-6964.7558162758105,5101.512805196925,-1863.2430110788855,304.87997980703494,168.28741892039312
27000,54.00000000002003,-6990.50618948407,4955.785012888562,-2034.721176595508,296.17089917294595,168.9966504901937
27500,55.00000000002125,-7164.944134067546,5053.006875718404,-2111.9372583491413,301.9811363924173,168.33891172401474
28000,56.000000000022474,-7007.084108668585,4977.7757272818535,-2029.3083813867315,297.48512277997855,169.00537166303786
28500,57.0000000000237,-6831.114262832029,5081.614271455205,-1749.4999913768243,303.6907904828045,168.7713726438974
29000,58.00000000002492,-6931.161613252335,4864.109420086848,-2067.0521931654866,290.6921218083745,169.77134359544226
29500,59.00000000002614,-6777.44289156932,4998.12298352581,-1779.3199080435097,298.7011289549443,169.2379128677162
30000,60.00000000002736,-7058.86933788795,5239.941639781044,-1818.927698106906,313.15285530579365,169.22469688867432
30500,61.000000000028585,-6728.708406049679,4942.716352855889,-1785.9920531937896,295.3898812751163,170.40728269746714
31000,62.00000000002981,-6979.994091860561,4934.154398487826,-2045.8396933727345,294.87819609965527,168.94347160770573
31500,63.00000000003103,-7177.91170319812,4976.808495300442,-2201.1032078976787,297.42731842307074,165.70286052187538
32000,64.00000000003224,-6898.275393448517,4905.057362112213,-1993.2180313363042,293.1392797818123,164.94283735448477
32500,65.00000000002991,-7075.6499561517285,4918.429227622275,-2157.2207285294535,293.9384180457675,165.2124180476589
33000,66.00000000002758,-7090.270155766725,5226.784242427899,-1863.4859133388263,312.3665342295722,165.33566978702052
33500,67.00000000002525,-7034.716536274109,5058.948318970399,-1975.7682173037101,302.3362128506881,166.99877128100366
