#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-8545.62215434594,5157.2423727034575,-3388.379781642482,308.21052705151857,209.12394695510716
1000,2.0000000000000013,-8663.31496817181,4964.762332787763,-3698.552635384047,296.7074076977901,210.20696704508688
1500,2.999999999999891,-8640.64124897524,4968.060338563812,-3672.580910411428,296.90450529860004,212.04099366674174
2000,3.999999999999781,-8688.745357217613,4947.660619488869,-3741.0847377287437,295.6853638052567,208.90417970465393
2500,4.999999999999671,-8744.178461470128,4858.369540165494,-3885.808921304634,290.3490913110807,209.51057900368434
3000,5.999999999999561,-8640.23002746853,4857.386582828472,-3782.843444640058,290.2903471650781,206.8381613337208
3500,6.999999999999451,-8741.53157017312,4843.281469802239,-3898.2501003708803,289.4473880784651,208.66337359474787
4000,7.999999999999341,-8602.655644957398,4880.956731051998,-3721.6989139054003,291.69896194050654,208.04142445320372
4500,8.999999999999675,-8625.006741749574,4944.956616931023,-3680.050124818551,295.5237654173443,207.03128829043843
5000,10.000000000000009,-8934.92630280102,5185.229413685843,-3749.6968891151764,309.8831070910856,204.06986009123432
5500,11.000000000000343,-8618.727254547743,5062.281417638035,-3556.4458369097074,302.5354076960777,205.3834972751593
6000,12.000000000000677,-8518.805852038453,4761.9944264609785,-3756.8114255774744,284.5894580724459,204.69209352616676
6500,13.00000000000101,-8675.902779579294,4924.496043279707,-3751.4067362995866,294.30098709258954,204.39966095450092
7000,14.000000000001345,-8812.208267115557,5087.201632195734,-3725.0066349198223,304.0247060280153,204.25005293515466
7500,15.000000000001679,-8680.955181536583,4994.258721567861,-3686.6964599687217,298.4701903779582,204.34684072867753
8000,16.00000000000201,-8752.004562321577,4994.650021793064,-3757.354540528513,298.4935755206235,207.8260141181011
8500,17.000000000001457,-8791.099223925185,4994.317344070304,-3796.7818798548806,298.47369381469224,207.3898025641876
9000,18.000000000000902,-8648.851152868552,4866.251457811831,-3782.5996950567214,290.82013568254797,205.9593788426796
9500,19.000000000000348,-8736.132781649067,4861.709024089235,-3874.4237575598318,290.5486677563655,204.01821877460569
10000,19.999999999999794,-8781.305942458117,4708.427998892711,-4072.877943565406,281.38818582655216,204.68742867067348
10500,20.99999999999924,-8592.534467817308,5090.334728007346,-3502.199739809962,304.211948170543,205.79742902972066
11000,21.999999999998685,-8528.421894756033,4948.274192718652,-3580.1477020373814,295.7220325741199,199.20728419576304
11500,22.99999999999813,-8597.610490236544,5129.998458709565,-3467.612031526979,306.58235825816354,199.25845118042648
12000,23.999999999997577,-8729.580283059095,4906.683630054132,-3822.896653004963,293.23646988134277,196.518922805521
12500,24.999999999997023,-8846.42572423429,4972.2683008717695,-3874.1574233625206,297.1559843230517,196.7567009380837
13000,25.99999999999647,-8666.351187224433,5046.551314091115,-3619.7998731333173,301.595334852026,194.4917868285314
13500,26.999999999995914,-8722.394851273219,4834.918010138752,-3887.4768411344667,288.94756547472224,193.81724014891248
14000,27.99999999999536,-8724.852636237276,4953.597062953354,-3771.255573283922,296.0401414629221,194.6666329531008
14500,28.999999999994806,-8621.706634032802,5038.260898622624,-3583.445735410178,301.09987756373874,194.63651970117039
15000,29.99999999999425,-8783.5952764848,4929.118185386215,-3854.4770910985853,294.5772186038899,196.0641969249676
15500,30.999999999993697,-8872.996463386386,5080.697726919213,-3792.2987364671726,303.63601534250864,197.20019811475
16000,31.999999999993143,-8904.488967806108,4831.950348287272,-4072.5386195188357,288.77021010585366,195.57236984426865
16500,32.999999999994365,-8804.427844391259,4902.200995259215,-3902.2268491320438,292.9685756981969,195.24041961347788
17000,33.99999999999559,-8862.236961045384,4848.5061226566695,-4013.730838388715,289.75962723527647,194.80803509388903
17500,34.99999999999681,-8681.369443224052,4829.220371915203,-3852.1490713088488,288.6070594536899,196.0526770297886
18000,35.99999999999803,-8969.847373748606,4949.058635159286,-4020.78873858932,295.76891294168786,195.0816987088356
18500,36.999999999999254,-8884.310048061483,4892.184649233094,-3992.125398828389,292.36997220727295,191.79234937604497
19000,38.000000000000476,-8760.545392512737,4942.769593652504,-3817.7757988602325,295.39306308678994,194.0895839779623
19500,39.0000000000017,-8769.549342332442,4878.915284352554,-3890.634057979888,291.576959653681,193.69022556701626
20000,40.00000000000292,-8809.660093747761,5061.295513151205,-3748.364580596556,302.47648742056055,193.1885382354935
20500,41.00000000000414,-8652.520939179361,5049.190584863464,-3603.3303543158972,301.75306469619284,189.1251496442775
21000,42.000000000005365,-8700.233578678086,4996.724295759396,-3703.5092829186897,298.617539652268,190.10684536208086
21500,43.00000000000659,-8613.948011820752,4903.123321449437,-3710.8246903713152,293.02369636553385,189.66606646471777
22000,44.00000000000781,-8830.677942895745,5065.246315059735,-3765.43162783601,302.7125978552667,187.21695044413892
22500,45.00000000000903,-8632.927216975775,5092.386682182015,-3540.5405347937603,304.3345784120472,186.9828660131063
23000,46.00000000001025,-8890.416341535049,4884.931335711363,-4005.4850058236852,291.9364948909392,190.90774437838002
23500,47.000000000011475,-8665.926078636625,4945.8578561785625,-3720.0682224580623,295.5776258728765,192.44723118552912
24000,48.0000000000127,-8840.806955560984,4966.341713008451,-3874.465242552533,296.8017956623367,192.86830878282603
24500,49.00000000001392,-8744.010079473715,5156.879137287779,-3587.130942185937,308.1888191365478,191.88091595904407
25000,50.00000000001514,-8725.784620687728,4836.048892692553,-3889.735727995175,289.0151500252923,188.8033262546535
25500,51.000000000016364,-8701.480103901406,5036.247952184633,-3665.232151716773,300.9795785283737,189.37754531843416
