#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6161.463662231864,4997.239345248971,-1164.2243169828926,298.6483203802555,191.10069048826728
1000,2.0000000000000013,-6204.509422813531,5061.088657539247,-1143.4207652742843,302.4641251787697,194.36661688208923
1500,2.999999999999891,-6096.0907802179645,4831.53984294043,-1264.550937277534,288.7456772140165,195.63928503594568
2000,3.999999999999781,-6539.300611587085,5034.155496885013,-1505.1451147020716,300.8545278318734,196.04202987738216
2500,4.999999999999671,-6482.868581600425,4765.305066153252,-1717.5635154471738,284.7873107097068,192.6978366738853
3000,5.999999999999561,-6443.801238576153,4865.000998636098,-1578.8002399400548,290.74540491487085,193.70293829054697
3500,6.999999999999451,-6223.125111811237,4993.932565105066,-1229.192546706171,298.4506983998748,193.91893815108594
4000,7.999999999999341,-6314.168961636184,5024.958172776966,-1289.2107888592172,300.30487127010144,193.2772876007609
4500,8.999999999999675,-6361.702127736193,5068.344550317306,-1293.3575774188866,302.8977566383248,195.20005918500132
5000,10.000000000000009,-6258.720949314326,4929.635967292758,-1329.084982021568,294.608162628386,197.1522854896096
5500,11.000000000000343,-6349.565129939119,5025.960076803253,-1323.605053135866,300.3647477206696,197.51894390956883
6000,12.000000000000677,-6413.679333668106,5010.6227779203155,-1403.0565557477903,299.44814992854776,195.5844947969758
6500,13.00000000000101,-6274.46738565706,4943.987639566216,-1330.479746090844,295.46585675168046,197.29637535966356
7000,14.000000000001345,-6286.568463907819,4955.302873846686,-1331.2655900611326,296.14208526088413,198.15156310073613
7500,15.000000000001679,-5999.173464969225,4968.968597772068,-1030.204867197157,296.958785285664,199.8660399202822
8000,16.00000000000201,-6166.506646464077,5114.495730180806,-1052.0109162832705,305.6558739502173,202.21608040099335
8500,17.000000000001457,-6403.571060306711,5033.835319606237,-1369.7357407004738,300.83539318573696,200.41366770667852
9000,18.000000000000902,-6262.659737223247,5049.689372280509,-1212.9703649427383,301.7828735594543,200.6355460052563
9500,19.000000000000348,-6292.792439446292,4851.205523237383,-1441.5869162089084,289.92095059679014,205.35050391210166
10000,19.999999999999794,-6499.974448963248,4878.633064567689,-1621.3413843955586,291.56009344838145,209.9038380483616
10500,20.99999999999924,-6345.441000737855,4837.801079764655,-1507.6399209731999,289.1198653870996,206.84044687193145
11000,21.999999999998685,-6314.938672498157,4921.957324782378,-1392.9813477157786,294.1492665199365,204.13283210101767
11500,22.99999999999813,-6332.757968643179,4976.282898261095,-1356.4750703820837,297.3959073454431,204.0457042048904
12000,23.999999999997577,-6392.411878666431,4994.970051631061,-1397.44182703537,298.51270135530666,201.57442857864817
12500,24.999999999997023,-6456.0967216381,5238.974308892725,-1217.1224127453743,313.0950450379459,201.9207010378239
13000,25.99999999999647,-6392.000701047073,4844.319921962666,-1547.6807790844068,289.50944874277997,197.93344318273898
13500,26.999999999995914,-6404.29614694217,4922.034539709644,-1482.2616072325254,294.15388108945046,195.85143430911185
14000,27.99999999999536,-6356.064857576071,4912.268664727847,-1443.7961928482237,293.5702464146114,195.15601806238095
14500,28.999999999994806,-6267.525529438987,5197.775386764994,-1069.7501426739927,310.63288782576006,196.05713014472568
15000,29.99999999999425,-6417.491084884066,4936.409650715253,-1481.0814341688138,295.01297597374617,196.84403324961934
15500,30.999999999993697,-6354.033877746195,4898.481228840127,-1455.5526489060676,292.74627255909996,199.13391281467273
16000,31.999999999993143,-6344.473883737353,4891.2790374334545,-1453.1948463038989,292.3158504363924,202.52986508412982
16500,32.999999999994365,-6235.970901791474,4704.1378083557665,-1531.8330934357073,281.13179262433584,203.39599996815866
17000,33.99999999999559,-6386.865326536019,5008.37493310598,-1378.4903934300391,299.31381274117354,206.75214419685867
17500,34.99999999999681,-6317.8375942224175,4937.192435393661,-1380.6451588287564,295.0597572690324,208.2807271827291
18000,35.99999999999803,-6216.650544777324,4840.683624806951,-1375.966919970373,289.2921339489648,210.04776849838495
18500,36.999999999999254,-6407.26654852599,4939.923844823773,-1467.3427037022175,295.22299356455807,207.71604311765677
19000,38.000000000000476,-6251.360458402049,5039.966684634658,-1211.3937737673905,301.2018198747282,211.38393992926436
19500,39.0000000000017,-6290.859542744072,5140.860454804479,-1149.9990879395937,307.231500047381,212.46868170592305
20000,40.00000000000292,-6235.798455590588,4892.096263893546,-1343.7021916970416,292.3646900641979,214.07935510402788
20500,41.00000000000414,-6236.316206489357,4960.917163228506,-1275.3990432608507,296.4776101333526,213.17748989836576
21000,42.000000000005365,-6381.179207815565,5085.286528409346,-1295.892679406219,303.9102543298587,210.9024539418303
21500,43.00000000000659,-6262.003576725642,5029.528542945733,-1232.4750337799096,300.57800875264286,213.439909767097
22000,44.00000000000781,-6242.84984804506,5008.255672795743,-1234.5941752493172,299.3066854276951,212.47092144100742
22500,45.00000000000903,-6441.20787238358,4922.280345057614,-1518.9275273259664,294.16857107110627,213.70152792827432
23000,46.00000000001025,-6368.2921193379225,4955.067969367665,-1413.2241499702577,296.12804674416265,218.01607705427122
23500,47.000000000011475,-6370.9241674519435,4986.715966566293,-1384.2082008856505,298.01941526861714,217.91583100036027
24000,48.0000000000127,-6342.4555446615905,4996.817192804359,-1345.638351857231,298.6230914268639,219.7146872226331
24500,49.00000000001392,-6327.114029992229,5074.914511022181,-1252.1995189700483,303.29039497199614,220.79577161214695
25000,50.00000000001514,-6307.700361443458,4842.5209412761915,-1465.1794201672665,289.40193687006513,221.39928713565544
25500,51.000000000016364,-6531.520673484397,5001.208553196605,-1530.312120287792,298.885530808835,223.08435514773842
26000,52.000000000017586,-6351.12892675247,4849.673308680094,-1501.4556180723757,289.8293813777909,222.5055186040508
26500,53.00000000001881,-6319.1631506303265,4777.969650422586,-1541.1935002077407,285.5441799647179,222.1231512901427
27000,54.00000000002003,-6091.909808570877,4891.539620188592,-1200.370188382285,292.3314235552217,220.32532616102765
27500,55.00000000002125,-6452.750891296788,5084.536709512654,-1368.2141817841339,303.86544315740616,223.62031316608594
28000,56.000000000022474,-6307.106902499052,5125.66926718203,-1181.4376353170219,306.3236342529722,223.33340363849996
28500,57.0000000000237,-6532.827322141384,4962.73559996056,-1570.091722180824,296.5862847511217,222.03140155547635
29000,58.00000000002492,-6427.586224064145,5097.809729643167,-1329.7764944209785,304.6586741584627,224.11098887966398
29500,59.00000000002614,-6498.377403500341,4986.998872072069,-1511.3785314282713,298.036322454423,225.53120365242057
30000,60.00000000002736,-6481.091542244889,4923.530756838003,-1557.5607854068858,294.24329900631153,221.62275104105572
30500,61.000000000028585,-6393.610924932891,4983.526936808204,-1410.0839881246875,297.8288303646138,222.04079881766953
31000,62.00000000002981,-6455.392951624372,4842.3702819949085,-1613.022669629463,289.3929330705277,221.86183098825538
31500,63.00000000003103,-6455.834987364576,5030.96690194964,-1424.868085414936,300.6639689140326,221.74517090936678
32000,64.00000000003224,-6567.19569693627,4948.2912111221685,-1618.9044858141015,295.72304963919817,220.41778585666185
32500,65.00000000002991,-6364.902294358929,5048.932214793966,-1315.9700795649633,301.73762381334507,220.0759910846906
33000,66.00000000002758,-6374.853574617582,4906.841014137289,-1468.0125604802934,293.24587557293415,221.73385274591854
33500,67.00000000002525,-6450.6431176687765,4950.468710160766,-1500.1744075080105,295.8531827758319,222.12010236848676
34000,68.00000000002292,-6634.159225310028,4961.2701952309235,-1672.8890300791045,296.4987082651967,221.85021582361892
34500,69.00000000002059,-6604.166311419798,4994.1255636515825,-1610.0407477682156,298.4622325065627,218.61950592194563
35000,70.00000000001826,-6297.931184107187,4977.487900291833,-1320.4432838153534,297.4679214731788,219.57348449976524
35500,71.00000000001593,-6243.96391280321,4901.77979977347,-1342.1841130297407,292.94340393521355,217.2966634686525
36000,72.0000000000136,-6474.808067852982,4871.752861596356,-1603.0552062566267,291.1489142113458,216.71567994945408
36500,73.00000000001127,-6501.3553896243175,4850.7452245806235,-1650.610165043694,289.8934419242577,215.00211158035873
37000,74.00000000000894,-6427.457807131797,5000.7719456387495,-1426.685861493048,298.85943797941246,217.39277220541118
37500,75.00000000000661,-6263.840055851186,4851.554307353966,-1412.28574849722,289.9417948636736,216.41148574476176
38000,76.00000000000428,-6273.699186768948,4898.798497262759,-1374.9006895061884,292.7652333642531,214.22794185464076
38500,77.00000000000195,-6220.931448822933,4762.305980404069,-1458.6254684188643,284.608077365096,213.88220187976555
39000,77.99999999999962,-6461.717150554855,4950.3480856068745,-1511.3690649479804,295.84597393152256,213.00007564293492
39500,78.99999999999729,-6360.103733651762,5044.829056672166,-1315.2746769795958,301.49240816593067,213.57258703887132
40000,79.99999999999496,-6216.04374632484,5085.36429804639,-1130.6794482784499,303.914902050305,211.00209139939997
40500,80.99999999999262,-6197.510671260161,5036.776546351779,-1160.734124908382,301.01116872233376,209.03894641429378
41000,81.9999999999903,-6423.825352444811,5150.583575534287,-1273.241776910524,307.8125796143568,214.2618095814438
41500,82.99999999998796,-6422.107785887243,4929.82418760154,-1492.2835982857032,294.6194111748725,217.61482323528128
42000,83.99999999998563,-6317.016612404788,5058.328567291505,-1258.688045113283,302.29917484126594,218.66016191696693
42500,84.9999999999833,-6243.043882185444,4919.358749789558,-1323.6851323958863,293.9939687638413,218.15994594527191
43000,85.99999999998097,-6614.1615641675235,4971.382935720246,-1642.7786284472777,297.1030725457367,214.68424467395334
43500,86.99999999997864,-6350.352259660278,4912.941112817891,-1437.411146842387,293.6104337017833,212.49607770086718
44000,87.99999999997631,-6321.695710782045,5043.149071072208,-1278.546639709837,301.39200775621896,209.94610722785598
44500,88.99999999997398,-6379.810816270744,4870.433461729893,-1509.3773545408512,291.070063364547,210.77921684179634
45000,89.99999999997165,-6440.670570715246,4944.2853755599945,-1496.3851951552515,295.4836502469116,206.12130593396174
45500,90.99999999996932,-6462.956914086232,5005.060325764532,-1457.8965883217006,299.11572298664044,204.41684502716282
46000,91.99999999996699,-6336.676753601214,5022.68488158607,-1313.9918720151436,300.16901333955394,203.74701847078782
46500,92.99999999996466,-6364.487334156462,5009.478827301431,-1355.0085068550306,299.37978439563557,204.43183708731678
47000,93.99999999996233,-6400.332974941195,4794.841696368991,-1605.4912785722045,286.55249832514687,207.0911304955265
47500,94.99999999996,-6511.839236744239,4993.916970598952,-1517.9222661452877,298.4497664306941,207.4671851967371
48000,95.99999999995767,-6485.1990782261655,5047.486197931555,-1437.7128802946108,301.65120599795443,208.0245651336808
48500,96.99999999995534,-6525.55568914271,5069.57457218019,-1455.98111696252,302.9712660178047,208.815704302431
49000,97.999999999953,-6355.578523170246,4867.218204597784,-1488.3603185724614,290.87791104288414,206.5550634510545
49500,98.99999999995067,-6482.8162361680725,4959.767382261156,-1523.0488539069165,296.4088961633022,204.1991805574533
50000,99.99999999994834,-6518.313276436646,5243.7885924048005,-1274.524684031846,313.3827594309102,205.27941192064438
