#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6850.910157600938,4857.016438591729,-1993.8937190092092,290.268226360577,182.6028066210681
1000,2.0000000000000013,-7016.508859692205,5123.481594655536,-1893.0272650366687,306.19289312163124,181.79697810279976
1500,2.999999999999891,-7007.509668541854,4828.128927640659,-2179.380740901195,288.5418318396291,180.93123513067215
2000,3.999999999999781,-6891.676465538314,5016.22020227305,-1875.4562632652642,299.7826669020021,178.15997106002465
2500,4.999999999999671,-7076.189511510791,4986.953527380737,-2089.235984130054,298.0336125350116,176.69800300229215
3000,5.999999999999561,-6879.3296510117525,4908.851272582921,-1970.478378428831,293.3660139667233,175.23481807534273
3500,6.999999999999451,-6997.080066169232,4816.159751723086,-2180.920314446146,287.8265220381249,177.6997776774582
4000,7.999999999999341,-7075.396421251023,4945.39990889357,-2129.996512357453,295.5502577245776,177.0057449041635
4500,8.999999999999675,-6937.504464655332,5114.46474151399,-1823.0397231413426,305.6540219850309,177.4446433110002
5000,10.000000000000009,-7052.629882537811,5135.135139552916,-1917.4947429848944,306.88933997350904,176.13353062287894
5500,11.000000000000343,-7014.887497863886,5031.230563952084,-1983.6569339118023,300.6797260568744,175.66308594586275
6000,12.000000000000677,-6878.11262561519,5188.870185743661,-1689.2424398715293,310.1006893169577,176.092261907922
6500,13.00000000000101,-6863.431940258493,4997.377192565639,-1866.054747692854,298.65655850269616,180.23785137030526
7000,14.000000000001345,-6836.918066737966,4981.671544721564,-1855.2465220164022,297.71794719652047,178.9809613419611
7500,15.000000000001679,-6798.185539414599,5012.643918930587,-1785.5416204840121,299.5689386933571,176.21838539619426
8000,16.00000000000201,-6844.770811048174,5069.010639641257,-1775.7601714069178,302.93756390871505,178.24511038252314
8500,17.000000000001457,-6969.727668934916,5065.293743121531,-1904.433925813385,302.71543228244053,175.15006996031158
9000,18.000000000000902,-6793.070047482982,5084.43370261257,-1708.6363448704114,303.85928719096705,173.89752663224846
9500,19.000000000000348,-7027.538003186881,4917.141440275845,-2110.396562911036,293.8614564472833,172.5549164114334
10000,19.999999999999794,-6944.698872755894,4909.664543289936,-2035.0343294659579,293.41461718819903,171.70741193710344
10500,20.99999999999924,-6936.341724340699,4987.27303631934,-1949.0686880213598,298.0527072393609,173.6660361718244
