#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-37387.49114780342,20385.994987466638,-17001.49616033678,294.1128323675188,578.4759462733277
1000,2.0000000000000013,-37248.21502192374,20693.941604034964,-16554.273417888773,298.55563987691875,579.0382194190543
1500,2.999999999999891,-37329.07460690968,20493.291821580082,-16835.782785329597,295.6608252815058,581.1460020343604
2000,3.999999999999781,-37529.161552803664,20334.833785928746,-17194.327766874918,293.37471946692773,582.2318341750167
2500,4.999999999999671,-37328.58513221123,20781.807215558878,-16546.77791665235,299.8232946511346,582.5773792188388
3000,5.999999999999561,-36973.20774379329,20520.95773631278,-16452.25000748051,296.05996697398024,580.7730464050227
3500,6.999999999999451,-37166.54379820198,20366.360651926887,-16800.183146275092,293.82956387653763,576.0385716668285
4000,7.999999999999341,-37541.183686063625,20641.130836104465,-16900.05284995916,297.79372835162445,577.4747132971893
4500,8.999999999999675,-37201.94318896941,20738.04549433714,-16463.89769463227,299.1919355349513,578.3352981774377
5000,10.000000000000009,-37239.04687256766,21092.124376460666,-16146.922496106996,304.3003024783799,576.7991174779098
5500,11.000000000000343,-37147.947836077146,20779.49906432528,-16368.448771751868,299.7899944910362,580.5556492622741
6000,12.000000000000677,-37511.62315299247,20808.8993750069,-16702.72377798557,300.21415866121146,578.9691044096985
6500,13.00000000000101,-37407.05167799864,21062.44990546434,-16344.601772534304,303.8721829424385,580.0376436499038
7000,14.000000000001345,-37543.43785095363,20749.404481579764,-16794.03336937387,299.35581391875394,579.8150105294378
7500,15.000000000001679,-37914.788207986094,20885.007796544243,-17029.78041144185,301.3121901008902,579.8510144252099
8000,16.00000000000201,-37636.465818100274,20650.68017297254,-16985.785645127733,297.93149854705655,579.7004145796116
8500,17.000000000001457,-37855.28817358261,20491.771857978372,-17363.516315604236,295.63889646222236,578.503232741539
9000,18.000000000000902,-37726.75165399964,20544.865926514365,-17181.885727485278,296.40489522208844,574.2296474450624
9500,19.000000000000348,-37728.65995707031,20447.6553564371,-17281.004600633212,295.0024188593177,571.6475895183362
10000,19.999999999999794,-38011.893781895866,20585.67701838562,-17426.216763510245,296.9936850177126,572.8861205523386
10500,20.99999999999924,-37990.973339450386,20590.89694424863,-17400.076395201755,297.06899393352774,575.0048285917247
11000,21.999999999998685,-37900.69318454061,20770.077582384092,-17130.615602156515,299.65406888423973,580.1408582664941
11500,22.99999999999813,-37650.48040747737,20368.900558717884,-17281.579848759488,293.866207620476,580.9083618301593
12000,23.999999999997577,-37902.8446285835,20737.75166665939,-17165.09296192411,299.1876964241998,581.4339829727581
12500,24.999999999997023,-37654.3565418438,20544.92326134178,-17109.43328050202,296.40572240312594,581.7569194976913
13000,25.99999999999647,-37626.390945148334,20802.55576721174,-16823.835177936595,300.1226381611226,577.0629468543339
13500,26.999999999995914,-37612.28425755601,20540.814185892883,-17071.47007166313,296.3464399487042,573.1313665971599
14000,27.99999999999536,-37607.42208658699,20520.836703881792,-17086.585382705194,296.05822081485934,572.5332108921436
14500,28.999999999994806,-37405.30932636974,20485.31787359175,-16919.991452777987,295.54578353694336,570.7889229590223
15000,29.99999999999425,-37371.24511712766,20765.11322505577,-16606.13189207189,299.58244710685705,572.7214382052279
15500,30.999999999993697,-37505.08632364921,20839.475658162137,-16665.61066548707,300.65528882177455,571.1631036860522
16000,31.999999999993143,-37928.08344302233,20825.00474839322,-17103.078694629112,300.4465141084634,572.19214399394
16500,32.999999999994365,-37455.108514159154,20222.470451850444,-17232.63806230871,291.75363114328474,566.4859912333665
17000,33.99999999999559,-37787.71487958137,20183.838801828806,-17603.876077752564,291.1962845916997,565.1590110147197
17500,34.99999999999681,-37294.440998882674,20692.202332240573,-16602.2386666421,298.5305470544188,565.8352043282162
18000,35.99999999999803,-37322.28564041934,20536.430503470372,-16785.855136948965,296.2831956844788,566.1701049837465
18500,36.999999999999254,-37747.27090783107,20592.671730684364,-17154.59917714671,297.0945991328708,567.4979973752297
19000,38.000000000000476,-37857.10968980623,20612.781618297788,-17244.328071508444,297.3847285088573,568.925523732121
19500,39.0000000000017,-37710.57372144052,21086.23097449456,-16624.342746945964,304.21527718794897,567.6524572507172
20000,40.00000000000292,-37576.67416680482,20568.489042928904,-17008.185123875915,296.7457106535795,565.5468568536164
20500,41.00000000000414,-38144.188707522044,20771.101482559698,-17373.087224962346,299.6688408971287,564.5148879855943
21000,42.000000000005365,-38024.442606947145,20287.756534839766,-17736.68607210738,292.6955265373519,562.1745281435831
21500,43.00000000000659,-37747.13274045447,20420.216378903482,-17326.91636155099,294.60655123526294,562.9474444860043
22000,44.00000000000781,-37972.23441225098,20868.326593093178,-17103.907819157805,301.0715270379733,561.9139857773902
22500,45.00000000000903,-37824.09517744233,20637.427004816596,-17186.668172625734,297.74029243587165,561.7800386165414
23000,46.00000000001025,-37742.10631619094,21056.56086507838,-16685.54545111256,303.7872205773979,560.1589593299041
23500,47.000000000011475,-37922.125717368675,21002.065413604632,-16920.060303764043,303.0010037852352,557.2105485067905
24000,48.0000000000127,-37599.628069425045,20578.46547486241,-17021.162594562637,296.8896426350545,556.0342272322707
24500,49.00000000001392,-37835.94445851204,20662.85670319074,-17173.087755321296,298.1071717870963,558.4572728634429
25000,50.00000000001514,-38298.66713057371,20485.44192224103,-17813.225208332682,295.54757321164965,559.8236974507461
25500,51.000000000016364,-38113.01860909614,20187.466944660056,-17925.551664436087,291.2486285349308,562.3205888157312
26000,52.000000000017586,-37987.83700566091,20107.70311283147,-17880.133892829443,290.0978597589149,563.6227703039708
26500,53.00000000001881,-37793.30825155971,20421.63096635571,-17371.677285204,294.6269597717343,558.5087844683094
27000,54.00000000002003,-38068.70681389453,20598.008328107477,-17470.698485787056,297.1715912926492,557.5848478986601
27500,55.00000000002125,-37821.27811879112,21034.442373051737,-16786.83574573938,303.4681126632807,557.1338804579797
28000,56.000000000022474,-37782.56186477702,20522.97077358364,-17259.59109119338,296.08900946583594,554.8860101912672
28500,57.0000000000237,-38037.016127330855,21080.26083448235,-16956.755292848506,304.1291447823587,550.4325030350984
29000,58.00000000002492,-37861.51560025914,20720.252313211786,-17141.263287047354,298.9352297474328,549.7191079449138
29500,59.00000000002614,-37965.49356140147,20302.54353081112,-17662.95003059035,292.90886148960783,546.9836920845798
30000,60.00000000002736,-38205.069207987064,20471.999326579036,-17733.069881408028,295.35363419189855,548.0457766565439
30500,61.000000000028585,-38213.59634035836,20754.934618720326,-17458.661721638033,299.435598314796,545.1104304831144
31000,62.00000000002981,-38294.1330636368,20422.12980805042,-17872.00325558638,294.6341566607664,542.002878304296
31500,63.00000000003103,-38049.8763598394,20861.408962340745,-17188.467397498654,300.9717249937208,540.558143944418
32000,64.00000000003224,-38336.66548860259,20672.742380445008,-17663.923108157585,298.2497944326386,537.6251921088825
32500,65.00000000002991,-38171.74771945023,20662.611383140054,-17509.136336310174,298.1036325055951,540.2779027630452
33000,66.00000000002758,-38083.10291130506,20283.933942717587,-17799.168968587474,292.64037723525837,540.6108645838001
33500,67.00000000002525,-37864.475108270504,20792.716884411122,-17071.758223859382,299.9806906285346,541.284081647286
34000,68.00000000002292,-38043.14760816532,20580.351910640966,-17462.795697524358,296.91685862182635,541.7065063425008
34500,69.00000000002059,-37969.300475284035,20690.57758673664,-17278.722888547396,298.5071065256473,544.0199183627506
35000,70.00000000001826,-38256.575407461045,20541.09324275016,-17715.482164710884,296.35046595787054,545.9063953190355
35500,71.00000000001593,-37771.00408911482,20626.760950566295,-17144.24313854852,297.58641113512226,543.4886168979493
36000,72.0000000000136,-37716.73829455968,21198.656403735575,-16518.0818908241,305.8372613709402,545.6968193522837
36500,73.00000000001127,-38345.6625636883,20682.515445713703,-17663.1471179746,298.3907924025123,536.1495136225893
37000,74.00000000000894,-38423.18708017005,20936.29704007894,-17486.890040091108,302.05215028901205,533.0758215836626
37500,75.00000000000661,-38061.27345020913,20526.24446297126,-17535.028987237874,296.1362396382497,534.8846866005346
38000,76.00000000000428,-38317.00467391525,20773.02367902716,-17543.980994888094,299.69657281052116,531.6076823343174
38500,77.00000000000195,-38068.48887105059,20525.224634325714,-17543.264236724877,296.12152636614036,531.6593332665493
39000,77.99999999999962,-38221.428035010766,20760.67465210677,-17460.753382903997,299.51841092601313,531.5681762194106
