#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-25706.074206115598,20528.45262720012,-5177.621578915478,296.1680972658064,520.5828434371504
1000,2.0000000000000013,-26128.5855137169,20433.6187697585,-5694.966743958397,294.799910212212,519.8645559426042
1500,2.999999999999891,-26500.806559235294,20652.461266130733,-5848.345293104561,297.95719473474753,519.7994705583435
2000,3.999999999999781,-25879.100534084977,20563.7414342169,-5315.3590998680775,296.67721595189244,512.9822960574836
2500,4.999999999999671,-26296.215399105422,20619.046270850387,-5677.169128255035,297.4751099058495,512.0537871308713
3000,5.999999999999561,-25766.317386275165,20147.291318359014,-5619.026067916151,290.6690067283521,507.90445283387595
3500,6.999999999999451,-26035.748405703096,20916.19767121134,-5119.550734491757,301.7621726690781,505.49632361888405
4000,7.999999999999341,-26068.91825404709,20671.55176147707,-5397.366492570021,298.232617134344,506.45993168317324
4500,8.999999999999675,-26174.899283974824,21061.026747098094,-5113.87253687673,303.85165075167413,506.7885607244946
5000,10.000000000000009,-25868.477364861687,20983.461252264035,-4885.016112597652,302.7325978237372,503.3166558573071
5500,11.000000000000343,-25604.34210351921,20706.087270500248,-4898.254833018964,298.73086783941415,504.0934247800405
6000,12.000000000000677,-26390.51410465642,20817.431988640605,-5573.082116015816,300.3372603869232,502.2621384293046
6500,13.00000000000101,-26341.22394078846,21118.064669746662,-5223.159271041797,304.6745482846542,505.94214726598636
7000,14.000000000001345,-26305.2277523409,20934.129232329757,-5371.098520011143,302.0208748924698,507.4875325781828
7500,15.000000000001679,-26340.675583325963,20787.072328348404,-5553.603254977559,299.8992554877881,506.05161832280254
8000,16.00000000000201,-25962.53426075333,20502.295470915727,-5460.238789837604,295.7907227336233,507.58694083749646
8500,17.000000000001457,-26803.810779643172,20844.17100551595,-5959.639774127223,300.7230295383807,504.82648377106136
9000,18.000000000000902,-26544.582054408897,20496.23265225996,-6048.349402148935,295.70325323468177,505.1168817916424
9500,19.000000000000348,-26306.129795500718,20827.23766846308,-5478.892127037638,300.478728893496,501.44338954137874
10000,19.999999999999794,-26290.08853200345,20815.03064070945,-5475.057891294,300.3026156594048,499.62730863235385
10500,20.99999999999924,-26151.674813889356,20648.4724051327,-5503.202408756657,297.8996466382836,495.3410129423137
11000,21.999999999998685,-26264.922191451107,20907.240630021697,-5357.68156142941,301.63294764201726,494.72511382919936
11500,22.99999999999813,-26258.771440479402,20342.78253867649,-5915.9889018029135,293.4893977147084,496.1184038058478
12000,23.999999999997577,-26698.213439765146,20682.145982643204,-6016.067457121942,298.3854620848022,496.0295898761019
12500,24.999999999997023,-26181.149412606184,20508.095261414255,-5673.054151191929,295.87439747266393,492.06893133553973
13000,25.99999999999647,-26359.209626851927,20364.77700924894,-5994.432617602986,293.8067163464683,489.2801371896146
13500,26.999999999995914,-26174.32841223354,20538.87096953517,-5635.457442698367,296.3184047771454,486.464157716402
14000,27.99999999999536,-25918.447466387806,20114.868368194624,-5803.579098193182,290.20123433301785,485.3980327351471
14500,28.999999999994806,-26474.536620492516,20604.618286458284,-5869.9183340342315,297.26695448554625,483.68489217558505
15000,29.99999999999425,-26711.95598265024,20779.426868811846,-5932.529113838395,299.7889529119054,483.0198595928944
15500,30.999999999993697,-26339.86948386894,21197.476270111656,-5142.393213757285,305.82023534680377,484.79877352737674
16000,31.999999999993143,-26118.371186438613,20625.904829945906,-5492.466356492707,297.5740597114775,484.15056615654413
16500,32.999999999994365,-26031.848790900392,20365.27870678517,-5666.570084115221,293.81395443729804,484.23804759868597
17000,33.99999999999559,-26732.116886307507,21032.4049766379,-5699.711909669608,303.43871873719087,481.86655843421295
17500,34.99999999999681,-26230.20025619812,20455.948557538417,-5774.251698659704,295.1220665324777,486.70445847657453
18000,35.99999999999803,-26416.912594283116,20480.8329684857,-5936.079625797414,295.48107891279085,483.4270285186738
18500,36.999999999999254,-26191.82229723922,20892.313882731964,-5299.508414507258,301.41759646950317,484.26310013252703
19000,38.000000000000476,-26204.3344840832,21039.954217733975,-5164.380266349224,303.5476331503631,477.81636294980876
