#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-31811.11333420805,20608.855263706995,-11202.258070501055,297.32808220484867,564.5223189851649
1000,2.0000000000000013,-31479.21702038145,20712.53194830543,-10766.68507207602,298.82384649677886,565.115136218944
1500,2.999999999999891,-31861.38126451261,20835.35892436918,-11026.02234014343,300.5958958788893,567.8118736138756
2000,3.999999999999781,-31632.992056846597,20572.033156333022,-11060.958900513575,296.79684228743685,563.5944456512127
2500,4.999999999999671,-31738.375754160174,20379.71138268263,-11358.664371477542,294.02217754288864,564.3992111724283
3000,5.999999999999561,-31720.469512792482,20495.22594275457,-11225.243570037914,295.68872923503477,562.6432606809419
3500,6.999999999999451,-31517.617083365156,20508.859921639247,-11008.75716172591,295.8854293788676,561.7455482236101
4000,7.999999999999341,-31499.128779724026,20431.944226636013,-11067.184553088013,294.77575124322476,560.0339258709504
4500,8.999999999999675,-31584.0349043986,21082.56270678814,-10501.47219761046,304.16235435510805,561.035414309866
5000,10.000000000000009,-31651.997086502135,20920.93721154829,-10731.059874953844,301.83055096670245,561.9964835807959
5500,11.000000000000343,-31625.32443041369,20535.101507812084,-11090.222922601606,296.26402199796,565.1272220005554
6000,12.000000000000677,-31619.30270528315,20843.248339088477,-10776.054366194672,300.70971804504995,559.6368826947154
6500,13.00000000000101,-31859.641429088835,20865.791737088883,-10993.849691999952,301.0349561627462,560.0476115708499
7000,14.000000000001345,-31349.391897124504,20743.052945177285,-10606.338951947218,299.26417903105937,560.421503791006
7500,15.000000000001679,-31590.362744634964,20481.28812937224,-11109.074615262725,295.4876456100556,562.3839206196304
8000,16.00000000000201,-31873.026462357328,20986.24651172732,-10886.779950630007,302.7727813198152,562.0201206781136
8500,17.000000000001457,-32248.054784629567,20485.925304141885,-11762.129480487682,295.55454705913974,563.0804341895649
9000,18.000000000000902,-31844.11999098101,20322.921691925938,-11521.198299055071,293.2028613011258,562.6426637605072
9500,19.000000000000348,-31929.141707978844,20484.9963750614,-11444.145332917444,295.5411452132599,560.2378315937527
10000,19.999999999999794,-32371.775652087133,20435.876991611432,-11935.898660475701,294.83249003113616,561.2690543287018
10500,20.99999999999924,-32165.061279896647,20454.574006180203,-11710.487273716444,295.1022356047527,559.7132258399809
11000,21.999999999998685,-31999.86112305481,20855.057630257645,-11144.803492797164,300.8800930537828,555.2024393952429
11500,22.99999999999813,-31500.436342007262,20431.186030070457,-11069.250311936805,294.7648125895302,554.6487255896304
12000,23.999999999997577,-31537.82697746834,20755.853612169798,-10781.973365298541,299.44885681733746,554.7453511918937
12500,24.999999999997023,-32181.011983209653,20880.131067358518,-11300.880915851136,301.2418325522699,554.1992541137947
13000,25.99999999999647,-32329.76677009768,20652.016242233887,-11677.750527863795,297.95077428586325,553.2741678297923
13500,26.999999999995914,-31840.064692352258,20733.841733519246,-11106.222958833012,299.13128703574847,548.5081572880694
