#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-23595.033981557008,20776.517690668326,-2818.5162908886814,299.3161301124201,518.4487155707606
1000,2.0000000000000013,-23510.094361699732,20889.653580142203,-2620.4407815575287,300.9460181003074,521.1550733872648
1500,2.999999999999891,-23661.624852002307,20590.392792355367,-3071.23205964694,296.63472868076326,522.417877780012
2000,3.999999999999781,-23619.0276030863,20861.954430152375,-2757.073172933924,300.54697132520306,523.317214607838
2500,4.999999999999671,-23455.455493842786,21059.383579008674,-2396.0719148341122,303.3912270222778,521.2748555373267
3000,5.999999999999561,-23549.442380480916,20757.335091399487,-2792.1072890814285,299.0397767088262,521.1123517604441
3500,6.999999999999451,-23759.708379842403,20803.750141719403,-2955.9582381229993,299.7084534066046,521.2730039033388
4000,7.999999999999341,-23395.745719679504,21317.451440623365,-2078.294279056139,307.1090720815386,520.2229441261276
4500,8.999999999999675,-23727.925615441018,20467.734065718752,-3260.1915497222653,294.86765029313347,518.1576914844592
5000,10.000000000000009,-23297.243107400056,20617.891186424622,-2679.351920975434,297.0308832731574,519.1336360090919
5500,11.000000000000343,-23418.0094552787,20730.264079335102,-2687.7453759435994,298.6497791794049,518.5459175930648
6000,12.000000000000677,-23385.009347802617,20641.93459403403,-2743.0747537685857,297.3772637314955,515.0173852788535
6500,13.00000000000101,-23904.503556116266,20429.0968482239,-3475.4067078923654,294.31102465494644,513.6674263652064
7000,14.000000000001345,-24101.34711109481,20410.857997199295,-3690.4891138955136,294.048267325366,512.5894523801499
7500,15.000000000001679,-23517.7216857776,20433.01909613688,-3084.7025896407213,294.36753037376485,506.57454827788825
8000,16.00000000000201,-23772.972742116308,20752.000381531485,-3020.972360584823,298.96292240933593,506.3228569768085
8500,17.000000000001457,-23776.989445509647,20714.23010292999,-3062.7593425796586,298.4187862941031,503.7919128414527
9000,18.000000000000902,-23798.016537511063,20866.468008792475,-2931.5485287185875,300.61199602816953,503.69479983654224
9500,19.000000000000348,-23754.155525889546,20736.245430942392,-3017.910094947154,298.7359492990848,494.61684572076234
10000,19.999999999999794,-23797.09001242213,21080.435600100725,-2716.6544123214044,303.6945121819052,492.5271797852159
10500,20.99999999999924,-23373.09627599353,20830.32590008824,-2542.7703759052893,300.0913160820632,490.5474402284761
11000,21.999999999998685,-23829.1776136943,20731.005977618835,-3098.1716360754654,298.6604673094626,488.15912332159536
11500,22.99999999999813,-23995.27153020875,20525.907488519184,-3469.364041689565,295.70572354714363,484.9410537982443
12000,23.999999999997577,-23394.687132862833,20813.907898565398,-2580.7792342974353,299.8547907531721,484.2809456667429
12500,24.999999999997023,-23415.623103223967,20523.50545114863,-2892.117652075336,295.67111868501786,482.47835288708967
13000,25.99999999999647,-23705.88854124359,20587.99157217739,-3117.896969066198,296.60013559149195,480.5889881954696
13500,26.999999999995914,-23851.77386921813,21027.564139820995,-2824.2097293971347,302.93282145394323,482.61362824005886
14000,27.99999999999536,-23569.863959376802,20626.329606671374,-2943.5343527054283,297.1524510608937,481.33492630141376
14500,28.999999999994806,-24002.17476242896,20823.5043968539,-3178.6703655750607,299.99304234918594,479.70399559337517
15000,29.99999999999425,-23644.044773414986,20900.72496347057,-2743.319809944416,301.1055175728454,477.1062895264028
15500,30.999999999993697,-23776.321877588587,20926.055265107407,-2850.2666124811803,301.47043762217226,477.4636821342812
16000,31.999999999993143,-24017.010681163527,20768.54314870596,-3248.4675324575655,299.20124516995133,479.95689403487165
16500,32.999999999994365,-23955.428147477498,20935.95218982948,-3019.4759576480174,301.61301730043834,479.4092737484411
17000,33.99999999999559,-24252.70192756627,21069.56836984134,-3183.13355772493,303.53795383296983,481.08942731249806
17500,34.99999999999681,-23441.018973573075,20887.251043420638,-2553.7679301524367,300.91140604429984,481.38942972680536
18000,35.99999999999803,-23730.1894373257,20500.882498886593,-3229.3069384391056,295.3452019638614,480.9601012389109
18500,36.999999999999254,-24166.37378843798,20950.68069513682,-3215.693093301161,301.82520296487775,483.11429012919496
19000,38.000000000000476,-23932.51159329395,20799.689380083102,-3132.8222132108494,299.6499521949779,484.44776659801533
19500,39.0000000000017,-24114.646759664764,20858.520362929576,-3256.126396735188,300.4974985633583,482.57975758893
20000,40.00000000000292,-23868.570635842414,20698.14067924654,-3170.4299565958754,298.1869946096461,481.14915000788847
