#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-26360.57311265906,20712.601880092046,-5647.971232567015,298.3953293622885,543.183631407887
1000,2.0000000000000013,-26834.957749033216,20901.618343754748,-5933.339405278468,301.1183880227139,541.4245114128487
1500,2.999999999999891,-26599.745667207782,20880.509844879383,-5719.235822328399,300.81428921799966,541.6011314486735
2000,3.999999999999781,-26893.102625517426,20314.678048938906,-6578.42457657852,292.66265447453475,541.6473270328725
2500,4.999999999999671,-26631.820446806047,20660.966530639183,-5970.853916166863,297.65144661902326,539.6265186093973
3000,5.999999999999561,-26771.16545231275,20480.462107891177,-6290.703344421574,295.05101635975143,539.1652650844028
3500,6.999999999999451,-26222.750219373105,20680.089274126924,-5542.660945246182,297.92693771253084,541.8396017810214
4000,7.999999999999341,-26164.749602008473,20234.986505941193,-5929.76309606728,291.5145812214565,542.1956607605952
4500,8.999999999999675,-26570.238935831625,20785.41800437577,-5784.820931455855,299.4443521511353,537.9796095515029
5000,10.000000000000009,-26443.00966334243,20669.607918456528,-5773.401744885901,297.77593845152364,534.7364990176092
5500,11.000000000000343,-25844.314990352425,20328.56868993283,-5515.746300419596,292.8627694778757,531.2137751001441
6000,12.000000000000677,-26282.02502323797,20724.058425386902,-5557.9665978510675,298.5603776563851,530.6715295731188
6500,13.00000000000101,-26525.235480659656,20859.23992156661,-5665.995559093048,300.5078648581259,528.4445241456941
7000,14.000000000001345,-26354.033355362004,20730.922752353712,-5623.110603008292,298.659268327773,526.8913284676604
7500,15.000000000001679,-26592.224044756953,20520.7535243997,-6071.470520357252,295.6314731545634,525.112383238291
8000,16.00000000000201,-26737.618399063012,20773.16387860689,-5964.454520456122,299.2678135435755,524.527970726908
8500,17.000000000001457,-26635.033833204565,20671.772289152977,-5963.261544051587,297.80711937754,523.0318133502865
9000,18.000000000000902,-26988.68941225612,20797.471183437036,-6191.218228819085,299.61799582741844,523.8473183255383
9500,19.000000000000348,-26576.413473210032,20523.364679141298,-6053.048794068734,295.66909065832493,523.743837176836
10000,19.999999999999794,-27104.835074560167,20834.002169693955,-6270.832904866213,300.1442781235379,521.7691131772203
10500,20.99999999999924,-26806.12888541168,20506.61369784651,-6299.515187565168,295.42776826872193,517.7344579724825
11000,21.999999999998685,-26906.533291039636,20787.259632313268,-6119.273658726368,299.47088349558703,514.2698184138154
11500,22.99999999999813,-26817.45726026332,20851.423015942306,-5966.034244321014,300.3952508977041,509.8875212149023
12000,23.999999999997577,-26712.479378065505,20850.321133604037,-5862.158244461469,300.3793766707407,508.1912356453318
12500,24.999999999997023,-26268.424761078237,20983.953908650143,-5284.470852428094,302.3045522790165,507.34259620549943
13000,25.99999999999647,-26441.67684124112,20946.81039315334,-5494.866448087778,301.7694456031625,505.73707425946355
13500,26.999999999995914,-26428.058565260388,21148.045111469703,-5280.013453790685,304.66852609525915,502.2987547635906
14000,27.99999999999536,-26611.703250560568,20739.072936925313,-5872.630313635254,298.7766836589654,501.0279586408058
14500,28.999999999994806,-26884.24283183553,20594.137951823715,-6290.104880011815,296.68868318148424,499.3781804115299
15000,29.99999999999425,-26790.247329799993,20647.56981442127,-6142.677515378724,297.45844732461495,505.1786741727825
15500,30.999999999993697,-26910.528833952587,20817.060343761954,-6093.468490190633,299.9002063377601,508.4541649835506
16000,31.999999999993143,-26805.839767317575,20854.672992157222,-5951.166775160353,300.4420715592841,503.8421464493715
16500,32.999999999994365,-26536.34222140865,20672.970720153884,-5863.3715012547655,297.8243845292242,502.3649333974097
17000,33.99999999999559,-26399.862285526062,20807.640610743285,-5592.221674782777,299.76450130403805,505.4232924919232
17500,34.99999999999681,-26681.73987766816,20707.873377938427,-5973.866499729731,298.3272083717105,504.7422047945143
18000,35.99999999999803,-26742.667278744597,20210.026108254864,-6532.641170489733,291.15499017964805,507.5356559974178
18500,36.999999999999254,-26892.56428026836,20451.51196409549,-6441.052316172871,294.63394718886656,508.52056715108364
19000,38.000000000000476,-26633.523332799145,20541.215791612045,-6092.3075411871,295.92626204683654,508.810696899935
19500,39.0000000000017,-26637.475915625226,20620.64099690641,-6016.834918718814,297.07049831568787,507.11604460061295
20000,40.00000000000292,-26608.08105974489,20693.6687426574,-5914.412317087492,298.1225698213395,505.1804589747016
20500,41.00000000000414,-26524.414559070894,20844.26683277841,-5680.1477262924855,300.2921556108575,499.9257199139491
21000,42.000000000005365,-26525.637471619757,20611.902053219845,-5913.735418399912,296.94460104818245,497.37064960620245
21500,43.00000000000659,-26485.77390253909,21032.737846896267,-5453.036055642824,303.00735627268244,493.149341781469
22000,44.00000000000781,-26673.092480000138,20931.524099924285,-5741.5683800758525,301.5492241877547,489.22151146324757
22500,45.00000000000903,-27050.603797887743,20851.653577944857,-6198.950219942886,300.3985724806268,487.70285586805363
23000,46.00000000001025,-26780.104728809732,20548.96068571734,-6231.144043092394,296.03783857598546,489.69030321576633
23500,47.000000000011475,-26609.82761155747,20411.789507274363,-6198.038104283107,294.06168709065014,490.17572573997114
24000,48.0000000000127,-26511.151604627208,20614.2753023805,-5896.8763022467065,296.97879117403204,491.0098564363684
24500,49.00000000001392,-26519.06994530339,20588.19255020815,-5930.877395095238,296.6030309740243,490.44462280584213
25000,50.00000000001514,-26967.439306358632,20776.831941565837,-6190.607364792795,299.3206573562984,488.2306722197864
25500,51.000000000016364,-26728.760266953956,20588.156966509556,-6140.6033004444,296.6025183387927,487.26868772787793
26000,52.000000000017586,-26919.73470524297,20727.179897288104,-6192.554807954864,298.60534702534454,484.2801742945292
26500,53.00000000001881,-27156.225461745315,20448.678590284904,-6707.54687146041,294.5931282943447,484.5812775756329
27000,54.00000000002003,-27142.039622012988,20725.522813839365,-6416.516808173623,298.5814743142129,483.5978855117384
27500,55.00000000002125,-26866.504790833205,21096.05715895558,-5770.447631877625,303.9195635890936,483.12746541321206
28000,56.000000000022474,-26633.281854697736,20492.59554410083,-6140.686310596906,295.22581625766077,480.9043045468502
28500,57.0000000000237,-26618.301881299878,20551.710274163353,-6066.5916071365245,296.0774504197659,480.8276479046197
29000,58.00000000002492,-26791.44653572484,20424.187277215126,-6367.259258509715,294.2402951026347,486.65315862933375
29500,59.00000000002614,-26695.077528125996,21069.589865157566,-5625.4876629684295,303.5382635044443,484.71628676519254
30000,60.00000000002736,-26792.374635161643,20704.43126567991,-6087.943369481734,298.27761970935757,482.3934286083688
30500,61.000000000028585,-26494.642001031494,20568.881425776217,-5925.760575255277,296.3248259774439,482.940512482998
31000,62.00000000002981,-27401.629893834706,20321.35526336238,-7080.274630472326,292.7588495160196,482.9470738983469
31500,63.00000000003103,-27150.46884174439,20462.945610598825,-6687.523231145566,294.798665592374,482.5664531708464
32000,64.00000000003224,-27127.888836529233,20506.514635240248,-6621.374201288985,295.4263411269657,482.1816049940314
32500,65.00000000002991,-26723.919698467074,20165.863748345313,-6558.055950121761,290.5187667825628,481.8176233960174
33000,66.00000000002758,-27190.470090906776,20982.906034127205,-6207.564056779571,302.28945611363787,478.28950692562046
33500,67.00000000002525,-26917.47239087834,20442.437734648887,-6475.034656229454,294.5032196395174,478.11731695919303
34000,68.00000000002292,-26908.114039696055,20910.195538205913,-5997.918501490141,301.24195505586965,474.42445123566023
34500,69.00000000002059,-26870.315934083203,20622.423647999305,-6247.8922860838975,297.0961800124192,474.61238401418865
35000,70.00000000001826,-26778.467222493047,20684.07293263948,-6094.394289853568,297.9843281408702,472.88818838127355
35500,71.00000000001593,-27103.915753641555,20706.445233513234,-6397.470520128321,298.3066338621149,471.31383528610974
36000,72.0000000000136,-27263.690336775475,20709.424255757513,-6554.266081017962,298.3495510353848,472.43842758267846
36500,73.00000000001127,-27192.53489381214,20856.101387061986,-6336.433506750152,300.4626496774044,470.33680016602517
37000,74.00000000000894,-27153.11496428056,20421.31045520481,-6731.804509075751,294.1988502732379,470.376050507722
37500,75.00000000000661,-27083.939434906268,20411.325960309612,-6672.613474596656,294.05500901852656,469.15079073398755
38000,76.00000000000428,-27207.058288096618,20389.817824702346,-6817.2404633942715,293.74515286208356,469.70123367691025
38500,77.00000000000195,-27116.56930899281,20375.323489573864,-6741.245819418946,293.5363407616247,471.3561696019327
39000,77.99999999999962,-27055.814970583753,20797.623905986955,-6258.191064596798,299.62019601915915,470.02483889829637
39500,78.99999999999729,-26615.14877084931,20581.64553459469,-6033.503236254623,296.50871163685804,465.40628262420984
40000,79.99999999999496,-27184.34455290042,20720.297693395183,-6464.046859505237,298.5061988106849,467.0448360094947
40500,80.99999999999262,-27355.15694311889,20568.385886425964,-6786.771056692927,296.3176870082073,469.66057150031355
41000,81.9999999999903,-27350.23334422036,20655.926970400942,-6694.306373819418,297.57884438170726,466.9389623601994
41500,82.99999999998796,-27171.49273311382,20631.287025146703,-6540.205707967118,297.22386992595455,461.9952357721045
42000,83.99999999998563,-27607.732401333233,20821.212838917338,-6786.519562415895,299.96002910492086,458.2112251729683
42500,84.9999999999833,-27297.504947919973,20272.141235873234,-7025.363712046739,292.049849457655,456.88493212030426
43000,85.99999999998097,-27208.05617758057,20565.413232225914,-6642.642945354655,296.27486157592995,460.15678028385344
43500,86.99999999997864,-27348.460286514426,20889.463435996484,-6458.996850517942,300.94327879573734,458.8282467215965
44000,87.99999999997631,-26988.627567839347,20761.831309641875,-6226.796258197472,299.1045513098681,456.45647237346566
44500,88.99999999997398,-26959.739229371768,21140.842983161783,-5818.896246209984,304.5647689014024,452.73709922491116
45000,89.99999999997165,-27441.803017842227,20864.746260330554,-6577.056757511673,300.5871917229283,451.09852116136267
45500,90.99999999996932,-27023.372328477377,20735.355235072366,-6288.017093405011,298.72312472536044,449.076062949425
46000,91.99999999996699,-27054.468438362783,21021.553760210536,-6032.914678152247,302.8462331434143,448.70949916484017
46500,92.99999999996466,-26704.145446769053,21053.942731966956,-5650.202714802097,303.3128436615382,448.1421404647879
47000,93.99999999996233,-26989.20807561883,20552.01528079078,-6437.19279482805,296.08184448641066,445.605859771812
47500,94.99999999996,-26766.76785769465,20585.328299709538,-6181.439557985112,296.5617672556437,444.417736879018
