#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-37162.71137297684,20954.981966662475,-16207.729406314364,301.14769160095,599.8090938966317
1000,2.0000000000000013,-36835.81178362106,20751.9246220891,-16083.887161531959,298.22951917406965,602.1420089845686
1500,2.999999999999891,-37131.8416598701,20839.184533682423,-16292.657126187678,299.4835465450995,603.1409647603949
2000,3.999999999999781,-37148.18827313057,21023.9111671204,-16124.277106010166,302.13828513306703,605.535239350474
2500,4.999999999999671,-36986.480592328066,20928.914380767743,-16057.566211560323,300.77306978880546,604.7531504377723
3000,5.999999999999561,-37005.366287292316,20658.406723381682,-16346.959563910634,296.88555718145545,600.2352953928352
3500,6.999999999999451,-36896.79134104039,20776.266412192723,-16120.52492884767,298.57933927464535,598.3041630999562
4000,7.999999999999341,-37086.68181040424,21260.650756612555,-15826.031053791685,305.54051096172867,599.4222062001896
4500,8.999999999999675,-37582.45380357329,20936.359788287267,-16646.094015286024,300.8800690356242,596.6465420048386
5000,10.000000000000009,-37678.57573735171,21002.089863643003,-16676.48587370871,301.82468738431226,594.611036919426
5500,11.000000000000343,-37464.94203771703,20932.859899027688,-16532.082138689344,300.8297715181623,589.6656723823094
6000,12.000000000000677,-37768.680319176034,20243.618578661022,-17525.06174051501,290.9245645886299,586.5340958258449
6500,13.00000000000101,-37771.3091455431,20801.765085295156,-16969.544060247943,298.9457851420721,590.060764596687
7000,14.000000000001345,-37402.33838829436,20805.429063796393,-16596.909324497967,298.99844081457417,591.869769410639
7500,15.000000000001679,-37757.59004410221,20922.419105743524,-16835.170938358686,300.67972506138125,595.0848221399183
8000,16.00000000000201,-37582.77455444835,20758.664184804195,-16824.110369644153,298.3263746024007,592.2522470152112
8500,17.000000000001457,-37896.294701798746,20845.510930897744,-17050.783770901002,299.57446430015057,584.5427911203317
9000,18.000000000000902,-37634.60767136703,20651.23279498243,-16983.374876384605,296.7824594083062,583.6419135229706
9500,19.000000000000348,-37485.91394946167,21173.768366727338,-16312.14558273433,304.2919090208474,581.9569502051468
10000,19.999999999999794,-38087.31553895114,21159.135232135097,-16928.18030681604,304.0816136977424,578.2366125655537
10500,20.99999999999924,-37738.92029166648,20815.952086699515,-16922.968204966965,299.1496690075156,573.9869505497719
11000,21.999999999998685,-37805.83979623828,20370.522792937845,-17435.317003300435,292.7483271308596,570.4779233155897
11500,22.99999999999813,-38215.039513603246,20896.533964624366,-17318.50554897888,300.3077251948483,569.9970564176494
12000,23.999999999997577,-37603.62273739374,20539.082992747386,-17064.539744646358,295.17073508850876,566.567658800329
12500,24.999999999997023,-38163.58040343292,20778.52557189403,-17385.054831538888,298.6118060517626,565.5075971033172
13000,25.99999999999647,-37809.501937988025,20527.327446140232,-17282.174491847793,295.00179408298163,564.5809439863464
13500,26.999999999995914,-38009.78835744079,20404.111076463185,-17605.677280977605,293.2310301971083,559.5067318552071
14000,27.99999999999536,-37742.92456478717,20075.865631820103,-17667.05893296707,288.51375780383904,557.4249972713395
14500,28.999999999994806,-37913.02583601518,20905.185766852657,-17007.84006916252,300.4320617499159,555.1069756341079
15000,29.99999999999425,-37801.431014888345,20744.091819885398,-17057.339195002947,298.11695261084543,559.4113828305067
15500,30.999999999993697,-37155.529377342806,20409.197332244272,-16746.332045098534,293.30412566384757,558.5971171974662
16000,31.999999999993143,-37655.02456449262,20984.121878636415,-16670.902685856203,301.5664663457037,556.1971528467753
16500,32.999999999994365,-36981.45304881562,20594.138272341737,-16387.314776473886,295.9619440901037,554.8928158109355
17000,33.99999999999559,-37352.34370527421,20726.657180984508,-16625.6865242897,297.8663963819138,554.1133997321776
17500,34.99999999999681,-37781.69690268312,20639.869191067653,-17141.827711615468,296.61915107940155,553.9938479016374
18000,35.99999999999803,-37792.62651954342,20795.35678016902,-16997.2697393744,298.8536902741843,557.3742301374721
18500,36.999999999999254,-37989.571578537216,20526.70487659563,-17462.866701941584,294.99284702774116,559.5249696600581
19000,38.000000000000476,-37465.65586102751,20355.944646385455,-17109.711214642055,292.5388220504421,563.5469801857016
19500,39.0000000000017,-37663.04698290727,20469.3271558802,-17193.719827027067,294.16826182073567,563.4779715696816
20000,40.00000000000292,-37962.43243793605,20956.0968408026,-17006.33559713345,301.1637136511841,557.4671021971302
20500,41.00000000000414,-37462.65757394927,20761.683928011735,-16700.973645937534,298.3697718574127,549.4374028272598
21000,42.000000000005365,-37667.089613707016,21138.228596774345,-16528.86101693267,303.78116080362634,544.6008344984089
21500,43.00000000000659,-37444.50199213631,20886.156298521833,-16558.34569361448,300.1585859497773,546.3014301855158
22000,44.00000000000781,-37702.143965456904,20746.555168624123,-16955.58879683278,298.1523538241443,540.694973847634
22500,45.00000000000903,-37815.065467216074,20558.4946826324,-17256.570784583673,295.4497038611016,540.1056265933129
23000,46.00000000001025,-38371.23377452443,20767.578548036632,-17603.655226487797,298.4544844673393,537.6336691121616
23500,47.000000000011475,-38233.22111709432,20594.15192570716,-17639.06919138716,295.9621403049936,536.412199945315
24000,48.0000000000127,-38067.154027844284,20821.674804157356,-17245.47922368693,299.23191117574345,536.0992606621612
24500,49.00000000001392,-38005.54341602903,20884.39884104493,-17121.1445749841,300.1333292226135,533.1815059261797
25000,50.00000000001514,-37804.221738027954,20493.258060395547,-17310.963677632408,294.5121770130363,531.8524471201449
25500,51.000000000016364,-37910.0080467152,20801.49255468949,-17108.515492025712,298.941868557323,531.1506271586152
26000,52.000000000017586,-37557.83014284601,20246.92746919827,-17310.902673647743,290.97211723022303,531.8401181166792
26500,53.00000000001881,-38060.67685957744,20824.2629104712,-17236.41394910624,299.26910530185967,530.9327022943005
27000,54.00000000002003,-37679.995154535776,20802.543191971552,-16877.451962564224,298.95696744849397,530.4486861967291
27500,55.00000000002125,-37884.184862048925,20567.805482515203,-17316.379379533722,295.5835109861149,528.9056231659345
28000,56.000000000022474,-37927.38732862625,20692.221635154703,-17235.16569347155,297.3715171616804,530.8850949933337
28500,57.0000000000237,-37746.69878610469,21061.309157013955,-16685.389629090732,302.6757381523479,532.067028366993
29000,58.00000000002492,-38036.13418897064,20706.410358131445,-17329.723830839193,297.5754257681402,531.0215193253997
29500,59.00000000002614,-38379.38930768549,21035.638555344423,-17343.750752341064,302.30682146957116,531.4985689027112
30000,60.00000000002736,-37956.39433843366,20771.205614450588,-17185.188723983072,298.5066096698131,528.6193804729018
30500,61.000000000028585,-37838.14544934494,20818.280176083994,-17019.865273260948,299.18312638510207,528.1595255206689
31000,62.00000000002981,-37770.77661902254,20490.235713611866,-17280.54090541067,294.4687423415786,529.5600348266744
31500,63.00000000003103,-37634.467877949624,20458.729120965712,-17175.738756983912,294.01595561712827,530.9109190047587
32000,64.00000000003224,-38034.826465020684,20398.350274598513,-17636.47619042217,293.14824071124394,529.1937915001815
32500,65.00000000002991,-37860.93349037436,21174.30931451797,-16686.62417585639,304.29968307566094,530.3427824041644
33000,66.00000000002758,-37447.710922796025,20612.75361091146,-16834.957311884566,296.22946835939496,526.5859990511242
33500,67.00000000002525,-37587.03546706599,21193.73086302464,-16393.304604041346,304.57879352822084,525.7367093283241
34000,68.00000000002292,-37483.087877841666,20566.364326907675,-16916.72355093399,295.5627998881462,521.4377939712194
34500,69.00000000002059,-37459.41389443484,20892.643636628003,-16566.770257806835,300.25181661437136,523.0469918017931
35000,70.00000000001826,-38016.76115037393,20781.22789556273,-17235.533254811202,298.650641615357,522.0138119947953
35500,71.00000000001593,-38027.98751003011,20698.061425284068,-17329.92608474604,297.4554418016391,522.3674658578882
36000,72.0000000000136,-37775.82166491096,20962.69980425448,-16813.12186065648,301.2586059877379,520.0158495052244
36500,73.00000000001127,-37662.18803272431,20660.580137294877,-17001.607895429435,296.91679169093356,520.2279989651192
37000,74.00000000000894,-37882.843516746274,20405.15996905927,-17477.683547687004,293.24610401509347,518.8728422575249
37500,75.00000000000661,-37739.40810633199,20406.971394259468,-17332.436712072522,293.27213632179814,524.3545933593589
