#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-26491.729454825967,20877.722202932982,-5614.007251892985,300.03737809470186,509.6265058623224
1000,2.0000000000000013,-26299.220192484845,21102.126651846,-5197.093540638845,303.26233347202697,509.17329949739315
1500,2.999999999999891,-25775.949094995623,20640.790556073465,-5135.158538922158,296.6323921761996,509.99032336307454
2000,3.999999999999781,-26315.233363272502,20774.123729322622,-5541.10963394988,298.54854640633414,509.12188263238573
2500,4.999999999999671,-26198.407853353117,20632.67317191351,-5565.734681439608,296.5157358361704,508.24844550394647
3000,5.999999999999561,-26537.200507318455,20912.556129242286,-5624.644378076169,300.5379825101165,504.2794279755326
3500,6.999999999999451,-26810.513195466185,20802.794443369836,-6007.718752096349,298.96057822605155,500.29170914243906
4000,7.999999999999341,-26527.11849158049,20529.963449460654,-5997.155042119837,295.0396765453125,499.1370973307396
4500,8.999999999999675,-26494.52334718535,20616.330891022844,-5878.192456162506,296.28087807425266,498.581282346856
5000,10.000000000000009,-26697.607562953315,20801.79530702689,-5895.812255926427,298.9462194638368,500.5852726596331
5500,11.000000000000343,-26447.345775784073,20467.19668375017,-5980.149092033902,294.1376444350945,502.0155598189231
6000,12.000000000000677,-26716.091974824776,20527.76651129681,-6188.325463527966,295.00810396473554,502.86338519293633
6500,13.00000000000101,-26763.814407106045,20785.750247027845,-5978.0641600782,298.71563311506316,499.78437066260227
7000,14.000000000001345,-26901.31122055187,20838.521286553158,-6062.7899339987125,299.47401490521275,498.7210907603518
7500,15.000000000001679,-26580.12463605371,20931.40013009154,-5648.724505962171,300.8087929248096,497.92767088367947
8000,16.00000000000201,-26685.227469043464,20908.831830200976,-5776.395638842489,300.48445996063845,494.77020210149834
8500,17.000000000001457,-26321.186765719594,20580.67605986987,-5740.510705849723,295.7684762925082,496.9132945987711
9000,18.000000000000902,-26625.10138562885,20695.241198059077,-5929.860187569771,297.4149118255242,502.0599310850863
9500,19.000000000000348,-26126.4450708977,20504.67588430507,-5621.769186592628,294.6762645469186,499.74696381224777
10000,19.999999999999794,-26530.046787396994,20376.719782901662,-6153.3270044953315,292.83738515178493,497.4990360777187
10500,20.99999999999924,-26363.30327055959,20754.98154590747,-5608.32172465212,298.27345075810854,494.8453560327718
11000,21.999999999998685,-25983.11474056539,20437.04672328986,-5546.068017275531,293.7043541078144,492.90653806235093
11500,22.99999999999813,-26534.967260088997,20566.636620190708,-5968.3306398982895,295.5667130622903,492.8507093395521
12000,23.999999999997577,-26836.35402823192,20755.772960486534,-6080.581067745385,298.2848243147149,491.84280795068213
12500,24.999999999997023,-26515.94301712246,20966.765826968403,-5549.177190154056,301.3170395075683,492.7433056887271
13000,25.99999999999647,-26561.010184901417,21053.896115400246,-5507.114069501171,302.5692040415926,490.7023994348892
13500,26.999999999995914,-26713.46501066408,20753.61507444693,-5959.84993621715,298.25381295900974,488.5270250256642
14000,27.99999999999536,-26559.757406849596,20595.91933467459,-5963.838072175007,295.98754004675925,488.32702514447504
14500,28.999999999994806,-26237.12722879483,20403.17945440184,-5833.947774392989,293.21764169438063,488.094461913947
15000,29.99999999999425,-26566.095800282204,20844.066157989793,-5722.029642292411,299.5537012173281,490.7411595208669
15500,30.999999999993697,-26733.51934462413,20583.77621647835,-6149.743128145779,295.8130291824954,489.74699734873946
16000,31.999999999993143,-26916.79054521418,20651.01176094245,-6265.77878427173,296.779282889662,490.87534977303
16500,32.999999999994365,-26414.31837585796,20624.65941148012,-5789.6589643778425,296.40056869074414,485.8539239434528
17000,33.99999999999559,-26488.09313996871,20900.76067020821,-5587.332469760502,300.368467916158,486.2246871021438
17500,34.99999999999681,-26323.82857302181,21122.391947418535,-5201.436625603274,303.553569560466,488.56811508524004
18000,35.99999999999803,-26458.868196338528,21030.292552948962,-5428.575643389566,302.22999313904586,487.13893916061494
18500,36.999999999999254,-26499.686280234848,21055.12809969675,-5444.558180538097,302.5869091022589,490.3008206474754
19000,38.000000000000476,-26540.953537011672,21067.885496053244,-5473.068040958427,302.7702478648362,489.9443313029739
19500,39.0000000000017,-26333.807209321476,21032.955578741086,-5300.85163058039,302.26826394601903,487.32683652602236
20000,40.00000000000292,-26856.716916995836,20754.20311990259,-6102.513797093245,298.2622638625615,484.1489630115976
20500,41.00000000000414,-27218.11792297561,21076.267306577007,-6141.850616398602,302.8907043221447,480.0439243335141
21000,42.000000000005365,-27035.53833061695,20484.139030776794,-6551.399299840155,294.3811258518519,476.0933783127481
21500,43.00000000000659,-26966.720603171798,20716.44037611519,-6250.280227056606,297.71956890161204,472.20284244706704
22000,44.00000000000781,-26919.08777385633,20378.917998975514,-6540.169774880815,292.86897609742897,468.57843599301924
22500,45.00000000000903,-26914.731674718136,20506.01378266755,-6408.717892050587,294.695491717054,467.40044897117747
23000,46.00000000001025,-26924.73474671871,20556.394919087932,-6368.339827630778,295.4195277938862,466.12158371899335
23500,47.000000000011475,-26861.968183151654,20506.729606722733,-6355.238576428921,294.70577894909053,466.1470151278426
24000,48.0000000000127,-26652.397517469333,20873.588656521533,-5778.8088609478,299.9779741800665,462.1048947191889
24500,49.00000000001392,-26995.813287881883,20669.42546058665,-6326.387827295232,297.04390937087334,464.12657771341316
25000,50.00000000001514,-26563.93500143738,20730.6323397697,-5833.30266166768,297.92352408041586,463.7311419326338
25500,51.000000000016364,-26531.136317583485,20972.1032392915,-5559.033078291985,301.3937443886692,463.4197006162899
26000,52.000000000017586,-26792.8313763221,20737.243598097706,-6055.587778224395,298.0185356240775,467.5522055427095
26500,53.00000000001881,-26753.77977830422,21124.36999165099,-5629.409786653228,303.58199637827164,461.018051862949
27000,54.00000000002003,-26632.222689951428,20806.44645447716,-5825.776235474266,299.0130619130536,461.5284320270242
27500,55.00000000002125,-26675.757814802182,21014.634225924936,-5661.123588877246,302.00496459714014,461.9622946604557
28000,56.000000000022474,-26918.99435844103,20714.381242451087,-6204.613115989941,297.68997673347616,458.8463630168183
28500,57.0000000000237,-26646.020997265554,20686.954262059364,-5959.06673520619,297.2958188265072,456.6456952309375
29000,58.00000000002492,-26423.81986185811,20521.712640120135,-5902.107221737973,294.92110272880007,456.49192437976
29500,59.00000000002614,-26762.772615280534,20721.931110136633,-6040.841505143901,297.79847719551475,451.1107754990461
30000,60.00000000002736,-26849.042809297454,21211.478155461165,-5637.564653836289,304.83384295550877,445.62785054164823
30500,61.000000000028585,-26788.168395797133,20711.443543886227,-6076.724851910905,297.64775855629824,442.7413751420934
31000,62.00000000002981,-26783.25388063355,20945.979020313447,-5837.2748603201035,301.01830869263114,442.606362347409
31500,63.00000000003103,-26823.95137001684,20823.496509067474,-6000.454860949365,299.25809121394786,440.62561020241606
32000,64.00000000003224,-26897.03330776494,21046.202670407158,-5850.830637357783,302.45864020508765,438.99095321324995
32500,65.00000000002991,-26831.070369350717,20894.036800292797,-5937.0335690579195,300.2718380117814,441.19656051671035
33000,66.00000000002758,-26993.522760500302,20730.279756844473,-6263.243003655829,297.9184570498548,439.68542744574574
33500,67.00000000002525,-27015.077084635515,20380.58165145579,-6634.495433179727,292.8928847366661,437.89728337922526
34000,68.00000000002292,-27334.81204839828,20647.11052310461,-6687.701525293669,296.7232175219551,439.3462506113929
34500,69.00000000002059,-27358.70713198529,20560.68213706247,-6798.02499492282,295.4811401492906,437.0484294484972
35000,70.00000000001826,-27356.260148907782,20600.83091852295,-6755.429230384834,296.0581252727638,432.03934929851295
35500,71.00000000001593,-27094.946319974457,20326.49991830295,-6768.4464016715065,292.11566674036015,425.47357710201396
36000,72.0000000000136,-26926.755665208522,20476.959539684358,-6449.796125524164,294.2779481362711,422.4467562129098
36500,73.00000000001127,-26971.87429549425,20732.966845713792,-6238.907449780458,297.9570736714968,420.5787544496655
37000,74.00000000000894,-27139.23950810351,21005.937446368247,-6133.302061735263,301.87998166506105,421.8225663222464
37500,75.00000000000661,-26854.41042630931,20785.070772695293,-6069.339653614017,298.70586827121474,423.2034622181335
38000,76.00000000000428,-26834.75928086042,21039.048824437392,-5795.7104564230285,302.3558310400265,425.9239213082629
38500,77.00000000000195,-26856.444398967848,21020.119460265876,-5836.324938701971,302.0837938541776,420.14515722716453
39000,77.99999999999962,-26997.039843623374,20881.194213294133,-6115.8456303292405,300.08727495966406,415.5822981158736
39500,78.99999999999729,-26965.640021926672,20727.101251392567,-6238.538770534105,297.8727781950075,414.7484043806899
40000,79.99999999999496,-26481.440175190255,21030.483370202088,-5450.956804988167,302.23273540698904,416.91685731116587
40500,80.99999999999262,-26834.897662956657,20798.372372310663,-6036.525290645994,298.8970278735061,416.2413285329713
41000,81.9999999999903,-26721.674449154198,20609.413602911834,-6112.260846242363,296.1814685233361,413.7413543052417
41500,82.99999999998796,-26741.441132299246,20852.26588315572,-5889.175249143525,299.6715408942798,412.66368706505585
