#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-32070.090114431936,20768.09389704794,-11301.996217383996,298.4618906376415,495.87491772682193
1000,2.0000000000000013,-32216.01134093816,20843.629941130574,-11372.381399807586,299.547432268951,492.44156734888713
1500,2.999999999999891,-31909.292311558373,20124.678887509755,-11784.613424048617,289.2152615939092,495.3540669047931
2000,3.999999999999781,-32230.61318151517,20636.26054633771,-11594.35263517746,296.5672906181538,496.30553400153553
2500,4.999999999999671,-32167.52332092,20668.79577370404,-11498.72754721596,297.0348600311301,494.51079273970817
3000,5.999999999999561,-32194.37219640994,20562.717412010992,-11631.654784398947,295.5103894396739,495.0654508880829
3500,6.999999999999451,-32242.946887057755,20752.89650935954,-11490.050377698215,298.24348633512255,492.51698409595593
4000,7.999999999999341,-32247.25797621601,20781.014961231907,-11466.243014984102,298.64758149904236,493.01189050880237
4500,8.999999999999675,-31772.67927194578,21126.914549426874,-10645.764722518907,303.6185646607723,492.37844613950335
5000,10.000000000000009,-31915.499163921486,20795.674292630767,-11119.824871290719,298.85825330101306,497.47007777407725
5500,11.000000000000343,-31905.90562093845,20708.31489843507,-11197.59072250338,297.6027962481964,500.55826339745045
6000,12.000000000000677,-32014.05129233878,20739.538764790574,-11274.512527548206,298.05151986393497,499.5046669840483
6500,13.00000000000101,-32158.538855591847,20717.405916755342,-11441.132938836505,297.7334448541369,496.8482106672438
7000,14.000000000001345,-32229.072279546974,20750.93859515195,-11478.133684395023,298.2153488094064,498.55112101415733
7500,15.000000000001679,-31933.540254433403,20727.26967120421,-11206.270583229194,297.87519858542237,496.39261791299475
8000,16.00000000000201,-31860.172523317902,20939.754008253756,-10920.418515064146,300.92884796129067,495.22755152455755
8500,17.000000000001457,-31727.820354577074,20849.89358506233,-10877.926769514743,299.6374481856462,495.5444832486536
9000,18.000000000000902,-31821.078008018216,21054.873282287903,-10766.204725730313,302.58324707694317,493.39428152937313
9500,19.000000000000348,-31808.767066377943,20842.19840021414,-10966.568666163803,299.5268593453808,487.0157953259676
10000,19.999999999999794,-32134.96098653849,20883.58770966021,-11251.37327687828,300.1216723123626,490.10532245744076
10500,20.99999999999924,-32365.209699219675,20722.157475514447,-11643.052223705228,297.80173033174253,489.3023707331319
11000,21.999999999998685,-32711.965699602002,20891.110265496958,-11820.855434105044,300.2297802710705,487.47287570066106
11500,22.99999999999813,-32208.567180081925,20868.70674654207,-11339.860433539856,299.90781540239453,487.24163263751973
12000,23.999999999997577,-32085.051934801937,20506.477270775005,-11578.574664026932,294.7021525852841,488.04233981562083
12500,24.999999999997023,-32388.110087782916,20707.598583883442,-11680.511503899474,297.59250196715027,490.849637067072
13000,25.99999999999647,-31883.661711700464,20612.71913603534,-11270.942575665125,296.22897291495224,488.5893757794992
13500,26.999999999995914,-32089.790896227343,20628.443512757043,-11461.3473834703,296.45495066855466,484.52483229660794
14000,27.99999999999536,-32113.16100797903,20750.778777411873,-11362.382230567157,298.2130520408586,483.7059896778753
14500,28.999999999994806,-32293.70635326384,20722.79011384237,-11570.916239421469,297.81082208721983,481.10969312332037
15000,29.99999999999425,-32207.424834900597,20889.867367291652,-11317.557467608945,300.211918364722,480.23322603993904
15500,30.999999999993697,-32288.747364011684,20969.18889471255,-11319.558469299132,301.35186183568595,478.0879165114884
16000,31.999999999993143,-31733.28366223383,20797.049033363193,-10936.234628870636,298.87800993925686,476.5572923329982
16500,32.999999999994365,-32206.031276137703,20832.010088692557,-11374.021187445145,299.38044134793665,475.7928937796474
17000,33.99999999999559,-32043.973067860657,20654.74232469927,-11389.230743161388,296.8328954704566,472.366622775232
17500,34.99999999999681,-31993.674265595215,20714.789478424962,-11278.884787170253,297.69584356368176,471.69199706890635
18000,35.99999999999803,-32242.460402200646,21195.345853518163,-11047.114548682483,304.6020028375801,465.93831120601436
18500,36.999999999999254,-31876.242869064896,21210.75789758352,-10665.484971481375,304.8234920042383,468.3882084079113
19000,38.000000000000476,-31838.039080020266,21042.693657976128,-10795.345422044138,302.40821157694165,467.6831987406983
19500,39.0000000000017,-32146.30496296459,20867.158954903556,-11279.146008061034,299.885571819472,465.56089278285896
20000,40.00000000000292,-32441.791329302432,20739.504094951746,-11702.287234350686,298.05102161764927,463.74004066282413
20500,41.00000000000414,-32408.662758553364,20528.73872821468,-11879.924030338683,295.02207586320907,462.00585653284816
21000,42.000000000005365,-32229.270584247064,20886.631832543215,-11342.63875170385,300.16541993193226,462.9211628679395
21500,43.00000000000659,-32064.64738143151,20730.280430619336,-11334.366950812175,297.9184667327906,463.56104468460995
22000,44.00000000000781,-32306.001020300653,20482.07862969452,-11823.922390606134,294.35151546942893,458.3738635245667
22500,45.00000000000903,-32060.84461575059,20700.653711806644,-11360.190903943945,297.4926960022623,457.7143393021225
23000,46.00000000001025,-32227.392084289935,20879.817222412057,-11347.574861877878,300.0674859841282,454.38444319515116
23500,47.000000000011475,-32383.92861285946,20893.451914043333,-11490.476698816128,300.2634325097316,454.5920843414981
24000,48.0000000000127,-32714.523342727836,20831.190897572105,-11883.332445155731,299.3686686098214,447.05186290959955
24500,49.00000000001392,-32297.99184689126,20531.139968730015,-11766.851878161244,295.0565845084239,444.2482325063295
25000,50.00000000001514,-32359.100642668225,20568.30148302883,-11790.799159639395,295.59063909579066,444.9715355414355
25500,51.000000000016364,-32478.12437514446,20740.430507614263,-11737.693867530197,298.06433525520004,443.44782571448974
26000,52.000000000017586,-32432.353524681646,20486.461848755636,-11945.89167592601,294.4145074731508,444.54502025817675
26500,53.00000000001881,-32186.43618794148,20488.817070315516,-11697.619117625964,294.44835477195045,444.10955458816125
27000,54.00000000002003,-32362.211471180253,20849.140879360057,-11513.070591820197,299.6266309210427,442.4224983871706
27500,55.00000000002125,-32862.94114407226,20747.77633025227,-12115.164813819993,298.1699033503607,438.32183042002515
28000,56.000000000022474,-32601.937884069957,20559.06054605602,-12042.87733801394,295.4578359828116,436.0653610420769
28500,57.0000000000237,-32956.34709294887,20699.35120931983,-12256.995883629039,297.47397751241425,433.43948699831066
29000,58.00000000002492,-32401.35497299794,20520.398585827366,-11880.956387170572,294.9022182259389,434.3682297080346
29500,59.00000000002614,-32579.31238183456,20681.36314482442,-11897.94923701014,297.2154679079785,428.80666711116555
30000,60.00000000002736,-32267.99441514206,20649.6346387232,-11618.35977641886,296.7594920266568,423.94428335790144
30500,61.000000000028585,-32621.96093430038,20897.732789470807,-11724.228144829573,300.3249537152886,420.82541249769184
31000,62.00000000002981,-32546.469174740418,20436.082019629917,-12110.3871551105,293.69049018367775,417.70772796323695
31500,63.00000000003103,-32771.31943660067,20893.671483850845,-11877.647952749827,300.2665879856362,416.2339525313099
32000,64.00000000003224,-32646.60700092774,21118.408543870068,-11528.198457057671,303.4963233750364,412.67343293943003
32500,65.00000000002991,-32412.039817804656,20507.958279609633,-11904.081538195023,294.72343642091323,410.9453262311059
33000,66.00000000002758,-32821.88301095189,21063.32127046885,-11758.561740483041,302.70465458487666,411.14871735062485
33500,67.00000000002525,-32438.38880239268,20762.54026136187,-11675.84854103081,298.3820783729728,411.2073888115551
34000,68.00000000002292,-32648.557865146176,20714.727653525893,-11933.830211620283,297.69495506730095,410.22596211747305
34500,69.00000000002059,-32566.71065273474,20857.23104705612,-11709.479605678618,299.74289612853414,409.2149943792755
35000,70.00000000001826,-32671.115444822713,21015.500591365017,-11655.614853457697,302.01741528561024,411.3444659948228
35500,71.00000000001593,-32571.38226703136,20777.391509317607,-11793.990757713753,298.595508241172,410.12941699507854
36000,72.0000000000136,-32240.190552877702,20960.59651722192,-11279.594035655784,301.228379283862,409.10968061194245
36500,73.00000000001127,-32135.63024382962,20965.30750875989,-11170.322735069727,301.29608176287485,405.5716383297706
37000,74.00000000000894,-32100.522373175838,20690.08374464603,-11410.43862852981,297.34079316522906,404.68740614310474
37500,75.00000000000661,-32653.748564183363,20992.997736194626,-11660.750827988737,301.6940228388988,406.7921666718021
38000,76.00000000000428,-32140.718155124494,20919.908246007344,-11220.80990911715,300.643641059272,410.1932946336412
38500,77.00000000000195,-32588.43265999945,21363.763534464517,-11224.669125534932,307.0223626318509,409.80740715403357
39000,77.99999999999962,-32562.42863181496,20977.357494988726,-11585.071136826235,301.46925421143203,408.61295389634677
39500,78.99999999999729,-32456.714445199785,20901.225079994994,-11555.48936520479,300.37514203000217,407.53133208668703
40000,79.99999999999496,-32472.394420144163,20596.488208629693,-11875.90621151447,295.99571543334105,407.33348659078905
40500,80.99999999999262,-32594.042988016154,20313.935088485418,-12280.107899530736,291.9350953850172,408.7726171133402
41000,81.9999999999903,-33185.20611698777,20722.880769449683,-12462.325347538088,297.8121249147248,410.0996530041722
41500,82.99999999998796,-32489.267612720665,20583.581855306744,-11905.685757413921,295.8102359842832,406.93301199475684
42000,83.99999999998563,-32566.904481300626,21015.55934534346,-11551.345135957166,302.0182596492565,405.88366344776693
42500,84.9999999999833,-32909.718500902425,20577.4576679652,-12332.260832937227,295.72222422250877,403.2958264611422
43000,85.99999999998097,-32509.306370768798,21029.332832532495,-11479.973538236303,302.2162008299682,403.95944793834747
43500,86.99999999997864,-32627.021213688702,20212.62686871873,-12414.394344969973,290.4791773330963,405.0627012452177
44000,87.99999999997631,-32711.936242641772,20621.6137399851,-12090.322502656672,296.3567988158018,404.28398183497336
44500,88.99999999997398,-32978.97130221322,20527.03968434717,-12451.931617866048,294.99765860818854,401.99858554325135
45000,89.99999999997165,-32756.331574516626,20959.26161343808,-11797.069961078545,301.2091951493373,401.3965555679256
45500,90.99999999996932,-32403.8033624983,20365.717101084887,-12038.086261413413,292.6792636971441,400.1130405463802
46000,91.99999999996699,-32804.763046968896,20538.35072672704,-12266.412320241856,295.1602115661304,398.5180487957278
46500,92.99999999996466,-32779.545698412905,20943.572807290297,-11835.972891122608,300.9837285866413,398.9211349910649
47000,93.99999999996233,-32735.129950060156,21154.660978063934,-11580.468971996223,304.01731341405275,400.24532731755573
47500,94.99999999996,-32591.226563809316,20702.87123360684,-11888.355330202477,297.52456439385844,398.12853848386277
48000,95.99999999995767,-32854.30644478483,20579.609137422078,-12274.697307362752,295.7531433643873,396.58115406142224
48500,96.99999999995534,-32914.81730044949,20483.188798293533,-12431.628502155956,294.36746989551307,395.11729926910675
49000,97.999999999953,-32667.597614627448,20914.529961144402,-11753.067653483045,300.56634879179006,392.03309597275353
49500,98.99999999995067,-32586.49920955541,20544.70740000246,-12041.791809552953,295.25156442370854,394.77084877701265
50000,99.99999999994834,-32854.719330473046,21074.398450729765,-11780.320879743282,302.86384666961953,394.71460472224203
