#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-24062.19025570372,20737.145422821435,-3325.044832882286,298.01712473010167,528.3410144436934
1000,2.0000000000000013,-24046.58919224993,20583.402554120283,-3463.186638129646,295.8076592157377,530.2443854071172
1500,2.999999999999891,-23632.459566999114,20612.253143057133,-3020.2064239419815,296.2222760487888,529.6766513355345
2000,3.999999999999781,-23835.638861535223,20963.3257191365,-2872.3131423987215,301.26760111940445,529.813525196569
2500,4.999999999999671,-23786.900625710543,20661.158413504854,-3125.7422122056887,296.9251021989559,529.884336473197
3000,5.999999999999561,-23689.219689766665,20571.005800192554,-3118.213889574112,295.62950330824896,531.2178029949142
3500,6.999999999999451,-23909.26113185959,21123.03469497679,-2786.2264368827964,303.56280659745124,522.5599529260987
4000,7.999999999999341,-23688.303174332315,20714.42766354615,-2973.8755107861653,297.6906438591096,521.6391819176065
4500,8.999999999999675,-23734.478355597905,20758.27437691228,-2976.2039786856258,298.320772605367,526.1870880957243
5000,10.000000000000009,-23989.95973628188,20707.82645608889,-3282.1332801929893,297.59577675826006,526.0028337474981
5500,11.000000000000343,-24226.688401473042,21014.881446595507,-3211.8069548775347,302.00851744840855,525.2706308196472
6000,12.000000000000677,-23813.515010655967,21132.13800054083,-2681.3770101151385,303.6936317855095,522.9168597573959
6500,13.00000000000101,-24006.383102294465,21012.153849659015,-2994.2292526354504,301.9693186782855,522.2784779040932
7000,14.000000000001345,-24296.117214208814,20734.446682693273,-3561.6705315155414,297.97834066619174,522.123657251621
7500,15.000000000001679,-23781.09553528974,20737.61550136096,-3043.4800339287794,298.0238803105777,517.3502701891452
8000,16.00000000000201,-24045.273841806484,21071.390172814765,-2973.883668991719,302.82061418432136,518.3272700093547
8500,17.000000000001457,-23908.440082031302,20833.776756180778,-3074.6633258505244,299.4058304337756,520.3150500003111
9000,18.000000000000902,-23912.32660987537,20873.51440388944,-3038.8122059859306,299.9769070825722,521.4660426235091
9500,19.000000000000348,-23787.677612507017,20743.23010548999,-3044.4475070170265,298.1045687633476,512.8153222157268
10000,19.999999999999794,-23977.61674161601,20563.725761363847,-3413.890980252163,295.52488060365687,514.7038172829376
10500,20.99999999999924,-24033.527440915528,20536.77216065611,-3496.755280259418,295.13752571848534,512.9677795048316
11000,21.999999999998685,-24317.69984877152,20907.36836221107,-3410.3314865604516,300.46342820754063,513.5456555892572
11500,22.99999999999813,-24337.828846715718,20979.941059867775,-3357.887786847943,301.50638307179867,510.8057816210905
12000,23.999999999997577,-23932.17257387417,20671.878439881937,-3260.2941339922327,297.0791615630964,510.37620531943287
12500,24.999999999997023,-24351.81283602456,20970.929966331576,-3380.882869692985,301.3768830788355,508.1306364965888
13000,25.99999999999647,-24252.138298676822,21205.935305383995,-3046.202993292827,304.754185692702,509.21696475077783
13500,26.999999999995914,-24198.244805402202,20595.35999763623,-3602.8848077659713,295.9795017168673,505.5578292110091
