#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-26300.009419762886,21293.588658284145,-5006.420761478741,306.01386727720336,546.8412935316962
1000,2.0000000000000013,-26149.308508427534,20649.699894165722,-5499.608614261811,296.76042982397445,546.6994229167503
1500,2.999999999999891,-26613.352219616914,20512.226189307923,-6101.126030308991,294.7847712937204,547.9738915439722
2000,3.999999999999781,-26562.68783770974,20752.608201084207,-5810.079636625531,298.2393430067377,546.5626283411381
2500,4.999999999999671,-26195.58006990175,20353.520013876547,-5842.060056025202,292.5039772348178,545.3841684907553
3000,5.999999999999561,-26551.27265849778,20667.154880249043,-5884.117778248736,297.0112784658049,544.3602631799727
3500,6.999999999999451,-26482.13707711775,20719.61537754693,-5762.5216995708215,297.76519739957587,539.8740384065072
4000,7.999999999999341,-26036.938719798156,20775.52046642366,-5261.418253374497,298.56861915821816,539.3444357438095
4500,8.999999999999675,-26260.51881240027,20888.402194623544,-5372.116617776726,300.19086211339715,538.0974726231567
5000,10.000000000000009,-26285.794420504273,20858.833126727553,-5426.96129377672,299.7659198942229,537.2986113494917
5500,11.000000000000343,-26370.525400627543,20789.771397995697,-5580.754002631846,298.773421775224,536.5068595087293
6000,12.000000000000677,-26591.767383707,21091.569120210577,-5500.198263496422,303.11060934808984,534.2621589579954
6500,13.00000000000101,-26450.33135022368,20764.285031236665,-5686.046318987017,298.4071527643993,536.5539459313894
7000,14.000000000001345,-26358.29212929578,21171.721833482916,-5186.570295812864,304.26249793553495,535.0079939310958
7500,15.000000000001679,-26595.92478560989,21073.744099184634,-5522.180686425254,302.85444286972006,530.2305083096476
8000,16.00000000000201,-26750.891656548847,21117.66145900876,-5633.230197540088,303.48558688851637,533.7745803931559
8500,17.000000000001457,-26787.17106900589,20364.601745189168,-6422.569323816722,292.6632347235165,533.3457370888966
9000,18.000000000000902,-26549.409668602966,20665.273179140815,-5884.136489462151,296.98423621179927,532.8785838626586
