#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-10239.41357580174,5283.353535590547,-4956.060040211193,304.1844769022443,203.72136346270185
1000,2.0000000000000013,-9991.186734780133,5240.399301218454,-4750.787433561679,301.71142428042094,204.87759657750317
1500,2.999999999999891,-9995.33600011,5285.583553068361,-4709.75244704164,304.31286821571626,208.0523722560832
2000,3.999999999999781,-9928.511739840535,5129.3335497976905,-4799.178190042844,295.3169104039417,206.9657859131414
2500,4.999999999999671,-10142.937958283877,5255.230584149333,-4887.707374134545,302.56532247400725,205.4703322725975
3000,5.999999999999561,-10005.315894140022,5260.594349787395,-4744.721544352627,302.8741366076535,205.07753411604162
3500,6.999999999999451,-9999.99778949234,5410.017965330291,-4589.979824162048,311.47707109321743,201.32357390276385
4000,7.999999999999341,-9992.103338802723,5294.6071855364935,-4697.496153266229,304.83239599359194,199.97145537796425
4500,8.999999999999675,-9878.653827779262,5122.170695491155,-4756.483132288107,294.90451530759174,202.88917666862923
5000,10.000000000000009,-10241.139763600155,5291.1006305760775,-4950.039133024077,304.6305091466911,201.19930719369555
5500,11.000000000000343,-10215.170952577915,5249.606325753187,-4965.564626824728,302.2415106967582,200.31760270502048
6000,12.000000000000677,-10281.334964527829,5227.950988385336,-5053.383976142492,300.99472351414636,198.39351570693097
6500,13.00000000000101,-10277.699015119575,5020.641993184083,-5257.057021935492,289.05908872506257,199.92841581806698
7000,14.000000000001345,-10178.380064060237,5134.8612715112595,-5043.518792548977,295.6351641657951,199.2091091967734
7500,15.000000000001679,-10089.662217979829,5261.080786647299,-4828.58143133253,302.9021427860739,197.2274206140511
8000,16.00000000000201,-10265.609858674212,5013.985321982832,-5251.62453669138,288.6758366800078,196.40056318075355
8500,17.000000000001457,-10089.85125643242,5092.042022879606,-4997.809233552814,293.1698832303767,198.70148271019775
9000,18.000000000000902,-10172.941263237572,5061.180363808242,-5111.76089942933,291.3930500963228,198.11644756626657
9500,19.000000000000348,-10243.27788658924,5159.685445256152,-5083.592441333088,297.0643943420938,197.67588547018406
10000,19.999999999999794,-9919.019938123834,5083.6432233379865,-4835.376714785848,292.6863296638844,200.47277036770913
10500,20.99999999999924,-10111.716159581843,5055.858647305841,-5055.857512276002,291.08665690502863,196.2769259858053
11000,21.999999999998685,-10185.79686582623,5222.682496504477,-4963.114369321754,300.69139468406763,194.56461582208877
11500,22.99999999999813,-10089.541696750777,5124.2528121638925,-4965.288884586885,295.0243913610642,190.51283869868035
12000,23.999999999997577,-10206.290180857884,5114.562177196947,-5091.728003660937,294.4664614954185,187.42876732695026
12500,24.999999999997023,-10302.796992024603,5295.7497745400005,-5007.047217484603,304.8981795600342,184.71975529147116
13000,25.99999999999647,-10185.955248525108,5313.878419435131,-4872.076829089977,305.9419204960182,186.75991914912535
13500,26.999999999995914,-10124.736632993656,5110.889962531139,-5013.846670462517,294.25503693530396,187.4926538147529
14000,27.99999999999536,-10115.011216203024,5051.909875099854,-5063.10134110317,290.85930978547793,184.43760818618557
