#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6950.64060406269,5198.6459315074035,-1751.9946725552863,299.30751039525217,196.7613446543045
1000,2.0000000000000013,-6979.226297824502,5245.707830094807,-1733.5184677296947,302.0170582056346,198.8801807763866
1500,2.999999999999891,-7031.534035546044,5280.538175672176,-1750.9958598738676,304.02238500771324,198.87369206180412
2000,3.999999999999781,-6997.011157252659,5012.465568503297,-1984.5455887493627,288.5883381974477,201.866917139614
2500,4.999999999999671,-7227.930055447339,4902.894027298846,-2325.0360281484936,282.279852172402,203.0235215376537
3000,5.999999999999561,-7163.138073796808,5262.679443925791,-1900.4586298710174,302.99418408611723,199.965236504347
3500,6.999999999999451,-7059.570951208542,5069.325871061135,-1990.245080147407,291.86202057996235,200.1549342229731
4000,7.999999999999341,-7080.997526553683,5172.996203704586,-1908.001322849097,297.8307496632992,198.53702343921205
4500,8.999999999999675,-7230.750174532489,5191.5346300708325,-2039.2155444616565,298.89808341047706,200.8826759386951
5000,10.000000000000009,-6978.406805610073,5084.237451727546,-1894.1693538825275,292.72054184571573,200.86843614617138
5500,11.000000000000343,-7022.83024534472,5221.890564316077,-1800.9396810286435,300.6457998782596,200.79381148127527
6000,12.000000000000677,-7022.115776608011,5243.300888578043,-1778.8148880299686,301.87848064475793,200.11689794963286
6500,13.00000000000101,-7102.440895147482,4952.7150259524815,-2149.725869195,285.14825276534276,199.00292882617595
7000,14.000000000001345,-7265.976762957711,5279.548461716289,-1986.4283012414217,303.9654030889515,196.36301455692052
7500,15.000000000001679,-7264.505486992674,5096.522369992513,-2167.9831170001617,293.42783531208,194.82290754378315
8000,16.00000000000201,-7105.125030483574,5040.934142119402,-2064.1908883641718,290.2273915212946,196.94877811955035
8500,17.000000000001457,-7158.870629934305,5278.19634170688,-1880.6742882274248,303.88755595738996,199.17133043172495
9000,18.000000000000902,-7042.108609074895,5283.866778869298,-1758.2418302055967,304.21402643687577,200.44978757260694
9500,19.000000000000348,-7174.931127468215,5082.134684994218,-2092.7964424739966,292.59947688299536,196.2482786488134
10000,19.999999999999794,-6909.430893076171,5240.120167635278,-1669.3107254408924,301.69535340755357,196.3454136826697
10500,20.99999999999924,-6928.582649493977,5249.2305153720135,-1679.352134121964,302.2198737414719,196.00589921261093
11000,21.999999999998685,-7117.485723830024,5131.915051199319,-1985.5706726307044,295.46553809811115,197.51419334083798
11500,22.99999999999813,-7068.154630991898,5256.037469011892,-1812.1171619800052,302.61177816700314,196.84038178363645
12000,23.999999999997577,-6944.399882292617,5207.865439994408,-1736.534442298209,299.83831556426526,196.29794052661651
12500,24.999999999997023,-6972.511513181421,5094.621156093787,-1877.8903570876337,293.31837457821706,193.24473772833971
13000,25.99999999999647,-7049.156438389184,5176.966586179735,-1872.1898522094489,298.0593409752698,192.1498313490332
13500,26.999999999995914,-6894.317718836875,4976.509157150505,-1917.80856168637,286.51817913938874,190.39696451847183
14000,27.99999999999536,-6991.237979204541,5051.808663486883,-1939.429315717658,290.85348261503776,195.463574117454
14500,28.999999999994806,-7078.791975206367,5103.9738242132635,-1974.8181509931037,293.85684629705975,195.5470374967601
15000,29.99999999999425,-7184.845715709664,5205.228232814897,-1979.617482894767,299.68648065846565,196.90694838304975
15500,30.999999999993697,-7133.513612802989,5140.922516809549,-1992.59109599344,295.9841350832278,200.1020540573848
16000,31.999999999993143,-6946.610814385918,5148.575958591633,-1798.0348557942852,296.4247753260778,199.5512055411735
16500,32.999999999994365,-7352.1708417621885,5364.8980415493015,-1987.272800212887,308.8793307904467,198.73371758290008
17000,33.99999999999559,-7050.132526306696,5290.527072590396,-1759.6054537163,304.5974870453548,199.56242160930074
17500,34.99999999999681,-6896.271223638371,5354.203824244146,-1542.0673993942255,308.2636205460093,198.0460595137678
18000,35.99999999999803,-6971.8412882378925,5244.078833265306,-1727.762454972587,301.92327013237406,199.05302846749177
18500,36.999999999999254,-6877.486422383629,5249.976149797095,-1627.5102725865345,302.26280299389185,201.90208101279526
19000,38.000000000000476,-6956.798896316076,5235.593309634358,-1721.2055866817182,301.4347235019936,198.61516971563788
19500,39.0000000000017,-7186.323487341428,5115.729285563613,-2070.5942017778143,294.533656742833,199.53096581510198
20000,40.00000000000292,-7108.189006546362,4949.558534801803,-2158.630471744559,284.9665205373085,198.3922997234696
20500,41.00000000000414,-7147.77827526235,5306.647447008817,-1841.1308282535329,305.52560355826716,194.9388335459001
