#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-8670.505708818351,4997.877686145098,-3672.6280226732533,287.74845357978046,173.32160253092107
1000,2.0000000000000013,-8793.935735288589,5173.728703387999,-3620.2070319005898,297.8729226944108,174.9047983498527
1500,2.999999999999891,-8594.23452242348,5057.166490007104,-3537.068032416376,291.1619548091484,176.06825428670055
2000,3.999999999999781,-8727.538508778282,5173.895372152695,-3553.6431366255865,297.88251850333467,179.4490502758675
2500,4.999999999999671,-8900.863962037474,5064.481644603042,-3836.3823174344325,291.58311846197523,181.54085232601727
3000,5.999999999999561,-8727.706893206174,5054.171823106736,-3673.5350700994377,290.98953947134294,182.04243814685572
3500,6.999999999999451,-8822.181966747212,5268.4518557482625,-3553.7301109989494,303.3265256678143,180.63860441183417
4000,7.999999999999341,-8671.39801862921,5277.09073869282,-3394.30727993639,303.82390182706763,179.13862871179785
4500,8.999999999999675,-8714.698665072465,5151.021254134589,-3563.6774109378757,296.56556108659805,178.38174446821628
5000,10.000000000000009,-8810.721085087942,5260.586493296551,-3550.1345917913904,302.8736842770378,178.7736466571218
5500,11.000000000000343,-8589.95660231904,5357.933834371311,-3232.0227679477293,308.4783726294595,178.55453882729353
6000,12.000000000000677,-8586.638402262735,5413.918726004903,-3172.7196762578324,311.70165399067724,182.03913703338458
6500,13.00000000000101,-8509.343008239006,5079.92516833661,-3429.417839902396,292.47226588638614,181.14214956905005
7000,14.000000000001345,-8710.597643892766,5217.008445289991,-3493.5891986027755,300.36471612868263,180.13130715373674
7500,15.000000000001679,-8687.722680046769,5178.871410680773,-3508.851269365996,298.16900958641526,177.54082477831818
8000,16.00000000000201,-8513.767168408518,5259.4135970941525,-3254.3535713143656,302.8061558000234,177.8187777848474
8500,17.000000000001457,-8607.5399190417,5163.973849881851,-3443.5660691598487,297.3112955023183,179.97442713746014
9000,18.000000000000902,-8789.371150711415,5300.35236953398,-3489.018781177435,305.1631699569867,182.82853128441386
9500,19.000000000000348,-8691.34319329475,5296.269055620453,-3395.0741376742963,304.9280767158385,180.4347003817205
10000,19.999999999999794,-8686.138119150783,5157.2864741049025,-3528.85164504588,296.9262756680678,180.7306834008631
10500,20.99999999999924,-8711.109396047183,5196.764040959878,-3514.3453550873046,299.19916218649985,180.36088494155354
11000,21.999999999998685,-8960.130385024984,5383.120804820168,-3577.0095802048163,309.9284905099169,180.6121270720242
11500,22.99999999999813,-8662.361998092676,5421.253900781018,-3241.1080973116577,312.12397028793595,181.78375695121926
12000,23.999999999997577,-8637.796892532515,5132.98926084927,-3504.807631683245,295.52738478284505,184.3111152344668
12500,24.999999999997023,-8565.907366688149,5076.922218609331,-3488.9851480788175,292.2993736720373,184.75887843962823
13000,25.99999999999647,-8860.158409131076,5101.793712168528,-3758.364696962548,293.7313282454191,183.4459615989602
13500,26.999999999995914,-8852.456923354282,5280.448307097308,-3572.008616256974,304.0172109028096,179.16741366451635
14000,27.99999999999536,-8720.168013491,5081.0357878292,-3639.1322256618005,292.53620883608943,180.78633284781694
14500,28.999999999994806,-8631.965215053773,4989.986893692287,-3641.9783213614865,287.2941480788456,177.81487505953555
15000,29.99999999999425,-8645.807996593365,5315.217121023194,-3330.590875570171,306.01899507366096,175.5952986216311
15500,30.999999999993697,-8648.664792889555,5192.854361193141,-3455.8104316964136,298.9740657800813,177.59344744975124
16000,31.999999999993143,-8788.172043180668,5156.531802359871,-3631.640240820797,296.882826099825,178.31607275924324
16500,32.999999999994365,-8737.211625937827,4933.947239413816,-3803.2643865240116,284.0677138060587,179.16325904275035
17000,33.99999999999559,-8780.58734812017,5008.678938534293,-3771.908409585878,288.3703262759314,178.29872301854365
17500,34.99999999999681,-8760.40852581109,5219.346370632246,-3541.0621551788436,300.4993201434395,178.03960365555062
18000,35.99999999999803,-8692.57977176314,5287.516145302632,-3405.0636264605073,304.42413552991115,180.55276771673053
18500,36.999999999999254,-8473.943331121409,5160.458978209666,-3313.4843529117425,297.10892982798293,178.91013065341045
19000,38.000000000000476,-8824.136111043386,5269.335488781056,-3554.8006222623308,303.3774000698475,176.0864246116829
19500,39.0000000000017,-8654.599053465929,5028.394078703554,-3626.204974762374,289.5054082951533,176.4486873528631
20000,40.00000000000292,-8749.856547543479,5186.246752716128,-3563.609794827351,298.5936384786305,174.13356697344972
20500,41.00000000000414,-8826.343297049612,5014.282996196039,-3812.0603008535736,288.6929750134965,170.8740050638746
21000,42.000000000005365,-8865.553940272759,5295.949802784219,-3569.60413748854,304.9096960119285,171.5384517362371
21500,43.00000000000659,-8870.449477601225,5118.185005576079,-3752.2644720251465,294.67504268310336,170.4923617230007
22000,44.00000000000781,-8735.664889776417,5030.9493550037705,-3704.7155347726466,289.6525261019565,169.15124434001527
22500,45.00000000000903,-8681.659291735281,5036.922148465046,-3644.737143270235,289.99640448193327,170.87510730922435
23000,46.00000000001025,-8933.536554344118,4977.74718698447,-3955.789367359648,286.5894576284955,169.3412140542482
23500,47.000000000011475,-8705.799627998531,5184.35865716462,-3521.440970833911,298.4849330221798,169.3049644898854
24000,48.0000000000127,-8714.584838180235,5039.60152631643,-3674.9833118638053,290.1506673274264,167.65523859615024
24500,49.00000000001392,-8883.52889561994,5090.501572282403,-3793.0273233375374,293.08119312929836,164.4659484517683
25000,50.00000000001514,-8738.143585400121,5076.358765516198,-3661.784819883923,292.266933351086,166.26686623189147
25500,51.000000000016364,-8659.302270431735,5190.9204480084745,-3468.381822423261,298.86272241331824,166.7536618550039
26000,52.000000000017586,-8655.15568831096,5275.764723739531,-3379.3909645714293,303.7475576713693,167.8225335706234
26500,53.00000000001881,-8676.907024537797,5110.380226741813,-3566.526797795984,294.2256893413204,170.7488921825358
27000,54.00000000002003,-8528.98956831506,5169.50043454563,-3359.4891337694307,297.62948379952064,171.62198419389912
27500,55.00000000002125,-8681.184471596469,4960.996217177415,-3720.188254419054,285.62503513546335,167.91005480160732
28000,56.000000000022474,-8681.991803532666,5229.382146639713,-3452.6096568929534,301.07712120380296,165.8897082197591
28500,57.0000000000237,-8597.15579171028,5028.584413454716,-3568.571378255564,289.5163666526299,167.18641236088033
29000,58.00000000002492,-8725.449352819052,5172.71535029241,-3552.734002526642,297.8145797727754,167.4540594821034
29500,59.00000000002614,-8704.904553160615,5028.317101229632,-3676.5874519309837,289.5009763841557,168.06393656818352
30000,60.00000000002736,-8701.646683517502,5269.322354432608,-3432.324329084893,303.3766438711785,168.7609916126987
30500,61.000000000028585,-8506.29649087573,5268.248513733736,-3238.047977141993,303.31481842848143,169.20295104260222
31000,62.00000000002981,-8679.741554597233,5039.420441615364,-3640.3211129818683,290.1402415335253,169.4126192514527
31500,63.00000000003103,-8707.747813644854,5131.28366816331,-3576.4641454815437,295.42918676988,166.97933338919285
32000,64.00000000003224,-8869.622961597765,5209.064977425346,-3660.5579841724184,299.90737788680275,165.60892231261568
32500,65.00000000002991,-8511.214004526784,5073.18267810478,-3438.031326422004,292.0840728854121,166.10274242819887
33000,66.00000000002758,-8615.323843673166,5195.004696666637,-3420.3191470065294,299.0978694715745,165.0876598456685
33500,67.00000000002525,-8542.825165787635,5142.717900015909,-3400.107265771726,296.08750270717854,162.4455552775863
34000,68.00000000002292,-8653.869633787446,5306.166701612283,-3347.7029321751634,305.4979250608919,161.66138943747427
34500,69.00000000002059,-8695.620251358014,5095.01331941483,-3600.6069319431836,293.3409530397696,159.79218597219204
