#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6396.033616761327,5203.727675780749,-1192.3059409805774,299.6000873945246,181.45084261482276
1000,2.0000000000000013,-6328.461991049223,5170.933569476754,-1157.5284215724687,297.7119952946189,177.00906256392838
1500,2.999999999999891,-6427.192360940728,5179.594062086507,-1247.598298854221,298.21061561151936,179.97917987613354
2000,3.999999999999781,-6399.126923692539,5206.448306593124,-1192.6786170994155,299.7567253433068,180.01647545700203
2500,4.999999999999671,-6474.415334534191,5237.42992532963,-1236.9854092045607,301.5404650505713,178.22100408602145
3000,5.999999999999561,-6527.609033992363,5149.010520092248,-1378.598513900115,296.44979482588144,181.30813334176065
3500,6.999999999999451,-6485.768490106325,5254.872754686852,-1230.8957354194727,302.5447207544495,182.2955953353239
4000,7.999999999999341,-6380.979243704268,5039.233587650718,-1341.7456560535502,290.1294835792998,185.06982663913934
4500,8.999999999999675,-6436.401529119566,5267.940943356847,-1168.4605857627184,303.2971103319904,183.89409861885636
5000,10.000000000000009,-6426.8869421253075,5143.071222021817,-1283.81572010349,296.1078449138511,182.70551496471543
5500,11.000000000000343,-6433.712905302014,5418.748186799144,-1014.9647185028707,311.9797059884321,177.3741179444471
6000,12.000000000000677,-6434.917817029305,5390.765142174873,-1044.152674854432,310.3686065732925,174.56375381388563
6500,13.00000000000101,-6582.365651398792,5257.897191324842,-1324.4684600739492,302.7188500589629,173.6846949281133
7000,14.000000000001345,-6290.6508058183035,5206.671731117145,-1083.9790747011584,299.76958881562774,172.0361512378558
7500,15.000000000001679,-6503.469169538008,5444.970604926469,-1058.4985646115392,313.4894388668851,170.5848903540353
8000,16.00000000000201,-6557.248869892343,5179.213781149158,-1378.0350887431841,298.188721267856,173.36637201336225
8500,17.000000000001457,-6655.990454646455,5230.97898545366,-1425.0114691927947,301.1690578073344,173.91494115158508
9000,18.000000000000902,-6597.516605941609,5078.409862264476,-1519.1067436771327,292.3850234594325,171.18125855161148
9500,19.000000000000348,-6431.335595823858,5155.933524222927,-1275.4020716009309,296.8483807573163,169.9065962309749
10000,19.999999999999794,-6667.359777677573,5212.695630470063,-1454.6641472075098,300.11640957279184,171.22436345643374
10500,20.99999999999924,-6576.183026170429,5242.444646271123,-1333.738379899306,301.8291832399037,170.80826950111648
11000,21.999999999998685,-6397.295836718131,5043.565688219652,-1353.7301484984791,290.3789004953877,172.2639565882051
11500,22.99999999999813,-6530.764012143777,5100.315909111015,-1430.4481030327624,293.6462450218593,169.98522097341058
12000,23.999999999997577,-6697.79932371553,5066.895964149229,-1630.9033595663004,291.72212080646807,165.1741761403949
12500,24.999999999997023,-6680.222015038948,5025.153159351452,-1655.0688556874957,289.31881518697674,162.48885504509843
13000,25.99999999999647,-6436.257574060578,5061.591655602248,-1374.6659184583305,291.41672986304116,160.29222669778264
13500,26.999999999995914,-6563.742250297899,5268.9818541969025,-1294.7603961009963,303.3570398667548,158.98090538845108
14000,27.99999999999536,-6655.614931192951,5146.159208423489,-1509.4557227694622,296.2856330406433,160.0595030334286
14500,28.999999999994806,-6547.241018360054,5359.984713299167,-1187.256305060887,308.596450196985,160.3856003798757
15000,29.99999999999425,-6601.150522458491,5308.018406640685,-1293.1321158178062,305.6045353646785,159.80716021671495
15500,30.999999999993697,-6713.530711734436,5060.346697057512,-1653.1840146769246,291.34505245944814,158.2544729652282
16000,31.999999999993143,-6639.665197341219,5040.0448185895775,-1599.6203787516415,290.17618949385235,158.14997041367724
16500,32.999999999994365,-6592.5456572308985,5056.358880879497,-1536.186776351402,291.11545741722347,159.37835764150998
17000,33.99999999999559,-6502.3799220805495,5100.078635639277,-1402.3012864412722,293.63258420843897,160.94396706769083
17500,34.99999999999681,-6530.066449862499,5184.930457023751,-1345.1359928387483,298.51785390091163,162.18330909329217
18000,35.99999999999803,-6749.103595844088,5339.712882766035,-1409.3907130780526,307.4293172150573,160.63694380431767
18500,36.999999999999254,-6683.478998941755,5023.863992099323,-1659.6150068424322,289.2445925055705,160.30986921138123
19000,38.000000000000476,-6630.0875765820865,5105.127623913185,-1524.9599526689017,293.92327530958113,162.11941688710365
19500,39.0000000000017,-6529.842831222344,5264.0704214390735,-1265.7724097832706,303.0742684046112,160.71443781865838
20000,40.00000000000292,-6713.585468521944,5235.754305190606,-1477.8311633313378,301.4439926808837,159.32060779832284
20500,41.00000000000414,-6666.722654512292,5194.59780432635,-1472.1248501859418,299.0744429995711,157.7901557150756
21000,42.000000000005365,-6575.765624749558,4965.067677855289,-1610.697946894269,285.8594459368955,157.79510139642423
21500,43.00000000000659,-6465.854840418623,5015.042019225661,-1450.8128211929625,288.73667510315863,158.8780024025089
22000,44.00000000000781,-6682.126371589336,5212.3808781024845,-1469.745493486851,300.0982879794438,158.62614613673802
22500,45.00000000000903,-6415.197823716365,5143.408289114059,-1271.789534602306,296.12725125803075,158.11522736119588
23000,46.00000000001025,-6616.051973169328,5294.949686813937,-1321.1022863553917,304.85211520625035,154.20335747287555
23500,47.000000000011475,-6451.7410130595945,5035.827702777248,-1415.9133102823462,289.93339272495007,154.76180628459875
24000,48.0000000000127,-6615.107795867471,5037.94491419269,-1577.1628816747816,290.0552893276588,154.21554092026915
24500,49.00000000001392,-6652.557087999004,5232.447666759101,-1420.109421239903,301.2536158539656,154.40675382107688
25000,50.00000000001514,-6371.869138719651,5248.856118069549,-1123.0130206501026,302.198318142961,154.27505689654728
25500,51.000000000016364,-6411.66500192825,5125.17929690428,-1286.4857050239698,295.0777329128294,155.1496565610453
26000,52.000000000017586,-6444.693360224724,5213.119481296741,-1231.573878927983,300.1408124148748,156.62449099629802
26500,53.00000000001881,-6450.156879311101,5154.937759639806,-1295.2191196712947,296.7910504789629,155.91104997847563
27000,54.00000000002003,-6631.411698099128,5187.773225786468,-1443.6384723126603,298.68152383577706,153.72290652843253
27500,55.00000000002125,-6409.760470200665,5196.221386616886,-1213.5390835837788,299.1679193354679,153.68101162251716
28000,56.000000000022474,-6548.130533524942,5262.47802704702,-1285.6525064779216,302.9825876847983,153.22745652092476
28500,57.0000000000237,-6151.684983464354,5370.979669584663,-780.7053138796919,309.2294752262087,151.70314103811424
29000,58.00000000002492,-6635.1727558095945,5474.202282453163,-1160.9704733564313,315.17242723356065,154.19483526154494
29500,59.00000000002614,-6434.410331979628,5297.100794895535,-1137.3095370840929,304.9759633799819,155.91303087963288
30000,60.00000000002736,-6532.611757441004,5175.310905187755,-1357.3008522532482,297.964016584602,156.03520484006035
30500,61.000000000028585,-6544.147657144553,5077.206365070372,-1466.9412920741806,292.31573315698057,159.4870522463907
31000,62.00000000002981,-6483.507220413372,5308.532424880643,-1174.9747955327293,305.6341295170264,158.13587791334382
31500,63.00000000003103,-6494.842647841558,5375.398227742569,-1119.4444200989883,309.48386986265905,159.89613245042028
32000,64.00000000003224,-6423.1864867185595,5140.154399070216,-1283.0320876483438,295.9399113735774,157.7427412271917
32500,65.00000000002991,-6443.672990811612,5237.289495938978,-1206.3834948726344,301.53237995074795,156.9576722132288
33000,66.00000000002758,-6410.19010296192,5092.968534365893,-1317.2215685960273,293.22322632201383,158.53893310236643
33500,67.00000000002525,-6485.179169032804,4954.072826783769,-1531.1063422490342,285.22642696527475,157.4119695043716
34000,68.00000000002292,-6597.974583615549,5137.001286034171,-1460.9732975813777,295.7583736375501,154.7401599841647
34500,69.00000000002059,-6721.589193787555,5139.6538732712215,-1581.9353205163334,295.91109403676325,153.3473027737579
35000,70.00000000001826,-6560.807217162365,5349.453599907913,-1211.3536172544527,307.9901305182927,153.22856339440784
35500,71.00000000001593,-6505.922876474617,5297.126729858501,-1208.796146616116,304.9774565628798,151.1572495202704
36000,72.0000000000136,-6443.356338519601,5440.603316232292,-1002.7530222873092,313.23799602514265,151.2840468580787
36500,73.00000000001127,-6225.689935201051,5167.049430283152,-1058.6405049178993,297.4883693644474,152.2286490152573
37000,74.00000000000894,-6561.878069986449,5259.755715783302,-1302.1223542031476,302.82585298549395,148.3764800294594
37500,75.00000000000661,-6556.982243717367,5319.702048332053,-1237.280195385314,306.2772108561559,148.41066238751463
38000,76.00000000000428,-6576.294969576415,5145.085329432544,-1431.2096401438703,296.2238053933136,148.51743802219096
38500,77.00000000000195,-6563.8157174985245,5063.401515033507,-1500.4142024650173,291.5209309430287,146.29116540672982
39000,77.99999999999962,-6440.197666277436,5303.499902856077,-1136.697763421359,305.3443864458445,147.60612952857736
39500,78.99999999999729,-6460.976300854271,5160.818572531139,-1300.1577283231327,297.1296331577596,147.2452667331367
40000,79.99999999999496,-6515.934469934482,5173.021195140972,-1342.91327479351,297.8321885234763,145.50568622840896
40500,80.99999999999262,-6596.95827173995,5445.078976198684,-1151.8792955412655,313.49567824846883,147.40149892972957
41000,81.9999999999903,-6472.205327483033,5194.14833210001,-1278.0569953830236,299.0485650277241,148.69186864360265
41500,82.99999999998796,-6606.049598624151,5248.369053184091,-1357.68054544006,302.1702758065165,148.6710304820712
42000,83.99999999998563,-6487.848667343907,5291.284666288391,-1196.5640010555162,304.64110484249386,151.33447386734863
42500,84.9999999999833,-6567.739956265461,5116.770509095707,-1450.969447169754,294.5936042805692,150.90302280767452
43000,85.99999999998097,-6445.0540545946915,5160.620576545458,-1284.4334780492336,297.11823371138,151.67331923182215
43500,86.99999999997864,-6574.0004546636055,5367.496933529048,-1206.5035211345576,309.0289597320005,152.04267823932125
44000,87.99999999997631,-6698.988693284879,5171.515098188966,-1527.4735950959139,297.745476303591,150.75633175389189
44500,88.99999999997398,-6698.559104837863,5373.208509641257,-1325.3505951966063,309.3577987506798,150.4231533799608
45000,89.99999999997165,-6747.624408241772,5280.976745977291,-1466.6476622644805,304.0476353109434,154.35078528177917
45500,90.99999999996932,-6491.346062546745,5109.151711966784,-1382.1943505799609,294.15495867344214,152.79541950711948
46000,91.99999999996699,-6592.991230666192,5135.864632019715,-1457.1265986464769,295.6929317729319,154.69897119392706
46500,92.99999999996466,-6454.2915931385505,4970.368937871651,-1483.9226552668997,286.16466136382786,153.8146493138639
47000,93.99999999996233,-6617.623994845815,5371.662025262002,-1245.9619695838128,309.2687612598566,152.40133375711295
47500,94.99999999996,-6228.811735292541,5276.4701610077545,-952.3415742847865,303.7881726075033,151.30615874580218
48000,95.99999999995767,-6406.805100472483,5019.788794049485,-1387.0163064229982,289.0099665282036,152.45584881505448
48500,96.99999999995534,-6584.558340276744,5245.003578212321,-1339.554762064423,301.9765115170516,153.62748688432083
49000,97.999999999953,-6388.01045323724,5171.650038832604,-1216.3604144046358,297.75324539358684,154.08751383231916
49500,98.99999999995067,-6542.14683641281,5198.087129690576,-1344.0597067222343,299.27533786748194,157.58775144088187
50000,99.99999999994834,-6535.964202030685,5137.133719177106,-1398.8304828535784,295.7659983603775,158.65638618204534
