#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-7173.171868391124,5269.231830767403,-1903.9400376237209,303.3714320500194,199.51480806478963
1000,2.0000000000000013,-7183.474190703101,5094.819811625364,-2088.654379077737,293.32981199737696,200.07427040482503
1500,2.999999999999891,-7051.793231049485,5107.549478427687,-1944.2437526217982,294.0627114733102,207.39659931237335
2000,3.999999999999781,-7374.91612840575,5186.141139871897,-2188.7749885338526,298.58755791113487,208.2253207843678
2500,4.999999999999671,-7354.664064351643,5102.385988374411,-2252.278075977232,293.765428031976,211.2054883491501
3000,5.999999999999561,-7273.8256566977425,5106.630784429542,-2167.194872268201,294.00981846674216,209.72387018584087
3500,6.999999999999451,-7285.123789109017,5078.905357553798,-2206.2184315552186,292.4135511690349,209.14387541120558
4000,7.999999999999341,-7236.698479205471,5055.70993219142,-2180.9885470140507,291.0780947618779,207.33567922358816
4500,8.999999999999675,-7250.358571878302,5145.760380341791,-2104.598191536512,296.26267086130247,207.44291755565374
5000,10.000000000000009,-7488.714171016807,5250.616408150881,-2238.0977628659257,302.29966531081175,208.53864985517112
5500,11.000000000000343,-7308.098027014163,5187.082032598314,-2121.0159944158486,298.6417289901434,209.58874698875852
6000,12.000000000000677,-7060.480622523521,5111.77873596451,-1948.7018865590107,294.30620729142214,210.66928242677693
6500,13.00000000000101,-7289.893876603649,5270.273800438304,-2019.6200761653454,303.43142254604726,210.66061081000697
7000,14.000000000001345,-7203.101931179475,5222.328147549176,-1980.7737836302995,300.6709933516785,208.34419757878078
7500,15.000000000001679,-7027.8833542973325,5338.1768186919835,-1689.706535605349,307.3408796642279,210.85153831116256
8000,16.00000000000201,-7106.418590866919,5083.3339029522795,-2023.0846879146393,292.66852081216035,206.03556211313514
8500,17.000000000001457,-7342.8729175367425,5037.774967573499,-2305.097949963243,290.0455047991181,206.55060017547402
9000,18.000000000000902,-7460.091606207794,5181.819487784881,-2278.272118422913,298.3387425572906,208.0088186951051
9500,19.000000000000348,-7212.512898027573,5051.119862792973,-2161.3930352345997,290.8138255151758,204.5580029676103
10000,19.999999999999794,-7067.105496504983,5180.094543577372,-1887.0109529276115,298.2394303973316,202.6845052569983
10500,20.99999999999924,-7387.948150169183,5179.550524563154,-2208.3976256060287,298.20810897654263,202.9525184632338
11000,21.999999999998685,-7355.2290033077725,5115.4522550228385,-2239.776748284934,294.51770695079966,203.86632079714627
11500,22.99999999999813,-7226.979334645685,5204.460652390835,-2022.5186822548503,299.64228788427386,202.97197059518544
12000,23.999999999997577,-7199.169168784794,5203.540728738848,-1995.6284400459463,299.5893240814572,203.40333249200998
12500,24.999999999997023,-7255.416841534601,5055.156254320283,-2200.2605872143185,291.04621724081676,197.38889053259598
13000,25.99999999999647,-7174.165171781198,5123.265562005467,-2050.8996097757317,294.96755129329483,197.6904119023117
13500,26.999999999995914,-7227.289576606938,5128.913549753147,-2098.376026853791,295.2927292672852,194.56870408610106
14000,27.99999999999536,-7230.425245139712,5111.858859158661,-2118.566385981051,294.3108203145213,192.9195276911307
14500,28.999999999994806,-7088.002395379692,5087.172079164699,-2000.8303162149923,292.8895004637336,191.70241138405504
15000,29.99999999999425,-7167.17241596978,5484.425022361438,-1682.7473936083416,315.7609925776284,186.84528450864448
15500,30.999999999993697,-6871.483427859011,5210.1761526252285,-1661.307275233782,299.9713528308693,188.76190262214652
16000,31.999999999993143,-6976.062902540579,5337.166586454753,-1638.8963160858257,307.28271642329355,189.68451298824397
16500,32.999999999994365,-7246.168085822128,5224.715097123257,-2021.4529886988712,300.8084198938723,189.60766013549812
17000,33.99999999999559,-7180.816987619284,5226.994634677433,-1953.822352941851,300.93966228259853,187.3708924795031
17500,34.99999999999681,-7250.2254158221485,5441.162124601035,-1809.063291221113,313.2701689301337,188.39526573416111
18000,35.99999999999803,-7260.23157529495,5170.52366029811,-2089.7079149968395,297.6883951307754,190.70336037884653
18500,36.999999999999254,-7094.66222843188,5278.248252862912,-1816.4139755689685,303.89054469697294,185.71477595041026
19000,38.000000000000476,-7280.818637271608,5303.547139197368,-1977.2714980742403,305.34710603704156,184.80861560007818
19500,39.0000000000017,-7223.850873956,5098.054264756638,-2125.796609199362,293.5160328185228,184.08997219927795
20000,40.00000000000292,-7357.00952361384,4999.689186108021,-2357.320337505819,287.85274911194927,180.5566493566273
20500,41.00000000000414,-7136.293820848786,5225.557875379849,-1910.7359454689367,300.85694211775893,182.58944417848716
21000,42.000000000005365,-7070.215564378008,5059.530250313444,-2010.6853140645635,291.2980462494549,183.76459500565517
21500,43.00000000000659,-7128.540798847267,5202.764082617558,-1925.7767162297087,299.5446093576457,183.7836940637263
22000,44.00000000000781,-7312.13742216969,5100.268192395768,-2211.8692297739217,293.6434977735502,185.51514521654775
22500,45.00000000000903,-7095.018416898071,5262.354959708521,-1832.6634571895502,302.97550219000175,184.33514102130567
23000,46.00000000001025,-7266.163864402449,5284.43071896758,-1981.7331454348687,304.2464947967242,183.4607290812656
23500,47.000000000011475,-7238.035393695671,5100.308373614344,-2137.7270200813264,293.6458111722035,184.94553770782005
24000,48.0000000000127,-7312.2953917570385,5050.949278364708,-2261.34611339233,290.8040042653333,184.63587489498428
24500,49.00000000001392,-7106.017414464677,5148.981363707702,-1957.0360507569749,296.44811617244255,183.5724127332607
25000,50.00000000001514,-7297.882349907298,5167.103030416404,-2130.7793194908936,297.4914553454224,185.24791380933195
25500,51.000000000016364,-7223.923972133752,5093.063086198921,-2130.8608859348305,293.2286700614259,185.95822817132017
26000,52.000000000017586,-7237.978963840154,5197.897515352795,-2040.081448487359,299.2644209871781,186.2960258371383
26500,53.00000000001881,-7334.514415373598,5414.210043610841,-1920.304371762757,311.7184263480404,185.90146198063556
27000,54.00000000002003,-7234.922440962962,5277.146827316738,-1957.775613646224,303.82713108072477,183.57634658384848
27500,55.00000000002125,-7253.040736442926,5116.172244432651,-2136.868492010275,294.55915971380773,179.43413537011133
28000,56.000000000022474,-7151.786069281639,5173.150137239449,-1978.6359320421907,297.8396122524605,177.397058222076
28500,57.0000000000237,-7433.468178087229,5135.237555056905,-2298.230623030324,295.6568283631137,179.0349709188528
29000,58.00000000002492,-7317.4395586316305,5342.423494960317,-1975.0160636713135,307.58537835063123,181.80251563012712
29500,59.00000000002614,-7220.839602059358,5288.201581367977,-1932.638020691381,304.4635989142148,186.08568682708724
30000,60.00000000002736,-7155.560845114737,5269.923116085793,-1885.6377290289447,303.41123219997115,181.10260726250237
30500,61.000000000028585,-7192.074440881944,5332.681055193167,-1859.393385688777,307.0244658687465,178.31666816418908
31000,62.00000000002981,-7243.0750469903305,5236.3549834816695,-2006.720063508661,301.4785762101748,176.98514783586265
31500,63.00000000003103,-7259.264771494353,5304.701031594312,-1954.5637399000416,305.41354038651326,176.1103192854354
32000,64.00000000003224,-7334.022981236285,5064.565009279444,-2269.457971956841,291.5879181105909,180.9010625482681
32500,65.00000000002991,-7425.87761884344,5069.751974870473,-2356.1256439729677,291.8865531355591,177.72370833491775
33000,66.00000000002758,-7176.852066363196,5084.744864508377,-2092.1072018548193,292.7497556945091,176.01870791085878
33500,67.00000000002525,-7114.991019894025,5058.475542375115,-2056.5154775189103,291.2373223587774,177.01374911794613
34000,68.00000000002292,-7150.016330756607,5318.63221233358,-1831.3841184230268,306.21561598059543,175.00250676234938
34500,69.00000000002059,-7122.784510574949,5115.282394943093,-2007.5021156318562,294.50792740469205,171.00067783443876
35000,70.00000000001826,-7237.5193476863105,5184.125494948098,-2053.3938527382124,298.4715089106968,170.2278924715652
35500,71.00000000001593,-7446.879653130106,5136.557030057219,-2310.322623072887,295.73279598671724,170.89059336965704
36000,72.0000000000136,-7234.742100636472,5216.360854329289,-2018.3812463071827,300.3274316433078,171.31664319009306
36500,73.00000000001127,-7074.524093695502,5248.084709897228,-1826.4393837982743,302.153904989498,171.4623578689445
37000,74.00000000000894,-7076.810436299037,5165.078609665815,-1911.7318266332222,297.37490108440244,167.94848099963482
37500,75.00000000000661,-7225.83378445892,5095.749538012163,-2130.084246446757,293.3833401841102,167.02475061894745
38000,76.00000000000428,-7258.9580840238405,5090.63335267742,-2168.324731346421,293.0887802707331,166.99673230219005
38500,77.00000000000195,-7340.282072458405,5177.241132400196,-2163.0409400582093,298.0751477347254,166.40115026343287
39000,77.99999999999962,-7247.460194150224,5215.050754620438,-2032.4094395297861,300.25200379394244,166.73223322387926
39500,78.99999999999729,-7298.850104737684,5287.086973270788,-2011.763131466896,304.3994263240766,166.0853650046577
40000,79.99999999999496,-7220.461119992732,5018.667804023244,-2201.7933159694885,288.94542650406026,165.8738728678468
40500,80.99999999999262,-7441.313083848742,5082.482675850413,-2358.830407998329,292.61951215336774,166.3712738117438
41000,81.9999999999903,-7307.078007026573,5070.07421617389,-2237.003790852683,291.9051058978636,166.95554782906956
41500,82.99999999998796,-7359.07214000191,5266.71888629595,-2092.35325370596,303.2267514613773,167.79277658852183
42000,83.99999999998563,-7533.202589225246,5048.474532773349,-2484.728056451897,290.66152294393333,164.9680497485986
42500,84.9999999999833,-7491.548752882663,5003.289443992616,-2488.2593088900476,288.0600308230748,164.54868742270887
43000,85.99999999998097,-7124.301936730042,5122.966001670644,-2001.3359350593983,294.9503043679973,163.68081152423872
43500,86.99999999997864,-7214.030042278282,5083.37653894883,-2130.653503329452,292.6709755425168,162.6305789207144
44000,87.99999999997631,-7476.840811700891,4995.298735748505,-2481.542075952386,287.5999727575035,160.13349962948135
44500,88.99999999997398,-7168.753970708278,5011.373711844769,-2157.380258863509,288.52547550156913,162.1796680816573
