kramers_doublet,state_a,state_b,relative_energy_cm-1,pair_splitting_cm-1
1,1,2,0.00000000,0.000e+00
2,3,4,226.59077829,0.000e+00
3,5,6,418.30320579,0.000e+00
4,7,8,572.58995054,0.000e+00
5,9,10,689.90611185,0.000e+00
6,11,12,773.00120652,0.000e+00
7,13,14,825.57898257,0.000e+00
8,15,16,850.92584257,0.000e+00
9,17,18,3141.84538828,0.000e+00
10,19,20,3333.33173679,0.000e+00
11,21,22,3492.41120260,0.000e+00
12,23,24,3620.90430822,0.000e+00
13,25,26,3718.37319558,0.000e+00
14,27,28,3783.78325148,0.000e+00
15,29,30,3816.54906777,0.000e+00
16,31,32,5852.11708035,0.000e+00
17,33,34,6012.71541251,0.000e+00
18,35,36,6152.07880767,0.000e+00
19,37,38,6265.83678463,0.000e+00
20,39,40,6347.30625548,0.000e+00
21,41,42,6389.93683300,0.000e+00
22,43,44,8126.82308067,0.000e+00
23,45,46,8270.85023361,0.000e+00
24,47,48,8409.30768975,0.000e+00
25,49,50,8517.69135549,0.000e+00
26,51,52,8577.45517890,0.000e+00
27,53,54,9957.75654294,0.000e+00
28,55,56,10120.78966944,0.000e+00
29,57,58,10294.86051459,0.000e+00
30,59,60,10391.35088609,0.000e+00
31,61,62,11318.65458108,0.000e+00
32,63,64,11696.68869782,0.000e+00
33,65,66,11855.65551568,0.000e+00
