root,active_orbital_1,active_orbital_2,active_orbital_3,active_orbital_4,active_orbital_5,active_orbital_6,active_orbital_7,occupation_sum
1,1.500000,1.000000,1.000000,1.000000,1.500000,1.500000,1.500000,9.000000
2,1.500000,1.000000,1.000000,1.000000,1.500000,1.500000,1.500000,9.000000
3,1.500000,1.500000,1.000000,1.500000,1.000000,1.500000,1.000000,9.000000
4,1.500000,1.500000,1.000000,1.500000,1.000000,1.500000,1.000000,9.000000
5,1.689290,1.155355,1.689290,1.155355,1.155355,1.000000,1.155355,9.000000
6,1.000000,1.155355,1.689290,1.155355,1.155355,1.689290,1.155355,9.000000
7,1.187788,1.187788,1.624424,1.187788,1.624424,1.187788,1.000000,9.000000
8,1.187788,1.187788,1.624424,1.187788,1.000000,1.187788,1.624424,9.000000
9,1.000000,1.575829,1.027422,1.396749,1.396749,1.027422,1.575829,9.000000
10,1.027422,1.396749,1.027422,1.575829,1.396749,1.000000,1.575829,9.000000
11,1.035972,1.539935,1.000000,1.539935,1.424092,1.035972,1.424092,8.999998
