spin_orbit_state,relative_energy_cm-1
1,0.00000000
2,0.00000000
3,226.59077829
4,226.59077829
5,418.30320579
6,418.30320579
7,572.58995054
8,572.58995054
9,689.90611185
10,689.90611185
11,773.00120652
12,773.00120652
13,825.57898257
14,825.57898257
15,850.92584257
16,850.92584257
17,3141.84538828
18,3141.84538828
19,3333.33173679
20,3333.33173679
21,3492.41120260
22,3492.41120260
23,3620.90430822
24,3620.90430822
25,3718.37319558
26,3718.37319558
27,3783.78325148
28,3783.78325148
29,3816.54906777
30,3816.54906777
31,5852.11708035
32,5852.11708035
33,6012.71541251
34,6012.71541251
35,6152.07880767
36,6152.07880767
37,6265.83678463
38,6265.83678463
39,6347.30625548
40,6347.30625548
41,6389.93683300
42,6389.93683300
43,8126.82308067
44,8126.82308067
45,8270.85023361
46,8270.85023361
47,8409.30768975
48,8409.30768975
49,8517.69135549
50,8517.69135549
51,8577.45517890
52,8577.45517890
53,9957.75654294
54,9957.75654294
55,10120.78966944
56,10120.78966944
57,10294.86051459
58,10294.86051459
59,10391.35088609
60,10391.35088609
61,11318.65458108
62,11318.65458108
63,11696.68869782
64,11696.68869782
65,11855.65551568
66,11855.65551568
