#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-8137.712346033019,4687.330516219253,-3450.3818298137658,297.3398101525983,165.65978459901964
1000,2.0000000000000013,-8193.33393686522,4593.7275376617035,-3599.606399203516,291.4021251999979,166.02325137673805
1500,2.999999999999891,-7990.784288667566,4868.034190687867,-3122.7500979796996,308.8027091469096,165.94500796349115
2000,3.999999999999781,-8220.51436195802,4836.642179957915,-3383.8721820001047,306.8113636511196,163.2245325285019
2500,4.999999999999671,-8192.169947515638,4797.0192458509555,-3395.150701664683,304.29789128891144,164.102138112573
3000,5.999999999999561,-8145.485506327618,4776.027829218077,-3369.457677109541,302.9663052582578,163.51880658449397
3500,6.999999999999451,-8129.88966760786,4638.064587726142,-3491.825079881718,294.2146365011041,161.22811334124802
4000,7.999999999999341,-8164.693885848084,4787.840424748225,-3376.8534610998595,303.7156347327188,161.90978092774742
4500,8.999999999999675,-8374.24126655696,4772.793114505806,-3601.4481520511545,302.7611118213716,159.45074668478435
5000,10.000000000000009,-8355.592516552832,4638.5848188155105,-3717.007697737321,294.2476372491446,162.29131089473944
5500,11.000000000000343,-8335.19885262712,4672.539760815405,-3662.6590918117145,296.4015617426396,163.6755705362219
6000,12.000000000000677,-8175.219155235132,4569.12429763175,-3606.0948576033825,289.8414239235823,160.60925361265495
6500,13.00000000000101,-7960.830707588767,4656.2718587697655,-3304.5588488190015,295.36961085095527,161.0268618674576
7000,14.000000000001345,-8194.838207925297,4507.885996917424,-3686.9522110078733,285.9567853973552,161.35798353648153
7500,15.000000000001679,-8292.724307842424,4648.895216426811,-3643.8290914156123,294.90167511947055,160.05188471271578
8000,16.00000000000201,-8021.459395165315,4661.5096167890015,-3359.9497783763136,295.7018669121986,158.18011978785566
8500,17.000000000001457,-8367.653993772516,4690.644944729838,-3677.0090490426774,297.55006021725484,158.60798281077487
9000,18.000000000000902,-8228.133702723133,4563.71907365929,-3664.4146290638428,289.49854469536444,158.31604598560216
9500,19.000000000000348,-8123.127129069766,4659.987671729607,-3463.1394573401585,295.60532265242074,159.61127107921132
10000,19.999999999999794,-8019.792201802069,4766.81628175901,-3252.975920043059,302.3819727126408,158.17350160141552
10500,20.99999999999924,-8096.374744778608,4690.378299866396,-3405.9964449122117,297.5331456572938,154.83943180745996
11000,21.999999999998685,-8436.76812529636,4568.7409521431555,-3868.027173153204,289.81710648439025,155.87646538235356
11500,22.99999999999813,-8121.365636037706,4668.006466563178,-3453.3591694745282,296.1139931899935,156.49728056966205
12000,23.999999999997577,-8084.656850605561,4866.655783197128,-3218.0010674084333,308.71527016214185,156.78979152314977
12500,24.999999999997023,-8343.873213274916,4867.394561458514,-3476.478651816402,308.76213440336085,158.16091020022495
13000,25.99999999999647,-7976.6128984717125,4686.434986286996,-3290.1779121847167,297.28300240261734,157.208101289218
13500,26.999999999995914,-8272.41390025921,4904.349488051672,-3368.0644122075373,311.1063622787776,158.7904872453733
14000,27.99999999999536,-8141.1398955392615,4877.190293812346,-3263.9496017269157,309.3835245930041,158.7526358245789
14500,28.999999999994806,-8115.016456365562,4713.714427709938,-3401.302028655624,299.01346794280056,158.07627789209428
15000,29.99999999999425,-8251.07515218416,4515.708272905152,-3735.3668792790077,286.45298980391544,158.56504486484963
15500,30.999999999993697,-8328.251081913018,4572.321268146342,-3755.9298137666765,290.0442230653503,157.2506310990925
16000,31.999999999993143,-8318.433425007852,4525.884738993814,-3792.548686014038,287.09853175670855,157.08016006597646
16500,32.999999999994365,-8241.235236599143,4613.9547012904495,-3627.2805353086933,292.6852310045675,159.0310727152703
17000,33.99999999999559,-8515.59353331801,4798.061773259949,-3717.53176005806,304.36402379243265,158.27811558030683
17500,34.99999999999681,-8272.454723821993,4789.394224803418,-3483.060499018575,303.81419970735146,158.49838439496295
18000,35.99999999999803,-8290.149322476991,4747.041045411666,-3543.1082770653247,301.12753481864206,159.5426417609681
18500,36.999999999999254,-8375.197992752068,4620.359821574465,-3754.838171177603,293.091538441746,157.88258011656683
19000,38.000000000000476,-8191.683830397615,4700.07811576837,-3491.605714629245,298.14845140729966,158.35568416755925
19500,39.0000000000017,-8390.900580247597,4624.34696367119,-3766.553616576407,293.3444619490578,158.10188029854257
20000,40.00000000000292,-8151.502265073337,4589.229262327643,-3562.2730027456946,291.1167780649462,157.0082840456111
20500,41.00000000000414,-8409.850399180275,4649.566916687684,-3760.2834824925912,294.9442842820539,158.0086485488859
21000,42.000000000005365,-8275.19612109978,4415.123218595559,-3860.072902504221,280.0723983672513,159.55082866403257
21500,43.00000000000659,-8496.534818393044,4510.223720644273,-3986.3110977487704,286.105078402665,159.48388089110043
22000,44.00000000000781,-8402.2803393043,4585.9827757267885,-3816.297563577511,290.91083788082204,160.52229504359974
22500,45.00000000000903,-8198.086716338797,4684.288205990881,-3513.798510347917,297.1468218530535,161.97650145492966
23000,46.00000000001025,-8242.295104890825,4627.0201273149505,-3615.274977575875,293.5140335138519,163.5517299227269
23500,47.000000000011475,-8537.462283991172,4795.709077271856,-3741.753206719316,304.21478102492864,164.29742027029027
24000,48.0000000000127,-8445.053140544556,4652.035653490072,-3793.0174870544843,295.10088807382806,163.21074333707733
24500,49.00000000001392,-8128.953485019491,4697.018231295707,-3431.9352537237846,297.95434828932196,161.86151698662243
25000,50.00000000001514,-8367.044629357188,4932.997811698552,-3434.0468176586355,312.92366257046353,162.64602251098293
25500,51.000000000016364,-8286.738249676953,4792.804202101163,-3493.93404757579,304.03051088891374,162.0367563127001
26000,52.000000000017586,-8353.107028567623,4714.642654127897,-3638.4643744397263,299.0723497873685,163.2951411675777
26500,53.00000000001881,-8239.896894093312,4563.840279861698,-3676.056614231614,289.50623338492636,166.72248259667595
27000,54.00000000002003,-8379.798242804996,4804.339050700143,-3575.459192104853,304.7622215461187,166.69704883937266
27500,55.00000000002125,-8085.021594122656,4778.706260506867,-3306.3153336157893,303.13621097498924,168.6647525920688
28000,56.000000000022474,-8433.437043517939,4779.848375161028,-3653.5886683569106,303.20866077413734,167.22869423606386
28500,57.0000000000237,-8195.90025314216,4684.3904521394,-3511.5098010027596,297.1533078156466,166.98034984332537
29000,58.00000000002492,-8451.142339288539,4687.67608426603,-3763.4662550225094,297.3617311878374,166.77179738294936
29500,59.00000000002614,-8335.43113715775,4764.511730405509,-3570.9194067522403,302.2357839897492,167.48911865514143
30000,60.00000000002736,-8196.196142155544,4685.963617171476,-3510.2325249840687,297.2531012034517,167.03726352710925
30500,61.000000000028585,-8229.910672542228,4673.203566346097,-3556.7071061961306,296.4436701047001,167.3698738667663
31000,62.00000000002981,-8278.807690034682,4711.5587904718,-3567.248899562882,298.8767255550112,168.25181066128653
31500,63.00000000003103,-8485.21196996407,4675.03466457657,-3810.1773053874995,296.5598254298549,169.40982291540143
32000,64.00000000003224,-8456.95700700974,4463.734508164706,-3993.2224988450334,283.156045138425,169.37467834617638
32500,65.00000000002991,-8323.544208118406,4613.11341225465,-3710.4307958637564,292.63186401426833,172.04353868257914
33000,66.00000000002758,-8361.29858569842,4748.570576768898,-3612.728008929522,301.224560313603,173.0481347376622
33500,67.00000000002525,-8149.526590640337,4919.441100609105,-3230.0854900312324,312.0636954980154,171.2282597382485
34000,68.00000000002292,-8365.563971568594,4776.953491983023,-3588.610479585571,303.0250244780444,172.752023542202
34500,69.00000000002059,-8274.407889066404,4715.060040413793,-3559.347848652611,299.09882659726685,168.8931259057902
35000,70.00000000001826,-8133.151973953899,4629.091111127121,-3504.0608628267782,293.64540592964573,170.9818010812732
35500,71.00000000001593,-8010.522203800489,4685.166550139122,-3325.355653661367,297.202539426496,170.83457015775988
36000,72.0000000000136,-8270.615538266144,4860.173793541266,-3410.441744724878,308.3040865327784,170.5839992455233
36500,73.00000000001127,-8184.100588195131,4753.401874417223,-3430.698713777909,301.5310326480315,170.5290653428069
37000,74.00000000000894,-8316.873524902388,4730.959710773937,-3585.913814128451,300.10741879063056,172.41682251497187
37500,75.00000000000661,-8391.346988070627,4600.499051830599,-3790.8479362400285,291.83167475500755,168.52007785596646
38000,76.00000000000428,-8420.717071389608,4733.845648139107,-3686.8714232505017,300.290487610997,168.16899862244796
38500,77.00000000000195,-8626.971177865544,4793.417916841332,-3833.5532610242117,304.06944175237606,166.75480693911393
39000,77.99999999999962,-8375.478456079822,4587.543044168186,-3787.935411911636,291.009813176152,168.18262807127797
39500,78.99999999999729,-8457.232065001652,4730.771476590773,-3726.4605884108787,300.0954781954255,167.9466785407027
40000,79.99999999999496,-8307.161568299842,4735.62353541592,-3571.538032883922,300.4032675106714,166.58269356423705
40500,80.99999999999262,-8182.109467189523,4652.065887285417,-3530.043579904105,295.10280594817834,166.293663261511
41000,81.9999999999903,-8343.232746069607,4822.379039791026,-3520.853706278581,305.9065844010267,167.5937178005416
41500,82.99999999998796,-8294.27726899095,4616.840148561267,-3677.437120429684,292.8682687359033,168.2254938569645
42000,83.99999999998563,-8303.060974201933,4588.137492378236,-3714.9234818236973,291.0475218713913,169.65372429681747
42500,84.9999999999833,-8297.228512484056,4838.314569822342,-3458.913942661715,306.91745134497205,167.57136522385633
43000,85.99999999998097,-8190.680976127986,4809.387411246474,-3381.293564881512,305.0824632191208,163.76986081051515
43500,86.99999999997864,-8242.734402929078,4696.778136475087,-3545.956266453991,297.9391179256566,161.98349453448867
44000,87.99999999997631,-8278.212906256624,4783.254428848897,-3494.9584774077266,303.42472306234515,160.92914602690524
44500,88.99999999997398,-8187.853991845786,4767.762231061414,-3420.091760784372,302.4419788045982,160.32460497866526
45000,89.99999999997165,-8239.287665420285,4853.333232098844,-3385.954433321441,307.8701569787201,157.29723940563466
45500,90.99999999996932,-8284.939643025453,4708.784280251816,-3576.1553627736366,298.70072509180045,159.3094950980035
46000,91.99999999996699,-8243.684406200537,4859.940128150804,-3383.744278049732,308.2892640186419,160.84066226510132
46500,92.99999999996466,-8141.288884030858,4615.833926271709,-3525.454957759149,292.8044392398793,161.51224431213328
47000,93.99999999996233,-8218.280975518219,4532.298286561949,-3685.98268895627,287.5053737768553,161.26902825865324
47500,94.99999999996,-8445.598930861215,4481.900367353447,-3963.698563507768,284.30839253610657,159.80214132802013
48000,95.99999999995767,-8500.287270530194,4533.586225102962,-3966.701045427232,287.58707388312007,160.59214747067338
48500,96.99999999995534,-8491.35415313875,4602.287720255036,-3889.066432883713,291.9451385544789,158.63631718252668
