#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-4895.567408812107,4753.6234621913345,-141.9439466207723,301.54508902115447,163.5775647007502
1000,2.0000000000000013,-4814.7047143189975,4689.423482214069,-125.28123210492868,297.4725770034531,164.59109470972405
1500,2.999999999999891,-4900.7152380923635,4932.783792276536,32.06855418417217,312.9100862941393,163.92528436398277
2000,3.999999999999781,-4710.947553323533,4771.369120943741,60.42156762020841,302.67078109390576,162.92579714224357
2500,4.999999999999671,-4836.039224612676,4675.985968416053,-160.0532561966229,296.6201711857282,164.28072186362832
3000,5.999999999999561,-4761.266892609913,4644.802093825114,-116.46479878479931,294.64202876146175,165.24734115511018
3500,6.999999999999451,-4965.7748716154,4691.139871074786,-274.6350005406139,297.5814557642378,163.32896200430812
4000,7.999999999999341,-4997.322956861433,4721.801452154836,-275.5215047065976,299.5264666111951,163.75879595761324
4500,8.999999999999675,-4904.999002785243,4478.540097083517,-426.4589057017256,284.0952345092371,164.77862746118353
5000,10.000000000000009,-4937.990082774074,4805.938183134854,-132.0518996392202,304.86366217056377,164.49495110461677
5500,11.000000000000343,-5055.586156494019,4647.091176969678,-408.49497952434103,294.7872362618232,163.93958521303344
6000,12.000000000000677,-4997.525939041947,4751.540747487366,-245.98519155458052,301.412972458745,163.7720673754844
6500,13.00000000000101,-5002.139492877748,4606.154809132629,-395.9846837451187,292.19044651147664,165.6664361471118
7000,14.000000000001345,-4838.622426334926,4573.516341929086,-265.1060844058402,290.12003231550875,163.81342710332032
7500,15.000000000001679,-4790.216714500722,4678.283451902764,-111.93326259795867,296.7659115599996,160.11365689827605
8000,16.00000000000201,-4639.903272703711,4739.532113102587,99.62884039887558,300.6512073014114,163.86174646325117
8500,17.000000000001457,-4796.224552920481,4661.817660459256,-134.40689246122474,295.7214075966277,167.226300401853
9000,18.000000000000902,-4757.471749544674,4682.427471246776,-75.04427829789802,297.0287865419864,167.98458696439846
9500,19.000000000000348,-4863.348152621373,4668.269399305002,-195.07875331637115,296.13067227231255,166.0436912406285
10000,19.999999999999794,-5018.999011285775,4737.55724245169,-281.44176883408454,300.52593180347463,168.83675014624959
10500,20.99999999999924,-4715.397388884122,4578.511684444953,-136.88570443916888,290.4369108010723,167.84942530509704
11000,21.999999999998685,-4809.663617325364,4738.060651355498,-71.60296596986609,300.557865439767,167.84192658124476
11500,22.99999999999813,-4835.159102373584,4750.037587017729,-85.12151535585508,301.31761979540613,161.74926393943036
12000,23.999999999997577,-4879.07154291828,4859.662433331824,-19.409109586455997,308.27164850711137,163.2136080698613
12500,24.999999999997023,-4817.4929823917455,4814.118237132578,-3.3747452591678666,305.3825621487721,168.367466912786
13000,25.99999999999647,-4976.622730307932,4892.5654652764215,-84.05726503151072,310.35884531092086,167.69959028205042
13500,26.999999999995914,-4764.4135164465015,4713.246953261333,-51.16656318516834,298.98381380099886,167.37018470016676
14000,27.99999999999536,-5037.25669658133,4905.992458530476,-131.26423805085415,311.21058376018664,165.91027226514106
14500,28.999999999994806,-5093.676486963148,4706.66908851427,-387.0073984488781,298.5665483557026,169.14845309763658
15000,29.99999999999425,-5036.199849869018,4690.012882365183,-346.18696750383515,297.50996547615205,168.19521583975938
15500,30.999999999993697,-4852.076739274418,4579.231439470408,-272.8452998040102,290.48256830738313,171.21557924079673
16000,31.999999999993143,-4930.892884970794,4566.273881990849,-364.6190029799445,289.660608416208,173.9914231342939
16500,32.999999999994365,-4838.100079760487,4695.279823179986,-142.82025658050043,297.8440727417992,173.77250017577418
17000,33.99999999999559,-4997.477454953198,4691.990676430599,-305.4867785225988,297.6354264202644,173.44462079572017
17500,34.99999999999681,-4983.054221929639,4768.7462880073035,-214.3079339223359,302.5044022467808,173.5266648015074
18000,35.99999999999803,-4918.942391656337,4578.257869042228,-340.6845226141095,290.4208100752116,172.52616079132036
18500,36.999999999999254,-4849.589982266718,4562.990656353706,-286.59932591301185,289.45233769916376,167.59941253992707
19000,38.000000000000476,-4956.079200709091,4669.816746218272,-286.26245449081944,296.22882789326565,166.23207958855184
19500,39.0000000000017,-5197.21113147756,4695.404475636769,-501.8066558407909,297.85198004377133,168.51448092101043
20000,40.00000000000292,-4975.715086942095,4625.147999387285,-350.5670875548094,293.39527547861906,167.38925064660077
20500,41.00000000000414,-4963.735811306603,4671.726424350319,-292.0093869562843,296.34996791769333,171.4597117844804
21000,42.000000000005365,-4975.48715919897,4658.013618727312,-317.47354047165845,295.48009902184833,172.98046713510928
21500,43.00000000000659,-4798.191008352982,4582.527483213831,-215.6635251391508,290.6916521382615,174.47154896084203
22000,44.00000000000781,-4944.994177436358,4604.270647112192,-340.72353032416595,292.07092509613904,170.97668376702202
22500,45.00000000000903,-5110.106350490031,4862.257066686143,-247.84928380388828,308.43623851976764,166.69669297506323
23000,46.00000000001025,-4978.138154815213,4638.637074026766,-339.5010807884473,294.2509520473097,165.46488749427567
23500,47.000000000011475,-5034.8168550076625,4856.423656449212,-178.39319855845042,308.06619738731723,168.32432019265167
24000,48.0000000000127,-4721.620314128451,4787.166543156526,65.54622902807478,303.67288719788036,167.26138896122777
