#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6808.053465507407,4595.4269427006775,-2212.6265228067296,291.5099265956777,161.26830006089233
1000,2.0000000000000013,-6831.349927878094,4581.550972512981,-2249.7989553651123,290.6297073905211,164.62919861129126
1500,2.999999999999891,-6668.280615325521,4720.745601145937,-1947.5350141795834,299.45948892795957,167.24429589961787
2000,3.999999999999781,-6725.118526785663,4659.000041966032,-2066.118484819631,295.54267256931126,169.00750365326914
2500,4.999999999999671,-6567.277181392347,4823.432984740092,-1743.844196652255,305.9734411737638,168.43626786437142
3000,5.999999999999561,-6597.781388741405,4881.057310741463,-1716.724077999942,309.62882798596564,166.22320035562086
3500,6.999999999999451,-6647.460714403581,4638.282463242965,-2009.1782511606161,294.22845738797884,167.452832313402
4000,7.999999999999341,-6524.001392216645,4853.148275163521,-1670.8531170531242,307.85842427503195,165.92733619551686
4500,8.999999999999675,-6845.554101730348,4714.084420455163,-2131.4696812751845,299.036938353569,164.75472835542354
5000,10.000000000000009,-6661.739988411515,4751.66484285345,-1910.0751455580648,301.4208444217876,164.12328994876341
5500,11.000000000000343,-6670.293660211252,4835.662578513382,-1834.6310816978703,306.74922284271395,161.0232546817898
6000,12.000000000000677,-6556.309564625939,4688.7938343724745,-1867.5157302534644,297.432635427105,159.2087820978346
6500,13.00000000000101,-6711.296444986305,4805.878851230587,-1905.4175937557175,304.859898463889,159.51712401319813
7000,14.000000000001345,-6490.031599741645,4740.054101986417,-1749.977497755228,300.6843195547681,162.31374864078194
7500,15.000000000001679,-6723.697767649311,4733.357010430921,-1990.3407572183896,300.25949098234395,161.6952683516506
8000,16.00000000000201,-6707.869216204776,4748.726708702049,-1959.1425075027273,301.23446450943504,160.7412812210411
8500,17.000000000001457,-6785.301034906907,4650.281379090843,-2135.019655816064,294.98960605199983,154.90008098708745
9000,18.000000000000902,-6740.7320947386,4756.052059656917,-1984.680035081683,301.6991465826715,151.61220870428605
9500,19.000000000000348,-6753.345951700572,4903.404179107095,-1849.9417725934773,311.0463968077823,150.5984519204789
10000,19.999999999999794,-6640.7444324501785,4746.884273994788,-1893.8601584553908,301.11759005729635,150.23107715784434
10500,20.99999999999924,-6437.5683613851015,4780.171930955658,-1657.3964304294432,303.229185466863,148.4772075822466
11000,21.999999999998685,-6499.075509430654,4783.497389780433,-1715.5781196502212,303.44013523714426,149.04452007731538
11500,22.99999999999813,-6660.077924774501,4685.9468269011895,-1974.1310978733118,297.25203611624227,146.79646095468263
12000,23.999999999997577,-6560.6538408915185,4650.399604024096,-1910.2542368674222,294.9971056253896,144.6380350169033
12500,24.999999999997023,-6522.415428009247,4808.349259563338,-1714.0661684459092,305.01660828883473,143.55522226638763
13000,25.99999999999647,-6784.498800456695,4757.631346441569,-2026.867454015126,301.79932830254387,144.98656941649028
13500,26.999999999995914,-6892.29350519554,4624.1062899653925,-2268.1872152301476,293.32919486393484,145.92449331136098
14000,27.99999999999536,-6838.688876366154,4675.599838957601,-2163.089037408553,296.59567714600274,141.29063850645957
14500,28.999999999994806,-6526.5432037797855,4752.951688370293,-1773.5915154094928,301.5024751922975,141.88153195414702
15000,29.99999999999425,-6495.792492512475,4685.6025827744415,-1810.1899097380337,297.23019906358746,142.02033863805335
15500,30.999999999993697,-6547.673247052198,4644.901362546209,-1902.771884505989,294.6483258515821,142.32939698430508
16000,31.999999999993143,-6610.199409814124,4767.4873151312195,-1842.7120946829045,302.4245395712842,142.29593673465484
16500,32.999999999994365,-6454.407645602561,4715.89523412514,-1738.5124114774217,299.15180693196123,140.7281494316794
17000,33.99999999999559,-6575.349567691823,4680.982552706262,-1894.3670149855607,296.9371284429819,141.4787832545284
17500,34.99999999999681,-6769.167114919338,4656.426519219496,-2112.740595699842,295.37942170355075,142.05087594473846
18000,35.99999999999803,-6663.095494722719,4839.466359563685,-1823.6291351590344,306.9905148812091,141.77859965692343
18500,36.999999999999254,-6624.16554551284,4851.91746125298,-1772.2480842598607,307.7803478575002,140.43586820285825
19000,38.000000000000476,-6711.476488244274,4867.256149066784,-1844.2203391774901,308.7533542428543,142.5483728778467
19500,39.0000000000017,-6637.5853400660935,4734.054359349091,-1903.5309807170024,300.30372716202476,146.2113049812943
20000,40.00000000000292,-6732.599215469182,4562.234108052178,-2170.365107417004,289.4043462192438,146.136135368909
20500,41.00000000000414,-6678.198478850603,4827.491434959431,-1850.7070438911724,306.2308880966032,145.74280974099023
21000,42.000000000005365,-6750.638834671535,4596.634692724602,-2154.0041419469326,291.58653996048804,146.37634961712666
21500,43.00000000000659,-6773.211523863945,4780.739615653817,-1992.4719082101283,303.2651964244418,145.81407645978769
22000,44.00000000000781,-6759.92331260759,4875.037525530308,-1884.8857870772817,309.24696419683215,145.9781383170874
22500,45.00000000000903,-6812.5972377646285,4723.7360903631825,-2088.861147401446,299.64918997273173,146.89973930955927
23000,46.00000000001025,-6495.184594248106,4652.084078304077,-1843.1005159440292,295.1039598915616,148.1802268119179
23500,47.000000000011475,-6759.238638415629,4708.621824384496,-2050.616814031133,298.69041973855514,149.18949719563716
24000,48.0000000000127,-6666.4604473202235,4658.002720128647,-2008.4577271915769,295.4794076715698,147.88365293378425
24500,49.00000000001392,-6821.095367841501,4599.958720963016,-2221.1366468784845,291.7973989818291,146.0597550380386
25000,50.00000000001514,-6687.399233094735,4641.713351051717,-2045.685882043018,294.4460950233406,147.16217241086744
25500,51.000000000016364,-6511.793837335283,4699.603770486546,-1812.190066848737,298.1183614156603,145.66321814260695
26000,52.000000000017586,-6756.509780086113,4901.258623862961,-1855.251156223152,310.91029396912916,146.17233131457203
26500,53.00000000001881,-6786.826110815045,4862.06649404465,-1924.7596167703941,308.42414958495806,146.5953604855814
27000,54.00000000002003,-6727.488096337995,4648.693040199973,-2078.795056138021,294.8888501137029,148.0126099407033
27500,55.00000000002125,-6813.10532040457,4676.725411990996,-2136.3799084135744,296.6670776309706,147.40579671127628
28000,56.000000000022474,-6797.947892320209,4631.5641482850815,-2166.383744035127,293.80228251355715,145.28836347407008
28500,57.0000000000237,-6676.293564925359,4821.650989091229,-1854.6425758341293,305.86040066038584,146.26735848083374
29000,58.00000000002492,-6677.048896285917,4815.567234436763,-1861.481661849154,305.4744789832789,147.9734745886702
29500,59.00000000002614,-6760.093227744261,4762.55124692203,-1997.5419808222305,302.1114211387047,148.8464109628893
30000,60.00000000002736,-6581.264506461229,4916.273075891693,-1664.9914305695356,311.8627325267091,149.9009626551401
30500,61.000000000028585,-6682.882397877393,4753.996928231473,-1928.8854696459193,301.56877975964386,148.74342300364344
31000,62.00000000002981,-6639.823623182148,4725.608902421056,-1914.2147207610924,299.76799140561826,149.60362021546243
31500,63.00000000003103,-6812.244737863576,4716.665322677724,-2095.5794151858518,299.20065733481505,151.3897998172691
32000,64.00000000003224,-6961.317246938139,4577.616396643224,-2383.7008502949147,290.3801184105898,151.46890797196133
32500,65.00000000002991,-6948.3144105895135,4748.21663065639,-2200.097779933123,301.20210781755367,153.71181530165484
33000,66.00000000002758,-6819.520584154972,4715.571963347517,-2103.948620807455,299.13130031922856,153.02257866668407
33500,67.00000000002525,-6863.8100596213035,4596.24340346527,-2267.566656156034,291.5617186098958,150.22475942080212
34000,68.00000000002292,-6959.882847696397,4715.755052425916,-2244.1277952704813,299.14291453581166,148.6058884101773
34500,69.00000000002059,-6857.280300499347,4680.802027900276,-2176.478272599071,296.92567689047155,146.15122337659804
35000,70.00000000001826,-6794.752991109829,4705.622615966653,-2089.130375143176,298.5001655931554,146.14568242168377
35500,71.00000000001593,-6923.678355552889,4793.677674664556,-2130.0006808883327,304.0859194344119,145.90132821203963
36000,72.0000000000136,-6716.433608631305,4793.940867575352,-1922.492741055953,304.1026150204941,142.93009411522272
36500,73.00000000001127,-6742.033033401098,4831.408661182421,-1910.6243722186764,306.4793765053976,142.47207570088344
37000,74.00000000000894,-6516.773172770976,4953.045782500211,-1563.7273902707648,314.1954013163198,143.2339398614209
37500,75.00000000000661,-6693.714536746269,4681.526757005816,-2012.1877797404532,296.97164992649016,142.95675963311055
38000,76.00000000000428,-6642.913055962597,4526.551955279228,-2116.361100683369,287.14085647926646,139.81485468201114
38500,77.00000000000195,-7032.045188983183,4769.561218492831,-2262.4839704903516,302.55609718807324,139.7702894626469
39000,77.99999999999962,-6761.515891969998,4564.446075950029,-2197.069816019969,289.54466193040065,139.06311562136273
39500,78.99999999999729,-6772.973489221729,4638.047927314261,-2134.9255619074684,294.2135796514348,141.57915200765396
40000,79.99999999999496,-7076.093974118181,4586.738874855189,-2489.3550992629916,290.9588008675407,141.6392038796334
40500,80.99999999999262,-6845.957128437937,4630.160467656435,-2215.7966607815024,293.7132403326842,141.47404045748206
41000,81.9999999999903,-6634.694880887814,4691.0135815743115,-1943.6812993135027,297.57344461674865,146.48378912089063
41500,82.99999999998796,-6917.545756260647,4785.155195121676,-2132.390561138971,303.54529776488357,149.1418630219589
42000,83.99999999998563,-6734.0504389649595,4656.72154599014,-2077.3288929748196,295.3981366637333,147.06563315760536
42500,84.9999999999833,-6673.354754572098,4622.613116429525,-2050.741638142573,293.23447571960656,146.14136300840556
43000,85.99999999998097,-6739.296846646499,4733.780384741091,-2005.5164619054076,300.28634764128316,145.73523649848016
43500,86.99999999997864,-6678.624233798245,4619.360387629003,-2059.2638461692422,293.02813956287974,143.8144440809104
44000,87.99999999997631,-6738.918923486065,4841.205291273266,-1897.713632212799,307.10082364279657,142.21665937826612
44500,88.99999999997398,-6460.817764520981,4613.424218847774,-1847.393545673207,292.6515799641195,141.76763510796926
45000,89.99999999997165,-6789.672819184467,4711.601046647442,-2078.071772537025,298.8794060664878,143.44448489582345
45500,90.99999999996932,-6853.435304311569,4604.979577847509,-2248.45572646406,292.1158959659169,142.07691221736312
46000,91.99999999996699,-6919.170491569676,4754.890338481909,-2164.2801530877678,301.62545304806116,142.9288472684232
46500,92.99999999996466,-6688.540895710134,4484.26164403857,-2204.2792516715635,284.45817961829397,140.3820044962559
47000,93.99999999996233,-6787.059613211412,4738.482593555231,-2048.5770196561816,300.58463125308657,141.32803866826754
47500,94.99999999996,-6961.081514373043,4788.33375705762,-2172.7477573154238,303.74692916239684,140.46426742103756
48000,95.99999999995767,-6725.905597984481,4915.640817369488,-1810.2647806149926,311.8226253423941,138.53638527655045
48500,96.99999999995534,-6743.142385692287,4662.175621998238,-2080.9667636940485,295.74411481039783,141.04724496650115
49000,97.999999999953,-6847.838839555884,4755.83865605529,-2092.000183500594,301.6856093707822,141.73460937953166
49500,98.99999999995067,-6737.703944148065,4623.091718087895,-2114.6122260601696,293.2648357135831,142.22221384117816
50000,99.99999999994834,-6678.543815482158,4609.77479832014,-2068.769017162018,292.4200797524107,140.71586087214743
