#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-4333.5977735765555,4855.379442774447,521.7816691978915,307.99995791588697,191.29401938725266
1000,2.0000000000000013,-4495.397712579456,4617.626218564002,122.22850598454534,292.918132918634,192.0184014177123
1500,2.999999999999891,-4293.766162337568,4475.6875317945105,181.92136945694256,283.9142826393943,191.97568213650612
2000,3.999999999999781,-4323.87510600932,4721.976388527936,398.10128251861624,299.5375636626589,188.77694704849281
2500,4.999999999999671,-4241.751325360069,4785.074711779151,543.3233864190815,303.5401923212405,186.25223265156947
3000,5.999999999999561,-4317.614991131397,4785.1989013162165,467.5839101848196,303.54807025799926,184.56628440319847
3500,6.999999999999451,-4424.7285715167645,4629.153343169186,204.42477165242144,293.6493536059423,184.4785126838593
4000,7.999999999999341,-4242.65203835651,4641.643054646269,398.9910162897586,294.4416357858753,182.4388888991051
4500,8.999999999999675,-4332.4238879989225,4806.809323312178,474.3854353132556,304.91892276164975,186.5215686732568
5000,10.000000000000009,-4249.590258414179,4862.715794783675,613.1255363694963,308.46533783865715,184.8837206114988
5500,11.000000000000343,-4189.692227017224,4986.565691701516,796.8734646842922,316.32172959715274,179.39832072099614
6000,12.000000000000677,-4247.762501928958,4714.184907836242,466.422405907284,299.04331274912516,180.4810450054957
6500,13.00000000000101,-4358.41427594324,4692.197115788694,333.78283984545396,297.6485218568528,179.72877123547815
7000,14.000000000001345,-4230.296138896943,4750.300279905309,520.0041410083659,301.3342836626225,183.55777946162615
7500,15.000000000001679,-4336.810672850959,4726.722464655083,389.9117918041238,299.83862998809354,182.5869120870976
8000,16.00000000000201,-4480.811346495691,4599.734296453458,118.92294995776683,291.783162660999,182.84826195882133
8500,17.000000000001457,-4366.503276606679,4698.702316703952,332.1990400972736,298.0611778874985,183.05857641511102
9000,18.000000000000902,-4458.574786848254,4761.583645546585,303.0088586983311,302.0500415521185,175.9227932467931
9500,19.000000000000348,-4379.385339650106,4501.432848651903,122.04750900179715,285.54743131542796,175.35146740458725
10000,19.999999999999794,-4271.811615829843,4550.475904687008,278.66428885716505,288.65846710015074,177.89921511427747
10500,20.99999999999924,-4328.178481272649,4674.839912003767,346.66143073111743,296.5474713419954,180.22963266879296
11000,21.999999999998685,-4516.181101582294,4577.209106274199,61.02800469190515,290.3542820330218,183.19674324059255
11500,22.99999999999813,-4488.43064724858,4669.5320054433805,181.10135819480092,296.2107654230268,179.37544505713333
12000,23.999999999997577,-4428.479621501425,4627.417803671303,198.93818216987802,293.5392600285794,175.70345424811407
12500,24.999999999997023,-4342.568352450921,4819.509665948702,476.94131349778036,305.7245662841943,174.1729120432001
13000,25.99999999999647,-4395.472501351799,4657.209211644196,261.7367102923972,295.4290716303402,173.38654068554973
13500,26.999999999995914,-4405.023935243462,4782.80094609042,377.77701084695855,303.3959564804183,174.47029381591912
14000,27.99999999999536,-4581.901022173144,4685.05931937806,103.15829720491547,297.1957372660709,172.32850681324385
14500,28.999999999994806,-4493.254078613083,4723.571537815638,230.31745920255526,299.6387516170242,173.304168343431
15000,29.99999999999425,-4440.031156504148,4659.8110780989355,219.77992159478708,295.5941204731768,171.70957144891864
15500,30.999999999993697,-4469.612676409191,4695.58386662709,225.97119021789877,297.8633596729271,172.36249130389805
16000,31.999999999993143,-4355.397557323625,4677.196866859861,321.79930953623625,296.6969842698814,174.08029740872388
16500,32.999999999994365,-4773.32292636894,4871.1174758412735,97.79454947233353,308.99829668207235,174.89620399677915
17000,33.99999999999559,-4361.180602961755,4685.773071976254,324.59246901449933,297.2410140096905,173.85645797709142
17500,34.99999999999681,-4292.463702626115,4748.667728345406,456.20402571929117,301.23072310310874,175.05835722895065
18000,35.99999999999803,-4413.130862005599,4669.512540338516,256.38167833291755,296.2095306582572,175.26859951235235
18500,36.999999999999254,-4346.869642534183,4750.015108035414,403.14546550123123,301.3161938459642,174.65654920566826
19000,38.000000000000476,-4494.953316989907,4758.19704753986,263.2437305499534,301.83521343088864,173.426814391721
19500,39.0000000000017,-4372.148622292087,4531.11654467365,158.96792238156377,287.4304102325735,176.21590769155355
