#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-5065.905682548295,4646.088077595102,-419.81760495319304,294.723604867244,159.13237893562527
1000,2.0000000000000013,-5123.310008140526,4793.2852449479415,-330.02476319258494,304.0610257391556,160.10020903704805
1500,2.999999999999891,-5158.499967329261,4813.165996107205,-345.3339712220568,305.32215694271196,161.26303283078963
2000,3.999999999999781,-5170.857660509234,4753.763983523329,-417.0936769859045,301.55400296183626,157.49985943508764
2500,4.999999999999671,-5015.393292155395,4747.816034488587,-267.5772576668078,301.1766960852105,155.81508785046242
3000,5.999999999999561,-5096.754030506717,4658.671865368074,-438.0821651386432,295.5218547569134,157.08094306346163
3500,6.999999999999451,-5031.818848294132,4685.600958602062,-346.21788969207046,297.23009603455944,157.6442857129719
4000,7.999999999999341,-5083.718025382262,4819.38379779095,-264.3342275913119,305.7165818644908,158.2502648474811
4500,8.999999999999675,-5023.0715312511065,4781.121864437944,-241.94966681316237,303.2894442944202,156.96849316551425
5000,10.000000000000009,-5084.942230555767,4831.859104327085,-253.08312622868198,306.50795027007143,152.39820227123494
5500,11.000000000000343,-4917.93543272241,4850.2232340599085,-67.71219866250158,307.6728749173693,149.05780095112007
6000,12.000000000000677,-4987.724223102271,4659.318031747568,-328.40619135470297,295.5628441831851,149.62586634250852
6500,13.00000000000101,-5001.741317640838,4765.013325405941,-236.7279922348971,302.2676025614684,149.00904438912542
7000,14.000000000001345,-5020.857979793356,4896.848187326599,-124.00979246675706,310.63051886944845,148.42104376632807
7500,15.000000000001679,-5186.809397354964,4972.229102484981,-214.58029486998294,315.4122911222831,150.8852025411161
8000,16.00000000000201,-5146.773538237672,4639.295014476069,-507.47852376160336,294.2926883591849,149.34456109764025
8500,17.000000000001457,-5143.269172614406,4606.09334552394,-537.1758270904656,292.1865475805871,148.71157406490175
9000,18.000000000000902,-5210.826845508258,4634.013244956496,-576.8136005517617,293.95764043781793,149.86102404549771
9500,19.000000000000348,-5286.814099908876,4593.265586463289,-693.5485134455876,291.3728214243924,150.6580979949263
10000,19.999999999999794,-5298.898091335108,4431.320782391978,-867.5773089431295,281.0998873671195,148.0749663075468
10500,20.99999999999924,-5128.271611194317,4464.126245860277,-664.1453653340404,283.18089493547416,147.342295573021
11000,21.999999999998685,-5162.9005404482305,4594.870333837882,-568.0302066103486,291.4746182313496,147.23829784024852
11500,22.99999999999813,-5358.834557460942,4841.443857520628,-517.3906999403143,307.11595704174374,146.277289324426
12000,23.999999999997577,-4887.9532636688855,4646.455247286396,-241.49801638248937,294.7468961981893,145.55494982399892
12500,24.999999999997023,-5130.174003163464,4911.966020128501,-218.20798303496213,311.58951536429385,145.43661849841146
13000,25.99999999999647,-5026.623871749691,4656.8805114778,-369.7433602718911,295.40822060549027,147.47534790848073
13500,26.999999999995914,-5304.315854144518,4523.743962173774,-780.5718919707442,286.9627320363673,147.58399248816545
14000,27.99999999999536,-5294.845104054757,4727.421443598957,-567.4236604558,299.88296956810666,144.66991943000028
14500,28.999999999994806,-5118.171064837209,4606.4601488655935,-511.7109159716156,292.20981567222117,147.89160154647774
15000,29.99999999999425,-5029.895391231381,4681.054663725405,-348.84072750597625,296.9417027900794,148.25676237938768
15500,30.999999999993697,-5053.7146114852085,4796.301020037292,-257.4135914479166,304.252330787824,145.86542851730806
16000,31.999999999993143,-5189.1958730683145,4685.863891270589,-503.33198179772535,297.246775112229,144.99999856556263
16500,32.999999999994365,-5019.727191110616,4727.918917690408,-291.808273420208,299.91452673084484,143.30895943180184
17000,33.99999999999559,-5029.061276890803,4959.596581496214,-69.4646953945894,314.6109498514784,145.28999967869848
17500,34.99999999999681,-5164.29097100909,4640.629296559417,-523.6616744496732,294.37732825815937,146.08319784594693
18000,35.99999999999803,-5229.556190390407,4732.899037146227,-496.65715324418034,300.2304395448456,146.27620523956293
18500,36.999999999999254,-5130.227493119084,4773.542993572277,-356.6844995468073,302.8086802397902,145.14170336348715
19000,38.000000000000476,-5295.3002132242145,4763.872616254595,-531.4275969696191,302.19524192009123,145.50362854128585
19500,39.0000000000017,-5269.993376619831,4724.42146737564,-545.5719092441914,299.69266671713063,147.12090975686544
20000,40.00000000000292,-5219.899656281921,4697.112635627788,-522.7870206541329,297.9603368079642,149.98441664983417
20500,41.00000000000414,-5037.494730278646,4708.905733737551,-328.5889965410952,298.70842946772734,152.00275425877177
21000,42.000000000005365,-5291.443599629802,4710.2380622611545,-581.2055373686471,298.79294544305674,149.18511698352762
21500,43.00000000000659,-5230.041746245103,4761.792410536442,-468.2493357086614,302.06328451466095,145.0770515680825
22000,44.00000000000781,-5324.441972649474,4590.018971120574,-734.4230015289004,291.16687307355585,144.70125868118987
22500,45.00000000000903,-5115.958481627725,4701.103161982082,-414.85531964564234,298.213474994932,142.24119429707596
23000,46.00000000001025,-5024.564690558851,4637.125950194211,-387.43874036463967,294.15509422974503,141.65699815348952
23500,47.000000000011475,-4974.421295765543,4568.9778002254125,-405.44349554013024,289.832130891901,142.256660467916
24000,48.0000000000127,-5057.2849035216095,4711.680440816187,-345.6044627054225,298.8844424186247,142.70301847601908
24500,49.00000000001392,-5287.84381319386,4669.466802826084,-618.3770103677762,296.20662930892496,141.69264517602326
25000,50.00000000001514,-5152.08319314473,4565.437453824367,-586.6457393203627,289.6075497741158,142.07625614324138
25500,51.000000000016364,-4975.301017104052,4598.689303439625,-376.61171366442704,291.7168737523614,141.1235094675436
26000,52.000000000017586,-4930.301364079044,4791.515646278472,-138.78571780057246,303.94877162551757,140.48954662125118
26500,53.00000000001881,-5013.903622968481,4728.086756188976,-285.8168667795044,299.92517353015376,139.08203175176484
27000,54.00000000002003,-5038.952322061091,4549.828796831321,-489.12352522977017,288.6174179515378,139.50601149491308
27500,55.00000000002125,-5240.03730223811,4832.415833776077,-407.6214684620327,306.5432662837592,139.22072458370664
28000,56.000000000022474,-5067.020874842007,4739.621076634199,-327.3997982078081,300.6568506840379,140.8536563650302
28500,57.0000000000237,-5142.713774198801,4950.582088855886,-192.13168534291526,314.0391174362001,140.13232024582945
29000,58.00000000002492,-4973.913680110078,4772.779948444336,-201.13373166574183,302.7602766350743,140.97356554889672
29500,59.00000000002614,-5024.184220495072,4844.552412846239,-179.63180764883236,307.3131475848829,140.28055845352546
30000,60.00000000002736,-5081.132454524835,4716.4072845395085,-364.72516998532683,299.1842887406304,138.71338356014627
30500,61.000000000028585,-4960.962165651228,4771.7492827249935,-189.21288292623467,302.6948965753026,136.46819192139162
31000,62.00000000002981,-5146.57447300854,4732.651988151542,-413.92248485699747,300.2147680446338,132.89204622024033
31500,63.00000000003103,-5053.391504040818,4893.648356052958,-159.74314798786054,310.42753825604115,136.69266758816238
32000,64.00000000003224,-5053.262308058519,4758.626147682622,-294.6361603758969,301.8624333067954,137.93333989746793
32500,65.00000000002991,-5286.416388249379,4655.917250633848,-630.4991376155313,295.34711635959235,139.44540191505564
33000,66.00000000002758,-5166.79785733807,4837.066041791898,-329.7318155461717,306.8382512360278,137.8941036420324
33500,67.00000000002525,-5077.839203403674,4645.9259386126205,-431.91326479105373,294.7133196155208,135.28325755833706
34000,68.00000000002292,-5247.412526689103,4658.669176168806,-588.7433505202971,295.52168416813225,133.80682644123468
34500,69.00000000002059,-4974.630607524266,4752.631438657101,-221.99916886716528,301.48216022014174,132.99549616348713
