#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-34968.694821109304,20658.835042588624,-14309.85977852068,301.96107954199783,557.1715515770128
1000,2.0000000000000013,-34774.78655510809,20183.43804619219,-14591.3485089159,295.01241133554015,556.6509134411798
1500,2.999999999999891,-34731.41502353373,20339.701231079893,-14391.713792453837,297.296441383899,555.6679957798277
2000,3.999999999999781,-34937.97856695505,20582.83356726174,-14355.144999693308,300.85019950015726,555.1682384008287
2500,4.999999999999671,-34935.22087467717,20160.610460482014,-14774.610414195158,294.6787505840906,554.7151110745634
3000,5.999999999999561,-34926.118940704284,20990.426483596606,-13935.692457107678,306.8078053756299,554.0037793705534
3500,6.999999999999451,-34687.024073152636,20168.669157626,-14518.354915526637,294.7965410056843,552.840635598352
4000,7.999999999999341,-34569.63358090835,20885.234751969852,-13684.398828938494,305.27026423280046,551.6995344330949
4500,8.999999999999675,-34317.81823354468,20575.86644917857,-13741.951784366112,300.7483642082178,551.1665294816235
5000,10.000000000000009,-34591.36472375911,20660.063359710497,-13931.30136404861,301.97903331157767,549.5016391604742
5500,11.000000000000343,-34777.80018145822,20664.108826406722,-14113.691355051495,302.0381641138869,547.5820217172424
6000,12.000000000000677,-34785.07887746597,20465.458050583467,-14319.6208268825,299.1345733452988,546.080803149496
6500,13.00000000000101,-34908.4737397965,20525.671888857072,-14382.801850939428,300.01469246000113,543.85837250112
7000,14.000000000001345,-34566.05388457952,20489.91588507008,-14076.137999509443,299.49206272403734,542.8594253060448
7500,15.000000000001679,-34979.00216169028,20541.218640723015,-14437.783520967267,300.2419324746067,543.3211505563846
8000,16.00000000000201,-35116.49383421569,20534.045507577168,-14582.448326638521,300.13708595136603,538.3106484113865
8500,17.000000000001457,-35332.90994513419,20315.01508400682,-15017.89486112737,296.93561486078914,533.9696393561961
9000,18.000000000000902,-35248.206240401,20321.62265854413,-14926.58358185687,297.0321948633075,534.8627872203118
9500,19.000000000000348,-35275.40325810559,20559.12745025109,-14716.275807854498,300.5036976441945,535.7091403503977
10000,19.999999999999794,-34954.1109501887,20388.423692349686,-14565.68725783901,298.00859610959577,535.3542330169458
10500,20.99999999999924,-35281.589895583296,20325.04569842846,-14956.544197154835,297.0822279274497,532.6536196542912
11000,21.999999999998685,-35240.58953183876,20307.151375066063,-14933.4381567727,296.820674495756,532.5668938308539
11500,22.99999999999813,-35467.324684387,20342.867665496422,-15124.457018890578,297.3427237591028,531.7610256193122
12000,23.999999999997577,-35136.50479448439,20052.076068887327,-15084.428725597063,293.0923512549027,531.9062242757245
12500,24.999999999997023,-34893.2910571616,20303.350877941608,-14589.940179219993,296.7651243056252,529.8388060285472
13000,25.99999999999647,-34977.03386756748,20245.713364673476,-14731.320502894003,295.9226621971529,527.0203769933905
13500,26.999999999995914,-35270.49280887683,20263.85019469665,-15006.642614180178,296.1877602417414,527.9394406340529
14000,27.99999999999536,-35124.32277547357,20546.006450318902,-14578.316325154668,300.311913775645,528.4137889750419
14500,28.999999999994806,-35180.59753101441,20283.371443086573,-14897.22608792784,296.4730937189523,530.3386710466955
15000,29.99999999999425,-34802.530213768514,20111.60563402957,-14690.924579738945,293.9624686510657,532.0478052275463
15500,30.999999999993697,-34894.62057126073,20350.452798104525,-14544.167773156209,297.45359229675705,528.4572636234446
16000,31.999999999993143,-35251.41216654593,20226.269115272273,-15025.143051273659,295.638454180197,529.182877839308
16500,32.999999999994365,-35407.78334784941,20218.900803817956,-15188.88254403145,295.5307548217114,528.6340999708904
17000,33.99999999999559,-35204.653321642945,19632.340690334637,-15572.312631308308,286.95726436503435,527.2003797524097
17500,34.99999999999681,-35104.94919542213,20114.816845504054,-14990.132349918076,294.0094055127752,529.1645828311343
18000,35.99999999999803,-35524.3598193024,20314.502494763736,-15209.857324538665,296.9281225699177,524.2918984622607
18500,36.999999999999254,-34974.56831223882,20042.881728507342,-14931.68658373148,292.9579616370422,523.9889883552866
19000,38.000000000000476,-35290.28403695825,20231.3204887854,-15058.963548172847,295.71228787875987,521.9244922970757
19500,39.0000000000017,-35149.54291379542,20317.771095895616,-14831.771817899804,296.9758982709357,519.3000746217613
20000,40.00000000000292,-34663.5072048342,20129.767496948218,-14533.73970788598,294.2279325904458,515.3968555149835
20500,41.00000000000414,-34901.57031155183,20314.081621543733,-14587.4886900081,296.9219708517013,512.5657666986646
21000,42.000000000005365,-35051.576763258825,20256.46872275896,-14795.108040499865,296.0798685222752,509.7289432951191
21500,43.00000000000659,-34919.431631598374,20162.466815885742,-14756.964815712632,294.70588411221877,508.16312943813375
22000,44.00000000000781,-34884.104316442696,20012.68297680618,-14871.421339636516,292.5165598036036,507.94932885433786
22500,45.00000000000903,-35220.3005596639,20417.410802708342,-14802.889756955556,298.4322879159662,507.4582971073659
23000,46.00000000001025,-35164.786970187815,20698.49889678558,-14466.288073402236,302.54082860371494,507.01176089137346
23500,47.000000000011475,-35054.47244703404,20678.18466878791,-14376.287778246126,302.24390449334805,508.127748253186
24000,48.0000000000127,-34875.32835576477,20283.11175323233,-14592.216602532437,296.4692979468978,508.017394630314
