#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-22898.04290817282,20469.70145268057,-2428.341455492253,299.1965972820566,537.7228708582268
1000,2.0000000000000013,-23060.276912810827,20592.495149519586,-2467.781763291241,300.9914185864536,537.8034014712409
1500,2.999999999999891,-23350.00268410221,20599.01577714381,-2750.986906958402,301.08672772429435,531.6205982738148
2000,3.999999999999781,-23700.640490411362,20529.457582148145,-3171.1829082632175,300.07002626902914,532.9912148717349
2500,4.999999999999671,-23372.204199811094,20462.062018816905,-2910.1421809941894,299.0849350469012,533.6649461213266
3000,5.999999999999561,-23449.256375793168,20431.626680770576,-3017.6296950225915,298.6400751352097,531.677120185673
3500,6.999999999999451,-23900.802603041284,20054.881692196603,-3845.920910844681,293.1333598132997,523.7240538041924
4000,7.999999999999341,-23640.2856922618,20142.064563727563,-3498.2211285342382,294.4076733915237,526.0524318931092
4500,8.999999999999675,-23638.333795806568,20245.066382868543,-3393.267412938025,295.9132055494832,523.962396889422
5000,10.000000000000009,-23953.78444699815,20387.618207149517,-3566.1662398486333,297.9968226877113,522.4427355739189
5500,11.000000000000343,-23476.257413986732,20355.050499052548,-3121.206914934184,297.5207948635433,524.3842399456647
6000,12.000000000000677,-23539.51159526199,20504.33642414456,-3035.1751711174293,299.7028413830242,523.277530111862
6500,13.00000000000101,-23547.04476842241,20231.921181853682,-3315.1235865687268,295.72106794438304,526.6713895147458
7000,14.000000000001345,-23556.100362673016,20196.408101957677,-3359.692260715339,295.201988919784,525.0279644386328
7500,15.000000000001679,-23510.768822747275,20525.945282360684,-2984.823540386591,300.018688532254,522.443867492008
8000,16.00000000000201,-23336.838295011497,20611.072097802087,-2725.76619720941,301.26294964550976,521.6248464704894
8500,17.000000000001457,-23122.913246916054,20567.954352976278,-2554.9588939397763,300.6327165879256,521.2327399979481
9000,18.000000000000902,-23268.16341034171,20629.238997832388,-2638.924412509321,301.5284872101291,516.8587689417143
9500,19.000000000000348,-23189.439803144767,20245.85086394569,-2943.5889391990786,295.9246719633661,515.4317986684227
10000,19.999999999999794,-23492.29449730775,20601.19387746564,-2891.100619842109,301.118564055974,518.8084607456277
10500,20.99999999999924,-23917.421777592106,20099.37063482977,-3818.051142762335,293.783635064421,520.8161611854897
11000,21.999999999998685,-23521.03933082548,20355.583629575474,-3165.4557012500045,297.5285873972417,522.0188138468279
11500,22.99999999999813,-23509.831008145637,20439.99123126005,-3069.8397768855866,298.76233608024745,520.3016285753166
12000,23.999999999997577,-23785.03765395276,20434.201422395006,-3350.836231557754,298.67770899785745,522.1362007945042
12500,24.999999999997023,-23951.114037495216,20594.75696228258,-3356.357075212636,301.02447850596155,518.1198215022264
13000,25.99999999999647,-23204.746635884156,20280.778097284827,-2923.968538599329,296.43518792725075,518.9868329733333
13500,26.999999999995914,-24019.866496164366,20508.915071046456,-3510.95142511791,299.7697654452227,513.5048498826903
14000,27.99999999999536,-23545.02726434045,20382.333458093733,-3162.693806246716,297.91957784177964,513.6292361737657
14500,28.999999999994806,-23522.40464255541,20493.331755426323,-3029.0728871290885,299.54199099434976,516.8895035214239
15000,29.99999999999425,-23371.15219587129,20743.917542999272,-2627.234652872019,303.20469292199573,517.4132556575122
15500,30.999999999993697,-23473.594017011077,20789.63071621059,-2683.9633008004857,303.87286221148975,517.4234501606937
16000,31.999999999993143,-23843.842276480624,20657.150860452002,-3186.6914160286215,301.93646259457216,515.9684503385926
16500,32.999999999994365,-23436.322939733924,20622.935417570494,-2813.38752216343,301.4363505578475,516.2425563515869
17000,33.99999999999559,-23674.749704677677,20546.910331852723,-3127.839372824954,300.3251254133374,514.700325907085
17500,34.99999999999681,-23556.84828598248,20461.424548782175,-3095.4237372003045,299.07561742858127,514.0554477374927
18000,35.99999999999803,-23129.47057112652,20214.123848577266,-2915.346722549253,295.4609321739954,513.4172502787549
18500,36.999999999999254,-23068.872814830866,20447.079984350785,-2621.7928304800807,298.8659492574412,513.3365366112204
19000,38.000000000000476,-23577.681931890784,20663.891451940628,-2913.7904799501557,302.03498684719636,512.6066099404121
19500,39.0000000000017,-23189.142153599492,20423.18336183639,-2765.9587917631034,298.5166628665591,511.5411550856296
20000,40.00000000000292,-23552.8405453198,20317.33607097241,-3235.504474347388,296.96953970351564,509.48496401012716
20500,41.00000000000414,-23527.316972150016,20421.197034082812,-3106.119938067204,298.4876295899219,509.10163430833666
21000,42.000000000005365,-23415.982014770565,20359.350940193486,-3056.631074577079,297.58365251484594,509.6533662614617
21500,43.00000000000659,-23324.90622660136,20227.665011187382,-3097.2412154139784,295.65885737508125,508.4972856961973
22000,44.00000000000781,-23754.95087673849,20281.485613216577,-3473.4652635219136,296.4455293755514,509.4731932333081
22500,45.00000000000903,-23773.58304026672,20759.94392273334,-3013.639117533381,303.4389434455936,508.73400019246293
23000,46.00000000001025,-23705.922435120465,20530.016221293972,-3175.9062138264926,300.07819165101705,509.5360446615529
23500,47.000000000011475,-23835.26589497795,20216.72530724394,-3618.540587734009,295.49895654786513,506.61026669719473
24000,48.0000000000127,-23364.69921858386,20047.651613642764,-3317.0476049410972,293.0276809441481,503.8506510017212
24500,49.00000000001392,-23550.093025767437,20257.615864486554,-3292.4771612808836,296.09663578692187,501.97709290859024
25000,50.00000000001514,-23712.407849742005,20365.090441340533,-3347.3174084014718,297.6675442715119,498.4860117011883
25500,51.000000000016364,-23756.07864884617,19931.219587005402,-3824.859061840769,291.3258453670595,498.18680370627806
26000,52.000000000017586,-24030.03401222169,19965.65431112397,-4064.3797010977214,291.8291625409049,499.07004301117473
26500,53.00000000001881,-23586.679772665004,20192.54306027847,-3394.136712386535,295.14549531036596,491.4898848790101
27000,54.00000000002003,-23779.624051474195,20570.474533234476,-3209.1495182397193,300.6695529511492,490.05215959794555
27500,55.00000000002125,-23855.655788566408,20632.452756143462,-3223.2030324229454,301.57546129782565,486.23757968782616
28000,56.000000000022474,-23730.41084803478,20581.75047430075,-3148.66037373403,300.83436840808105,486.1322105612736
28500,57.0000000000237,-23547.448181202315,20235.966401231653,-3311.4817799706616,295.7801951317505,487.6698151171985
29000,58.00000000002492,-23710.892176356574,20250.60288714901,-3460.289289207565,295.99413019048905,486.0464217505278
29500,59.00000000002614,-23692.11709389923,20002.330017560795,-3689.7870763384344,292.3652351648355,485.7826251643416
30000,60.00000000002736,-24180.766824330825,20647.220172794623,-3533.5466515362023,301.7913101133488,484.3926168950914
30500,61.000000000028585,-23684.89031629683,20304.76245019383,-3380.127866103001,296.78575663461436,481.6500738576188
31000,62.00000000002981,-23292.174991935914,20383.318687851905,-2908.856304084009,297.9339785105861,476.0266562927103
31500,63.00000000003103,-23276.58693872326,20643.9381568973,-2632.6487818259593,301.74333833462134,475.78534115194464
