#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-29790.02394796642,20618.12648707726,-9171.897460889159,301.3660605419688,592.9213797721778
1000,2.0000000000000013,-29511.112662835636,20078.474990758037,-9432.637672077599,293.4782126517526,591.6288309355851
1500,2.999999999999891,-30054.842502774667,20265.514703338562,-9789.327799436105,296.21208963037253,590.9620232005262
2000,3.999999999999781,-29346.7081653852,20376.154226658622,-8970.553938726578,297.82925874145093,588.9419271371731
2500,4.999999999999671,-29158.614460534132,20652.27021356448,-8506.344246969653,301.8651243317911,588.5632635148874
3000,5.999999999999561,-29196.89555865022,20426.112369088085,-8770.783189562135,298.55947487361976,587.4640518848737
3500,6.999999999999451,-29329.4915489004,20517.03470508132,-8812.45684381908,299.888446554472,584.3950466253312
4000,7.999999999999341,-29451.09562406542,20319.453773165427,-9131.641850899992,297.00049322238704,583.0302790408755
4500,8.999999999999675,-29432.50551311562,20650.501918290593,-8782.003594825026,301.8392779397389,576.3948753854257
5000,10.000000000000009,-29859.44559147989,20700.96362079053,-9158.481970689358,302.57685438734575,576.8229401795846
5500,11.000000000000343,-29515.922673220823,20578.102542061657,-8937.820131159166,300.78104819158574,573.5506852055299
6000,12.000000000000677,-29417.345959593833,20524.168893242342,-8893.17706635149,299.99272383604745,573.4862296038696
6500,13.00000000000101,-29453.645862786663,20271.237265711912,-9182.408597074751,296.2957338004548,571.8660205275304
7000,14.000000000001345,-29291.731007057955,20533.13228326488,-8758.598723793075,300.12373775440165,570.1507630273936
7500,15.000000000001679,-29612.157788555473,20231.978007334772,-9380.1797812207,295.72189853737535,569.1279259678506
8000,16.00000000000201,-29285.63234041597,20632.330018251978,-8653.302322163992,301.5736672922035,570.8623255063446
8500,17.000000000001457,-29442.33646354269,20247.325307368024,-9195.011156174667,295.9462232525174,571.3802524182034
9000,18.000000000000902,-29467.81368236912,20804.762142437256,-8663.051539931865,304.09403159441933,568.8251520564736
9500,19.000000000000348,-29181.441094324484,20071.447140754743,-9109.993953569741,293.3754896681246,569.5059416111314
10000,19.999999999999794,-29825.139406713108,20414.728562482953,-9410.410844230155,298.39308279368413,568.7439930059815
10500,20.99999999999924,-29479.033411100903,20565.04548900545,-8913.987922095454,300.5901990063165,567.0674914433904
11000,21.999999999998685,-29707.925199301983,20550.66753195782,-9157.257667344162,300.3800427500339,565.3309238439313
11500,22.99999999999813,-29329.45948675051,20413.0832358166,-8916.37625093391,298.3690337795289,567.2637953573183
12000,23.999999999997577,-29431.897138377746,20789.04105873634,-8642.856079641406,303.86424344827697,563.2139706122539
12500,24.999999999997023,-29326.457851808227,20460.562748039734,-8865.895103768493,299.0630208672552,561.1579869945467
13000,25.99999999999647,-29390.95575728995,20344.3428555618,-9046.61290172815,297.36428596160613,563.1401710869969
13500,26.999999999995914,-29292.728465501972,20489.412988747823,-8803.31547675415,299.48471211031426,567.185139934773
14000,27.99999999999536,-29701.55812941931,20483.365914705126,-9218.192214714185,299.396324696298,565.1293220758537
14500,28.999999999994806,-29648.73251015463,20140.818886200253,-9507.913623954377,294.38946587255504,566.4261629463283
15000,29.99999999999425,-29936.771071315317,19959.58659497702,-9977.184476338298,291.7404734103557,561.5136977258056
15500,30.999999999993697,-29511.32734477768,20296.692816660834,-9214.634528116847,296.6678063606464,561.1071349421709
16000,31.999999999993143,-29506.361457352115,20432.651238241517,-9073.710219110599,298.6550506398469,561.3642841522696
16500,32.999999999994365,-29157.847070507003,20608.595512890643,-8549.25155761636,301.2267504962404,559.1606438213324
