#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-20065.244330012913,21193.233992465273,1127.9896624523608,309.77215327767567,578.8124866451498
1000,2.0000000000000013,-20065.258407599482,20660.549623249157,595.291215649675,301.9861408112393,577.910889345146
1500,2.999999999999891,-20123.063701397834,20417.039200654846,293.9754992570124,298.4268563726579,584.7742858635538
2000,3.999999999999781,-20251.068959140895,20173.426246138355,-77.6427130025404,294.8660732701951,585.9077291978571
2500,4.999999999999671,-20402.476318245725,20089.540654472574,-312.93566377315074,293.639954577384,587.7803474841262
3000,5.999999999999561,-20664.63895886051,20534.347315705945,-130.29164315456364,300.14149734766164,582.7244184906411
3500,6.999999999999451,-20631.348391777174,20008.99801785243,-622.3503739247426,292.46269838395204,582.3286623511674
4000,7.999999999999341,-20360.450010512894,20314.861834380616,-45.58817613227802,296.93337487859884,582.3902196196746
4500,8.999999999999675,-20932.12482529966,20326.979150261617,-605.1456750380421,297.11048834008085,583.4010219599095
5000,10.000000000000009,-20827.420806359252,20365.462675950715,-461.9581304085368,297.6729850606223,581.7468456796555
5500,11.000000000000343,-20894.11244510307,20350.372871396903,-543.739573706167,297.4524240433261,580.5060729503931
6000,12.000000000000677,-20397.03606815309,20577.402334100723,180.3662659476322,300.7708135606711,578.704158770374
6500,13.00000000000101,-20603.52676358803,20460.63484428236,-142.89191930567176,299.0640746662332,576.8348359673986
7000,14.000000000001345,-20568.96892087008,20597.667142757036,28.698221886956162,301.0670153303235,576.1524920429727
7500,15.000000000001679,-20587.75495972646,20293.96485665441,-293.79010307204953,296.62793297249124,573.7438738203342
8000,16.00000000000201,-20396.780347592146,20476.91598327597,80.13563568382233,299.30204889355764,566.5523731481229
8500,17.000000000001457,-20195.128758848485,20301.96667526195,106.83791641346397,296.74489202560585,570.043247963356
9000,18.000000000000902,-20522.12479039571,20431.485516535442,-90.63927386026626,298.63801179985,559.9665161705808
9500,19.000000000000348,-20552.9424940568,20883.301276850663,330.3587827938645,305.2420034798077,560.6417324744092
10000,19.999999999999794,-20462.68650606274,20700.576250045528,237.8897439827888,302.571192360029,560.6531223123974
10500,20.99999999999924,-20530.737854631454,20431.80375400758,-98.93410062387557,298.6426633366109,564.4054986113288
11000,21.999999999998685,-20942.75795257797,21067.46213286378,124.70418028581116,307.9338014817985,560.5374145686233
11500,22.99999999999813,-20497.425734489127,20345.51282958696,-151.91290490216488,297.3813869558755,557.3959426846576
12000,23.999999999997577,-20810.459160864713,20295.781701768425,-514.6774590962887,296.65448899614205,556.3519724138108
12500,24.999999999997023,-21141.433577778138,20414.885893016562,-726.5476847615755,298.39538242469797,554.7295723344846
13000,25.99999999999647,-20912.857015328576,20609.773280942027,-303.0837343865496,301.2439654123532,554.7990973723022
13500,26.999999999995914,-21423.025430238216,20360.188927937077,-1062.8365023011393,297.59590101207124,550.3384779046327
14000,27.99999999999536,-21405.760554958135,19965.249840937307,-1440.5107140208274,291.8232505785917,549.1777021320512
14500,28.999999999994806,-20727.508106349345,20328.833059807723,-398.6750465416226,297.13758611818696,544.8624865907059
15000,29.99999999999425,-21250.414572108784,20287.577225740642,-962.8373463681419,296.5345677889046,544.5969251671005
15500,30.999999999993697,-21039.835862420554,20833.328538051413,-206.5073243691404,304.51157399893987,539.2156557569059
16000,31.999999999993143,-20981.99095816201,20988.85897934026,6.868021178252093,306.7848938573155,537.7879979802824
16500,32.999999999994365,-20500.09828301842,20111.967106860164,-388.1311761582547,293.9677521399907,535.4493482385634
17000,33.99999999999559,-20556.24228302244,20471.01693891073,-85.22534411171,299.2158251640433,533.9030248831905
17500,34.99999999999681,-20612.167861037633,20548.020584364294,-64.14727667333864,300.3413534845847,528.8305329126425
18000,35.99999999999803,-20782.390328309823,20126.058134509694,-656.3321938001282,294.1737144758212,527.8139282318813
18500,36.999999999999254,-20943.43526795976,20669.33789224226,-274.09737571750156,302.11459506274923,524.551643766046
19000,38.000000000000476,-20946.55329536862,20829.19035269126,-117.36294267735866,304.45108796881664,526.7333660515008
19500,39.0000000000017,-21003.75681505589,20208.00014923319,-795.7566658227006,295.371424761747,527.8525228634545
20000,40.00000000000292,-21219.177791685266,20186.264163228665,-1032.9136284566011,295.0537194417081,525.7754564235416
20500,41.00000000000414,-20921.719671350565,20360.659493066523,-561.0601782840422,297.6027790550097,526.4078257959382
21000,42.000000000005365,-21135.827753677717,20625.730924031195,-510.09682964652166,301.47721124273124,523.976707331614
21500,43.00000000000659,-21079.321218305235,20129.835754654752,-949.4854636504824,294.22893028323483,523.2159056383153
22000,44.00000000000781,-21090.043213176792,19915.78583547605,-1174.257377700742,291.1002570285313,525.7788115992004
22500,45.00000000000903,-20684.548402350472,20687.75234058771,3.203938237238617,302.38375093190155,527.6683938964495
23000,46.00000000001025,-20719.079916184975,20834.800740593557,115.7208244085814,304.5330925341338,527.9160769626994
23500,47.000000000011475,-20849.219242395462,20799.92519611062,-49.2940462848419,304.0233320834611,523.8252000106232
24000,48.0000000000127,-20495.570591739175,20570.22501010334,74.65441836416358,300.66590578160196,523.0191105935163
24500,49.00000000001392,-20964.1788239847,20806.202945363944,-157.9758786207567,304.1150911752841,523.7562432866529
25000,50.00000000001514,-20650.52333568375,20064.760493964295,-585.7628417194537,293.2777539013596,521.789902646711
25500,51.000000000016364,-20966.220074445275,20411.057706243417,-555.162368201858,298.33942750718575,522.1870869631355
26000,52.000000000017586,-21214.84320015715,20491.290604854617,-723.5525953025317,299.51215639676144,519.6794506869402
26500,53.00000000001881,-20571.50567539671,20254.574046849557,-316.9316285471541,296.05217488021805,515.9393010154748
27000,54.00000000002003,-21112.237817691504,20194.840842942645,-917.3969747488591,295.17908098605375,513.0448546031213
27500,55.00000000002125,-20856.927928936777,20923.714180655275,66.78625171849853,305.8327010692463,508.6023420207783
28000,56.000000000022474,-20692.92330799551,20568.123770866863,-124.79953712864517,300.6351928945048,514.5396479884336
28500,57.0000000000237,-20430.671959686944,20802.242920085617,371.57096039867247,304.05720923249334,514.4192875497398
29000,58.00000000002492,-20644.68486647465,20456.66546989223,-188.0193965824219,299.006056071599,510.88623389177434
29500,59.00000000002614,-21130.984390766895,20078.345130075682,-1052.6392606912123,293.47631453543806,509.33469063622687
30000,60.00000000002736,-21236.501322691132,20541.770827960758,-694.7304947303746,300.25000355189997,503.37783521777504
30500,61.000000000028585,-21146.926671445723,20453.649637642604,-693.2770338031187,298.96197498184074,500.451156157281
31000,62.00000000002981,-21015.53830618951,20780.15279589919,-235.3855102903217,303.73432763085424,498.759858018917
31500,63.00000000003103,-20965.747049816357,20644.810501722124,-320.9365480942324,301.75608901414876,500.0291312256394
32000,64.00000000003224,-20817.19288262248,20426.918833662377,-390.27404896010194,298.5712626105838,499.29516554798096
32500,65.00000000002991,-21431.46583482216,20275.799415034762,-1155.666419787398,296.3624167248172,499.53775371206746
33000,66.00000000002758,-21504.641213992574,20626.19004275238,-878.4511712401945,301.483921978569,496.2057109716095
33500,67.00000000002525,-21157.245501465273,19994.812533693617,-1162.432967771656,292.25535541898864,491.8797385126821
34000,68.00000000002292,-21257.013572570468,19974.65246721591,-1282.3611053545574,291.96068461956077,492.54652842085943
34500,69.00000000002059,-21477.875130009998,20052.5966713099,-1425.278458700097,293.09996067088423,495.56946237213725
35000,70.00000000001826,-21236.928470409195,20021.61241020589,-1215.3160602033058,292.6470773929796,496.4020864072786
35500,71.00000000001593,-21444.093057153317,20330.982489049402,-1113.1105681039153,297.1690033773344,494.20270456810584
36000,72.0000000000136,-21196.476246385737,20113.177317484857,-1083.2989289008801,293.9854412548877,491.16809918409876
36500,73.00000000001127,-21373.307809824622,20654.876622614625,-718.431187209997,301.9032210632325,491.3217493636381
37000,74.00000000000894,-21448.487111822928,20651.156805997463,-797.3303058254642,301.8488501444899,492.181306676155
37500,75.00000000000661,-21061.34200271756,20408.91442806642,-652.4275746511412,298.3081001554376,491.5026910308367
38000,76.00000000000428,-20821.29437477626,20586.309086056157,-234.98528872010138,300.90099962538045,487.25559268546834
38500,77.00000000000195,-21137.477385260652,20640.230536017803,-497.24684924284884,301.6891456755969,489.01362965303474
39000,77.99999999999962,-21204.080446653144,20761.563561347968,-442.5168853051764,303.4626169888275,490.75507537891093
39500,78.99999999999729,-21153.26939775444,20017.45953779454,-1135.8098599598998,292.5863766887073,488.2138910368363
40000,79.99999999999496,-20983.143379524627,20277.88559765041,-705.2577818742175,296.39290953592894,485.48839136309726
40500,80.99999999999262,-21161.84891455044,20283.74015954996,-878.1087550004777,296.47848308486283,483.656677593235
41000,81.9999999999903,-20838.767408923282,20267.286640445705,-571.4807684775769,296.2379892534951,482.767432033114
41500,82.99999999998796,-20930.389553822963,20091.230334474407,-839.1592193485558,293.6646518846805,479.84337777600615
42000,83.99999999998563,-21662.366886777603,20175.85716685619,-1486.5097199214142,294.9016049660882,479.9759226435879
42500,84.9999999999833,-21229.920917186497,20261.582115620502,-968.3388015659948,296.15460873029804,478.2586545808616
43000,85.99999999998097,-20916.81841839417,20274.837789426027,-641.9806289681437,296.34836106745166,474.43307994536275
43500,86.99999999997864,-21310.190092200573,20353.863431213515,-956.3266609870589,297.50344401653643,475.0278336591593
44000,87.99999999997631,-21020.97439011515,20324.98179885117,-695.9925912639774,297.08129393551354,473.9469581580541
44500,88.99999999997398,-20856.72690820454,20263.14776481677,-593.5791433877675,296.1774931340176,473.94548731811136
45000,89.99999999997165,-20891.945887560418,20393.686746402633,-498.25914115778505,298.08552384924036,474.34596842279353
45500,90.99999999996932,-21105.71453152083,20201.080585506843,-904.6339460139861,295.27028455086577,475.192479654114
46000,91.99999999996699,-20750.089110249173,20192.763884322136,-557.3252259270375,295.1487229980103,476.7656274899385
46500,92.99999999996466,-21353.5633390315,20683.33718114159,-670.2261578899124,302.3192164937325,472.9864169340885
47000,93.99999999996233,-21102.300479328427,20296.07413559367,-806.2263437347574,296.65876337237785,470.69312293591344
47500,94.99999999996,-21585.327746670373,20454.66365126192,-1130.6640954084542,298.97679637164936,464.37996313378477
48000,95.99999999995767,-21219.13115838031,20257.767603582426,-961.3635547978847,296.0988536903566,462.7509325923283
48500,96.99999999995534,-21334.498255377475,20012.402028807122,-1322.0962265703529,292.512453310623,462.3265022773334
49000,97.999999999953,-21893.382124428288,20185.721832859745,-1707.6602915685435,295.04579243791875,458.27787907387795
49500,98.99999999995067,-21490.08645555022,20382.151655321577,-1107.9348002286424,297.9169205108493,457.27953001689286
50000,99.99999999994834,-21445.745177760356,20319.71954361319,-1126.025634147165,297.004377871795,457.56660635972133
