#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-23024.61990509212,20373.688564022545,-2650.931341069576,297.793219238263,562.250836207228
1000,2.0000000000000013,-23078.78418331832,20434.921936139173,-2643.862247179146,298.6882404294491,562.637951778564
1500,2.999999999999891,-22912.368651100493,20416.917025129216,-2495.4516259712764,298.4250705868894,561.775486660965
2000,3.999999999999781,-23318.26376111077,20745.374414593774,-2572.8893465169967,303.22598737149025,562.988784429848
2500,4.999999999999671,-22903.13812585873,20087.44551484235,-2815.6926110163804,293.609330845541,562.6236708142383
3000,5.999999999999561,-22823.94517507056,20265.67691829502,-2558.26825677554,296.21446065484076,557.7455074598075
3500,6.999999999999451,-23612.65188926579,20488.11997509896,-3124.5319141668297,299.4658127001361,554.0171260663508
4000,7.999999999999341,-22910.07722027647,20527.360353298132,-2382.7168669783387,300.03937199998194,553.7968137768355
4500,8.999999999999675,-22609.377987703647,20215.058533390842,-2394.3194543128047,295.47459404964115,556.5550422966387
5000,10.000000000000009,-23324.8611296469,20390.770105613894,-2934.091024033005,298.0428925973141,558.3926505116508
5500,11.000000000000343,-23099.8276842439,20327.342431950707,-2772.485252293194,297.1157982682927,554.3947597930545
6000,12.000000000000677,-23089.462403314148,20199.496191684168,-2889.9662116299805,295.24712616521003,551.2255571485618
6500,13.00000000000101,-23497.66977976715,20209.928303937675,-3287.7414758294763,295.39960774858486,553.2983982916207
7000,14.000000000001345,-23270.128815435324,20468.946115551324,-2801.1826998840006,299.18555685240534,553.1400588999411
7500,15.000000000001679,-23222.60087306116,20938.97285823408,-2283.6280148270816,306.05573042906167,546.3588384828699
8000,16.00000000000201,-23190.22979596708,20699.34719061337,-2490.8826053537086,302.55322774042725,547.0618591381462
8500,17.000000000001457,-23523.59583941435,20449.043787341874,-3074.552052072475,298.8946532995605,547.1043404024464
9000,18.000000000000902,-23593.309139468874,20650.279724556214,-2943.0294149126603,301.8360302319295,540.7635442205546
9500,19.000000000000348,-22985.09722250754,20440.300131248834,-2544.7970912587043,298.76685113513275,540.6366774747647
10000,19.999999999999794,-23594.09746752298,20666.267070899474,-2927.830396623507,302.069710221671,543.1740345248232
10500,20.99999999999924,-23152.654939979973,20484.761250167867,-2667.8936898121065,299.4167196992971,542.8959149934788
11000,21.999999999998685,-23524.327365054327,20437.28740796761,-3087.0399570867157,298.72281548779426,542.5545262098341
11500,22.99999999999813,-23477.709002617303,20528.24172771187,-2949.4672749054334,300.05225466102763,538.7834848872501
12000,23.999999999997577,-23132.544767755156,20448.03396393729,-2684.510803817866,298.8798931562723,536.6696540972194
12500,24.999999999997023,-23479.864957968613,20709.213428358456,-2770.651529610157,302.69743818571044,535.527344347324
13000,25.99999999999647,-23311.38204032842,20290.940137994945,-3020.441902333474,296.583721994,537.3153373033309
13500,26.999999999995914,-23655.41652812918,20367.65599565441,-3287.7605324747674,297.7050438472936,535.8259278884284
14000,27.99999999999536,-23357.329742642527,20338.773779354076,-3018.5559632884506,297.2828852311066,537.6503200628471
14500,28.999999999994806,-23622.819915196902,20563.78776980946,-3059.032145387442,300.57181547958817,533.9008442742676
15000,29.99999999999425,-23599.785046948873,20514.22090456248,-3085.5641423863926,299.8473184734097,539.2701352732507
15500,30.999999999993697,-23223.793517948743,20495.33812204415,-2728.4553959045916,299.57131717022696,541.8710225812142
16000,31.999999999993143,-23423.407933024075,20367.579596499178,-3055.828336524897,297.70392715454,539.116467920434
16500,32.999999999994365,-23477.83885714424,20415.472417013265,-3062.366440130976,298.40395538725164,540.6969044327665
17000,33.99999999999559,-23508.613469302854,20729.829820227114,-2778.78364907574,302.99877889210006,536.9128027683853
