#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-9477.828752390464,5050.001978110018,-4427.8267742804455,295.1290723409703,214.46339151700298
1000,2.0000000000000013,-9452.549014503686,4949.792475345564,-4502.756539158122,289.2726909536323,211.61552914630988
1500,2.999999999999891,-9562.247877771086,5079.386297789652,-4482.861579981433,296.8463324620578,209.84566537301305
2000,3.999999999999781,-9748.220717862438,5049.065933071362,-4699.154784791075,295.074368579442,207.5542389144596
2500,4.999999999999671,-9690.795476370977,4987.468869340988,-4703.326607029989,291.47455132066216,209.68263667586913
3000,5.999999999999561,-9394.638494302877,5139.010395770632,-4255.628098532245,300.3308468845411,211.70195444538103
3500,6.999999999999451,-9342.113802238782,5147.004703066751,-4195.109099172031,300.7980452156584,213.29483700091646
4000,7.999999999999341,-9326.094289944225,4968.026536031478,-4358.067753912747,290.3383145788447,214.35485646006575
4500,8.999999999999675,-9566.302508831543,5195.730627980322,-4370.57188085122,303.64565539106667,213.14162076557318
5000,10.000000000000009,-9508.016449535133,5310.082052174897,-4197.934397360235,310.32851014829276,210.81131652021438
5500,11.000000000000343,-9425.38044462366,5423.79953255295,-4001.580912070711,316.9743163555782,210.76847904818334
6000,12.000000000000677,-9323.449200135095,5070.48210799489,-4252.967092140206,296.3259593442912,210.95874683042234
6500,13.00000000000101,-9565.247460488361,5189.423123343139,-4375.824337145222,303.2770361310293,212.94859145517788
7000,14.000000000001345,-9471.401014214829,5223.50949696696,-4247.891517247869,305.26909076203185,215.8175275962328
7500,15.000000000001679,-9546.763276061825,5076.787658245652,-4469.975617816173,296.69446438729386,214.7206533836386
8000,16.00000000000201,-9631.075897426923,5150.100074635104,-4480.975822791819,300.9789429942095,218.20470509862815
8500,17.000000000001457,-9606.439018821722,5401.984296624523,-4204.454722197199,315.69940391586755,213.28406358237257
9000,18.000000000000902,-9369.8434141895,5226.348065467384,-4143.4953487221155,305.4349806155285,215.38348990719984
9500,19.000000000000348,-9518.379756941307,5330.227498163082,-4188.152258778226,311.5058377636402,216.18080131164703
10000,19.999999999999794,-9483.033521430942,5088.613265708428,-4394.4202557225135,297.38556917804164,217.01871948155184
10500,20.99999999999924,-9474.060999943178,5293.691354919215,-4180.369645023963,309.3706152213087,215.64684989451396
11000,21.999999999998685,-9572.641011107564,5033.640276445527,-4539.000734662037,294.1728719562789,212.8335731849503
11500,22.99999999999813,-9648.042508179273,5070.890853432769,-4577.1516547465035,296.34984699075704,210.76330390135004
12000,23.999999999997577,-9562.189112743145,5077.254512928925,-4484.93459981422,296.72174801811013,205.10336932987437
12500,24.999999999997023,-9411.199397213059,5123.286210565215,-4287.913186647844,299.4119038399426,205.7790630449979
13000,25.99999999999647,-9578.251165966662,5120.001524325032,-4458.24964164163,299.2199422511753,204.38311991250964
13500,26.999999999995914,-9584.5103533648,5221.67099324326,-4362.839360121539,305.161646071748,205.3049489954223
14000,27.99999999999536,-9590.164177888837,5142.54241869218,-4447.621759196657,300.5372631696914,206.13517604573758
14500,28.999999999994806,-9677.363045938717,5411.234607025198,-4266.128438913519,316.2400047986495,205.815683003334
15000,29.99999999999425,-9612.587446678628,5024.567010567158,-4588.02043611147,293.64261779927205,203.1923399382808
15500,30.999999999993697,-9588.964621126608,5212.905106859634,-4376.0595142669745,304.6493555958511,201.68045686504004
16000,31.999999999993143,-9739.799560381778,5209.428618746659,-4530.370941635119,304.44618484141694,203.3414974676589
16500,32.999999999994365,-9613.571675955805,5086.499231714711,-4527.072444241095,297.2620221192152,202.4685784491645
17000,33.99999999999559,-9437.596945872825,5218.418259848335,-4219.17868602449,304.9715518512748,203.24554317695558
17500,34.99999999999681,-9432.377253812974,5026.19186026651,-4406.185393546464,293.73757625404926,204.31237846757074
18000,35.99999999999803,-9713.973255364534,5016.711821679652,-4697.261433684882,293.1835497395996,202.75382776834115
18500,36.999999999999254,-9468.919865973698,5019.636301188683,-4449.283564785014,293.35446035078786,201.21439473259258
19000,38.000000000000476,-9536.114327696378,4957.785682138837,-4578.328645557541,289.73982496984735,200.6889248750534
19500,39.0000000000017,-9605.788549191971,5177.933740522763,-4427.854808669208,302.60558077155696,204.3465222300876
20000,40.00000000000292,-9664.177636660475,5002.835198808771,-4661.342437851705,292.37258078298123,202.5701039104166
20500,41.00000000000414,-9611.038899342795,4915.314982799073,-4695.723916543722,287.2577787939946,203.23962825669113
21000,42.000000000005365,-9581.443830401822,5179.06473101425,-4402.379099387572,302.67167741390006,198.90494777314845
21500,43.00000000000659,-9527.122627567416,5083.717223937925,-4443.405403629491,297.09943775232443,198.19381979721481
22000,44.00000000000781,-9701.623367906917,5122.009656342948,-4579.613711563969,299.33730025264833,198.02986781816827
22500,45.00000000000903,-9696.443655616666,5152.932400695665,-4543.511254921001,301.1444680309211,197.77235605666957
23000,46.00000000001025,-9747.22706442876,5258.054640691022,-4489.172423737738,307.28795654968116,196.51903526642704
23500,47.000000000011475,-9671.274851922877,5121.307365434283,-4549.967486488594,299.29625740448984,201.79251076704455
24000,48.0000000000127,-9753.81490913743,5092.2393353375355,-4661.575573799895,297.59748168233784,199.75588774494443
24500,49.00000000001392,-9693.622659240169,5187.1744536337355,-4506.4482056064335,303.14562077550784,201.93071102975478
25000,50.00000000001514,-9595.831716657958,5143.717621090395,-4452.114095567563,300.6059436167688,200.49534968972785
25500,51.000000000016364,-9472.101142442398,5065.119449951331,-4406.9816924910665,296.0125582207793,200.48797609843322
26000,52.000000000017586,-9653.013207484273,5104.493708890973,-4548.5194985933,298.31364415407995,199.79105935908825
26500,53.00000000001881,-9579.303915569806,5160.304007800739,-4418.999907769067,301.5752749050596,197.9759626862739
27000,54.00000000002003,-9866.348778091262,5127.760171372631,-4738.588606718631,299.6733682727302,195.8652893587994
27500,55.00000000002125,-9399.895150328259,5048.782396802925,-4351.112753525334,295.057798329323,197.64795236441654
