#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6468.243362536852,5104.450845460382,-1363.7925170764702,298.3111391561488,183.9443216521627
1000,2.0000000000000013,-6535.773353193511,5184.7230333664875,-1351.0503198270235,303.0023563980825,179.4852524543335
1500,2.999999999999891,-6349.361845141709,5067.895943925072,-1281.4659012166367,296.1748203534245,181.81493552526544
2000,3.999999999999781,-6719.552397465293,5300.042042055224,-1419.5103554100697,309.74175812606444,180.3824521588385
2500,4.999999999999671,-6474.353592551666,5030.869943931991,-1443.4836486196755,294.010969907856,179.16078770218817
3000,5.999999999999561,-6441.3316382297635,5108.607647453976,-1332.7239907757876,298.5540683909475,177.28760515254717
3500,6.999999999999451,-6423.909672546095,5029.045916341181,-1394.8637562049144,293.9043712227201,176.92116363948676
4000,7.999999999999341,-6482.000336300736,5014.223567676372,-1467.7767686243642,293.03813274789945,175.69200174540254
4500,8.999999999999675,-6379.450291091169,5103.422945841246,-1276.0273452499232,298.25106728640094,173.88885048585232
5000,10.000000000000009,-6595.071010394037,5299.7531156191135,-1295.3178947749238,309.72487286712123,176.7008375430931
5500,11.000000000000343,-6395.834735061239,5120.760129118843,-1275.0746059423964,299.2642761603582,177.0710396738096
6000,12.000000000000677,-6330.5486131833,5016.359764454378,-1314.1888487289225,293.16297503037055,171.86958597260104
6500,13.00000000000101,-6593.3085873411255,5044.849047151074,-1548.4595401900515,294.82792795719735,171.8016482242663
7000,14.000000000001345,-6404.909295810718,5090.379913079075,-1314.5293827316427,297.48881448406576,172.88467055642872
7500,15.000000000001679,-6551.078690418669,5100.302136032498,-1450.7765543861706,298.0686828620382,168.17515003988618
8000,16.00000000000201,-6576.611053411784,4958.455654463228,-1618.1553989485565,289.7789790754198,167.63774773566766
8500,17.000000000001457,-6647.064280649659,5022.651973710883,-1624.412306938776,293.53070040729057,167.7650230091144
9000,18.000000000000902,-6389.885659464711,5030.3059900308035,-1359.5796694339078,293.9780116649836,166.92190197238295
9500,19.000000000000348,-6431.443760119297,5038.653073251888,-1392.790686867409,294.46582670713013,164.7040763500727
10000,19.999999999999794,-6557.827986289308,5176.800875296404,-1381.0271109929035,302.5393745671254,166.41932358839804
10500,20.99999999999924,-6624.340790579399,5107.844056163958,-1516.496734415441,298.50944306405705,165.32205108462492
11000,21.999999999998685,-6488.654351390936,5041.632452614709,-1447.0218987762273,294.63994574140236,164.02749850306225
11500,22.99999999999813,-6342.525654424728,5074.134760581259,-1268.3908938434688,296.53942539322975,162.11060026381492
12000,23.999999999997577,-6510.37204884423,5192.705827550069,-1317.666221294161,303.46888188704304,160.81181899952966
12500,24.999999999997023,-6554.783871234033,4964.55995121027,-1590.2239200237627,290.13572258642387,161.29619757665208
13000,25.99999999999647,-6590.48261238429,4943.605792595205,-1646.8768197890859,288.9111326911018,161.0684778069741
13500,26.999999999995914,-6487.910932906668,4946.289532516788,-1541.6214003898795,289.06797414916355,161.38730345421283
14000,27.99999999999536,-6436.259218936557,5083.546057249489,-1352.7131616870674,297.08943453525785,161.2927083246283
14500,28.999999999994806,-6702.568430662222,4966.464732399256,-1736.1036982629666,290.247040623081,164.48572478454727
15000,29.99999999999425,-6778.666596267974,4981.135038451569,-1797.5315578164045,291.1043935181778,166.1185572539534
15500,30.999999999993697,-6653.9634580283255,5046.557896071585,-1607.4055619567407,294.92779544217404,163.99003159357352
16000,31.999999999993143,-6442.976428995993,4905.094204799086,-1537.8822241969074,286.66046244782,165.44611512084714
16500,32.999999999994365,-6371.253440848054,4943.199194432949,-1428.054246415105,288.88737053438143,161.8821172543819
