#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-8049.28518133074,5019.578540067393,-3029.7066412633467,293.35108471128956,186.20078493568755
1000,2.0000000000000013,-7868.537523336421,5027.23132204414,-2841.306201292281,293.79832383226716,187.9371262498243
1500,2.999999999999891,-8051.336686768912,5066.728901502652,-2984.60778526626,296.10661678657345,187.0393201895736
2000,3.999999999999781,-8011.035040948233,5130.726855150827,-2880.3081857974057,299.84674535954787,184.05011064999414
2500,4.999999999999671,-8071.559362911468,5263.242572763223,-2808.3167901482457,307.5911464467294,184.27901719487983
3000,5.999999999999561,-8029.794735814852,5125.809996054777,-2903.984739760075,299.55939734064833,184.31102486585192
3500,6.999999999999451,-8187.484673670268,5208.444686574476,-2979.0399870957926,304.3886824898374,182.81121967627863
4000,7.999999999999341,-8125.393581958755,5167.409472826671,-2957.984109132084,301.99052806946315,181.39680191324553
4500,8.999999999999675,-8142.0267764528535,5062.052762399952,-3079.974014052901,295.8333367756945,183.52251653570818
5000,10.000000000000009,-8012.896562388593,5256.2588239698225,-2756.637738418771,307.18300654662784,182.73521943743478
5500,11.000000000000343,-8024.570767007071,5070.18586283308,-2954.3849041739904,296.30864636893614,183.72071320925474
6000,12.000000000000677,-7826.274288601218,5056.618918029204,-2769.6553705720144,295.5157754251573,183.74309302313205
6500,13.00000000000101,-8220.664859499815,5014.064494709807,-3206.600364790008,293.028836304599,183.17301876680523
7000,14.000000000001345,-8028.218154812825,5065.876579214833,-2962.3415755979913,296.05680589793826,185.84014476360187
7500,15.000000000001679,-8188.321344908323,5358.280418180061,-2830.040926728262,313.1452890543435,183.29569730473992
8000,16.00000000000201,-8051.695118078196,5231.695591548136,-2819.9995265300604,305.74749740628863,179.78034729216665
8500,17.000000000001457,-8096.9958483274,5170.121420387933,-2926.8744279394678,302.1490180208457,181.42967900702283
9000,18.000000000000902,-8243.248551875997,5009.905231022397,-3233.3433208536,292.7857632050224,183.25636141554378
9500,19.000000000000348,-8124.462747565343,4946.446787754972,-3178.015959810371,289.0771643619134,180.32139792832814
10000,19.999999999999794,-8180.40872231337,4964.050812247812,-3216.357910065558,290.1059678040823,180.36514080281052
10500,20.99999999999924,-8069.5846153257535,5244.965620108345,-2824.618995217408,306.52301615576414,177.28649447864967
11000,21.999999999998685,-8253.008482331685,5107.639761596682,-3145.368720735003,298.497503808115,178.22147983790094
11500,22.99999999999813,-8168.599057101168,5177.141954018389,-2991.457103082779,302.5593076774986,178.4168403039065
12000,23.999999999997577,-8199.976220885255,5139.2222039069175,-3060.754016978338,300.3432252438065,177.9967330369801
12500,24.999999999997023,-8305.053892355667,4915.02983998754,-3390.024052368127,287.241114655284,178.75164673745687
13000,25.99999999999647,-8238.998858397794,4957.894851114727,-3281.1040072830665,289.7462049551865,181.02629352107604
13500,26.999999999995914,-8317.204982530422,5043.51863979762,-3273.6863427328017,294.7501771187299,178.7324525853346
14000,27.99999999999536,-8419.162070861474,5066.811606563317,-3352.350464298157,296.1114501842509,179.28552918041305
14500,28.999999999994806,-8304.27885901856,4997.553210257689,-3306.72564876087,292.0638940957376,180.582799637363
15000,29.99999999999425,-8377.04559918461,5163.528601342611,-3213.516997841999,301.7637245937557,181.5761091150278
15500,30.999999999993697,-8299.111861791731,4951.27505847807,-3347.836803313661,289.3593351542607,179.41685417910088
16000,31.999999999993143,-8220.483288656465,5170.478066973392,-3050.0052216830736,302.1698609386062,182.24514301308366
16500,32.999999999994365,-8116.233165580121,5229.726421072307,-2886.506744507814,305.63241637100754,181.7556389461648
17000,33.99999999999559,-8123.320286707252,5252.297333965075,-2871.022952742177,306.9514916135136,185.66312812113168
17500,34.99999999999681,-8251.319392415018,5059.328787152289,-3191.9906052627293,295.67414390974955,187.6462548816036
18000,35.99999999999803,-8361.542278741375,5060.864992693779,-3300.6772860475967,295.7639218778276,189.53776605342043
18500,36.999999999999254,-8386.87447737569,5172.627487755989,-3214.246989619701,302.29547605012266,188.915507039261
19000,38.000000000000476,-8287.579121519546,5124.107657690111,-3163.4714638294345,299.45991034152405,193.6393154442796
19500,39.0000000000017,-8174.6117969563065,4778.723485311854,-3395.888311644452,279.27518351624906,191.66502043802498
20000,40.00000000000292,-8096.129975969472,5086.917582637087,-3009.2123933323846,297.2864711234273,192.04477703747307
20500,41.00000000000414,-8389.058046901995,5255.318422662062,-3133.7396242399327,307.1280481987321,188.10299862842894
21000,42.000000000005365,-8344.566261957465,5034.9031125830725,-3309.6631493743926,294.24667383980454,190.964020506524
21500,43.00000000000659,-8140.640335883005,5227.631503403388,-2913.008832479617,305.50998649653644,193.58682126230164
22000,44.00000000000781,-7975.557980701988,5080.542225433919,-2895.0157552680685,296.913886465962,195.1648960712772
22500,45.00000000000903,-8078.584486108916,4972.549691402733,-3106.0347947061837,290.60265400971196,194.3959594347215
23000,46.00000000001025,-8410.610211865325,5107.22355855654,-3303.386653308785,298.4731803290996,194.07434795828271
23500,47.000000000011475,-8381.559136523072,5287.567301857026,-3093.991834666046,309.01271712403167,194.73179500492435
24000,48.0000000000127,-8195.983484310193,4982.101735178241,-3213.8817491319514,291.1608886065787,193.72818899147114
24500,49.00000000001392,-8299.328909517,5092.149380158654,-3207.1795293583464,297.5922245777643,193.26545638181952
25000,50.00000000001514,-8171.903675162797,5180.718782676599,-2991.184892486198,302.76834247162265,193.5290324123035
25500,51.000000000016364,-8128.155502342301,5326.945066553617,-2801.2104357886838,311.3140079385979,194.78676870706477
26000,52.000000000017586,-8272.670439786481,5411.368914237185,-2861.3015255492965,316.2478538971359,196.68832382944365
26500,53.00000000001881,-8082.196188514932,4961.446336898094,-3120.749851616838,289.9537586767931,197.7778705255053
27000,54.00000000002003,-8288.69630687716,5107.62103238072,-3181.07527449644,298.49640924693335,197.13617344792047
27500,55.00000000002125,-8143.348931052073,5116.818874219437,-3026.5300568326356,299.03394379467534,196.16331735175154
28000,56.000000000022474,-8255.05160475592,5306.688683646359,-2948.3629211095604,310.13019701687625,194.72622589580632
28500,57.0000000000237,-8151.400311204525,5246.369107148537,-2905.0312040559875,306.6050378717971,189.98000871170888
