#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6174.900478429553,5330.964280861763,-843.9361975677903,311.54889635952213,211.21442555882675
1000,2.0000000000000013,-5865.167965804246,5072.322089727236,-792.84587607701,296.4334904114365,214.26809005776744
1500,2.999999999999891,-5738.996636472524,4796.457146041354,-942.5394904311706,280.3115630786716,214.15058068620016
2000,3.999999999999781,-5983.777363061341,4974.632668491063,-1009.1446945702783,290.72438606020444,214.22929770005456
2500,4.999999999999671,-6078.411981725513,5036.553002299299,-1041.8589794262143,294.34309566766234,213.51082934249422
3000,5.999999999999561,-5985.789613529526,5077.6045327996735,-908.1850807298524,296.7422036615342,213.0637861368226
3500,6.999999999999451,-5944.679120061441,5110.286660397074,-834.3924596643665,298.65219222030305,216.0753319503665
4000,7.999999999999341,-5993.508625380056,5008.932933154184,-984.5756922258724,292.72894077819393,217.6211825736
4500,8.999999999999675,-6030.152869315783,5160.728815015178,-869.4240543006053,301.6001012238738,216.20286856876166
5000,10.000000000000009,-6023.828574564238,5282.38840268781,-741.4401718764275,308.71005512227737,212.50094115046707
5500,11.000000000000343,-5776.937673242361,5024.8437251622445,-752.0939480801162,293.6587893814031,215.40820538942904
6000,12.000000000000677,-5974.305030252897,5192.7985299980155,-781.5065002548818,303.47429954580525,210.8765652876188
6500,13.00000000000101,-5931.528423290517,4980.893016274026,-950.6354070164907,291.09024940871933,210.20997677254826
7000,14.000000000001345,-5979.725016075696,5109.066789513595,-870.6582265621009,298.58090128541284,209.11558599375195
7500,15.000000000001679,-5844.698224214557,5035.69011429728,-809.0081099172767,294.29266730413417,207.23556171685752
8000,16.00000000000201,-5762.181799527902,5219.135234290573,-543.0465652373287,305.01345282536295,203.5506864430752
8500,17.000000000001457,-5955.476262023575,5154.677549950784,-800.7987120727912,301.2464569574587,203.93231114396713
9000,18.000000000000902,-5666.165189556367,4937.695488151233,-728.4697014051344,288.56572635752747,207.2642330796265
9500,19.000000000000348,-5889.112366684838,4987.825633762112,-901.2867329227256,291.49540112490126,205.69439788144825
10000,19.999999999999794,-5937.192395916074,4930.566394313273,-1006.6260016028009,288.1490922927986,206.06304553986774
10500,20.99999999999924,-6036.201515919582,4988.610002259409,-1047.5915136601725,291.54124070040723,202.94559202068558
11000,21.999999999998685,-5882.583759194293,5133.933679413697,-748.6500797805957,300.0341565871006,207.2854236518218
11500,22.99999999999813,-5846.439514146492,5069.736796715124,-776.702717431368,296.28240232638194,209.18513027670636
12000,23.999999999997577,-6154.427820014343,5041.90032632774,-1112.5274936866026,294.65560065020713,210.03847001107079
12500,24.999999999997023,-5955.123347619784,5039.022042994596,-916.1013046251883,294.48738980717627,209.36015963875192
13000,25.99999999999647,-5764.834498995966,5108.5041700102165,-656.3303289857495,298.54802102658664,205.14798153218737
13500,26.999999999995914,-6053.91470699829,5083.97764641325,-969.93706058504,297.1146572005331,206.91126389862137
14000,27.99999999999536,-5840.384696385188,5150.011609846292,-690.3730865388961,300.9737729900847,205.15308771413427
14500,28.999999999994806,-5721.699657585366,5267.846459051087,-453.8531985342797,307.86020390357606,203.41729680822195
15000,29.99999999999425,-5701.127820160839,5089.184568403929,-611.9432517569103,297.4189568945772,200.64542244606386
15500,30.999999999993697,-5802.08897819347,5147.172414099616,-654.9165640938545,300.807846479453,204.55524195402842
16000,31.999999999993143,-5678.491731888896,4994.29863189386,-684.1930999950355,291.8736920527402,205.63941014935415
16500,32.999999999994365,-5897.022186918146,5294.056594721754,-602.9655921963922,309.3919603385131,205.70601067488292
17000,33.99999999999559,-5807.000719261516,5145.638496499231,-661.3622227622845,300.718202221805,203.24769097975445
17500,34.99999999999681,-5872.299401006616,5291.583163558392,-580.7162374482241,309.24740961399726,201.23110451429537
18000,35.99999999999803,-5986.81549067977,5226.30603095507,-760.5094597246998,305.4325240607233,200.4570694623936
18500,36.999999999999254,-5958.345352504567,5117.3490594999,-840.9962930046668,299.0649285528339,196.7259787524249
19000,38.000000000000476,-5872.679177320322,5068.308796859788,-804.3703804605339,296.19894804766386,201.70435161244467
19500,39.0000000000017,-5965.763909843694,4944.726539847735,-1021.0373699959591,288.97663070444946,202.87488310920088
20000,40.00000000000292,-6045.691324254245,5013.538676699351,-1032.1526475548944,292.9981067757158,201.46139091887926
20500,41.00000000000414,-6026.833117723141,5014.5551826111205,-1012.2779351120207,293.05751278150956,197.1074329353666
21000,42.000000000005365,-6028.747388026283,5129.824183618237,-898.9232044080463,299.7939919916884,192.9915380578386
21500,43.00000000000659,-6107.351951753088,5126.712601331759,-980.6393504213283,299.6121468364388,194.08478489230217
22000,44.00000000000781,-5988.102103254984,5015.704305284905,-972.3977979700794,293.1246690935644,189.39968201818752
22500,45.00000000000903,-5782.248688162442,5227.756212179496,-554.4924759829455,305.5172746492075,189.34348226169064
23000,46.00000000001025,-5883.525789855399,5035.428559353634,-848.0972305017649,294.27738167291676,186.52886176259398
23500,47.000000000011475,-6118.680280202554,5032.081486931277,-1086.598793271277,294.08177414972175,186.88565705329015
24000,48.0000000000127,-5952.288142459268,5255.64426868534,-696.6438737739281,307.1470910892087,187.04453167812295
24500,49.00000000001392,-5707.418377417148,5067.0693114525875,-640.3490659645604,296.12651081298685,183.7951477327903
25000,50.00000000001514,-6039.338119050572,5230.562430988136,-808.7756880624356,305.68127394215225,184.52014996901207
25500,51.000000000016364,-5915.422061033112,5083.247413043354,-832.1746479897583,297.07198135644745,184.0461551284223
26000,52.000000000017586,-5723.1718702658045,5345.150156137318,-378.02171412848656,312.3779384526871,186.2033934377168
26500,53.00000000001881,-5840.031030548708,5354.203679084228,-485.82735146448067,312.90703880558226,189.73720603623417
27000,54.00000000002003,-5822.856126316277,5193.724308861927,-629.1318174543503,303.52840333793904,191.96203334173526
27500,55.00000000002125,-5799.295661366886,5107.881022612004,-691.4146387548817,298.5116034342048,192.79289335723476
28000,56.000000000022474,-5737.502976411439,5124.973280611782,-612.529695799657,299.51049853752414,191.03665460550093
28500,57.0000000000237,-5888.687241966851,5012.667184642501,-876.0200573243501,292.94717557937065,189.70649964219393
29000,58.00000000002492,-5927.172117020518,5287.79025857173,-639.3818584487881,309.02574702157784,189.57049257442873
29500,59.00000000002614,-5848.120715986128,5207.306031508949,-640.8146844771791,304.3221379192289,190.70371043387277
30000,60.00000000002736,-6027.665199555146,4885.516943050238,-1142.1482565049073,285.51634030213404,193.35664440941315
30500,61.000000000028585,-5969.15291129607,5243.140011828715,-726.012899467355,306.4163250929961,192.50235032201945
31000,62.00000000002981,-6014.064983738668,5062.517848365246,-951.547135373422,295.86051704019553,188.88745292806533
31500,63.00000000003103,-6080.210957115523,4963.673369259975,-1116.5375878555487,290.08390951591826,186.9096355167952
32000,64.00000000003224,-5806.365134110818,5047.716496903334,-758.6486372074842,294.99550567083725,183.54775114551973
32500,65.00000000002991,-6017.145429322227,5139.050059071783,-878.0953702504439,300.3331648624994,185.60329618422725
33000,66.00000000002758,-5827.473339441797,5116.09868900666,-711.3746504351375,298.99185517873383,185.70953566683735
33500,67.00000000002525,-5868.459560903113,5069.682041952715,-798.7775189503982,296.2792023826381,188.53054641209837
34000,68.00000000002292,-6076.593385065018,5001.012258957255,-1075.5811261077633,292.2660456668281,188.40099498094818
34500,69.00000000002059,-5865.670013165543,5043.48161309285,-822.1884000726932,294.7480132270961,187.82602471594737
35000,70.00000000001826,-6000.28933283576,4982.477224650338,-1017.8121081854224,291.1828327285917,183.1184262176042
35500,71.00000000001593,-5974.127051094052,5081.060197496717,-893.0668535973355,296.9441574668556,185.87075598322951
36000,72.0000000000136,-6092.193701578257,5129.751045242053,-962.442656336204,299.7897176842309,184.92238622713325
36500,73.00000000001127,-6037.998564251301,5336.109966980256,-701.888597271045,311.8496173448389,183.5194515320514
37000,74.00000000000894,-6085.607397830829,5023.396155086661,-1062.211242744168,293.57419139205433,185.18558774492217
37500,75.00000000000661,-5919.652091144819,5085.674981529906,-833.9771096149125,297.21385180295147,188.85120499303966
38000,76.00000000000428,-6109.322522740831,5162.372704537601,-946.9498182032303,301.69617239214,192.93591468526503
38500,77.00000000000195,-6059.4527448644385,5309.078931592243,-750.3738132721955,310.2698863995719,195.48477119366098
39000,77.99999999999962,-6060.411758863287,5014.367835891806,-1046.0439229714812,293.04656398114923,194.83708533771258
39500,78.99999999999729,-6094.1942362888985,4918.617570220321,-1175.5766660685777,287.4507865524436,190.15708673010676
40000,79.99999999999496,-6142.503308796255,5185.725661493889,-956.777647302366,303.06095136704005,189.35293548521267
40500,80.99999999999262,-5980.905579865444,5176.544554456239,-804.3610254092055,302.5243948241258,191.93675135308106
41000,81.9999999999903,-6008.774824180313,5128.318720415773,-880.4561037645399,299.70601064825286,192.33331294627155
41500,82.99999999998796,-6023.186062375369,5025.127371002286,-998.0586913730831,293.67536603503765,197.24702503312912
42000,83.99999999998563,-5901.1926287239085,5155.6455922955,-745.5470364284083,301.3030306856317,198.1924049675567
42500,84.9999999999833,-5931.02838009144,5311.608918651186,-619.419461440254,310.4177423285353,195.26653052040444
43000,85.99999999998097,-5858.372186580104,4999.818372222284,-858.5538143578206,292.19627328137176,193.6346548883267
43500,86.99999999997864,-5926.21830712654,4940.272216069392,-985.9460910571479,288.7163138866924,197.41246550257637
44000,87.99999999997631,-6102.698703602186,4977.027530317982,-1125.6711732842032,290.86434508446376,196.4124103141548
44500,88.99999999997398,-5945.215856779294,4966.061238617527,-979.1546181617668,290.2234598906351,193.45676455445513
45000,89.99999999997165,-5914.174936076406,4954.6759153892535,-959.4990206871526,289.55808591707483,195.88479513409249
45500,90.99999999996932,-6006.408628199895,5010.155785595944,-996.2528426039516,292.8004059594574,194.47835331522404
46000,91.99999999996699,-6096.515601786094,5167.118419221006,-929.3971825650879,301.9735184958008,194.93542273678452
46500,92.99999999996466,-6178.699267983679,4974.332421822432,-1204.3668461612478,290.7068392312783,191.35417522386962
47000,93.99999999996233,-5854.254170770268,5176.119068613363,-678.1351021569044,302.4995288453308,196.41455625536273
47500,94.99999999996,-6005.209919848092,5042.568206089054,-962.6417137590379,294.69463246351063,195.38742607173685
48000,95.99999999995767,-5996.292223988735,5132.842542678487,-863.4496813102478,299.9703890531757,194.34581483012582
48500,96.99999999995534,-5775.83856798337,5149.0753514988655,-626.7632164845045,300.91905676249803,193.65029381515978
49000,97.999999999953,-5897.967092714636,5300.508588149683,-597.4585045649528,309.7690237225254,188.71258272313574
49500,98.99999999995067,-6017.634447790321,5198.411739883524,-819.222707906797,303.8023432641139,186.94054586011742
50000,99.99999999994834,-6044.099890302548,5227.805982348444,-816.2939079541047,305.5201832864428,184.5588033988648
