#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6406.82642518353,5033.842570242194,-1372.9838549413362,294.1846942844304,205.5177039365598
1000,2.0000000000000013,-6283.7361341933765,5176.714577096422,-1107.021557096955,302.53433118143647,208.31944027398163
1500,2.999999999999891,-6449.567690581098,5225.0093350099605,-1224.5583555711373,305.35674336339935,212.74104572307184
2000,3.999999999999781,-6395.652354231185,5365.856581702011,-1029.7957725291744,313.58805048727527,213.28105381774319
2500,4.999999999999671,-6320.083118515036,5192.109234719869,-1127.9738837951672,303.43401618019664,214.11031352521468
3000,5.999999999999561,-6338.52628697187,5098.789347625039,-1239.7369393468307,297.9802734235317,216.07366755056825
3500,6.999999999999451,-6433.426881182543,5267.330032427822,-1166.0968487547216,307.8300232202977,214.47362632652386
4000,7.999999999999341,-6350.094243348889,5335.016107323282,-1015.0781360256069,311.78569067961513,213.41820757354455
4500,8.999999999999675,-6242.057089984383,5169.050993215972,-1073.0060967684112,302.08646078232607,212.66866684181343
5000,10.000000000000009,-6555.54745232781,5195.430663464373,-1360.1167888634373,303.6281250515319,210.9526844374322
5500,11.000000000000343,-6438.665409043292,4973.722139842317,-1464.943269200975,290.6711735116532,210.81900879549087
6000,12.000000000000677,-6550.5556630155115,5131.129402612675,-1419.4262604028363,299.8702707877563,207.74996566641113
6500,13.00000000000101,-6424.21449015734,5078.9658058366895,-1345.2486843206507,296.8217583330687,203.34533336941317
7000,14.000000000001345,-6500.062010117765,4973.461440990149,-1526.600569127616,290.6559379116011,203.41509086989115
7500,15.000000000001679,-6444.691020019131,5061.934071685464,-1382.7569483336674,295.82640032683474,198.24716030314673
8000,16.00000000000201,-6309.346868771649,4978.553765672888,-1330.7931030987602,290.95354038110315,198.35743338799912
8500,17.000000000001457,-6514.396054944727,5221.341779679452,-1293.0542752652755,305.1424063775637,199.17409417845613
9000,18.000000000000902,-6497.909888895452,5344.165589367023,-1153.744299528429,312.32039901431966,199.3300483049005
9500,19.000000000000348,-6270.505478939212,4986.44604199292,-1284.0594369462915,291.414775881423,201.75759073703404
10000,19.999999999999794,-6510.889539178977,5072.1395982471395,-1438.749940931838,296.42282535794453,202.875731236838
10500,20.99999999999924,-6586.33701136133,5409.680111916111,-1176.656899445219,316.14915796304587,205.2977427210245
11000,21.999999999998685,-6317.499749524203,5033.279851502618,-1284.2198980215853,294.1518082261041,204.3261037458498
