shortlist_rank,candidate_id,campaign_id,backbone_id,source_structure_id,source_kind,source_path,preserved_chains,designed_chains,fixed_context_chains,preserved_metal_identity,preserved_metal_site_count,preserved_solvent_residue_count,redesigned_residue_count,pdb_path,redesigned_residues_path
1,hans_interface_ss_plus_if_u01,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,8FNR,cif,data/raw/public/structures/8FNR.cif,"A,B,C,D",A,"B,C,D",DY,14,40,7,results/design_inputs/ligandmpnn/hans_interface_ss_plus_if_u01/hans_interface_ss_plus_if_u01.pdb,results/design_inputs/ligandmpnn/hans_interface_ss_plus_if_u01/redesigned_residues.txt
2,hans_interface_ss_plus_if_u02,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,8FNR,cif,data/raw/public/structures/8FNR.cif,"A,B,C,D",A,"B,C,D",DY,14,40,7,results/design_inputs/ligandmpnn/hans_interface_ss_plus_if_u02/hans_interface_ss_plus_if_u02.pdb,results/design_inputs/ligandmpnn/hans_interface_ss_plus_if_u02/redesigned_residues.txt
3,am1_mex_ss_only_u01,am1_mex_ss_only,am1_mex_8fns_chain_a,8FNS,csv_atom_table,data/raw/local_bundle/8fns_atoms.csv,A,A,,ND,4,25,5,results/design_inputs/ligandmpnn/am1_mex_ss_only_u01/am1_mex_ss_only_u01.pdb,results/design_inputs/ligandmpnn/am1_mex_ss_only_u01/redesigned_residues.txt
4,hans_interface_if_only_u01,hans_interface_if_only,hans_interface_8fnr_a_b_c_d,8FNR,cif,data/raw/public/structures/8FNR.cif,"A,B,C,D",A,"B,C,D",DY,14,40,3,results/design_inputs/ligandmpnn/hans_interface_if_only_u01/hans_interface_if_only_u01.pdb,results/design_inputs/ligandmpnn/hans_interface_if_only_u01/redesigned_residues.txt
5,hans_pocket_ss_only_u01,hans_pocket_ss_only,hans_pocket_8fnr_chain_a,8FNR,cif,data/raw/public/structures/8FNR.cif,A,A,,DY,4,12,5,results/design_inputs/ligandmpnn/hans_pocket_ss_only_u01/hans_pocket_ss_only_u01.pdb,results/design_inputs/ligandmpnn/hans_pocket_ss_only_u01/redesigned_residues.txt
6,hans_interface_ss_plus_if_u03,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,8FNR,cif,data/raw/public/structures/8FNR.cif,"A,B,C,D",A,"B,C,D",DY,14,40,6,results/design_inputs/ligandmpnn/hans_interface_ss_plus_if_u03/hans_interface_ss_plus_if_u03.pdb,results/design_inputs/ligandmpnn/hans_interface_ss_plus_if_u03/redesigned_residues.txt
7,am1_mex_ss_only_u02,am1_mex_ss_only,am1_mex_8fns_chain_a,8FNS,csv_atom_table,data/raw/local_bundle/8fns_atoms.csv,A,A,,ND,4,25,4,results/design_inputs/ligandmpnn/am1_mex_ss_only_u02/am1_mex_ss_only_u02.pdb,results/design_inputs/ligandmpnn/am1_mex_ss_only_u02/redesigned_residues.txt
8,hans_interface_if_only_u02,hans_interface_if_only,hans_interface_8fnr_a_b_c_d,8FNR,cif,data/raw/public/structures/8FNR.cif,"A,B,C,D",A,"B,C,D",DY,14,40,4,results/design_inputs/ligandmpnn/hans_interface_if_only_u02/hans_interface_if_only_u02.pdb,results/design_inputs/ligandmpnn/hans_interface_if_only_u02/redesigned_residues.txt
9,hans_pocket_ss_only_u02,hans_pocket_ss_only,hans_pocket_8fnr_chain_a,8FNR,cif,data/raw/public/structures/8FNR.cif,A,A,,DY,4,12,6,results/design_inputs/ligandmpnn/hans_pocket_ss_only_u02/hans_pocket_ss_only_u02.pdb,results/design_inputs/ligandmpnn/hans_pocket_ss_only_u02/redesigned_residues.txt
10,hans_interface_ss_plus_if_u04,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,8FNR,cif,data/raw/public/structures/8FNR.cif,"A,B,C,D",A,"B,C,D",DY,14,40,6,results/design_inputs/ligandmpnn/hans_interface_ss_plus_if_u04/hans_interface_ss_plus_if_u04.pdb,results/design_inputs/ligandmpnn/hans_interface_ss_plus_if_u04/redesigned_residues.txt
11,am1_mex_ss_only_u03,am1_mex_ss_only,am1_mex_8fns_chain_a,8FNS,csv_atom_table,data/raw/local_bundle/8fns_atoms.csv,A,A,,ND,4,25,6,results/design_inputs/ligandmpnn/am1_mex_ss_only_u03/am1_mex_ss_only_u03.pdb,results/design_inputs/ligandmpnn/am1_mex_ss_only_u03/redesigned_residues.txt
12,hans_interface_if_only_u03,hans_interface_if_only,hans_interface_8fnr_a_b_c_d,8FNR,cif,data/raw/public/structures/8FNR.cif,"A,B,C,D",A,"B,C,D",DY,14,40,4,results/design_inputs/ligandmpnn/hans_interface_if_only_u03/hans_interface_if_only_u03.pdb,results/design_inputs/ligandmpnn/hans_interface_if_only_u03/redesigned_residues.txt
