panel_rank,panel_member_id,panel_member_type,panel_role,candidate_id,backbone_id,topology_class,target_metal,source_structure,metal_site_template_source,starting_structure_path,system_metadata_path,metal_site_count,preserved_solvent_residue_count,replicate_count,target_temperature_K,suggested_collective_variables
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_mex_ss_only_u02,am1_mex_8fns_chain_a,am1_monomer,Dy,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/md_inputs/am1_mex_ss_only_u02/Dy/starting_structure.pdb,results/md_inputs/am1_mex_ss_only_u02/Dy/system_metadata.yaml,4,0,3,298,"coordination_number,mean_metal_oxygen_distance"
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_mex_ss_only_u02,am1_mex_8fns_chain_a,am1_monomer,Nd,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/md_inputs/am1_mex_ss_only_u02/Nd/starting_structure.pdb,results/md_inputs/am1_mex_ss_only_u02/Nd/system_metadata.yaml,4,0,3,298,"coordination_number,mean_metal_oxygen_distance"
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_mex_ss_only_u02,am1_mex_8fns_chain_a,am1_monomer,Y,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/md_inputs/am1_mex_ss_only_u02/Y/starting_structure.pdb,results/md_inputs/am1_mex_ss_only_u02/Y/system_metadata.yaml,4,0,3,298,"coordination_number,mean_metal_oxygen_distance"
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_mex_ss_only_u02,am1_mex_8fns_chain_a,am1_monomer,Al,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/md_inputs/am1_mex_ss_only_u02/Al/starting_structure.pdb,results/md_inputs/am1_mex_ss_only_u02/Al/system_metadata.yaml,4,0,3,298,"coordination_number,mean_metal_oxygen_distance"
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_mex_ss_only_u02,am1_mex_8fns_chain_a,am1_monomer,Fe,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/ligandmpnn_smoke/am1_mex_ss_only_u02/packed/am1_mex_ss_only_u02_packed_2_1.pdb,results/md_inputs/am1_mex_ss_only_u02/Fe/starting_structure.pdb,results/md_inputs/am1_mex_ss_only_u02/Fe/system_metadata.yaml,4,0,3,298,"coordination_number,mean_metal_oxygen_distance"
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_mex_wt_reference,am1_mex_8fns_chain_a,am1_monomer,Dy,results/design_inputs/proteinmpnn/backbones/am1_mex_8fns_chain_a.pdb,data/raw/local_bundle/8fns_atoms.csv,results/md_inputs/am1_mex_wt_reference/Dy/starting_structure.pdb,results/md_inputs/am1_mex_wt_reference/Dy/system_metadata.yaml,4,25,3,298,"coordination_number,mean_metal_oxygen_distance"
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_mex_wt_reference,am1_mex_8fns_chain_a,am1_monomer,Nd,results/design_inputs/proteinmpnn/backbones/am1_mex_8fns_chain_a.pdb,data/raw/local_bundle/8fns_atoms.csv,results/md_inputs/am1_mex_wt_reference/Nd/starting_structure.pdb,results/md_inputs/am1_mex_wt_reference/Nd/system_metadata.yaml,4,25,3,298,"coordination_number,mean_metal_oxygen_distance"
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_mex_wt_reference,am1_mex_8fns_chain_a,am1_monomer,Y,results/design_inputs/proteinmpnn/backbones/am1_mex_8fns_chain_a.pdb,data/raw/local_bundle/8fns_atoms.csv,results/md_inputs/am1_mex_wt_reference/Y/starting_structure.pdb,results/md_inputs/am1_mex_wt_reference/Y/system_metadata.yaml,4,25,3,298,"coordination_number,mean_metal_oxygen_distance"
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_mex_wt_reference,am1_mex_8fns_chain_a,am1_monomer,Al,results/design_inputs/proteinmpnn/backbones/am1_mex_8fns_chain_a.pdb,data/raw/local_bundle/8fns_atoms.csv,results/md_inputs/am1_mex_wt_reference/Al/starting_structure.pdb,results/md_inputs/am1_mex_wt_reference/Al/system_metadata.yaml,4,25,3,298,"coordination_number,mean_metal_oxygen_distance"
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_mex_wt_reference,am1_mex_8fns_chain_a,am1_monomer,Fe,results/design_inputs/proteinmpnn/backbones/am1_mex_8fns_chain_a.pdb,data/raw/local_bundle/8fns_atoms.csv,results/md_inputs/am1_mex_wt_reference/Fe/starting_structure.pdb,results/md_inputs/am1_mex_wt_reference/Fe/system_metadata.yaml,4,25,3,298,"coordination_number,mean_metal_oxygen_distance"
