panel_rank,panel_member_id,panel_member_type,panel_role,topology_class,target_metal,source_starting_structure_pdb,build_request_path,chosen_protein_forcefield,chosen_water_model,box_padding_target_nm,ionic_strength_target_M,neutralization_ion_policy,custom_metal_parameters_still_required,generic_protein_water_preparation_ready,template_metal_proximal_waters_available,restore_template_metal_proximal_waters_before_solvation,template_water_reference_panel_member_id,template_water_reference_source
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_monomer,Al,results/md_inputs/am1_mex_ss_only_u02/Al/starting_structure.pdb,results/md_system_build/am1_mex_ss_only_u02/Al/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,True,am1_mex_wt_reference,data/raw/local_bundle/8fns_atoms.csv
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_monomer,Dy,results/md_inputs/am1_mex_ss_only_u02/Dy/starting_structure.pdb,results/md_system_build/am1_mex_ss_only_u02/Dy/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,True,am1_mex_wt_reference,data/raw/local_bundle/8fns_atoms.csv
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_monomer,Fe,results/md_inputs/am1_mex_ss_only_u02/Fe/starting_structure.pdb,results/md_system_build/am1_mex_ss_only_u02/Fe/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,True,am1_mex_wt_reference,data/raw/local_bundle/8fns_atoms.csv
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_monomer,Nd,results/md_inputs/am1_mex_ss_only_u02/Nd/starting_structure.pdb,results/md_system_build/am1_mex_ss_only_u02/Nd/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,True,am1_mex_wt_reference,data/raw/local_bundle/8fns_atoms.csv
1,am1_mex_ss_only_u02,designed_candidate,am1_mex_designed_candidate,am1_monomer,Y,results/md_inputs/am1_mex_ss_only_u02/Y/starting_structure.pdb,results/md_system_build/am1_mex_ss_only_u02/Y/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,True,am1_mex_wt_reference,data/raw/local_bundle/8fns_atoms.csv
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_monomer,Al,results/md_inputs/am1_mex_wt_reference/Al/starting_structure.pdb,results/md_system_build/am1_mex_wt_reference/Al/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,False,am1_mex_wt_reference,results/md_inputs/am1_mex_wt_reference/Al/starting_structure.pdb
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_monomer,Dy,results/md_inputs/am1_mex_wt_reference/Dy/starting_structure.pdb,results/md_system_build/am1_mex_wt_reference/Dy/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,False,am1_mex_wt_reference,results/md_inputs/am1_mex_wt_reference/Dy/starting_structure.pdb
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_monomer,Fe,results/md_inputs/am1_mex_wt_reference/Fe/starting_structure.pdb,results/md_system_build/am1_mex_wt_reference/Fe/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,False,am1_mex_wt_reference,results/md_inputs/am1_mex_wt_reference/Fe/starting_structure.pdb
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_monomer,Nd,results/md_inputs/am1_mex_wt_reference/Nd/starting_structure.pdb,results/md_system_build/am1_mex_wt_reference/Nd/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,False,am1_mex_wt_reference,results/md_inputs/am1_mex_wt_reference/Nd/starting_structure.pdb
2,am1_mex_wt_reference,wild_type_reference,am1_mex_wild_type_reference,am1_monomer,Y,results/md_inputs/am1_mex_wt_reference/Y/starting_structure.pdb,results/md_system_build/am1_mex_wt_reference/Y/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,False,am1_mex_wt_reference,results/md_inputs/am1_mex_wt_reference/Y/starting_structure.pdb
3,hans_pocket_ss_only_u02,designed_candidate,hans_pocket_designed_candidate,hans_monomer,Al,results/md_inputs/hans_pocket_ss_only_u02/Al/starting_structure.pdb,results/md_system_build/hans_pocket_ss_only_u02/Al/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,True,hans_interface_wt_reference,data/raw/public/structures/8FNR.cif
3,hans_pocket_ss_only_u02,designed_candidate,hans_pocket_designed_candidate,hans_monomer,Dy,results/md_inputs/hans_pocket_ss_only_u02/Dy/starting_structure.pdb,results/md_system_build/hans_pocket_ss_only_u02/Dy/build_request.yaml,amber19-all.xml,amber19/opc3.xml,1.2,0.15,monovalent_background_ions_only_excluding_panel_metals,True,True,True,True,hans_interface_wt_reference,data/raw/public/structures/8FNR.cif
