panel_rank,panel_member_id,target_metal,topology_class,build_request_path,chosen_water_model,generic_protein_water_preparation_ready,phase_6a2_custom_metal_parameters_still_required,baseline_parameter_family,baseline_numeric_values_present,ready_for_openmm_system_build_baseline,tuned_parameter_family,tuned_numeric_values_present,ready_for_openmm_system_build_tuned,readiness_summary
1,am1_mex_ss_only_u02,Dy,am1_monomer,results/md_system_build/am1_mex_ss_only_u02/Dy/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
1,am1_mex_ss_only_u02,Nd,am1_monomer,results/md_system_build/am1_mex_ss_only_u02/Nd/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
1,am1_mex_ss_only_u02,Y,am1_monomer,results/md_system_build/am1_mex_ss_only_u02/Y/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
1,am1_mex_ss_only_u02,Al,am1_monomer,results/md_system_build/am1_mex_ss_only_u02/Al/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
1,am1_mex_ss_only_u02,Fe,am1_monomer,results/md_system_build/am1_mex_ss_only_u02/Fe/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
2,am1_mex_wt_reference,Dy,am1_monomer,results/md_system_build/am1_mex_wt_reference/Dy/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
2,am1_mex_wt_reference,Nd,am1_monomer,results/md_system_build/am1_mex_wt_reference/Nd/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
2,am1_mex_wt_reference,Y,am1_monomer,results/md_system_build/am1_mex_wt_reference/Y/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
2,am1_mex_wt_reference,Al,am1_monomer,results/md_system_build/am1_mex_wt_reference/Al/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
2,am1_mex_wt_reference,Fe,am1_monomer,results/md_system_build/am1_mex_wt_reference/Fe/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
3,hans_pocket_ss_only_u02,Dy,hans_monomer,results/md_system_build/hans_pocket_ss_only_u02/Dy/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
3,hans_pocket_ss_only_u02,Nd,hans_monomer,results/md_system_build/hans_pocket_ss_only_u02/Nd/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
3,hans_pocket_ss_only_u02,Y,hans_monomer,results/md_system_build/hans_pocket_ss_only_u02/Y/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
3,hans_pocket_ss_only_u02,Al,hans_monomer,results/md_system_build/hans_pocket_ss_only_u02/Al/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
3,hans_pocket_ss_only_u02,Fe,hans_monomer,results/md_system_build/hans_pocket_ss_only_u02/Fe/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
4,hans_interface_ss_plus_if_u04,Dy,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u04/Dy/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
4,hans_interface_ss_plus_if_u04,Nd,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u04/Nd/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
4,hans_interface_ss_plus_if_u04,Y,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u04/Y/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
4,hans_interface_ss_plus_if_u04,Al,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u04/Al/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
4,hans_interface_ss_plus_if_u04,Fe,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u04/Fe/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
5,hans_interface_wt_reference,Dy,hans_interface_multichain,results/md_system_build/hans_interface_wt_reference/Dy/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
5,hans_interface_wt_reference,Nd,hans_interface_multichain,results/md_system_build/hans_interface_wt_reference/Nd/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
5,hans_interface_wt_reference,Y,hans_interface_multichain,results/md_system_build/hans_interface_wt_reference/Y/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
5,hans_interface_wt_reference,Al,hans_interface_multichain,results/md_system_build/hans_interface_wt_reference/Al/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
5,hans_interface_wt_reference,Fe,hans_interface_multichain,results/md_system_build/hans_interface_wt_reference/Fe/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
6,hans_interface_ss_plus_if_u02,Dy,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u02/Dy/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
6,hans_interface_ss_plus_if_u02,Nd,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u02/Nd/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
6,hans_interface_ss_plus_if_u02,Y,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u02/Y/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
6,hans_interface_ss_plus_if_u02,Al,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u02/Al/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
6,hans_interface_ss_plus_if_u02,Fe,hans_interface_multichain,results/md_system_build/hans_interface_ss_plus_if_u02/Fe/build_request.yaml,amber19/opc3.xml,True,True,generic_12_6_4_highly_charged,True,True,chelator_tuned_12_6_4_lanmodulin,False,False,baseline_ready_tuned_pending
