panel_member_id,target_metal,topology_class,success_status,failure_reason,minimized_potential_energy,final_nvt_potential_energy,final_npt_potential_energy,final_temperature_K,final_box_volume_nm3,final_structure_path
am1_mex_ss_only_u02,Al,am1_monomer,success,,-31031.643044241115,-28716.918857190816,-8369.615493983938,304.6873207540709,160.32701521049074,results/openmm_equilibration_smoke/am1_mex_ss_only_u02/Al/npt_final.pdb
am1_mex_ss_only_u02,Dy,am1_monomer,success,,-28416.36999809728,-25784.243530247066,-5313.145510379384,285.0030949959054,165.53976426362865,results/openmm_equilibration_smoke/am1_mex_ss_only_u02/Dy/npt_final.pdb
am1_mex_ss_only_u02,Fe,am1_monomer,success,,-29693.70678033918,-27532.960494158862,-7101.583142858564,293.8021542494354,170.75832647593154,results/openmm_equilibration_smoke/am1_mex_ss_only_u02/Fe/npt_final.pdb
am1_mex_ss_only_u02,Nd,am1_monomer,success,,-27747.39234520928,-25194.120497506905,-4842.620160372222,294.02942983385464,173.63079958342684,results/openmm_equilibration_smoke/am1_mex_ss_only_u02/Nd/npt_final.pdb
am1_mex_ss_only_u02,Y,am1_monomer,success,,-28508.769877391704,-25820.524165984756,-5431.124562471868,296.58449048856255,165.93687406405644,results/openmm_equilibration_smoke/am1_mex_ss_only_u02/Y/npt_final.pdb
am1_mex_wt_reference,Al,am1_monomer,success,,-33177.72693689456,-30355.553309627925,-10000.228923817578,302.1825914332115,183.96256393999982,results/openmm_equilibration_smoke/am1_mex_wt_reference/Al/npt_final.pdb
am1_mex_wt_reference,Dy,am1_monomer,success,,-30341.698068692276,-27268.94928666709,-7153.881905446364,297.6480394052611,182.37743678982815,results/openmm_equilibration_smoke/am1_mex_wt_reference/Dy/npt_final.pdb
am1_mex_wt_reference,Fe,am1_monomer,success,,-31817.45829756917,-29014.963326765082,-8665.817039365264,301.4509243780701,208.0062051322552,results/openmm_equilibration_smoke/am1_mex_wt_reference/Fe/npt_final.pdb
am1_mex_wt_reference,Nd,am1_monomer,success,,-29834.15275415135,-26580.475352080837,-6401.000643497467,302.96944486066184,191.15766492158482,results/openmm_equilibration_smoke/am1_mex_wt_reference/Nd/npt_final.pdb
am1_mex_wt_reference,Y,am1_monomer,success,,-30550.60548573908,-27423.44593758353,-6906.23284416527,299.2950782815873,180.34764694092883,results/openmm_equilibration_smoke/am1_mex_wt_reference/Y/npt_final.pdb
hans_pocket_ss_only_u02,Al,hans_monomer,success,,-31487.19103006417,-29287.683567624677,-10209.751992674765,293.9077838117482,203.55521939720114,results/openmm_equilibration_smoke/hans_pocket_ss_only_u02/Al/npt_final.pdb
