panel_member_id,target_metal,topology_class,replicate_success_count,median_mean_min_metal_oxygen_distance_A,median_inner_sphere_occupancy_fraction,screening_status
am1_mex_ss_only_u02,Al,am1_monomer,3,1.7210768294802805,1.0,persistent_capture_flag
am1_mex_ss_only_u02,Dy,am1_monomer,3,2.201175096275068,1.0,stable_bound
am1_mex_ss_only_u02,Fe,am1_monomer,3,1.9200043628106587,1.0,persistent_capture_flag
am1_mex_ss_only_u02,Nd,am1_monomer,3,2.3027430041386676,1.0,stable_bound
am1_mex_ss_only_u02,Y,am1_monomer,3,2.197012559581746,1.0,stable_bound
am1_mex_wt_reference,Al,am1_monomer,3,1.724824206730195,1.0,persistent_capture_flag
am1_mex_wt_reference,Dy,am1_monomer,3,2.203971268535684,1.0,stable_bound
am1_mex_wt_reference,Fe,am1_monomer,3,1.9353178227676355,1.0,persistent_capture_flag
am1_mex_wt_reference,Nd,am1_monomer,3,2.3031630915572316,1.0,stable_bound
am1_mex_wt_reference,Y,am1_monomer,3,2.1940797331129143,1.0,stable_bound
hans_interface_ss_plus_if_u02,Al,hans_interface_multichain,3,1.7265438551045091,1.0,persistent_capture_flag
hans_interface_ss_plus_if_u02,Dy,hans_interface_multichain,3,2.2094402835620786,1.0,stable_bound
hans_interface_ss_plus_if_u02,Fe,hans_interface_multichain,3,1.9281602710781058,1.0,persistent_capture_flag
hans_interface_ss_plus_if_u02,Nd,hans_interface_multichain,3,2.315070617209455,1.0,stable_bound
hans_interface_ss_plus_if_u02,Y,hans_interface_multichain,3,2.203335515722748,1.0,stable_bound
hans_interface_ss_plus_if_u04,Al,hans_interface_multichain,3,1.7230122124900595,1.0,persistent_capture_flag
hans_interface_ss_plus_if_u04,Dy,hans_interface_multichain,3,2.207140430661472,1.0,stable_bound
hans_interface_ss_plus_if_u04,Fe,hans_interface_multichain,3,1.9276141190237013,1.0,persistent_capture_flag
hans_interface_ss_plus_if_u04,Nd,hans_interface_multichain,3,2.312553416358789,1.0,stable_bound
hans_interface_ss_plus_if_u04,Y,hans_interface_multichain,3,2.190667311908063,1.0,stable_bound
hans_interface_wt_reference,Al,hans_interface_multichain,3,1.7254066071848846,1.0,persistent_capture_flag
hans_interface_wt_reference,Dy,hans_interface_multichain,3,2.2037317393338602,1.0,stable_bound
hans_interface_wt_reference,Fe,hans_interface_multichain,3,1.9271928325014742,1.0,persistent_capture_flag
hans_interface_wt_reference,Nd,hans_interface_multichain,3,2.3109919434169224,1.0,stable_bound
hans_interface_wt_reference,Y,hans_interface_multichain,3,2.1951295528123413,1.0,stable_bound
hans_pocket_ss_only_u02,Al,hans_monomer,3,1.72256693099596,1.0,persistent_capture_flag
hans_pocket_ss_only_u02,Dy,hans_monomer,3,2.2164721126724087,1.0,stable_bound
hans_pocket_ss_only_u02,Fe,hans_monomer,3,1.9281595323081928,1.0,persistent_capture_flag
hans_pocket_ss_only_u02,Nd,hans_monomer,3,2.3196408450885837,1.0,stable_bound
hans_pocket_ss_only_u02,Y,hans_monomer,3,2.208914896946631,1.0,stable_bound
