panel_member_id,target_metal,topology_class,success_status,failure_reason,atom_count,residue_count,system_xml_path,simulation_config_path
am1_mex_ss_only_u02,Al,am1_monomer,success,,1608,134,results/openmm_system_build/am1_mex_ss_only_u02/Al/system.xml,results/openmm_system_build/am1_mex_ss_only_u02/Al/simulation_config.yaml
am1_mex_ss_only_u02,Dy,am1_monomer,success,,1608,134,results/openmm_system_build/am1_mex_ss_only_u02/Dy/system.xml,results/openmm_system_build/am1_mex_ss_only_u02/Dy/simulation_config.yaml
am1_mex_ss_only_u02,Fe,am1_monomer,success,,1608,134,results/openmm_system_build/am1_mex_ss_only_u02/Fe/system.xml,results/openmm_system_build/am1_mex_ss_only_u02/Fe/simulation_config.yaml
am1_mex_ss_only_u02,Nd,am1_monomer,success,,1608,134,results/openmm_system_build/am1_mex_ss_only_u02/Nd/system.xml,results/openmm_system_build/am1_mex_ss_only_u02/Nd/simulation_config.yaml
am1_mex_ss_only_u02,Y,am1_monomer,success,,1608,134,results/openmm_system_build/am1_mex_ss_only_u02/Y/system.xml,results/openmm_system_build/am1_mex_ss_only_u02/Y/simulation_config.yaml
am1_mex_wt_reference,Al,am1_monomer,success,,1623,134,results/openmm_system_build/am1_mex_wt_reference/Al/system.xml,results/openmm_system_build/am1_mex_wt_reference/Al/simulation_config.yaml
am1_mex_wt_reference,Dy,am1_monomer,success,,1623,134,results/openmm_system_build/am1_mex_wt_reference/Dy/system.xml,results/openmm_system_build/am1_mex_wt_reference/Dy/simulation_config.yaml
am1_mex_wt_reference,Fe,am1_monomer,success,,1623,134,results/openmm_system_build/am1_mex_wt_reference/Fe/system.xml,results/openmm_system_build/am1_mex_wt_reference/Fe/simulation_config.yaml
am1_mex_wt_reference,Nd,am1_monomer,success,,1623,134,results/openmm_system_build/am1_mex_wt_reference/Nd/system.xml,results/openmm_system_build/am1_mex_wt_reference/Nd/simulation_config.yaml
am1_mex_wt_reference,Y,am1_monomer,success,,1623,134,results/openmm_system_build/am1_mex_wt_reference/Y/system.xml,results/openmm_system_build/am1_mex_wt_reference/Y/simulation_config.yaml
hans_pocket_ss_only_u02,Al,hans_monomer,success,,1676,126,results/openmm_system_build/hans_pocket_ss_only_u02/Al/system.xml,results/openmm_system_build/hans_pocket_ss_only_u02/Al/simulation_config.yaml
hans_pocket_ss_only_u02,Dy,hans_monomer,success,,1676,126,results/openmm_system_build/hans_pocket_ss_only_u02/Dy/system.xml,results/openmm_system_build/hans_pocket_ss_only_u02/Dy/simulation_config.yaml
hans_pocket_ss_only_u02,Fe,hans_monomer,success,,1676,126,results/openmm_system_build/hans_pocket_ss_only_u02/Fe/system.xml,results/openmm_system_build/hans_pocket_ss_only_u02/Fe/simulation_config.yaml
hans_pocket_ss_only_u02,Nd,hans_monomer,success,,1676,126,results/openmm_system_build/hans_pocket_ss_only_u02/Nd/system.xml,results/openmm_system_build/hans_pocket_ss_only_u02/Nd/simulation_config.yaml
hans_pocket_ss_only_u02,Y,hans_monomer,success,,1676,126,results/openmm_system_build/hans_pocket_ss_only_u02/Y/system.xml,results/openmm_system_build/hans_pocket_ss_only_u02/Y/simulation_config.yaml
hans_interface_ss_plus_if_u04,Al,hans_interface_multichain,success,,6697,489,results/openmm_system_build/hans_interface_ss_plus_if_u04/Al/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u04/Al/simulation_config.yaml
hans_interface_ss_plus_if_u04,Dy,hans_interface_multichain,success,,6697,489,results/openmm_system_build/hans_interface_ss_plus_if_u04/Dy/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u04/Dy/simulation_config.yaml
hans_interface_ss_plus_if_u04,Fe,hans_interface_multichain,success,,6697,489,results/openmm_system_build/hans_interface_ss_plus_if_u04/Fe/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u04/Fe/simulation_config.yaml
hans_interface_ss_plus_if_u04,Nd,hans_interface_multichain,success,,6697,489,results/openmm_system_build/hans_interface_ss_plus_if_u04/Nd/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u04/Nd/simulation_config.yaml
hans_interface_ss_plus_if_u04,Y,hans_interface_multichain,success,,6697,489,results/openmm_system_build/hans_interface_ss_plus_if_u04/Y/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u04/Y/simulation_config.yaml
hans_interface_wt_reference,Al,hans_interface_multichain,success,,6716,489,results/openmm_system_build/hans_interface_wt_reference/Al/system.xml,results/openmm_system_build/hans_interface_wt_reference/Al/simulation_config.yaml
hans_interface_wt_reference,Dy,hans_interface_multichain,success,,6716,489,results/openmm_system_build/hans_interface_wt_reference/Dy/system.xml,results/openmm_system_build/hans_interface_wt_reference/Dy/simulation_config.yaml
hans_interface_wt_reference,Fe,hans_interface_multichain,success,,6716,489,results/openmm_system_build/hans_interface_wt_reference/Fe/system.xml,results/openmm_system_build/hans_interface_wt_reference/Fe/simulation_config.yaml
hans_interface_wt_reference,Nd,hans_interface_multichain,success,,6716,489,results/openmm_system_build/hans_interface_wt_reference/Nd/system.xml,results/openmm_system_build/hans_interface_wt_reference/Nd/simulation_config.yaml
hans_interface_wt_reference,Y,hans_interface_multichain,success,,6716,489,results/openmm_system_build/hans_interface_wt_reference/Y/system.xml,results/openmm_system_build/hans_interface_wt_reference/Y/simulation_config.yaml
hans_interface_ss_plus_if_u02,Al,hans_interface_multichain,success,,6688,489,results/openmm_system_build/hans_interface_ss_plus_if_u02/Al/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u02/Al/simulation_config.yaml
hans_interface_ss_plus_if_u02,Dy,hans_interface_multichain,success,,6688,489,results/openmm_system_build/hans_interface_ss_plus_if_u02/Dy/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u02/Dy/simulation_config.yaml
hans_interface_ss_plus_if_u02,Fe,hans_interface_multichain,success,,6688,489,results/openmm_system_build/hans_interface_ss_plus_if_u02/Fe/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u02/Fe/simulation_config.yaml
hans_interface_ss_plus_if_u02,Nd,hans_interface_multichain,success,,6688,489,results/openmm_system_build/hans_interface_ss_plus_if_u02/Nd/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u02/Nd/simulation_config.yaml
hans_interface_ss_plus_if_u02,Y,hans_interface_multichain,success,,6688,489,results/openmm_system_build/hans_interface_ss_plus_if_u02/Y/system.xml,results/openmm_system_build/hans_interface_ss_plus_if_u02/Y/simulation_config.yaml
